business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
OM SHANTI HOSTELS,Hostels,Student dormitory,"Student dormitory, Boarding house, Boys' hostel, Housing complex, Lodge, Student housing center, Student union, Youth Hostel",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 96370 52480,https://omshantihostels.com/,5.0,56,"Haripriya Nagar, behind ICICI BANK, Sangli, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Sangli, Vishrambag",16.8448578,74.5976953,ChIJu_Lg8b0jwTsR1cdSsZep6Bc,https://www.google.com/maps/place/?q=place_id:ChIJu_Lg8b0jwTsR1cdSsZep6Bc,part_134,2026-09-22 06:00:47
Mauli Boys Hostel,Hostels,Boys' hostel,Boys' hostel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 98601 03040,N/A,5.0,33,"opp. Gandhi Hospital, near Rajmati Girls High School, Neminathnagar, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Neminathnagar, Vishrambag",16.8484303,74.591156,ChIJOZoug3IZwTsRGlWB74Js0Eo,https://www.google.com/maps/place/?q=place_id:ChIJOZoug3IZwTsRGlWB74Js0Eo,part_134,2026-09-22 06:00:47
Nalanda Womens Hostel,Hostels,Student dormitory,Student dormitory,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 90112 29222,N/A,5.0,110,"Chankyapuri, MSEB Rd, beside Sai Mandir, Sangli, Chankyapuri Garden, Sangli Miraj Kupwad, Maharashtra 416415","Sangli, Chankyapuri Garden",16.8412984,74.5945052,ChIJI9mkR04jwTsRjJoXy2HuUFQ,https://www.google.com/maps/place/?q=place_id:ChIJI9mkR04jwTsRjJoXy2HuUFQ,part_134,2026-09-22 06:00:47
Sahara Boys Hostel,Hostels,Student housing center,Student housing center,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 70307 86430,http://vishrambagsaharahostel.wordpress.com/,3.5,32,"Meera Colony, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Meera Colony, Vishrambag",16.840422399999998,74.5995287,ChIJ5eCV230iwTsRtbW_J7Dz3W0,https://www.google.com/maps/place/?q=place_id:ChIJ5eCV230iwTsRtbW_J7Dz3W0,part_134,2026-09-22 06:00:47
Krishnai Niwas PG,Hostels,Student dormitory,Student dormitory,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 99608 12124,N/A,4.4,7,"Survey No. 44/3A, Patil Mala, Plot number 20, Near, Wanlesswadi High School Rd, Sangli, Wanlesswadi, Maharashtra 416414","Sangli, Wanlesswadi",16.8372608,74.6138198,ChIJDbCdpkYjwTsRtvdPHrGMD-Y,https://www.google.com/maps/place/?q=place_id:ChIJDbCdpkYjwTsRtvdPHrGMD-Y,part_134,2026-09-22 06:00:47
SHELAR BLOCK - Student Private Hostel,Hostels,Student dormitory,Student dormitory,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,3.8,25,"RHWX+P8H, Sangli, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Sangli, Vishrambag",16.846814,74.5983456,ChIJVc20cHIjwTsRBEH3Kw8S4BI,https://www.google.com/maps/place/?q=place_id:ChIJVc20cHIjwTsRBEH3Kw8S4BI,part_134,2026-09-22 06:00:47
"Kai.Ramachandra Vasudev Kulkarni, Ladies hostel",Hostels,Student dormitory,Student dormitory,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,4.8,4,"RHXV+GM8, Sangli - Miraj Rd, Sangli, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Sangli, Vishrambag",16.8487773,74.5942187,ChIJfYJGWQAjwTsRIvtbd1NVS18,https://www.google.com/maps/place/?q=place_id:ChIJfYJGWQAjwTsRIvtbd1NVS18,part_134,2026-09-22 06:00:47
Suvarn Building (PG),Hostels,Boys' hostel,Boys' hostel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 91758 81854,N/A,4.3,73,"866, A/1B, Sangli, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Khanbhag",16.8571299,74.57205139999999,ChIJAQAAMGoYwTsRbO_NKVYC96A,https://www.google.com/maps/place/?q=place_id:ChIJAQAAMGoYwTsRbO_NKVYC96A,part_134,2026-09-22 06:00:47
Dr. Babasaheb Ambedkar Boys Hostel Tasgaon,Hostels,Boys' hostel,Boys' hostel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 2346 250 120,N/A,4.7,3,"2JF4+WRG, Vasumbe Phata, Tasgaon, Maharashtra 416312",Vasumbe Phata,17.025299399999998,74.6073368,ChIJW-bdWDU_wTsRFEUStIsJRqQ,https://www.google.com/maps/place/?q=place_id:ChIJW-bdWDU_wTsRFEUStIsJRqQ,part_134,2026-09-22 06:00:47
Huda Boys Hostel,Hostels,Boys' hostel,Boys' hostel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 99604 32571,N/A,4.0,27,"RJMH+F5C, beside jila krida sankul, nearby sangam housing socity, Miraj, Samastanagar, Sangli Miraj Kupwad, Maharashtra 416410","Miraj, Samastanagar",16.8336972,74.6278849,ChIJxYJXr1oiwTsRtWGCn5fnWqA,https://www.google.com/maps/place/?q=place_id:ChIJxYJXr1oiwTsRtWGCn5fnWqA,part_134,2026-09-22 06:00:47
Paramane girls hostel,Hostels,Student dormitory,Student dormitory,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 96657 98586,N/A,4.1,21,"WG57+VPJ, Men Rd, Kasbe Digraj, Maharashtra 416305",416311,16.9097526,74.5139045,ChIJSccjlQMXwTsRmwKjmEoh1ic,https://www.google.com/maps/place/?q=place_id:ChIJSccjlQMXwTsRmwKjmEoh1ic,part_134,2026-09-22 06:00:47
Jain Bording,Hostels,Student housing center,Student housing center,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,4.3,134,"VH6C+WM6, Soni - Sangli Rd, Sangli, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Khanbhag",16.862299699999998,74.57164,ChIJj1bHxmoYwTsRcP0HXFAmwlo,https://www.google.com/maps/place/?q=place_id:ChIJj1bHxmoYwTsRcP0HXFAmwlo,part_134,2026-09-22 06:00:47
Khabade Block (Boys Hostel ),Hostels,Boys' hostel,Boys' hostel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 98902 07072,N/A,5.0,1,"Sangli, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Sangli, Vishrambag",16.8461247,74.59571919999999,ChIJzzv6cwAjwTsRBgw_mbqxD_U,https://www.google.com/maps/place/?q=place_id:ChIJzzv6cwAjwTsRBgw_mbqxD_U,part_134,2026-09-22 06:00:47
होस्टेल मुलांचे (रयत),Hostels,Student dormitory,Student dormitory,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,5.0,1,"8QQC+4X7, Sangli, Kharsundi, Maharashtra 415308",416311,17.3377821,74.7724131,ChIJ2QnZR2hbwTsRkjtTIvULdqk,https://www.google.com/maps/place/?q=place_id:ChIJ2QnZR2hbwTsRkjtTIvULdqk,part_134,2026-09-22 06:00:47
SHREE SOMNATH BOYS HOSTEL,Hostels,Boys' hostel,Boys' hostel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 83759 63535,http://www.shreesomnathhostel.com/,4.9,141,"Road NO 1, gurudatt colony, SHREE SOMNATH BOYS HOSTEL, opposite RIT COLLEGE ROAD, Rajaramnagar, Urun-Ishwarpur, Maharashtra 415409",Rajaramnagar,17.062898099999998,74.28634199999999,ChIJIxEOsax1wTsR0f_VaePMP44,https://www.google.com/maps/place/?q=place_id:ChIJIxEOsax1wTsR0f_VaePMP44,part_134,2026-09-22 06:00:47
Thrifty Stays,Hostels,Backpacker Hostel,Backpacker Hostel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 80104 47306,N/A,4.9,68,"15, Kadamwadi Rd, Laxminarayan Nagar, Kadamwadi, Kolhapur, Maharashtra 416003","Laxminarayan Nagar, Kadamwadi",16.7086584,74.253548,ChIJ7f5USwABwTsRJUF_gg9X0jY,https://www.google.com/maps/place/?q=place_id:ChIJ7f5USwABwTsRJUF_gg9X0jY,part_134,2026-09-22 06:00:47
Dr. Babasaheb Ambedkar Boy's Hostel K. Mahankal,Hostels,Student dormitory,Student dormitory,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,4.7,9,"2V6H+M4R, Vithurayachi Wadi, Kavathe Mahankal, Maharashtra 416405",416311,17.0117482,74.87777659999999,ChIJR-mAXAI1wTsRpujEzfgP4i0,https://www.google.com/maps/place/?q=place_id:ChIJR-mAXAI1wTsRpujEzfgP4i0,part_134,2026-09-22 06:00:47
RIT Boys Hostel,Hostels,Boys' hostel,Boys' hostel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 99707 00908,http://www.ritindia.edu/,4.1,366,"Rajaramnagar, Urun-Ishwarpur, Maharashtra 415409",Rajaramnagar,17.0644404,74.2804692,ChIJu1AWdsR0wTsRiKCETIHDBuE,https://www.google.com/maps/place/?q=place_id:ChIJu1AWdsR0wTsRiKCETIHDBuE,part_134,2026-09-22 06:00:47
Dhanlakshmi Building,Hostels,Boys' hostel,Boys' hostel,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 99709 00269,N/A,4.0,6,"377M+7RR, Ganesh Colony, Urun-Ishwarpur, Maharashtra 415409",Ganesh Colony,17.063248299999998,74.2845129,ChIJsa71wsZ0wTsRus5M7Y-Cfmk,https://www.google.com/maps/place/?q=place_id:ChIJsa71wsZ0wTsRus5M7Y-Cfmk,part_134,2026-09-22 06:00:49
