business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 94235 95113,https://bsnl.co.in/,,,"A/p-KHUJGAON Tal-TASGAON Dt, Maharashtra 416312",416311,17.110215,74.770867,ChIJIYbJxRJHwTsRnpvBIy-lMfg,https://www.google.com/maps/place/?q=place_id:ChIJIYbJxRJHwTsRnpvBIy-lMfg,part_134,2026-09-22 06:00:54
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 94232 97600,https://bsnl.co.in/,,,"10, Khujgaon, Maharashtra 416311",416311,17.1021868,74.7166699,ChIJV9Vs92FHwTsRQZWy7kxdCz8,https://www.google.com/maps/place/?q=place_id:ChIJV9Vs92FHwTsRQZWy7kxdCz8,part_134,2026-09-22 06:00:54
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 94208 07909,https://bsnl.co.in/,,,"00, Savlaj, Maharashtra 416311",416311,17.1065124,74.76732559999999,ChIJD3ijDYFHwTsRKPcPr6gJO4c,https://www.google.com/maps/place/?q=place_id:ChIJD3ijDYFHwTsRKPcPr6gJO4c,part_134,2026-09-22 06:00:54
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 94209 79349,https://bsnl.co.in/,,,"01, SIDDESHWAR ROAD, Savlaj, Maharashtra 416311",416311,17.109892,74.76527,ChIJvdoQAFpHwTsR3AnZqWRN42A,https://www.google.com/maps/place/?q=place_id:ChIJvdoQAFpHwTsR3AnZqWRN42A,part_134,2026-09-22 06:00:54
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 94218 25510,https://bsnl.co.in/,,,"00, Gavan, Maharashtra 416408",416311,17.054237999999998,74.764787,ChIJYdKcoW05wTsRegV_omvgggs,https://www.google.com/maps/place/?q=place_id:ChIJYdKcoW05wTsRegV_omvgggs,part_134,2026-09-22 06:00:54
NATH KALANDAR COMMUNICATIONS,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,,,"TAL, DAWRI GALLI, A/P, Kharsundi, ATPADI, Maharashtra 415308","DAWRI GALLI, A/P",17.3404395,74.7775592,ChIJaRdtn8VbwTsR4M74IE7kUqw,https://www.google.com/maps/place/?q=place_id:ChIJaRdtn8VbwTsR4M74IE7kUqw,part_134,2026-09-22 06:00:54
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 82757 67200,https://bsnl.co.in/,,,"shivaji chowk, 10, savalaj road, near grampanchayt, Sangli, Jarandi, Maharashtra 416311",416311,17.183128,74.835437,ChIJYTobXnlPwTsR7JNOAXddQJ0,https://www.google.com/maps/place/?q=place_id:ChIJYTobXnlPwTsR7JNOAXddQJ0,part_134,2026-09-22 06:00:54
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 94205 60009,https://bsnl.co.in/,,,"VITTHAL MANDIR JAVAL, 00, Shirdhon, Maharashtra 416419",416311,17.016711,74.807512,ChIJ3cS0GQY3wTsR16lWCAIhH5E,https://www.google.com/maps/place/?q=place_id:ChIJ3cS0GQY3wTsR16lWCAIhH5E,part_134,2026-09-22 06:00:54
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 94209 96811,https://bsnl.co.in/,,,"368N, ROADAGEKolhapurMAHARASHTRA, KOLHAPUR, Kaulage, Maharashtra 416235",ROADAGEKolhapurMAHARASHTRA,17.08644,74.69006499999999,ChIJO6b9qy9HwTsRiWrGKrwWf6Y,https://www.google.com/maps/place/?q=place_id:ChIJO6b9qy9HwTsRiWrGKrwWf6Y,part_134,2026-09-22 06:00:54
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 94050 94001,https://bsnl.co.in/,,,"12PANDRPUR ROOD, FATANAGAJ FATASangliMAHARASHTRA, Nagaj, Maharashtra 416403",FATANAGAJ FATASangliMAHARASHTRA,17.142642,74.946268,ChIJ_Yr2LHpLwTsRQgaCD_kuGjg,https://www.google.com/maps/place/?q=place_id:ChIJ_Yr2LHpLwTsRQgaCD_kuGjg,part_134,2026-09-22 06:00:54
