business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SANJYOT CHILDREN HOSPITAL,Pediatrician and Child Clinic,Children's hospital,"Children's hospital, Hospital",416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 86981 30465,N/A,5.0,,"Second floor, old Anuradha eye hospital, 100 Feet Rd, in front of hotel White House, near walchand college, Sangli, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Sangli, Vishrambag",16.845626,74.5971734,ChIJb1lZQW4jwTsRYzACsQ988Kk,https://www.google.com/maps/place/?q=place_id:ChIJb1lZQW4jwTsRYzACsQ988Kk,part_134,2026-09-22 06:02:12
Dr Bhave Suhas,Pediatrician and Child Clinic,Doctor,Doctor,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 233 237 6501,N/A,3.0,,"near, Ram Mandir Rd, Sangli, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Khanbhag",16.8556642,74.5731677,ChIJ____v1p1wTsRS5NGklQN_sw,https://www.google.com/maps/place/?q=place_id:ChIJ____v1p1wTsRS5NGklQN_sw,part_134,2026-09-22 06:02:12
PATIL BALRUGNALAY,Pediatrician and Child Clinic,Children's hospital,Children's hospital,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 98609 70379,N/A,5.0,,"bazar, Urun Islampur - Bahe Rd, near Walwa, above Ajinkya Bazar, Mantri Colony, Urun-Ishwarpur, Maharashtra 415409",Mantri Colony,17.0520243,74.2671883,ChIJj9gKedZ0wTsRRcLYrIkf2YE,https://www.google.com/maps/place/?q=place_id:ChIJj9gKedZ0wTsRRcLYrIkf2YE,part_134,2026-09-22 06:02:12
Chirayu children’s hospital,Pediatrician and Child Clinic,Pediatrician,Pediatrician,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",N/A,N/A,4.1,,"Amruta Awati, Ashta, Maharashtra 416301",Amruta Awati,16.9463343,74.4046145,ChIJwUtmTQAPwTsR2svBIKJPV_M,https://www.google.com/maps/place/?q=place_id:ChIJwUtmTQAPwTsR2svBIKJPV_M,part_134,2026-09-22 06:02:12
Ankur Children's Hospital NICU,Pediatrician and Child Clinic,Neonatal physician,Neonatal physician,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",N/A,N/A,3.0,,"27X8+874 Urdu, School Rd, Shirala Naka, Urun-Ishwarpur, Maharashtra 415409",Shirala Naka,17.04827,74.2657048,ChIJD5kplht1wTsRaYDBFm0niCY,https://www.google.com/maps/place/?q=place_id:ChIJD5kplht1wTsRaYDBFm0niCY,part_134,2026-09-22 06:02:12
Dr.Karanjkar Hospital,Pediatrician and Child Clinic,Children's hospital,Children's hospital,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 2342 222 089,N/A,4.1,,"Shivaji Chowk, Urun-Ishwarpur, Maharashtra 415409",Shivaji Chowk,17.0483098,74.2679593,ChIJZ1yAHdV0wTsRtw9pxqA9rhM,https://www.google.com/maps/place/?q=place_id:ChIJZ1yAHdV0wTsRtw9pxqA9rhM,part_134,2026-09-22 06:02:12
Santati Children's Hospital,Pediatrician and Child Clinic,Children's hospital,Children's hospital,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",N/A,N/A,4.7,,"6th Lane, Garpir, Ganesh Nagar, chock, Civil Hospital Rd, Sangli, Maharashtra 416416","Sangli, Patrakar Nagar",16.8499743,74.5738659,ChIJ20B7YKoZwTsRAY4AK20441o,https://www.google.com/maps/place/?q=place_id:ChIJ20B7YKoZwTsRAY4AK20441o,part_134,2026-09-22 06:02:12
Dr. Magdum Children's Clinic,Pediatrician and Child Clinic,Hospital,Hospital,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 98508 15190,N/A,4.8,55.0,"Shop No 1, besides bank of maharastra, Civil chowk, civil road, Shivaji Nagar, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416","Shivaji Nagar, Khanbhag",16.8539906,74.5738867,ChIJZ67L5mgYwTsRh7hnWrMGFp8,https://www.google.com/maps/place/?q=place_id:ChIJZ67L5mgYwTsRh7hnWrMGFp8,part_134,2026-09-22 06:02:13
Dr. Anshu Sethi - Best Pediatrician in PUNE,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Medical Center, Medical examiner",416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 1860 500 1066,https://www.apolloclinic.com/?utm_source=GMB&utm_medium=GMBWebsiteButton&utm_campaign=GMBVimanNagar,4.2,,"Apollo Clinic Viman Nagar Pune, Nyati Millenium Premises Cooperative Society Limited, Shop No.S1 & Stilt Floor,, Building ""c"" Viman Nagar,, Pune, Maharashtra 411014","Sakore Nagar, Viman Nagar",18.564518,73.913905,ChIJDaWDR0fBwjsRwADMwKMZTmg,https://www.google.com/maps/place/?q=place_id:ChIJDaWDR0fBwjsRwADMwKMZTmg,part_134,2026-09-22 06:02:14
Happy kids pediatric clinic,Pediatrician and Child Clinic,Child health care center,"Child health care center, Medical clinic",416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 90196 48019,http://www.happykidspeds.co.in/,4.7,,"643, 14th Cross Rd, Jeevan Griha, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078","Jeevan Griha, 2nd Phase, J. P. Nagar",12.9072005,77.59394499999999,ChIJ872LanEVrjsR2CPnMfmkv88,https://www.google.com/maps/place/?q=place_id:ChIJ872LanEVrjsR2CPnMfmkv88,part_134,2026-09-22 06:02:14
