business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
OMKAR PET AND VET SHOPEE,Pet Food and Pet Supplies,Pet store,Pet store,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 97307 19191,N/A,4.8,25.0,"Shop No 4, Oppo, St Stand Rd, Sangli, Gaon Bhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Gaon Bhag",16.8537835,74.56230459999999,ChIJIQceWQUZwTsRMPdVar_j2AY,https://www.google.com/maps/place/?q=place_id:ChIJIQceWQUZwTsRMPdVar_j2AY,part_134,2026-09-22 06:02:01
DogsIN Pet Products,Pet Food and Pet Supplies,Pet store,Pet store,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 99706 19562,N/A,4.1,16.0,"27VC+Q4W, Peth-Sangli Road, Kumbhar Galli, Ashta Naka, Urun-Ishwarpur, Maharashtra 415409","Ashta Naka, Shivaji Chowk",17.0444888,74.2703294,ChIJO2-jZisLwTsRyrRRIyOUFOs,https://www.google.com/maps/place/?q=place_id:ChIJO2-jZisLwTsRyrRRIyOUFOs,part_134,2026-09-22 06:02:01
Cat Pet Shop,Pet Food and Pet Supplies,Pet store,Pet store,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 73854 41333,N/A,5.0,1.0,"Market Yard, Mantri Colony, Urun-Ishwarpur, Maharashtra 415409",Mantri Colony,17.0526901,74.2658105,ChIJE-Ay6Bd1wTsRyE1msPT5zIY,https://www.google.com/maps/place/?q=place_id:ChIJE-Ay6Bd1wTsRyE1msPT5zIY,part_134,2026-09-22 06:02:01
Yashwant Cattle Feeds,Pet Food and Pet Supplies,Animal feed store,Animal feed store,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 70287 01044,N/A,5.0,2.0,"Yashwant Feeds, Road, near Jain society, Burli, Aamanapur, Maharashtra 416308",416313,17.044981099999998,74.42708309999999,ChIJB8SYCKQTwTsRHErReL4-tVQ,https://www.google.com/maps/place/?q=place_id:ChIJB8SYCKQTwTsRHErReL4-tVQ,part_134,2026-09-22 06:02:01
VetZone Ashta,Pet Food and Pet Supplies,Animal feed store,Animal feed store,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 89569 78925,https://www.vetrinahealthcare.com/,5.0,3.0,"416301, near St Stand, Datta Vasahat, Ashta, Maharashtra 416301",Datta Vasahat,16.945072,74.4053297,ChIJZcsFcxgPwTsRbJ_6QV6GZtE,https://www.google.com/maps/place/?q=place_id:ChIJZcsFcxgPwTsRbJ_6QV6GZtE,part_134,2026-09-22 06:02:01
Pet Magnet Enterprises,Pet Food and Pet Supplies,Wholesaler,Wholesaler,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",N/A,N/A,5.0,,"Plot No0743/2 ,Magalwar, Peth - Sangli Rd, Sangli, Madhavnagar, Maharashtra 416406","Sangli, Madhavnagar",16.889631899999998,74.5820147,ChIJwf4gSlsXwTsRSPoL7h_SOH4,https://www.google.com/maps/place/?q=place_id:ChIJwf4gSlsXwTsRSPoL7h_SOH4,part_134,2026-09-22 06:02:02
राजर्षी ट्रेडर्स वाळवा,Pet Food and Pet Supplies,Animal feed store,Animal feed store,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",N/A,N/A,5.0,,"Islampur Rd, Walwa, Maharashtra 416313",416313,17.0294986,74.3385332,ChIJ_9eaIeENwTsRDoKhaBxMPP0,https://www.google.com/maps/place/?q=place_id:ChIJ_9eaIeENwTsRDoKhaBxMPP0,part_134,2026-09-22 06:02:02
Max pet shop,Pet Food and Pet Supplies,Pet store,Pet store,416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",N/A,N/A,4.5,,"WCW5+56X, Gandhinagar, Ashta, Maharashtra 416301",Gandhinagar,16.9454924,74.40811409999999,ChIJ8ZwbqwsRwTsRCllCH7xNNqE,https://www.google.com/maps/place/?q=place_id:ChIJ8ZwbqwsRwTsRCllCH7xNNqE,part_134,2026-09-22 06:02:02
MANDOVI MEDICAL,Pet Food and Pet Supplies,Pet store,"Pet store, Medical Center",416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 80871 13645,N/A,2.7,3.0,"ZARI BAG, MIRAJ, Miraj, Sangli Miraj Kupwad, Maharashtra 416410","Miraj, Shivaji Nagar",16.8301794,74.6421396,ChIJUaR1EbMjwTsRDHuC4V77-JE,https://www.google.com/maps/place/?q=place_id:ChIJUaR1EbMjwTsRDHuC4V77-JE,part_134,2026-09-22 06:02:03
Pet Lovers Hadapsar Branch,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Pet store",416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O",+91 97375 22929,N/A,4.5,426.0,"Shop No 8,9,10,11 Shetriya Karyalaya, opp. Agrawal Ganga Residency, near Hadapsar, Hadapsar, Pune, Maharashtra 411028","Hadapsar Gaon, Hadapsar",18.4990469,73.934376,ChIJO0PAivjBwjsRexceXF5hMRY,https://www.google.com/maps/place/?q=place_id:ChIJO0PAivjBwjsRexceXF5hMRY,part_134,2026-09-22 06:02:03
