business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Kagale mandap,",Tent House and Shamiana,Tent House Supplier,Tent House Supplier,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",N/A,N/A,,,"RJHV+98R, Aman Nagar, Shivaji Nagar, Sangli Miraj Kupwad, Maharashtra 416410","Aman Nagar, Shivaji Nagar",16.8285022,74.6431909,ChIJe1eEHWwjwTsRBf_u37s0VrE,https://www.google.com/maps/place/?q=place_id:ChIJe1eEHWwjwTsRBf_u37s0VrE,part_134,2026-09-22 06:04:08
Heaven Tent House - Salia,Tent House and Shamiana,Event planner,"Event planner, Interior Decorator",416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",+91 70060 43112,N/A,4.6,,"Sakhi Aabad, Palpora Rakhchandi pora Road, Salia, Jammu and Kashmir 192129",416315,33.8106411,75.270913,ChIJCehi_0cT4jgR18ewX2X6WGU,https://www.google.com/maps/place/?q=place_id:ChIJCehi_0cT4jgR18ewX2X6WGU,part_134,2026-09-22 06:04:08
B M S TENT HOUSE,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",N/A,https://sites.google.com/view/bmstenthouse,4.1,42.0,"shop no 12, VGS complex, 515/36/1A, beside BMTC BUS DEPOT, near season hotel, Phase II, Electronic City, Bengaluru, Konappana Agrahara, Karnataka 560100","Phase II, Electronic City",12.847135,77.6717889,ChIJAbTOQusUrjsRJXhnJPwce8s,https://www.google.com/maps/place/?q=place_id:ChIJAbTOQusUrjsRJXhnJPwce8s,part_134,2026-09-22 06:04:09
SatyaGanga Tent Suppliers,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",+91 77470 11110,N/A,4.5,21.0,"SatyaGanga Complex, 21 Nandlalpura, Telegram office road, Madhya Pradesh 452007",Nandlalpura,22.7157789,75.8573492,ChIJj6Gq5gn9YjkRk6W1UZOaMZo,https://www.google.com/maps/place/?q=place_id:ChIJj6Gq5gn9YjkRk6W1UZOaMZo,part_134,2026-09-22 06:04:09
Swarajya Tents On Rent,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",+91 99213 38878,N/A,4.9,14.0,"B-808, Majestique Aqua, Fursungi near, next to Khadkeshwar Mandir, Pune, Maharashtra 412308",Phursungi,18.471441,73.9754095,ChIJO0PbGOfpwjsRK4WwUb-Y_Hw,https://www.google.com/maps/place/?q=place_id:ChIJO0PbGOfpwjsRK4WwUb-Y_Hw,part_134,2026-09-22 06:04:09
S.R.Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",N/A,N/A,4.9,19.0,"Gullimangala, village, near NA global law college, Gulimangala, Karnataka 560099",Gulimangala,12.848232699999999,77.70325299999999,ChIJk2AkFHltrjsR7pQd3YRE7vY,https://www.google.com/maps/place/?q=place_id:ChIJk2AkFHltrjsR7pQd3YRE7vY,part_134,2026-09-22 06:04:09
Sri Basaveshwara tent house,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",+91 86181 98031,N/A,4.9,14.0,"Daddanagamangala 82/3, chikkanagamanagala main road, Doddanagamangala Village, Karnataka 560100","Silicon Town, Rayasandra",12.861486999999999,77.6847354,ChIJCUut9SRtrjsRzdwz_Ew4Zyg,https://www.google.com/maps/place/?q=place_id:ChIJCUut9SRtrjsRzdwz_Ew4Zyg,part_134,2026-09-22 06:04:09
RNK Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",+91 90609 79477,N/A,4.6,14.0,"2063 bcmc layout kanakapura road vajarahalli, Gubbalala, Subramanyapura, Bengaluru, Karnataka 560109","Gubbalala, Subramanyapura",12.8772986,77.54531469999999,ChIJ____v-0_rjsRfXGuyEtCCPA,https://www.google.com/maps/place/?q=place_id:ChIJ____v-0_rjsRfXGuyEtCCPA,part_134,2026-09-22 06:04:09
Camping Crucials,Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Corporate office",416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",+91 97653 95919,N/A,4.8,16.0,"30 Ishadan Society, Rambaug Colony, Paud Road, near Ishadan hall, Pune, Maharashtra 411038","Sarvatra Society, Anand Nagar, Kothrud",18.507849099999998,73.814359,ChIJjRZPl76_wjsRos4XHRm77_U,https://www.google.com/maps/place/?q=place_id:ChIJjRZPl76_wjsRos4XHRm77_U,part_134,2026-09-22 06:04:09
NR Shamiyana Supplier,Tent House and Shamiana,Supplier,Supplier,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",+91 88675 39345,https://www.instagram.com/nr.shamiyana.suppliers/profilecard/?igsh=dTQwdHc3a2xyazV1,5.0,8.0,"Heggeri, near Hanuman temple or Bharvadi School, near to Hindu Graveyard, Maruti Nagar, Mashakkatt, Old Hubli, Hubballi, Karnataka 580024","Maruti Nagar, Mashakkatt, Old Hubli",15.3447591,75.1242444,ChIJ16ZLBDrXuDsRMAmdOBxSwXk,https://www.google.com/maps/place/?q=place_id:ChIJ16ZLBDrXuDsRMAmdOBxSwXk,part_134,2026-09-22 06:04:10
Bharat Tent Manufacturers,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",+91 81048 41784,http://www.bharattentmanu.com/,4.7,111.0,"106, Raghunathpuri, Kalwar Rd, sainikmarg, Jhotwara, Jaipur, Rajasthan 302012","Jagannath Puri, sainikmarg, Jhotwara",26.944983399999998,75.74874489999999,ChIJrbmhpTSzbTkRHNYwGgftAQo,https://www.google.com/maps/place/?q=place_id:ChIJrbmhpTSzbTkRHNYwGgftAQo,part_134,2026-09-22 06:04:10
Shri Chamundeshwari Shamiyana,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",N/A,https://bizzguides.com/listing/shri-chamundeshwari-shamiyana-chikmagalur/,,,"Bypass Road, opp. Brigade Apartment, Jyothinagar, Chikkamagaluru, Karnataka 577102",Jyothinagar,13.3262673,75.7941407,ChIJ3cfoDTLZujsRFqK5GdTF5og,https://www.google.com/maps/place/?q=place_id:ChIJ3cfoDTLZujsRFqK5GdTF5og,part_134,2026-09-22 06:04:10
Gubbi Shamiyana,Tent House and Shamiana,Supplier,Supplier,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",+91 97391 90786,N/A,4.5,8.0,"84RP+QPH, Hubli - Dharwad Rd, Navale Market Main Rd, Koul Peth, Herepet, Hubballi, Karnataka 580028","Koul Peth, Kamaripeth, Herepet",15.342835,75.1367906,ChIJdyNoAGzXuDsRqXT-rG1AeF0,https://www.google.com/maps/place/?q=place_id:ChIJdyNoAGzXuDsRqXT-rG1AeF0,part_134,2026-09-22 06:04:10
Royal Tent Works,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O",+91 74112 10000,https://bizzguides.com/listing/royal-tent-works-hubli/,,,"Masjid Complex, PB Rd, near New English School, Garden Peth, Herepet, Hubballi, Karnataka 580028","Garden Peth, Herepet",15.338175399999999,75.1381603,ChIJSe-xB9jXuDsRdpFiixDAP8o,https://www.google.com/maps/place/?q=place_id:ChIJSe-xB9jXuDsRdpFiixDAP8o,part_134,2026-09-22 06:04:10
