business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shambhuraje Pan shop,Money Transfer and Forex,Money transfer service,Money transfer service,416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 2344 299 241,http://vosjat.in/,5.0,1.0,"Lokhandi pool, near Jath, Vachnalay, Jath, Maharashtra 416404",Vachnalay,17.0476007,75.2175,ChIJCTDUTtvHxjsRdoSp4LlzLGg,https://www.google.com/maps/place/?q=place_id:ChIJCTDUTtvHxjsRdoSp4LlzLGg,part_134,2026-09-22 06:07:30
N.B Bargir E Seva Center,Money Transfer and Forex,Money transfer service,"Money transfer service, Business banking service, Computer store, Currency exchange service",416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 83788 77771,N/A,4.8,47.0,"Shivaji Rd, near chawan hospital, Miraj, Shivaji Nagar, Sangli Miraj Kupwad, Maharashtra 416410","Miraj, Shivaji Nagar",16.8225372,74.644251,ChIJfb4RMqkjwTsRgh8ZLwirul8,https://www.google.com/maps/place/?q=place_id:ChIJfb4RMqkjwTsRgh8ZLwirul8,part_134,2026-09-22 06:07:30
shankar online services,Money Transfer and Forex,Money transfer service,"Money transfer service, Gas Agency, Mobile money agent, Passport Agent, Solar Energy Company, Travel agency",416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 94232 67035,N/A,5.0,5.0,"100 futi road, Shamrao Nagar Rd, near chawla kirana store, Sangli, Maharashtra 416416","Sangli, Dattanagar",16.847097599999998,74.568086,ChIJBWQ3lbMZwTsRJslKSxskZCk,https://www.google.com/maps/place/?q=place_id:ChIJBWQ3lbMZwTsRJslKSxskZCk,part_134,2026-09-22 06:07:30
Abhijit Multi Services Western Union Agency,Money Transfer and Forex,Store,Store,416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 82081 75083,N/A,5.0,5.0,"Choundeshwari Complex, Gandhi Chowk, Miraj, Mangalwar Peth, Sangli Miraj Kupwad, Maharashtra 416410","Miraj, Mangalwar Peth",16.8308581,74.6468391,ChIJYYC1HOYjwTsRQFRulPaZGK0,https://www.google.com/maps/place/?q=place_id:ChIJYYC1HOYjwTsRQFRulPaZGK0,part_134,2026-09-22 06:07:30
Money Mantra,Money Transfer and Forex,Investment service,Investment service,416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 81499 98080,https://money-mantra.grexa.site/,5.0,173.0,"Flat No. 3, 2nd Floor, Kalashree Arcade, near Ram Mandir Road, Shivaji Nagar, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416","Shivaji Nagar, Khanbhag",16.8570635,74.5739138,ChIJx--zR2kYwTsRcSibeF_mOr4,https://www.google.com/maps/place/?q=place_id:ChIJx--zR2kYwTsRcSibeF_mOr4,part_134,2026-09-22 06:07:30
Nil maney transfer,Money Transfer and Forex,Money transfer service,Money transfer service,416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 88052 04993,http://wwwnileshwagavakar.com/,5.0,5.0,"Ta palus di.Sangli, Digambar Jain Mandir Rd, रोड, Kundal, Maharashtra 416309",रोड,17.115396699999998,74.40277069999999,ChIJq-JMBklzwTsRrhh-YcRiw6Y,https://www.google.com/maps/place/?q=place_id:ChIJq-JMBklzwTsRrhh-YcRiw6Y,part_134,2026-09-22 06:07:30
VM WEALTH,Money Transfer and Forex,Stock broker,"Stock broker, Investment service, Online Share Trading Center, Training center",416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 94059 99899,https://zerodha.com/open-account?c=ZMPGFQ,4.8,53.0,"Shop No.G3, VM WEALTH, behind Chiranjiv Medical A.S.S. Complex, Sangli, Chandni Chowk, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Chandni Chowk",16.8519011,74.5825091,ChIJXSSYpXoYwTsR45Uom6ITh8k,https://www.google.com/maps/place/?q=place_id:ChIJXSSYpXoYwTsR45Uom6ITh8k,part_134,2026-09-22 06:07:30
Jotirling Money Transfer,Money Transfer and Forex,Consultant,Consultant,416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 98249 36916,N/A,4.0,3.0,"Shop No 02, near Market Yard, Atpadi, Maharashtra 415301",416404,17.4315313,74.9340635,ChIJQWLSTJ5VwTsRBtnP6RNSmf4,https://www.google.com/maps/place/?q=place_id:ChIJQWLSTJ5VwTsRBtnP6RNSmf4,part_134,2026-09-22 06:07:30
rudraraje info services,Money Transfer and Forex,Money transfer service,Money transfer service,416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 87930 00050,N/A,5.0,2.0,"V2J7+3RC, shete vasti, Akluj-Yashwantnagar Rd, Akluj, Maharashtra 413101",Sumitra Nagar,17.8801859,75.01450799999999,ChIJ8eKSfVV0xDsRJzIH6Diug-M,https://www.google.com/maps/place/?q=place_id:ChIJ8eKSfVV0xDsRJzIH6Diug-M,part_134,2026-09-22 06:07:30
Fedbank Financial Services Ltd,Money Transfer and Forex,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 80 6961 6927,https://locations.fedfina.com/financial-services-in-vishrambag-sangli-maharashtra/home,5.0,105.0,"No. 42, UGF, Vishrambag Rd, near SBI Bank, Sangli, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Sangli, Vishrambag",16.8469965,74.5934182,ChIJpbhrrqYjwTsRuo7JOXuYWTE,https://www.google.com/maps/place/?q=place_id:ChIJpbhrrqYjwTsRuo7JOXuYWTE,part_134,2026-09-22 06:07:30
Fedbank Financial Services Ltd,Money Transfer and Forex,Loan agency,"Loan agency, Bank, Car finance and loan company, Finance broker, Financial institution, Investment company, Investment service, Private Sector Bank",416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 80 6961 7346,https://locations.fedfina.com/financial-services-in-khanbhag-sangli-maharashtra/home,5.0,106.0,"No. 468/1, Adityasai Landmark, Civil Hospital Rd, near Ram Mandir Road, Sangli, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Khanbhag",16.8554204,74.57412479999999,ChIJyw9WQOIZwTsRhWbgfIQhHkQ,https://www.google.com/maps/place/?q=place_id:ChIJyw9WQOIZwTsRhWbgfIQhHkQ,part_134,2026-09-22 06:07:30
"Unimoni Financial Services Ltd, Kolhapur",Money Transfer and Forex,Money transfer service,"Money transfer service, Insurance agency, Loan agency, Currency exchange service, Travel agency",416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 75940 02426,https://kolhapur.unimoni.in/?utm_source=Google_GMB&utm_medium=GMB_Microsite&utm_campaign=Organic,4.9,2019.0,"Shop No 04-05, Dabholkar Corner, Ayodhya Towers, nr. SBI Mutual Fund, Shahupuri, Kolhapur, Maharashtra 416001",Shahupuri,16.704087899999998,74.2409441,ChIJ4QrbbWoAwTsRKlDs6aQ5Gak,https://www.google.com/maps/place/?q=place_id:ChIJ4QrbbWoAwTsRKlDs6aQ5Gak,part_134,2026-09-22 06:07:31
ZUNNOORAIN TOURS & FOREX,Money Transfer and Forex,Currency exchange service,"Currency exchange service, Airline ticket agency, Bus ticket agency, Tour operator, Religious destination, Travel agency, Visa Agent",416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",N/A,N/A,5.0,4.0,"SATYA READYMADE & HOSIERY, C/O, Miraj, Guruvar Peth, Sangli Miraj Kupwad, Maharashtra 416410","Miraj, Guruvar Peth",16.8226634,74.6499814,ChIJVZ1yfcojwTsR_KMTlBj12MI,https://www.google.com/maps/place/?q=place_id:ChIJVZ1yfcojwTsR_KMTlBj12MI,part_134,2026-09-22 06:07:31
Abhishek Seva Kendra,Money Transfer and Forex,Money transfer service,"Money transfer service, Cell phone accessory store",416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O",+91 91488 31032,N/A,5.0,14.0,"Canara Bank, Canara Bank complex, Canara Bank road, below Abhishek mobile accessories and money transfer, below mobile shop, Savadatti Yallamma, Karnataka 591126",416404,15.771528499999999,75.1129904,ChIJIUDQwBCxuDsR5mmxze2evso,https://www.google.com/maps/place/?q=place_id:ChIJIUDQwBCxuDsR5mmxze2evso,part_134,2026-09-22 06:07:31
