business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
TALEKAR AYURVEDIC,Ayurvedic Pharmacy and Clinic,Doctor,Doctor,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94049 05841,N/A,4.9,,"Bhairvavadi road, Shubhalaxmi vihar, Rawoolwadi, Kudal, Maharashtra 416520","Shubhalaxmi vihar, Rawoolwadi",16.0156071,73.68736,ChIJqc8C1SgPwDsR8pMaNxIMEv8,https://www.google.com/maps/place/?q=place_id:ChIJqc8C1SgPwDsR8pMaNxIMEv8,part_135,2026-09-22 06:00:18,1583
Vd. Suvinay Damle's Ayurved Chikitsalay,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 2362 223 423,https://www.facebook.com/suvinaydamle,4.3,,"Atharv Plaza,, Kudal Vengurla Road, Kudaleshwar Mandir Marg, Kudal, Maharashtra 416520","Laxmi Wadi, Rawoolwadi",16.0080274,73.6878116,ChIJmaQgwjoPwDsReDh4MY-fT4k,https://www.google.com/maps/place/?q=place_id:ChIJmaQgwjoPwDsReDh4MY-fT4k,part_135,2026-09-22 06:00:18,1584
Madhavbaug Kudal,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Cardiologist, Diabetes center, Dietitian, Health consultant, Weight loss service, Wellness center, Yoga instructor",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 90113 28581,https://madhavbaug.org/clinic/kudal-sindhudurg/,4.9,,"first floor, kudaleshvar prasad complex, 101, near rural hospital, Kudal, Maharashtra 416520",Kelbaiwadi,16.0089838,73.6865411,ChIJ24qqufgPwDsRs9aCqVkQrnc,https://www.google.com/maps/place/?q=place_id:ChIJ24qqufgPwDsRs9aCqVkQrnc,part_135,2026-09-22 06:00:18,1585
Ayurzeal Spine Clinic,Ayurvedic Pharmacy and Clinic,Hospital,Hospital,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 98194 24233,http://www.ayurzeal.com/,5.0,,"Chhatrapati Shivajl Maharaj Chauk, Surshti Complex, Maratha Mandal Natyagruh Rd, Kankavli, Maharashtra 416602","Nehru Nagar, Kankavli",16.2602729,73.71053429999999,ChIJeYBJCNYXwDsRmexYPE5ydug,https://www.google.com/maps/place/?q=place_id:ChIJeYBJCNYXwDsRmexYPE5ydug,part_135,2026-09-22 06:00:18,1586
Dhanvantari Clinic & Panchakarma Centre,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Yoga instructor",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94238 81243,N/A,5.0,,"Devgad, Maharashtra 416613",416521,16.375968099999998,73.38162249999999,ChIJDV8GvHyc6jsRFb_WqQIPqYg,https://www.google.com/maps/place/?q=place_id:ChIJDV8GvHyc6jsRFb_WqQIPqYg,part_135,2026-09-22 06:00:18,1587
Patanjali Chikitsalay,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Health food store, Herbal medicine store, Indian grocery store, Outlet mall",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94212 61352,https://patanjalistores.patanjaliayurved.org/patanjali-chikitsalay-ayurvedic-clinic-kudal-kudal-257595/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Ground Floor, Maratha Chitramandir Road, Laxmi Wadi, Kudal, Maharashtra 416520","Laxmi Wadi, Kudal",16.0063607,73.6886871,ChIJx2iMvx0PwDsRGeJnZQVbzL4,https://www.google.com/maps/place/?q=place_id:ChIJx2iMvx0PwDsRGeJnZQVbzL4,part_135,2026-09-22 06:00:18,1588
"Shri SadaMangalam Ayurvedic Panchakarma Clinic, Fertiveda & Dr.Lal pathlabs centre",Ayurvedic Pharmacy and Clinic,Doctor,"Doctor, Alternative Medicine Clinic, Ayurvedic clinic, Blood testing service, Dermatologist, Fertility clinic, Fertility physician, Pain management physician, Pathologist, Skin care clinic",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 75882 77596,http://www.fertiveda.in/,4.9,,"beside sandip gas agency, opp. Amit medicals, Race Course Naka, Sambhaji Nagar, Kolhapur, Maharashtra 416007","Race Course Naka, Sambhaji Nagar",16.681909,74.2232938,ChIJUfiHrgYAwTsRX4YlpyK0thc,https://www.google.com/maps/place/?q=place_id:ChIJUfiHrgYAwTsRX4YlpyK0thc,part_135,2026-09-22 06:00:18,1589
Dandekar Ayurved,Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, Organic drug store",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94226 15570,https://www.dandekarayurved.com/,4.7,,"Maruti Chouwk, Sangli, Gaon Bhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Gaon Bhag",16.857667199999998,74.56237209999999,ChIJs2TgOAAZwTsRCbuUUFs8zlg,https://www.google.com/maps/place/?q=place_id:ChIJs2TgOAAZwTsRCbuUUFs8zlg,part_135,2026-09-22 06:00:18,1590
Sarth Ayurveda,Ayurvedic Pharmacy and Clinic,Doctor,"Doctor, Ayurvedic clinic, Health resort, Wellness center",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 98502 09995,http://www.sarthayurveda.com/,4.8,,"Shop No -UG-3, Yasho-Shanti Sankul, Kalamba Rd, near Amrut Siddhi Hall, Kolhapur, Maharashtra 416007","Adinath Nagar, Kalamba",16.664702,74.20998999999999,ChIJAbFBjVBVwDsRZnlLs77NCq4,https://www.google.com/maps/place/?q=place_id:ChIJAbFBjVBVwDsRZnlLs77NCq4,part_135,2026-09-22 06:00:18,1591
Siddhivinayak Enterprises & Agency,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 98229 50697,N/A,4.6,,"Laxmi wadi, Laxmi Wadi, Rawoolwadi, Kudal, Maharashtra 416520","Laxmi Wadi, Rawoolwadi",16.006243899999998,73.68929419999999,ChIJ1ynfVSUPwDsRpa5iilhN_xc,https://www.google.com/maps/place/?q=place_id:ChIJ1ynfVSUPwDsRpa5iilhN_xc,part_135,2026-09-22 06:00:18,1592
