business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Visava Family Restaurant & Bar,Family Restaurant,Restaurant,Restaurant,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",N/A,N/A,4.0,4.0,"bus stand, near new, Rawoolwadi, Kudal, Maharashtra 416520",Rawoolwadi,16.0137317,73.6951845,ChIJyxxkV0cPwDsR0snAMc0F1Hs,https://www.google.com/maps/place/?q=place_id:ChIJyxxkV0cPwDsR0snAMc0F1Hs,part_135,2026-09-22 06:00:15,977
Hotel Malvani place,Family Restaurant,Family restaurant,Family restaurant,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94210 25073,N/A,4.2,52.0,"6PQ5+6H6, Vagade, Maharashtra 416602",416521,16.2394025,73.7071477,ChIJB71cLHsXwDsROHChyjHPaIk,https://www.google.com/maps/place/?q=place_id:ChIJB71cLHsXwDsROHChyjHPaIk,part_135,2026-09-22 06:00:15,978
"The Old House Kitchen, Malvan",Family Restaurant,Restaurant,"Restaurant, Non Vegetarian Restaurant, Seafood restaurant, Vegetarian restaurant",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 74989 17378,N/A,4.9,,"2784, Kasal - Malvan Rd, near Shrinivas petrol pump, Revtale, Malvan, Maharashtra 416606",Revtale,16.0567234,73.4779008,ChIJIU49i_ADwDsRr9spNYzDll0,https://www.google.com/maps/place/?q=place_id:ChIJIU49i_ADwDsRr9spNYzDll0,part_135,2026-09-22 06:00:16,979
Hotel Kohinoor,Family Restaurant,Chinese restaurant,Chinese restaurant,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",N/A,N/A,5.0,,"Shop No.5C, Sai Samarth Complex, Mumbai - Goa Hwy, Sindhudurg, Oras Bk, Sindhu Durg, Oros, Kudal, Maharashtra 416812","Sindhudurg, Oras Bk, Sindhu Durg",16.1042813,73.7095533,ChIJm4r0q7gRwDsRzDrZdWUBAh4,https://www.google.com/maps/place/?q=place_id:ChIJm4r0q7gRwDsRzDrZdWUBAh4,part_135,2026-09-22 06:00:16,980
Hotel Sayaji Restaurant,Family Restaurant,Restaurant,Restaurant,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 90493 08845,N/A,4.7,,"Gandhi Chowk Rd, Ubha Bazaar, Ubbhabazar, Sawantwadi, Maharashtra 416510","Ubha Bazaar, Ubbhabazar",15.908447899999999,73.8195185,ChIJUfqNBAD1vzsR_41lm3nNGqE,https://www.google.com/maps/place/?q=place_id:ChIJUfqNBAD1vzsR_41lm3nNGqE,part_135,2026-09-22 06:00:16,981
Arekar's Tanay Family Restaurant,Family Restaurant,Seafood restaurant,"Seafood restaurant, Family restaurant, Hotel, Indian restaurant, Maharashtrian Restaurant, Restaurant",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94035 59922,N/A,4.1,,"WR3G+W2M, colony, Khaskilwada, Arekar, Charathe, Maharashtra 416510",Khaskilwada,15.904834099999999,73.82503609999999,ChIJuT5PGgP1vzsRTcnWIhS6D10,https://www.google.com/maps/place/?q=place_id:ChIJuT5PGgP1vzsRTcnWIhS6D10,part_135,2026-09-22 06:00:16,982
Sadhale Mess & Sadhale Trading,Family Restaurant,Maharashtrian Restaurant,"Maharashtrian Restaurant, Breakfast restaurant, Konkani restaurant, Vegetarian restaurant",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 99708 57810,N/A,4.2,,"D-274, near Rajwada, Sabniswada, Sawantwadi, Maharashtra 416510",Sabniswada,15.907636499999999,73.8246497,ChIJZcmT-Vv1vzsRfwb5tgqoF1c,https://www.google.com/maps/place/?q=place_id:ChIJZcmT-Vv1vzsRfwb5tgqoF1c,part_135,2026-09-22 06:00:16,983
SS interior (kitchen trolley),Family Restaurant,Kitchen furniture store,"Kitchen furniture store, Architectural designer, Contractor, Furniture maker, Furniture Manufacturer, Interior designer, Kitchen remodeler, Lighting contractor, Steel fabricator",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94219 91650,https://www.facebook.com/share/1BXm3vqp5A/?mibextid=wwXIfr,5.0,199.0,"near fire station, MIDC Area, Kudal, Maharashtra 416520",MIDC Area,16.0006018,73.6722205,ChIJRYdL0wEPwDsR_kuYcXmzAuI,https://www.google.com/maps/place/?q=place_id:ChIJRYdL0wEPwDsR_kuYcXmzAuI,part_135,2026-09-22 06:00:17,984
Kitchen trolley,Family Restaurant,Kitchen furniture store,Kitchen furniture store,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 75889 70989,N/A,5.0,26.0,"Pinguli, Kudal, Deulwadi, Maharashtra 416528",Pinguli,15.9848033,73.6824288,ChIJKQ-0OLQJwDsRoo8M2r35jKo,https://www.google.com/maps/place/?q=place_id:ChIJKQ-0OLQJwDsRoo8M2r35jKo,part_135,2026-09-22 06:00:17,985
Bhosale Catering,Family Restaurant,Caterer,Caterer,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 98233 27272,http://bhosalecatering.com/,4.9,107.0,"76, Plot, Plot No, Radhanagari Rd, Saneguruji Vasahat, Kanerkar Nagar, Kolhapur, Maharashtra 416011","Saneguruji Vasahat, Kanerkar Nagar",16.67867,74.20541399999999,ChIJWTxWDbKqwTsRXqxIsk-ehAw,https://www.google.com/maps/place/?q=place_id:ChIJWTxWDbKqwTsRXqxIsk-ehAw,part_135,2026-09-22 06:00:17,986
