business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Eye Care Optical, Oros",Optical Store and Eyewear,Optician,Optician,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",N/A,N/A,5.0,2.0,"Sindhu Durg, Oras Bk., Maharashtra 416812",Sindhu Durg,16.1172468,73.7054146,ChIJZdcK5bYRwDsRjAQfdjSXK3s,https://www.google.com/maps/place/?q=place_id:ChIJZdcK5bYRwDsRjAQfdjSXK3s,part_135,2026-09-22 06:00:17,1441
M R SHANTARAM EYEWEAR,Optical Store and Eyewear,Optician,Optician,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94233 74434,N/A,5.0,2.0,"Sumanraj Trade Center, S T stand, A/p, opposite Kankavli, Kankavli, Maharashtra 416602",Kankavli,16.263151399999998,73.7092605,ChIJdYincjQXwDsRoXcjyOF2rBM,https://www.google.com/maps/place/?q=place_id:ChIJdYincjQXwDsRoXcjyOF2rBM,part_135,2026-09-22 06:00:17,1442
Palav optician,Optical Store and Eyewear,Optician,Optician,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 99753 54501,N/A,5.0,1.0,"Pandurtitha, Maharashtra 416812",416521,16.068720799999998,73.7101704,ChIJ8VaKCiQPwDsRPXTyQlvS_r8,https://www.google.com/maps/place/?q=place_id:ChIJ8VaKCiQPwDsRPXTyQlvS_r8,part_135,2026-09-22 06:00:17,1443
Ben Franklin Opticians Sawantwadi Sindhudurg Maharashtra,Optical Store and Eyewear,Optician,Optician,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 80086 96229,http://www.benfranklin.in/,4.9,19.0,"Shop No 3, Patil Tower, Gawli Thita, near Maharashtra Bank, Sabniswada, Sawantwadi, Maharashtra 416510",Sabniswada,15.910651499999998,73.8225619,ChIJ5QoiJGf1vzsRwILsy6J-6QY,https://www.google.com/maps/place/?q=place_id:ChIJ5QoiJGf1vzsRwILsy6J-6QY,part_135,2026-09-22 06:00:17,1444
I CARE OPTICS,Optical Store and Eyewear,Optician,Optician,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 93700 05488,N/A,4.9,83.0,"Karveer Nivasini Complex, Devkar Chowk, near Unity Bank, Deokar Panand, Kolhapur, Maharashtra 416012",Deokar Panand,16.680256,74.2132843,ChIJNZ2RYxUAwTsRz9XNscGf4to,https://www.google.com/maps/place/?q=place_id:ChIJNZ2RYxUAwTsRz9XNscGf4to,part_135,2026-09-22 06:00:17,1445
Nayantara Optical,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Sunglasses store",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 72760 01006,http://nayantaraoptical.com/,4.9,3549.0,"17 th Lane, Shirol, Wadi Road, Jaysingpur, Maharashtra 416101",Laxmi Nagar,16.7755138,74.55851659999999,ChIJl4DkqzwfwTsRzuTw24Gkut0,https://www.google.com/maps/place/?q=place_id:ChIJl4DkqzwfwTsRzuTw24Gkut0,part_135,2026-09-22 06:00:17,1446
SwamiRaj EyeWorld - Best Optical Shop in Ichalkaranji.,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Sunglasses store",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 98500 44223,https://swamirajeyeworld.com/,4.9,171.0,"Shahu Corner, 5/40, near Seva Lodge, behind Hotel Tara, Kagwade Mala, Ichalkaranji, Maharashtra 416115",Kagwade Mala,16.6847155,74.46481399999999,ChIJUwxncXDiwDsRncBQYQqu57k,https://www.google.com/maps/place/?q=place_id:ChIJUwxncXDiwDsRncBQYQqu57k,part_135,2026-09-22 06:00:17,1447
SHIVA OPTICAL,Optical Store and Eyewear,Optician,Optician,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 99235 15521,http://www.shivaoptical.com/,4.8,340.0,"Shop,1&2 Shankheswar, Athwada Bazar- Sai Ratna Travels, Gandhi Colony, Tilak Ali, Ratnagiri, Maharashtra 415612","Gandhi Colony, Tilak Ali",16.9926708,73.2933319,ChIJKYYgWM4N6jsRVS0WtVaoJG8,https://www.google.com/maps/place/?q=place_id:ChIJKYYgWM4N6jsRVS0WtVaoJG8,part_135,2026-09-22 06:00:17,1448
SS Visions | Best Optical Store In Sangli,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Optical Wholesaler, Optometrist, Sunglasses store, Wholesaler",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 88056 66166,http://www.ssvision.in/,4.7,118.0,"Ram Mandir Corner, S6, Shiv Pavilion, Sangli, Maharashtra 416416","Sangli, Khanbhag",16.8560141,74.5746711,ChIJicCTOGkYwTsRDP9iW7M0VNk,https://www.google.com/maps/place/?q=place_id:ChIJicCTOGkYwTsRDP9iW7M0VNk,part_135,2026-09-22 06:00:17,1449
New Hubli Optics,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",N/A,N/A,4.9,258.0,"shop no 21,22,23, Shivaji Rd, Raviwar Peth, Belagavi, Karnataka 590001",Raviwar Peth,15.8553049,74.51126359999999,ChIJ_Tp8zLxmvzsRcBa_4nwdEGU,https://www.google.com/maps/place/?q=place_id:ChIJ_Tp8zLxmvzsRcBa_4nwdEGU,part_135,2026-09-22 06:00:17,1450
Drushti optical,Optical Store and Eyewear,Optician,Optician,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94203 98788,N/A,4.8,5.0,"3F49+GHH, Somwar Peth Malvan, Malvan, Maharashtra 416606",Somwar Peth Malvan,16.056323799999998,73.46898759999999,ChIJ--ZXOqYCwDsRlagk5iI3hck,https://www.google.com/maps/place/?q=place_id:ChIJ--ZXOqYCwDsRlagk5iI3hck,part_135,2026-09-22 06:00:17,1451
Sawant Opticians,Optical Store and Eyewear,Optician,Optician,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94226 32609,N/A,5.0,1.0,"Nalawade Complex, Devgad, Maharashtra 416613",416521,16.3788096,73.3849895,ChIJV6h1KSid6jsR6drVHZ-3jBk,https://www.google.com/maps/place/?q=place_id:ChIJV6h1KSid6jsR6drVHZ-3jBk,part_135,2026-09-22 06:00:17,1452
Deshpande Optical and Eye Care Center,Optical Store and Eyewear,Optician,Optician,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",N/A,https://www.deshpandeeyecare.com/,4.9,95.0,"Mahadwar Rd, B Ward, C Ward, Kolhapur, Maharashtra 416012","B Ward, C Ward",16.695713899999998,74.2217982,ChIJe3jSCQsAwTsRiO8Re3tBZ7g,https://www.google.com/maps/place/?q=place_id:ChIJe3jSCQsAwTsRiO8Re3tBZ7g,part_135,2026-09-22 06:00:17,1453
