business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Youth Engineer - CCTV and Computer Shop in Kankavli, Sindhudurg.",CCTV Installation and Security System,Security system supplier,"Security system supplier, Camera store, Closed circuit television, Computer security service, Computer service, Computer store, Security system installation service, Video camera repair service",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 83699 64205,https://www.youthengineer.com/,4.6,20.0,"Shop No. 590, Om Sai Commercial Complex, A (9, Mumbai - Goa Hwy, opp. State Bank of India, Kankavli, Maharashtra 416602",Kankavli,16.2670675,73.70791919999999,ChIJpzHJWxAXwDsRnZx1SMzLORk,https://www.google.com/maps/place/?q=place_id:ChIJpzHJWxAXwDsRnZx1SMzLORk,part_135,2026-09-22 06:00:35
Konkan Safety & Security Services,CCTV Installation and Security System,Security service,"Security service, Closed circuit television",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94208 91540,https://konkan-safety-security.grexa.site/,5.0,1.0,"2M4P+MXH, Laxmi Wadi, Rawoolwadi, Kudal, Maharashtra 416520","Laxmi Wadi, Rawoolwadi",16.0066292,73.6875546,ChIJz21tUgAPwDsRGoka-WBV_L0,https://www.google.com/maps/place/?q=place_id:ChIJz21tUgAPwDsRGoka-WBV_L0,part_135,2026-09-22 06:00:35
Mirza Security System,CCTV Installation and Security System,Camera store,"Camera store, Camera repair shop",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 788 777 8313,https://mirza-security-system.grexa.site/,5.0,42.0,"near aaramashin Barud base colony, Jintur, Maharashtra 431509",416521,19.616312999999998,76.6865778,ChIJIx4t9u9v0DsRynhT3095Cyk,https://www.google.com/maps/place/?q=place_id:ChIJIx4t9u9v0DsRynhT3095Cyk,part_135,2026-09-22 06:00:35
Digital Security Systems,CCTV Installation and Security System,Security system supplier,"Security system supplier, Service establishment, Security system installation service",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 93236 54289,https://www.digitalsecuritysys.com/,5.0,46.0,"Digital Security Systems, 416521, India",416521,18.8181773,76.7698374,ChIJR9itV3mgYCERSECGUK7k5Qg,https://www.google.com/maps/place/?q=place_id:ChIJR9itV3mgYCERSECGUK7k5Qg,part_135,2026-09-22 06:00:35
Cctv camera service,CCTV Installation and Security System,Security system installation service,Security system installation service,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 89621 18649,N/A,5.0,8.0,"Mandir Hasaud, Atal Nagar-Nava Raipur, Chhattisgarh 492101",416521,21.2295159,81.7699445,ChIJQxJFPtnDKDoRFVcmZeC5qwE,https://www.google.com/maps/place/?q=place_id:ChIJQxJFPtnDKDoRFVcmZeC5qwE,part_135,2026-09-22 06:00:35
ZOOM TECHNOLOGIES,CCTV Installation and Security System,Security system supplier,"Security system supplier, Closed circuit television, Fire alarm supplier, Fire protection equipment supplier, Fire protection system supplier, GPS supplier, Security service, Security system installation service",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 90289 28097,https://zoom-technologies.grexa.site/,4.5,53.0,"BLOCK NO.1, PATEL ARCADE, Juna Bazar Rd, opp. Makkah Masjid Road, above HUJ COMMITEE OFFICE, City Chowk, Buddi lane, Naralibag, Chhatrapati Sambhajinagar, Maharashtra 431001","City Chowk, Buddi lane, Naralibag",19.888506,75.328897,ChIJ79z0_hGY2zsRfk45c2cCz74,https://www.google.com/maps/place/?q=place_id:ChIJ79z0_hGY2zsRfk45c2cCz74,part_135,2026-09-22 06:00:35
YASHACAM CCTV SERVICES,CCTV Installation and Security System,Security system installation service,"Security system installation service, Electrical installation service, Fire alarm supplier, Security system supplier",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 77449 13737,N/A,4.9,639.0,"RAMA BUILDING, Kokane Chowk, Jyotiba Colony, Rambagh Colony, Pimple Saudagar, Pimpri-Chinchwad, Maharashtra 411017","Jyotiba Colony, Rambagh Colony, Pimple Saudagar",18.601381,73.7881064,ChIJKX3FpRa5wjsR-HLJ2zS9rm8,https://www.google.com/maps/place/?q=place_id:ChIJKX3FpRa5wjsR-HLJ2zS9rm8,part_135,2026-09-22 06:00:35
SAANVI TECHNOLOGY,CCTV Installation and Security System,Security system installation service,Security system installation service,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 83291 69384,N/A,4.0,1.0,"H.no, Housing board colony, 1912/G2, Sakhali Housing Board, Sakhali housing board Colony, Harvale, Goa 403505","Sakhali Housing Board, Sakhali housing board Colony",15.5618126,74.0258135,ChIJcVmLaS69vzsRtrA4sPLdCm8,https://www.google.com/maps/place/?q=place_id:ChIJcVmLaS69vzsRtrA4sPLdCm8,part_135,2026-09-22 06:00:35
Telematic Interactive Private Limited,CCTV Installation and Security System,Security system supplier,Security system supplier,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 93595 32212,https://www.telematicinteractive.co.in/,4.4,5.0,"Ravji Complex, F 5, A 5/B, 1st Ln, opp. Gujarati High School, E Ward, Shahupuri, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.7012656,74.239279,ChIJiwXhZGsAwTsR5WIbwI0F0fI,https://www.google.com/maps/place/?q=place_id:ChIJiwXhZGsAwTsR5WIbwI0F0fI,part_135,2026-09-22 06:00:35
VISHAL SECURITY SOLUTIONS,CCTV Installation and Security System,Security system supplier,"Security system supplier, Appliance repair service, Electrical installation service, Electrical repair shop, Electrician, Security system installation service",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 84590 46788,N/A,4.9,75.0,"Rm No. 38,No.44, Santosh Nagar, Katraj, Pune, Maharashtra 411046","Santosh Nagar, Katraj",18.4459911,73.8585842,ChIJG5wnv_nrwjsRFD1MQVkkvs4,https://www.google.com/maps/place/?q=place_id:ChIJG5wnv_nrwjsRFD1MQVkkvs4,part_135,2026-09-22 06:00:35
