business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rutuvihar Nature Homestay,Resort,Home Stay,"Home Stay, Bed & breakfast, Cottage, Extended stay hotel, Family restaurant, Guest house, Holiday home, Home insurance agency, Hotel, Resort hotel",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 788 822 4033,https://www.whiteseasonsdevbag.com/,4.1,,"SATKAR ROAD, Bhosalewadi, Kudal, Maharashtra 416520",Bhosalewadi,16.011896,73.683728,ChIJReZaAakPwDsRl-SDFSyXwL8,https://www.google.com/maps/place/?q=place_id:ChIJReZaAakPwDsRl-SDFSyXwL8,part_135,2026-09-22 06:00:31
Yashwant Resort,Resort,Resort hotel,Resort hotel,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 70389 56600,https://instagram.com/yashwant_resort?igshid=YmMyMTA2M2Y=,4.8,,"At Tali Village, Enroute Rangna Fort, Tal- Bhudargad, Kolhapur, Maharashtra 416210",416521,16.1197794,73.8987946,ChIJ0TAs-ZVtwDsRStIPYL4v8UU,https://www.google.com/maps/place/?q=place_id:ChIJ0TAs-ZVtwDsRStIPYL4v8UU,part_135,2026-09-22 06:00:31
Konkan Heritage Resort,Resort,Resort hotel,Resort hotel,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94220 54882,N/A,4.4,,"Tulsuli Tarf Mangaon, Maharashtra 416520",416521,16.021437499999998,73.73056249999999,ChIJ0bb5av8PwDsR1mu6NSy_rl4,https://www.google.com/maps/place/?q=place_id:ChIJ0bb5av8PwDsR1mu6NSy_rl4,part_135,2026-09-22 06:00:31
Anand Bandiwadeker Resort,Resort,Resort hotel,Resort hotel,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",N/A,N/A,4.9,,"2P9C+H7F, Mulade, Maharashtra 416520",416521,16.018935799999998,73.7206667,ChIJIe9yIqYPwDsRPonHwYeyRjo,https://www.google.com/maps/place/?q=place_id:ChIJIe9yIqYPwDsRPonHwYeyRjo,part_135,2026-09-22 06:00:31
Sona Villa The Lake Chalet Resort,Resort,Home Stay,"Home Stay, Hotel",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 98214 18489,http://sonavilla.in/,4.5,,"House No.203, Tulsuli road, near Krushi Agricultural Institute, Ambadpal, Kudal, Maharashtra 416520",416521,16.018486499999998,73.7100246,ChIJ3Y-Kgt0OwDsROLqcW6Veo1s,https://www.google.com/maps/place/?q=place_id:ChIJ3Y-Kgt0OwDsROLqcW6Veo1s,part_135,2026-09-22 06:00:31
Khushi Cha Gaon,Resort,Farmstay,"Farmstay, Bed & breakfast, Cottage, Holiday home, Hotel, Home Stay, Resort hotel, Restaurant, Villa",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94233 34777,https://goo.gl/Fbe8JJ,4.4,,"H.No.464, A/P Hedul, Tal. Malvan, Kasal,, Dist. Sindhudurg, Kasal, Maharashtra 416603",416521,16.1522827,73.6590844,ChIJNwdQmXUawDsR2esRo_NIPkA,https://www.google.com/maps/place/?q=place_id:ChIJNwdQmXUawDsR2esRo_NIPkA,part_135,2026-09-22 06:00:31
Laxminkush Homestay,Resort,Home Stay,"Home Stay, Bed & breakfast",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 83295 75649,N/A,4.7,,"Laxminkush', Osargan, kansali, Tal-Kankavli, Mumbai - Goa Hwy, Kankavali, Maharashtra 416603",Kankavali,16.1723635,73.69051209999999,ChIJCcKUPdIQwDsRycXAEjr0QG0,https://www.google.com/maps/place/?q=place_id:ChIJCcKUPdIQwDsRycXAEjr0QG0,part_135,2026-09-22 06:00:31
Maati Nature Resort,Resort,Hotel,Hotel,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 91679 42466,http://www.maatiresort.com/,4.8,,"8P63+JM4 Maati, Nature Resort, Ganpati Temple Rd, behind Neelam Country, Janavali, Maharashtra 416602",Janavali,16.311515099999998,73.7041923,ChIJM8LHZ3I9wDsR_3Cm85FOlUA,https://www.google.com/maps/place/?q=place_id:ChIJM8LHZ3I9wDsR_3Cm85FOlUA,part_135,2026-09-22 06:00:32
Konkan Crown - Resort & Club,Resort,Resort hotel,"Resort hotel, Bar, Bar & grill, Conference center, Event venue, Extended stay hotel, Hotel, Restaurant, Seafood restaurant, Swimming pool",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 98338 66192,https://konkancrown.com/,3.9,,"Opp. Sawantwadi Railway Station, Nirwade, Sawantwadi, Maharashtra 416514",416521,15.863426599999999,73.7856144,ChIJ2-9Y18r0vzsRBX8cIqESZ-E,https://www.google.com/maps/place/?q=place_id:ChIJ2-9Y18r0vzsRBX8cIqESZ-E,part_135,2026-09-22 06:00:32
"Vrundavan Resort , Vaibhavwadi, Sindhudurg",Resort,Resort hotel,"Resort hotel, Bed & breakfast",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 91754 06764,https://www.vrundavanresortvaibhavwadi.com/,4.6,,"Vaibhavwadi Phonda Road, Narkarwadi, Vaibhavwadi, Maharashtra 416810",416521,16.4827579,73.7438608,ChIJ8Re9c0UxwDsRSdacjOS0joU,https://www.google.com/maps/place/?q=place_id:ChIJ8Re9c0UxwDsRSdacjOS0joU,part_135,2026-09-22 06:00:32
"Mamacho Gaon Resort, Hirlok",Resort,Health resort,Health resort,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 82628 12095,http://www.mamachogaon.com/,4.3,,"at and post - hirlok ( hateri, taluka -kudal, dist- sindhudurga, Hirlok, Maharashtra 416520",416521,16.066708,73.7718119,ChIJJ20iH18NwDsR5CoHqs4URbs,https://www.google.com/maps/place/?q=place_id:ChIJJ20iH18NwDsR5CoHqs4URbs,part_135,2026-09-22 06:00:32
The Leelas Bamboo House And Water Sports & Resort,Resort,Resort hotel,Resort hotel,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 98208 27747,http://www.theleelasresort.in/,4.8,,"Matoshree, Vengurle, Chipi, Bhogave, Maharashtra 416523",Vengurle,15.967063,73.50977,ChIJTSL9Y5wBwDsRT69Oo7ZZ9hk,https://www.google.com/maps/place/?q=place_id:ChIJTSL9Y5wBwDsRT69Oo7ZZ9hk,part_135,2026-09-22 06:00:32
Aryavarta Beach Resort - आर्यावर्त बीच रिसॉर्ट,Resort,Resort hotel,"Resort hotel, Farmstay, Hotel",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 97631 89929,https://aryavartabeachresort.in/,4.8,,"at post, Taluka Vengurla Nevali, Bhogwe, Vengurla, Maharashtra 416523",Bhogwe,15.9684578,73.5065078,ChIJDRhyaDQBwDsRrSW70WXxAFk,https://www.google.com/maps/place/?q=place_id:ChIJDRhyaDQBwDsRrSW70WXxAFk,part_135,2026-09-22 06:00:32
HIGH VALLEY JUNGLE RESORT & RESTAURANT,Resort,Resort hotel,"Resort hotel, Restaurant",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",N/A,https://in.goibibo.com/newextranet/dashboard,4.3,,"Banda, Maharashtra 416511",416521,15.825762,73.8737891,ChIJyffBmcSNvzsRRBfn2oPO7Lk,https://www.google.com/maps/place/?q=place_id:ChIJyffBmcSNvzsRRBfn2oPO7Lk,part_135,2026-09-22 06:00:32
Nature Yatra,Resort,Resort hotel,"Resort hotel, Farmstay, Hotel",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 70397 11155,N/A,4.9,,"Nature yatra - Double or Twin Room, Gadav Wadi Road, near Mashvi, Poyare, Maharashtra 416630",416521,16.2606055,73.47312389999999,ChIJY0vzAfcfwDsRl9jdq3ihrnI,https://www.google.com/maps/place/?q=place_id:ChIJY0vzAfcfwDsRl9jdq3ihrnI,part_135,2026-09-22 06:00:32
The Nanny Grand Resort,Resort,Resort hotel,Resort hotel,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 90223 51500,N/A,4.4,,"H no 1170 at Post Devli Waghavne, Maharashtra 416605",416521,16.0377439,73.5436598,ChIJE-2jyU8DwDsR4GZw48ypQd8,https://www.google.com/maps/place/?q=place_id:ChIJE-2jyU8DwDsR4GZw48ypQd8,part_135,2026-09-22 06:00:32
Nityanand Pride Beach Stay Resort,Resort,Resort hotel,"Resort hotel, Hotel, Restaurant",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 75889 35588,https://www.nityanandpride.com/,4.6,,"Nityanand Pride Beach Stay Resort, Tondavali Madhali near Wagheshwar Mandir, Maharashtra 416626",Sarjekot,16.135621399999998,73.45425929999999,ChIJqYPU7Oqh6jsRpHvkAG1s7L0,https://www.google.com/maps/place/?q=place_id:ChIJqYPU7Oqh6jsRpHvkAG1s7L0,part_135,2026-09-22 06:00:32
Made for you Resort,Resort,Resort hotel,Resort hotel,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 81692 55383,http://made4youagroventure.com/,4.6,,"H645, Potyekumbhewadi, Sonurli, Maharashtra 416510",Potyekumbhewadi,15.819961999999999,73.7766532,ChIJXRexgjb1vzsRyeERoM2EMTA,https://www.google.com/maps/place/?q=place_id:ChIJXRexgjb1vzsRyeERoM2EMTA,part_135,2026-09-22 06:00:32
Shilpgram heritage resort,Resort,Resort hotel,Resort hotel,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 91587 58759,http://www.shilpgramheritageresort.in/,4.4,,"SHILPGRAM HERITAGE RESORT, Khaskilwada, Charathe, Sawantwadi, Maharashtra 416510",Khaskilwada,15.9017933,73.8291898,ChIJReIKWkT1vzsRHXQaTgavv5A,https://www.google.com/maps/place/?q=place_id:ChIJReIKWkT1vzsRHXQaTgavv5A,part_135,2026-09-22 06:00:32
Golven Resort,Resort,Resort hotel,"Resort hotel, Breakfast restaurant, Restaurant",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 2366 262 208,https://golvenresorts.in/,4.2,,"Post Bagayatwadi, Ubhadanda, Maharashtra 416516",416521,15.8502209,73.6293093,ChIJ7XdGobX5vzsRBPiupApkJpA,https://www.google.com/maps/place/?q=place_id:ChIJ7XdGobX5vzsRBPiupApkJpA,part_135,2026-09-22 06:00:32
The Windmill Resorts,Resort,Resort hotel,Resort hotel,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 93247 65292,https://thewindmillresorts.com/,4.5,,"Devbag Sangam Rd, Bhanji Wadi, Devbag, Maharashtra 416606",Bhanji Wadi,15.984831199999999,73.4909615,ChIJoRI121gDwDsR3WQvDz6Uzgs,https://www.google.com/maps/place/?q=place_id:ChIJoRI121gDwDsR3WQvDz6Uzgs,part_135,2026-09-22 06:00:32
Yog Resort- A wellness Retreat,Resort,Resort hotel,"Resort hotel, Wellness hotel",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 77190 72323,https://www.yogresort.com/,4.2,,"Yog City, Maneri Maneri, Dodamarg, dist sindhudurg, on Goa, Maharashtra 416512",416521,15.712966699999999,73.9771377,ChIJn9oYYbGRvzsRuq_4FPACzAo,https://www.google.com/maps/place/?q=place_id:ChIJn9oYYbGRvzsRuq_4FPACzAo,part_135,2026-09-22 06:00:32
Highland Sarovar Portico - Sindhudurg,Resort,Resort hotel,"Resort hotel, Hotel, Restaurant",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 2362 350 200,https://www.highlandsarovarportico.com/,4.5,,"Shriramwadi, Kochara, Kudal, Mhapan, Shriramwadi, Maharashtra 416522","Shriramwadi, Kochara, Kudal",15.9347134,73.532774,ChIJe-68UNMBwDsRqIbgBRKCSfk,https://www.google.com/maps/place/?q=place_id:ChIJe-68UNMBwDsRqIbgBRKCSfk,part_135,2026-09-22 06:00:32
Dark Forest Retreat Amboli,Resort,Resort hotel,Resort hotel,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94232 51804,http://www.darkforestretreatamboli.com/,4.5,,"H.No.24/4, A/P Chaukul, Amboli-Chaukul Road Amboli Chaukul Chaukul Road, Shirgaonkar Point, Amboli, Maharashtra 416510",416521,15.9375193,74.0043949,ChIJdXk917t3wDsRK18qdTAsTRc,https://www.google.com/maps/place/?q=place_id:ChIJdXk917t3wDsRK18qdTAsTRc,part_135,2026-09-22 06:00:32
Sea Horizon Luxury Resort in Sindhudurg,Resort,Resort hotel,Resort hotel,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 91359 39111,https://seahorizonresort.com/,4.8,1333.0,"At-Post Bhogave Tal, Dist, Bhogwe, Vengurla, Maharashtra 416523",Bhogwe,15.9623566,73.5085667,ChIJBwCbaOoBwDsRIa0ZoG0JW7A,https://www.google.com/maps/place/?q=place_id:ChIJBwCbaOoBwDsRIa0ZoG0JW7A,part_135,2026-09-22 06:00:32
