business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Parameshwara seeds,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,416522,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Pat S.O, Khavane B.O, Kochara B.O",+91 90000 44474,N/A,4.6,,"Narsampet, Telangana 506132",416522,17.9297218,79.8892929,ChIJ6dZlRRxlMzoRd8dx9Kqv6wk,https://www.google.com/maps/place/?q=place_id:ChIJ6dZlRRxlMzoRd8dx9Kqv6wk,part_135,2026-09-22 06:01:13
Chandak Bandhu,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agricultural Product Wholesaler, Machine shop, Manufacturer",416522,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Pat S.O, Khavane B.O, Kochara B.O",+91 712 272 4434,N/A,4.4,,"Shop-6, Geeta Mandir Complex, Subhash Rd, Empress City, Nagpur, Maharashtra 440018",Empress City,21.144840199999997,79.09319579999999,ChIJHYJFvbjA1DsRFJOfRD7Qxus,https://www.google.com/maps/place/?q=place_id:ChIJHYJFvbjA1DsRFJOfRD7Qxus,part_135,2026-09-22 06:01:13
Shree Hari Enterprises,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,416522,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Pat S.O, Khavane B.O, Kochara B.O",+91 75170 43603,https://shreeharient.in/,4.7,,"Ratan Nagar, New Sahakar Nagar, Kharbi, Nagpur, Maharashtra 440024","Ratan Nagar, New Sahakar Nagar, Kharbi",21.1200521,79.1342264,ChIJIWDp2U251DsRAyadd8j6vqI,https://www.google.com/maps/place/?q=place_id:ChIJIWDp2U251DsRAyadd8j6vqI,part_135,2026-09-22 06:01:13
Venkateshwara agencies,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,416522,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Pat S.O, Khavane B.O, Kochara B.O",N/A,N/A,4.9,,"15-258, Dwarakapet Rd, Narsampet, Telangana 506132",416522,17.9236835,79.8873891,ChIJt3UU5uJkMzoRg6RGZfOQvt4,https://www.google.com/maps/place/?q=place_id:ChIJt3UU5uJkMzoRg6RGZfOQvt4,part_135,2026-09-22 06:01:13
Maharashtra Krishi Seva Kendra,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agricultural Product Wholesaler, Supplier, Agricultural Seed Store",416522,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Pat S.O, Khavane B.O, Kochara B.O",+91 257 222 9551,N/A,4.8,,"104, Navi Peth, Jaikisan Wadi, Jalgaon, Maharashtra 425001","Navi Peth, Jaikisan Wadi",21.013932099999998,75.56626299999999,ChIJcWp2iKMP2TsRRPF3_Xisno8,https://www.google.com/maps/place/?q=place_id:ChIJcWp2iKMP2TsRRPF3_Xisno8,part_135,2026-09-22 06:01:14
Krishi Vikas Beej Bhandar,Fertilizer and Pesticide Dealer,Agricultural Seed Store,"Agricultural Seed Store, Supplier, Fertilizer Store",416522,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Pat S.O, Khavane B.O, Kochara B.O",+91 253 251 3595,N/A,4.8,,"Shop No,1, Gurukrupa Apartment, Peth Rd, Peth Phata, Panchavati, Nashik, Maharashtra 422003","Peth Phata, Panchavati",20.012605999999998,73.793211,ChIJk9EWZ63r3TsR6zXwuDeiJTY,https://www.google.com/maps/place/?q=place_id:ChIJk9EWZ63r3TsR6zXwuDeiJTY,part_135,2026-09-22 06:01:14
Lalwani Krushi Seva Kendra,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agricultural Product Wholesaler, Agricultural service",416522,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Pat S.O, Khavane B.O, Kochara B.O",+91 253 251 1350,N/A,4.5,,"4616, Makhmalabad Naka, Panchavati, Nashik, Maharashtra 422003","Makhmalabad Naka, Panchavati",20.012479799999998,73.79059409999999,ChIJV9h8i63r3TsR4XaS_xTq9IY,https://www.google.com/maps/place/?q=place_id:ChIJV9h8i63r3TsR4XaS_xTq9IY,part_135,2026-09-22 06:01:14
Mhaswadkar Agencies,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agricultural Product Wholesaler, Agricultural Seed Store",416522,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Pat S.O, Khavane B.O, Kochara B.O",+91 2162 233 954,N/A,4.4,,"283, Radhika Rd, Sadashiv Peth, Malhar Peth, Satara, Maharashtra 415001","Sadashiv Peth, Malhar Peth",17.691506999999998,74.001511,ChIJp5SvEb45wjsRwKcYJmIioBM,https://www.google.com/maps/place/?q=place_id:ChIJp5SvEb45wjsRwKcYJmIioBM,part_135,2026-09-22 06:01:14
Rohit Krushi Seva Kendra,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,416522,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Pat S.O, Khavane B.O, Kochara B.O",+91 75881 11746,N/A,,,"G43C+CM4, Thikpurli, Maharashtra 416208",416522,16.503514,74.1217017,ChIJKWms87RQwDsR_13fv9SLd88,https://www.google.com/maps/place/?q=place_id:ChIJKWms87RQwDsR_13fv9SLd88,part_135,2026-09-22 06:01:14
Sai Krishi Bhandar,Fertilizer and Pesticide Dealer,Agricultural Seed Store,"Agricultural Seed Store, Agricultural service, Supplier",416522,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Pat S.O, Khavane B.O, Kochara B.O",+91 253 251 1176,N/A,4.5,,"Shop No.5, Market Yard Shopping Centre, Dindori Rd, Panchavati, Nashik, Maharashtra 422003",Panchavati,20.0150723,73.79614939999999,ChIJZc_e70zq3TsRO9f6asMGVfU,https://www.google.com/maps/place/?q=place_id:ChIJZc_e70zq3TsRO9f6asMGVfU,part_135,2026-09-22 06:01:14
