business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Udaipur Event Management,Corporate Event Planner,Event planner,"Event planner, Event management company, Wedding planner, Wedding service",416524,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Walaval S.O, Chendavan B.O, Kavathi B.O",+91 99286 86346,http://udaipureventmanagement.com/,4.9,,"23,H Block, L.I.C.Building Street, Sub City Center Rd, Udaipur, Rajasthan 313002",Central Area,24.5601621,73.7053238,ChIJvyS422fvZzkRCF1mLkHFJZg,https://www.google.com/maps/place/?q=place_id:ChIJvyS422fvZzkRCF1mLkHFJZg,part_135,2026-09-22 06:02:15
Dream Events,Corporate Event Planner,Event planner,"Event planner, Event management company, Wedding planner, Wedding service",416524,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Walaval S.O, Chendavan B.O, Kavathi B.O",N/A,N/A,4.9,,"332, Dr. Prakash narayan colony, behind LIC office, Garam Sadak, Morar, Madhya Pradesh 474006","Garam Sadak, Morar",26.219153799999997,78.2211858,ChIJ71iBK0zHdjkRJzjKJ2Sbc5Y,https://www.google.com/maps/place/?q=place_id:ChIJ71iBK0zHdjkRJzjKJ2Sbc5Y,part_135,2026-09-22 06:02:15
Sri anjineya event management T dasarahalli,Corporate Event Planner,Event management company,Event management company,416524,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Walaval S.O, Chendavan B.O, Kavathi B.O",N/A,N/A,5.0,,"Chapalama circle, near New Masjid Road, Prashanth Nagar, T. Dasarahalli, Bengaluru, Karnataka 560057","Prashanth Nagar, T. Dasarahalli",13.044735099999999,77.5141494,ChIJ6Zm8Zp49rjsRe4QY8BvYKqI,https://www.google.com/maps/place/?q=place_id:ChIJ6Zm8Zp49rjsRe4QY8BvYKqI,part_135,2026-09-22 06:02:15
Eventina,Corporate Event Planner,Event management company,Event management company,416524,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Walaval S.O, Chendavan B.O, Kavathi B.O",+91 99599 99182,http://eventina.com/,5.0,,"105, Divyashakti Appartments, Begumpet, Hyderabad, Telangana 500016","Divyashakti Appartments, Begumpet",17.436812,78.45245039999999,ChIJzz6iTcSRyzsROSyrlRNM7yU,https://www.google.com/maps/place/?q=place_id:ChIJzz6iTcSRyzsROSyrlRNM7yU,part_135,2026-09-22 06:02:16
Sparkles Events - Event Management Company,Corporate Event Planner,Event management company,"Event management company, Event planner, Wedding planner",416524,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Walaval S.O, Chendavan B.O, Kavathi B.O",+91 96733 00334,N/A,5.0,,"bus stop, 503/A, Nawabpura Rd, near Dr.channe House, Achit Mandir, Mahal, Nagpur, Maharashtra 440032","Achit Mandir, Mahal",21.146058099999998,79.114116,ChIJybQcQ5fH1DsRYTPGl9o9n5c,https://www.google.com/maps/place/?q=place_id:ChIJybQcQ5fH1DsRYTPGl9o9n5c,part_135,2026-09-22 06:02:16
Ultimate Event Management,Corporate Event Planner,Event planner,"Event planner, Service establishment, Event management company, Musical Band and Orchestra, Restaurant supply store, Wedding planner",416524,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Walaval S.O, Chendavan B.O, Kavathi B.O",+91 98901 80330,http://www.facebook.com/ultimateeventmanagement/,3.0,2.0,"Ultimate Event Management, 416524, India",416524,21.0680074,82.7525294,ChIJiUQ4-h2_1DsRB5lrEn2rKHY,https://www.google.com/maps/place/?q=place_id:ChIJiUQ4-h2_1DsRB5lrEn2rKHY,part_135,2026-09-22 06:02:17
WoodCraft Events and Entertainment,Corporate Event Planner,Event management company,Event management company,416524,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Walaval S.O, Chendavan B.O, Kavathi B.O",+91 84519 98444,http://www.woodcraftevents.in/,4.3,44.0,"105, New Link Rd, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064","Malad, Mindspace, Malad West",19.1766981,72.83671989999999,ChIJdZUlCPG25zsR0ftkK2f2s3o,https://www.google.com/maps/place/?q=place_id:ChIJdZUlCPG25zsR0ftkK2f2s3o,part_135,2026-09-22 06:02:17
Erigo Events - Corporate Events & Wedding Planners,Corporate Event Planner,Event management company,Event management company,416524,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Walaval S.O, Chendavan B.O, Kavathi B.O",+91 90360 73776,https://www.erigoevent.com/,4.9,37.0,"7, 2nd Floor, Walton Road, Lavelle Road, Bengaluru, Karnataka 560001","Shanthala Nagar, Ashok Nagar",12.9716164,77.59772099999999,ChIJ41fVfnwWrjsRWq5zXvtrvAo,https://www.google.com/maps/place/?q=place_id:ChIJ41fVfnwWrjsRWq5zXvtrvAo,part_135,2026-09-22 06:02:17
RakLead Events,Corporate Event Planner,Event management company,Event management company,416524,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Walaval S.O, Chendavan B.O, Kavathi B.O",+91 95507 60678,https://www.rakleadevents.com/,4.9,41.0,"Ground Floor, 2-674, Rd Number 13, near Valley View Apartment, Sai Nagar Colony, AP State Ministers Residential Colony, Banjara Hills, Hyderabad, Telangana 500028","Sai Nagar Colony, AP State Ministers Residential Colony, Banjara Hills",17.4100082,78.4442579,ChIJezUC9C6XyzsRcuOUV1b5jXA,https://www.google.com/maps/place/?q=place_id:ChIJezUC9C6XyzsRcuOUV1b5jXA,part_135,2026-09-22 06:02:17
PRAVEENSOMU EVENTS,Corporate Event Planner,Event management company,Event management company,416524,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Walaval S.O, Chendavan B.O, Kavathi B.O",+91 73865 28908,https://praveensomuevents.com/,5.0,451.0,"100 Feet Rd, beside Rock and roll bar and restaurant, Chunnam Batti Wada, Srisri Nagar, Mancherial, Telangana 504208","Chunnam Batti Wada, Srisri Nagar",18.8641196,79.4594582,ChIJ-60gaNXLMjoRoUZ8guxhLiE,https://www.google.com/maps/place/?q=place_id:ChIJ-60gaNXLMjoRoUZ8guxhLiE,part_135,2026-09-22 06:02:17
Bsst Birthday Party planners | EventBay.in,Corporate Event Planner,Event management company,"Event management company, Wedding service",416524,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Walaval S.O, Chendavan B.O, Kavathi B.O",+91 94930 17423,https://www.eventbay.in/,5.0,20.0,"46-507, HMT Rd, bhagath singh nagar, Chinthal, Balanagar, Hyderabad, Telangana 500054","bhagath singh nagar, Chinthal, Balanagar",17.4953251,78.4469041,ChIJoQ7xhyCRyzsRr0fSZu7dIV4,https://www.google.com/maps/place/?q=place_id:ChIJoQ7xhyCRyzsRr0fSZu7dIV4,part_135,2026-09-22 06:02:17
