business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mahasainik Darbar Hall & Lawns,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Event venue",416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",+91 231 266 6185,https://www.facebook.com/mahasainikDarbarHall/,4.4,1687.0,"Survey No.738, Kasaba Bawada, Circuit House Road ,Near Line Bazar, Kolhapur, Maharashtra 416003",Police Head Quarters,16.7224975,74.244558,ChIJK2tpnV8AwTsROF1Yn3tUBnU,https://www.google.com/maps/place/?q=place_id:ChIJK2tpnV8AwTsROF1Yn3tUBnU,part_135,2026-09-22 06:03:22
Mahalaxmi Wedding Hall,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",N/A,N/A,3.8,290.0,"P753+35M, Kadamwadi, Kolhapur, Maharashtra 416003",Kadamwadi,16.7077153,74.252937,ChIJD57csx4BwTsR-MSMN0BzW0k,https://www.google.com/maps/place/?q=place_id:ChIJD57csx4BwTsR-MSMN0BzW0k,part_135,2026-09-22 06:03:22
Indumati Lawns | Wedding hall in Kagal | Marriage hall in Kagal | Party Hall in Kagal,Marriage Hall / Kalyana Mandapam,Event venue,Event venue,416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",N/A,N/A,4.5,31.0,"Gahininath Nagar Rd, Gahininath Gaibi Pir Nagar, Kagal, Maharashtra 416216",Gahininath Gaibi Pir Nagar,16.5782198,74.3243102,ChIJj5gP5Uv7wDsRVV8B_3X0tHQ,https://www.google.com/maps/place/?q=place_id:ChIJj5gP5Uv7wDsRVV8B_3X0tHQ,part_135,2026-09-22 06:03:22
Vijay Palace,Marriage Hall / Kalyana Mandapam,Wedding service,Wedding service,416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",N/A,N/A,4.5,98.0,"P8Q4+RJM, Kolhapur, Halondi, Maharashtra 416122",416526,16.739580099999998,74.3065459,ChIJKacAu68BwTsRXbfeIaJhuEE,https://www.google.com/maps/place/?q=place_id:ChIJKacAu68BwTsRXbfeIaJhuEE,part_135,2026-09-22 06:03:22
Shinde Lawn,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Event venue, Function room facility",416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",+91 95952 71888,http://www.bizporto.com/profile.aspx?uid=8262,3.7,357.0,"M6MC+FP2, Sambhaji Nagar, Kolhapur, Maharashtra 416012",Sambhaji Nagar,16.6836379,74.221755,ChIJP_4s8AYAwTsRgbRtpUbDagk,https://www.google.com/maps/place/?q=place_id:ChIJP_4s8AYAwTsRgbRtpUbDagk,part_135,2026-09-22 06:03:22
Vighnaharta Lawns,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",N/A,N/A,4.5,181.0,"front of yashwant school, police station, Borpadle, road, near Kodoli, Kodoli, Maharashtra 416114",416526,16.864974699999998,74.1851404,ChIJpY_pMIOnwTsRlmBx2_j0rIM,https://www.google.com/maps/place/?q=place_id:ChIJpY_pMIOnwTsRlmBx2_j0rIM,part_135,2026-09-22 06:03:22
Satej Multipurpose Hall,Marriage Hall / Kalyana Mandapam,Wedding venue,"Wedding venue, Banquet hall",416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",+91 93721 90409,N/A,3.9,515.0,"Dhagidi Chawl, Sugar Mill Rd, Kasaba Bawada, Kolhapur, Maharashtra 416006",Kasaba Bawada,16.7434492,74.2457208,ChIJuS6VSuoAwTsRcHhr16IOfuU,https://www.google.com/maps/place/?q=place_id:ChIJuS6VSuoAwTsRcHhr16IOfuU,part_135,2026-09-22 06:03:22
Mane-Deshmukh Multi Purpose Hall,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",N/A,N/A,4.3,42.0,"PJ73+F4F, MH SH 137, Nrusinhawadi, Maharashtra 416104",416526,16.7136797,74.60279729999999,ChIJXYwU8FMhwTsRCVwMleuif7E,https://www.google.com/maps/place/?q=place_id:ChIJXYwU8FMhwTsRCVwMleuif7E,part_135,2026-09-22 06:03:22
Kedar Multipurpose Hall & lawn,Marriage Hall / Kalyana Mandapam,Function room facility,Function room facility,416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",N/A,N/A,4.7,40.0,"C56Q+PMQ, Murgud, Kurni, Maharashtra 416219",416526,16.4118279,74.18924659999999,ChIJ51T7cABZwDsRB9xpjQEu9h4,https://www.google.com/maps/place/?q=place_id:ChIJ51T7cABZwDsRB9xpjQEu9h4,part_135,2026-09-22 06:03:22
Akshada Mangal Karyalay,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",+91 90961 29582,N/A,4.2,182.0,"Kaneriwadi Rd, Kaneri, Kaneriwadi, Maharashtra 416234",416526,16.6191293,74.2900111,ChIJc66aXAX_wDsRbdGKedGxBdU,https://www.google.com/maps/place/?q=place_id:ChIJc66aXAX_wDsRbdGKedGxBdU,part_135,2026-09-22 06:03:22
Tare Club House Multipurpose Hall and Lawn,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",+91 98226 02811,N/A,4.5,433.0,"MH SH 137, Shirol, Maharashtra 416103",416526,16.7495306,74.607531,ChIJe_ArrHMhwTsR0qBqBeuaBVg,https://www.google.com/maps/place/?q=place_id:ChIJe_ArrHMhwTsR0qBqBeuaBVg,part_135,2026-09-22 06:03:22
Sankalpsiddhi Mangal Karyalay (संकल्प सिद्धी मंगल कार्यालय),Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",N/A,N/A,3.9,42.0,"C47F+5F8, Borawade, Maharashtra 416208",416526,16.4129198,74.12370179999999,ChIJuSH2wH5bwDsRrCGY_mqpPCY,https://www.google.com/maps/place/?q=place_id:ChIJuSH2wH5bwDsRrCGY_mqpPCY,part_135,2026-09-22 06:03:22
Majestic lawns,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",N/A,N/A,4.3,39.0,"P5PR+9WP, NH 166, Rajputwadi, Maharashtra 416229",416526,16.7359591,74.1923314,ChIJB38YllKrwTsR82W46SLD5YM,https://www.google.com/maps/place/?q=place_id:ChIJB38YllKrwTsR82W46SLD5YM,part_135,2026-09-22 06:03:22
"Gurukrupa Lawn, Bilawar Tekadi, Mahadikwadi",Marriage Hall / Kalyana Mandapam,Marriage celebrant,Marriage celebrant,416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",+91 83808 42525,N/A,4.4,153.0,"P3RQ+CR7, Satarde, Maharashtra 416205",416526,16.741048,74.0895549,ChIJWb-WEjqswTsRfoFFlxe7HbE,https://www.google.com/maps/place/?q=place_id:ChIJWb-WEjqswTsRfoFFlxe7HbE,part_135,2026-09-22 06:03:22
Shree Datta Mangal karyalay,Marriage Hall / Kalyana Mandapam,Event venue,Event venue,416526,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Ainapur B.O, Hiralge B.O, Karambali B.O",N/A,N/A,4.1,24.0,"Phulewadi Road , SH-115, Hari Om Nagar, Kolhapur, Maharashtra 416010",Hari Om Nagar,16.6930227,74.2066346,ChIJLcHaSaOqwTsRyu87SsfhfZs,https://www.google.com/maps/place/?q=place_id:ChIJLcHaSaOqwTsRyu87SsfhfZs,part_135,2026-09-22 06:03:22
