business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bhairavee Pure veg restaurant,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Continental restaurant, Family restaurant, Fine dining restaurant, North Indian restaurant",416527,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Tillarinagar S.O,+91 77760 00055,N/A,4.3,5977.0,"Survey 263, 2/1, Varsha Park Society, Baner, Pune, Maharashtra 411008","Varsha Park Society, Baner",18.552254299999998,73.803383,ChIJPTz7c_-_wjsRC0x2jz0I8jA,https://www.google.com/maps/place/?q=place_id:ChIJPTz7c_-_wjsRC0x2jz0I8jA,part_135,2026-09-22 06:03:41
RamKrishna Restaurant,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant, Fast food restaurant, Punjabi restaurant, South Indian restaurant",416527,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Tillarinagar S.O,+91 98344 03738,https://rkrestaurant.com/,4.3,14642.0,"6, Moledina Rd, opposite Westend Theatre, Camp, Pune, Maharashtra 411001",Camp,18.5189232,73.8785261,ChIJwVUW40_AwjsR_FrcP-ZjKQQ,https://www.google.com/maps/place/?q=place_id:ChIJwVUW40_AwjsR_FrcP-ZjKQQ,part_135,2026-09-22 06:03:41
Sadguru Pure Veg,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Chinese restaurant, Fast food restaurant, South Indian restaurant, North Indian restaurant",416527,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Tillarinagar S.O,+91 77389 72097,N/A,4.0,2458.0,"Shop No 5, Jawahar Nagar, Goregaon West, Mumbai, Maharashtra 400104","Jawahar Nagar, Goregaon West",19.1592561,72.8461437,ChIJi9GjLky25zsRm5yIRt5kvO0,https://www.google.com/maps/place/?q=place_id:ChIJi9GjLky25zsRm5yIRt5kvO0,part_135,2026-09-22 06:03:41
Hotel Sarthi,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,416527,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Tillarinagar S.O,+91 74473 33900,https://pup9191.github.io/sarthi-hotel/,4.1,1258.0,"1st Floor, Mirazkar Tikti, Egal Pride, opposite Khasbag Maidan, Kolhapur, Maharashtra 416012","B Ward, C Ward",16.6928615,74.2252673,ChIJW6ZIaggAwTsR4RbOgiEs2S0,https://www.google.com/maps/place/?q=place_id:ChIJW6ZIaggAwTsR4RbOgiEs2S0,part_135,2026-09-22 06:03:41
Dhavale restaurant,Pure Veg Restaurant,Indian restaurant,Indian restaurant,416527,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Tillarinagar S.O,N/A,N/A,4.0,33.0,"R652+W2R, Mauli vidyalaya road, Tilarinagar, Gulamb, Maharashtra 416527",Tilarinagar,15.809861199999999,74.2000194,ChIJxWCRJgCDvzsR89br2aYtKrU,https://www.google.com/maps/place/?q=place_id:ChIJxWCRJgCDvzsR89br2aYtKrU,part_135,2026-09-22 06:03:41
Shiv Sagar,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant, Fast food restaurant, South Indian restaurant",416527,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Tillarinagar S.O,+91 22 2282 4862,https://shivsagarrestaurant.co/,3.8,,"Nagin Mahal, 82, Veer Nariman Rd, Churchgate, Mumbai, Maharashtra 400020",Churchgate,18.933439399999997,72.82591529999999,ChIJK4d2B-fR5zsRwLchmSvjg_M,https://www.google.com/maps/place/?q=place_id:ChIJK4d2B-fR5zsRwLchmSvjg_M,part_135,2026-09-22 06:03:42
Swad Bhojnalay,Pure Veg Restaurant,Restaurant,Restaurant,416527,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Tillarinagar S.O,+91 99754 43609,N/A,4.4,28.0,"Mayani, Maharashtra 415102",416527,17.443437499999998,74.5439375,ChIJH1bU-njfwzsRCC-xg7jd9H4,https://www.google.com/maps/place/?q=place_id:ChIJH1bU-njfwzsRCC-xg7jd9H4,part_135,2026-09-22 06:03:43
Hotel Hankare हॉटेल हंकारे,Pure Veg Restaurant,Restaurant,Restaurant,416527,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Tillarinagar S.O,+91 83085 35353,N/A,4.4,17.0,"Jay Bhawani chowk, 2649 c ward, Shaniwar Peth, Kolhapur, Maharashtra 416002","Shaniwar Peth, Shukrawar Peth",16.7020294,74.2224104,ChIJL5meHZQBwTsRhQViJFSKfcE,https://www.google.com/maps/place/?q=place_id:ChIJL5meHZQBwTsRhQViJFSKfcE,part_135,2026-09-22 06:03:43
Gharguti Khanaval,Pure Veg Restaurant,Restaurant,Restaurant,416527,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Tillarinagar S.O,+91 788 799 3400,N/A,5.0,3.0,"2114, Dhotri Galli, near Madhya Dhotri Tarun Mandal, C Ward, Kolhapur, Maharashtra 416012",C Ward,16.6979266,74.21863929999999,ChIJYXasftYBwTsRtoPtAikfeAs,https://www.google.com/maps/place/?q=place_id:ChIJYXasftYBwTsRtoPtAikfeAs,part_135,2026-09-22 06:03:43
Mahalaxmi Mess,Pure Veg Restaurant,Meal delivery,Meal delivery,416527,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Tillarinagar S.O,+91 87930 59949,N/A,4.3,15.0,"Sanmitra Housing Society, Rajarampuri, Kolhapur, Maharashtra 416008","Sanmitra Housing Society, Rajarampuri",16.6887094,74.251065,ChIJ0YJxMCUAwTsRh_jxYTlfyeQ,https://www.google.com/maps/place/?q=place_id:ChIJ0YJxMCUAwTsRh_jxYTlfyeQ,part_135,2026-09-22 06:03:43
