business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"SAGAR GUEST HOUSE, Vengula,Hotel In Vengurla",Guesthouse,Guest house,"Guest house, Home Stay",416529,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Talavade S.O, Hodavade B.O, Matond B.O",N/A,N/A,5.0,,"Ubhadanda Christenwadi, Vagheshwar, Maharashtra 416516",Ubhadanda Christenwadi,15.842966599999999,73.63255869999999,ChIJy9Xmb2D5vzsR57a2QPIh604,https://www.google.com/maps/place/?q=place_id:ChIJy9Xmb2D5vzsR57a2QPIh604,part_135,2026-09-22 06:05:10
Bed and breakfast,Guesthouse,Home Stay,Home Stay,416529,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Talavade S.O, Hodavade B.O, Matond B.O",+91 96890 27799,N/A,5.0,,"Pandharewadi, Ajgaon, Maharashtra 416518",Pandharewadi,15.775347199999999,73.6998863,ChIJ-8ACPOrxvzsR-dYZVvtoib8,https://www.google.com/maps/place/?q=place_id:ChIJ-8ACPOrxvzsR-dYZVvtoib8,part_135,2026-09-22 06:05:10
Anandi home stay and restaurant,Guesthouse,Home Stay,Home Stay,416529,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Talavade S.O, Hodavade B.O, Matond B.O",+91 96736 80535,N/A,4.8,,"Bagkarwadi, Vengurla - Shiroda Rd, Vengurla, Maharashtra 416518",416529,15.788618999999999,73.65999359999999,ChIJddOg80XxvzsRWHp7thkmETE,https://www.google.com/maps/place/?q=place_id:ChIJddOg80XxvzsRWHp7thkmETE,part_135,2026-09-22 06:05:10
Dhuri Homestay,Guesthouse,Guest house,Guest house,416529,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Talavade S.O, Hodavade B.O, Matond B.O",+91 94207 40901,N/A,4.6,,"VMWH+FM2, Bowlekar wadi, Math, Maharashtra 416516",Bowlekar wadi,15.896139,73.67913899999999,ChIJ8RUmxN33vzsRbKF6qzJdQJM,https://www.google.com/maps/place/?q=place_id:ChIJ8RUmxN33vzsRbKF6qzJdQJM,part_135,2026-09-22 06:05:10
Samarth Palace Guest House,Guesthouse,Guest house,Guest house,416529,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Talavade S.O, Hodavade B.O, Matond B.O",+91 77981 44079,N/A,4.3,,"near Paradise beach, next to V.Panchayat, sagarthrith, Shiroda, Maharashtra 416518",416529,15.7714348,73.67128009999999,ChIJBR5e77zxvzsR0FmpyYCmQWU,https://www.google.com/maps/place/?q=place_id:ChIJBR5e77zxvzsR0FmpyYCmQWU,part_135,2026-09-22 06:05:10
Bancy Wooden huts,Guesthouse,Guest house,Guest house,416529,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Talavade S.O, Hodavade B.O, Matond B.O",+91 90494 41319,N/A,4.5,,"AT- Naichiad, Post - Tank, Near Mochemad Bridge, Tal - Vengurla, Kudal, Maharashtra 416518",416529,15.806415399999999,73.6638363,ChIJWX6bt63wvzsRrHtfeTnFn2c,https://www.google.com/maps/place/?q=place_id:ChIJWX6bt63wvzsRrHtfeTnFn2c,part_135,2026-09-22 06:05:10
Yashika Home Stay,Guesthouse,Hotel,"Hotel, Home Stay, Resort hotel",416529,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Talavade S.O, Hodavade B.O, Matond B.O",+91 94233 01015,N/A,5.0,,"Navabag, Vengurla, Maharashtra 416516",416529,15.854544599999999,73.6251228,ChIJcTrXGxP5vzsRW0-2qc4zvUs,https://www.google.com/maps/place/?q=place_id:ChIJcTrXGxP5vzsRW0-2qc4zvUs,part_135,2026-09-22 06:05:10
Sagareshwar Home Stay,Guesthouse,Home Stay,Home Stay,416529,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Talavade S.O, Hodavade B.O, Matond B.O",+91 85918 03352,https://www.instagram.com/sagareshwar_home_stay,4.8,,"Opposite Sagareshwar beach road, Wagheshwar wadi, Ubhadanda, Vagheshwar, Maharashtra 416516",Ubhadanda Christenwadi,15.8458931,73.63512899999999,ChIJmx7_ZQb5vzsRRAqccMR8owQ,https://www.google.com/maps/place/?q=place_id:ChIJmx7_ZQb5vzsRRAqccMR8owQ,part_135,2026-09-22 06:05:10
"SWAGAT LODGE, VENGURLA",Guesthouse,Lodge,Lodge,416529,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Talavade S.O, Hodavade B.O, Matond B.O",+91 75884 48545,N/A,4.4,,"Shraddha Complex, Bhatwadi, B.K.ROAD, Kudal-Vengurla Rd, Maharashtra 416516",416529,15.8731043,73.6473227,ChIJpWA-Td73vzsRuDI365NpMnM,https://www.google.com/maps/place/?q=place_id:ChIJpWA-Td73vzsRuDI365NpMnM,part_135,2026-09-22 06:05:10
Majestic Coastline HomeStay,Guesthouse,Guest house,Guest house,416529,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Talavade S.O, Hodavade B.O, Matond B.O",+91 98338 13360,N/A,4.1,,"Ubhadanda Christenwadi, varchemad, chamankarwadi, Ubhadanda, Vengurla, Maharashtra 416516","Ubhadanda Christenwadi, varchemad, chamankarwadi",15.828734899999999,73.6392546,ChIJsc1kgEb5vzsRyw7FlSA6D-k,https://www.google.com/maps/place/?q=place_id:ChIJsc1kgEb5vzsRyw7FlSA6D-k,part_135,2026-09-22 06:05:10
