business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sarveshomkar_photowaala,Photographers,Photographer,Photographer,416601,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Phondaghat S.O, Belnekhurd B.O, Damre B.O",N/A,N/A,5.0,5.0,"guravwadi, Kalmath, Maharashtra 416602","guravwadi, Kalmath",16.2704845,73.6990019,ChIJi1bKuFQ9wDsRQC3SnWVQxQY,https://www.google.com/maps/place/?q=place_id:ChIJi1bKuFQ9wDsRQC3SnWVQxQY,part_135,2026-09-22 06:09:15
R.Shirvalkar Photo / Video films studio,Photographers,Photography studio,Photography studio,416601,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Phondaghat S.O, Belnekhurd B.O, Damre B.O",+91 88303 15100,https://www.facebook.com/R-Shirvalkar-865333556902779/,5.0,18.0,"om ganesh colony, Kalmath, Maharashtra 416602",Kalmath,16.2789181,73.7008413,ChIJabmQvCsXwDsRrzU6W_rHbN0,https://www.google.com/maps/place/?q=place_id:ChIJabmQvCsXwDsRrzU6W_rHbN0,part_135,2026-09-22 06:09:15
Let Me Capture,Photographers,Photography studio,Photography studio,416601,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Phondaghat S.O, Belnekhurd B.O, Damre B.O",+91 87671 60473,https://youtube.com/@letmecapturestudios218,4.9,77.0,"Yashwant Niwas, kalmath, Bazarpet Rd, Kankavli, Maharashtra 416602","Kalmath Bazar, Kankavli",16.2642401,73.70135859999999,ChIJrygtZisXwDsRefG1LYMxkek,https://www.google.com/maps/place/?q=place_id:ChIJrygtZisXwDsRefG1LYMxkek,part_135,2026-09-22 06:09:15
Avadhut lad Photography,Photographers,Photography studio,Photography studio,416601,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Phondaghat S.O, Belnekhurd B.O, Damre B.O",+91 79777 64943,N/A,5.0,7.0,"flat no. 103, PALKAR RESIDENCY, BLDG A, Wing 1, Bidyewadi Rd, near GAJANAN MAHARAJ MANDIR, Kalmath, Maharashtra 416602",Kalmath,16.2704761,73.6992374,ChIJE-weun89wDsR8nJx7aE70us,https://www.google.com/maps/place/?q=place_id:ChIJE-weun89wDsR8nJx7aE70us,part_135,2026-09-22 06:09:15
Sagar Patil photography,Photographers,Photographer,Photographer,416601,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Phondaghat S.O, Belnekhurd B.O, Damre B.O",+91 93730 87548,https://www.instagram.com/sagar_patil_photography__?igsh=MTRucmRmcGZ3NXJ5ZA==,,,"Adarsh Nagar, Saple bag, Janavali, Maharashtra 416602","Adarsh Nagar, Saple bag, Janavali",16.2741501,73.7117543,ChIJD20-84Y9wDsRIkY4uS6UFxg,https://www.google.com/maps/place/?q=place_id:ChIJD20-84Y9wDsRIkY4uS6UFxg,part_135,2026-09-22 06:09:15
Shrisamarth Krupa Photo Studio,Photographers,Photography studio,Photography studio,416601,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Phondaghat S.O, Belnekhurd B.O, Damre B.O",+91 93091 09300,N/A,,,"Shop 1, Shrisamarth Krupa Photo, Bazarpeth Vaibhavwadi, Bhattiwadi, Maharashtra 416810",416601,16.4956331,73.7467984,ChIJ5VN4adwxwDsR-etT9tMjMpE,https://www.google.com/maps/place/?q=place_id:ChIJ5VN4adwxwDsR-etT9tMjMpE,part_135,2026-09-22 06:09:15
Rajendra Ravale Photography,Photographers,Housing society,Housing society,416601,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Phondaghat S.O, Belnekhurd B.O, Damre B.O",N/A,N/A,,,"7MHX+JM8, Gavadewadi, Kalmath, Maharashtra 416602",Gavadewadi,16.279032,73.6992167,ChIJS--OHwA9wDsR323NGnRuSGc,https://www.google.com/maps/place/?q=place_id:ChIJS--OHwA9wDsR323NGnRuSGc,part_135,2026-09-22 06:09:15
Harkul Khurd Dam,Photographers,Tourist attraction,Tourist attraction,416601,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Phondaghat S.O, Belnekhurd B.O, Damre B.O",N/A,N/A,4.6,142.0,"8RH2+534, Harkul Khurd, Kankavli, Maharashtra 416601",Kankavli,16.3278913,73.80021289999999,ChIJCbwjUQE_wDsRPPHiYTD6L4k,https://www.google.com/maps/place/?q=place_id:ChIJCbwjUQE_wDsRPPHiYTD6L4k,part_135,2026-09-22 06:09:15
MN CinePhoto,Photographers,Photographer,"Photographer, Service establishment",416601,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Phondaghat S.O, Belnekhurd B.O, Damre B.O",N/A,https://instagram.com/mn_cinephoto?igshid=MzRlODBiNWFlZA==,,,"MN CinePhoto, 416601, India",416601,16.0608796,76.5545005,ChIJgfYzkv5RO2cRaXymGoVJ9HM,https://www.google.com/maps/place/?q=place_id:ChIJgfYzkv5RO2cRaXymGoVJ9HM,part_135,2026-09-22 06:09:15
mahalaxmi photo studio phondaghat,Photographers,Photography studio,Photography studio,416601,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Phondaghat S.O, Belnekhurd B.O, Damre B.O",+91 94212 67082,N/A,,,"At Post, near S.T.stand, Phondaghat, Maharashtra 416601","Patelwadi, Phondaghat",16.3720405,73.7934607,ChIJ7-XHK_Y5wDsRbRBvz1pLsVE,https://www.google.com/maps/place/?q=place_id:ChIJ7-XHK_Y5wDsRbRBvz1pLsVE,part_135,2026-09-22 06:09:15
