business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Archies Gallery,Gifting,Gift shop,Gift shop,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98207 97337,https://www.archiesonline.com/,4.1,,"Shop Number 7, Natasha Shopping Centre, Hill Rd, Bandra West, Mumbai, Maharashtra 400050",Bandra West,19.0560469,72.8323286,ChIJJ9O6ZkDJ5zsRDez5jvnLbfg,https://www.google.com/maps/place/?q=place_id:ChIJJ9O6ZkDJ5zsRDez5jvnLbfg,part_136,2026-09-22 06:00:44,6349
Archies,Gifting,Gift shop,Gift shop,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 99608 74245,N/A,3.9,,"248, MG Road, near Hotel Priya, Camp, Pune, Maharashtra 411001",Camp,18.5116877,73.8787011,ChIJ3fsT9UjAwjsRadO0hQ1AKsM,https://www.google.com/maps/place/?q=place_id:ChIJ3fsT9UjAwjsRadO0hQ1AKsM,part_136,2026-09-22 06:00:44,6350
Magical Hobbies,Gifting,Gift shop,"Gift shop, Toy store, Hobby store, Magic store, Party store",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 90499 19659,http://www.magicalhobbies.in/,4.3,,"SHOP NO 4, MASCHARENAS BLG, XELPEM DHULER, near BLUE STAR RESTAURANT, XELPEM, Mapusa, Goa 403526",XELPEM,15.6084632,73.8123761,ChIJAyBI7qnrvzsRmqdUGEFQ0RE,https://www.google.com/maps/place/?q=place_id:ChIJAyBI7qnrvzsRmqdUGEFQ0RE,part_136,2026-09-22 06:00:44,6351
Parivar Gifts,Gifting,Gift shop,Gift shop,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 72193 04090,N/A,4.2,,"behind KIMS Manavta Hospital, near Mumbai Naka, Madina Chowk, Renuka Nagar, Nashik, Maharashtra 422001","Madina Chowk, Renuka Nagar",19.9905111,73.78800509999999,ChIJdUjQBgDr3TsR-OG1VxcFLRU,https://www.google.com/maps/place/?q=place_id:ChIJdUjQBgDr3TsR-OG1VxcFLRU,part_136,2026-09-22 06:00:44,6352
Super Shopping,Gifting,Gift shop,Gift shop,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 84590 55274,N/A,5.0,,"Talpar, waddo, Pirna, Goa 403513","Talpar, waddo",15.6791018,73.8817917,ChIJMfMtG0OTvzsRAjTdaPBReVk,https://www.google.com/maps/place/?q=place_id:ChIJMfMtG0OTvzsRAjTdaPBReVk,part_136,2026-09-22 06:00:44,6353
GIFT INN,Gifting,Gift shop,Gift shop,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 96112 08338,N/A,4.8,,"Rani Mart kothari niwas, 1065, jama masjid circle, near Manohar electronic, Basvannagar, Belagavi, Nipani, Karnataka 591237",Basvannagar,16.3997061,74.3831991,ChIJj2QLyxzzwDsR6uTza2dqP4A,https://www.google.com/maps/place/?q=place_id:ChIJj2QLyxzzwDsR6uTza2dqP4A,part_136,2026-09-22 06:00:44,6354
Meghna Gift Center,Gifting,Gift shop,Gift shop,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 99605 00545,N/A,5.0,,"Desai Nagar, Sanquelim, Goa 403505",Desai Nagar,15.5623808,74.0118198,ChIJBf4rSl-9vzsRp1crhBba-OA,https://www.google.com/maps/place/?q=place_id:ChIJBf4rSl-9vzsRp1crhBba-OA,part_136,2026-09-22 06:00:44,6355
NAKSHATRA SHOWROOM,Gifting,Gift shop,"Gift shop, Cosmetics store, Pen store, Shoe store, Toy store",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98926 21096,N/A,3.5,,"Anusaya Complex, Devgad, Maharashtra 416613",416805,16.377786399999998,73.3828211,ChIJ7VgEQmKc6jsR-b4DuJBRJHQ,https://www.google.com/maps/place/?q=place_id:ChIJ7VgEQmKc6jsR-b4DuJBRJHQ,part_136,2026-09-22 06:00:44,6356
Gift Garden,Gifting,Gift shop,Gift shop,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98802 24282,N/A,4.2,,"Dalal Peth Rd, near belcakes, Basvannagar, Nipani, Karnataka 591237",Basvannagar,16.4002305,74.3831934,ChIJD_sSxBfywDsRCoYH7-3I0Ks,https://www.google.com/maps/place/?q=place_id:ChIJD_sSxBfywDsRCoYH7-3I0Ks,part_136,2026-09-22 06:00:44,6357
Akash Gift Shop,Gifting,Gift shop,Gift shop,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 96237 09463,N/A,4.5,,"1/283, MH SH 67, Tambari Vibhag, Dharashiv, Maharashtra 413501",Tambari Vibhag,18.1857546,76.0345205,ChIJg2baE9KjxTsRgIm3n5Hke_I,https://www.google.com/maps/place/?q=place_id:ChIJg2baE9KjxTsRgIm3n5Hke_I,part_136,2026-09-22 06:00:44,6358
Vinita Gift House,Gifting,Gift shop,Gift shop,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98228 49755,N/A,4.2,,"46VP+88C, Kotamgaon Rd, Lasalgaon, Maharashtra 422306",416805,20.1433142,74.2357749,ChIJ9Xzoftwy3DsRJcUUvN64uSk,https://www.google.com/maps/place/?q=place_id:ChIJ9Xzoftwy3DsRJcUUvN64uSk,part_136,2026-09-22 06:00:44,6359
