business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jai maa complete men's wear,Mens Wear Showroom,Men's clothing store,Men's clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 85169 25121,N/A,4.9,,"Gudhiyari Rd, Sahupara, pahadi chowk, Raipur, Gudhiyari, Chhattisgarh 492009","Sahupara, pahadi chowk",21.2598821,81.6240792,ChIJx0rN0tXdKDoRuFQh36oP74s,https://www.google.com/maps/place/?q=place_id:ChIJx0rN0tXdKDoRuFQh36oP74s,part_136,2026-09-22 06:00:28,1561
Dress For Dudez,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 99400 27065,N/A,5.0,,"1/18, Mandaveli Amman Kovil St, Ambal Nagar, Ramapuram, Chennai, Tamil Nadu 600089","Ambal Nagar, Ramapuram",13.033637299999999,80.17618019999999,ChIJ3XNiJvxhUjoRna1Fggatg9A,https://www.google.com/maps/place/?q=place_id:ChIJ3XNiJvxhUjoRna1Fggatg9A,part_136,2026-09-22 06:00:28,1562
X9 Men's wear,Mens Wear Showroom,Men's clothing store,Men's clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 99071 00294,http://instagram.com/x9_fashion,4.3,,"6MM3+727 Mpc Menswere, Katora Talab, Civil Lines, Raipur, Chhattisgarh 492001","Katora Talab, Civil Lines",21.233161499999998,81.6525568,ChIJqQHW-gXdKDoRlqVimoh5plA,https://www.google.com/maps/place/?q=place_id:ChIJqQHW-gXdKDoRlqVimoh5plA,part_136,2026-09-22 06:00:28,1563
Raaya,Mens Wear Showroom,Men's clothing store,Men's clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 77579 74166,http://www.raaya.in/,4.8,,"Jaharveer Plaza, Jeevan Bima Marg, beside Nirankari Furniture, Pandri, Raipur, Chhattisgarh 492004",Pandri,21.2548821,81.65123969999999,ChIJHTojIADdKDoR86hy6TsEGzc,https://www.google.com/maps/place/?q=place_id:ChIJHTojIADdKDoR86hy6TsEGzc,part_136,2026-09-22 06:00:28,1564
"Rare Rabbit, Indiranagar",Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 91677 81241,https://stores-rarerabbit.thehouseofrare.com/rare-rabbit-indiranagar-indra-nagar-blr-men-s-clothes-shop-indiranagar-bengaluru-303991/Home,4.5,,"Shop No 2, Ground &, 100 Feet Rd, HAL 2nd Stage, Defence Colony, Indiranagar, Bengaluru, Karnataka 560008","HAL 2nd Stage, Defence Colony, Indiranagar",12.9728663,77.6408555,ChIJe86EHjkXrjsRJJiOAcWwb9E,https://www.google.com/maps/place/?q=place_id:ChIJe86EHjkXrjsRJJiOAcWwb9E,part_136,2026-09-22 06:00:28,1565
Celio Indiranagar,Mens Wear Showroom,Men's clothing store,Men's clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 80 4973 1676,https://celio.in/,4.3,,"369, 100 Feet Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008","HAL 2nd Stage, Indiranagar",12.9730461,77.6414472,ChIJHykQthwUrjsRT_JtiQEtXW0,https://www.google.com/maps/place/?q=place_id:ChIJHykQthwUrjsRT_JtiQEtXW0,part_136,2026-09-22 06:00:28,1566
Fashion Garage,Mens Wear Showroom,Clothing store,Clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 77720 27136,N/A,4.9,,"Main Rd, beside Sai TVS Showroom, R.V.H. Colony, Jagriti Nagar, Fafadih, Raipur, Chhattisgarh 492009","R.V.H. Colony, Jagriti Nagar, Fafadih",21.2647428,81.63692139999999,ChIJt706f87dKDoRtlH5zotKwRY,https://www.google.com/maps/place/?q=place_id:ChIJt706f87dKDoRtlH5zotKwRY,part_136,2026-09-22 06:00:28,1567
Fashion Zone,Mens Wear Showroom,Men's clothing store,Men's clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98277 19449,N/A,4.8,,"New Shadani Market D/36, Pandri, Raipur, Chhattisgarh 492004","Textile Market, Pandri",21.2555314,81.65063719999999,ChIJG5ucenfdKDoRsTrZleoQrqA,https://www.google.com/maps/place/?q=place_id:ChIJG5ucenfdKDoRsTrZleoQrqA,part_136,2026-09-22 06:00:28,1568
Bharat fashion house,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store, Gents Tailor",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 70490 99000,N/A,4.5,,"ever green chawk, Baijnathpara, Shastri Market, Raipur, Chhattisgarh 492001","Baijnathpara, Shastri Market",21.240420099999998,81.6386922,ChIJO96OvMrdKDoRj9KseGKcmC4,https://www.google.com/maps/place/?q=place_id:ChIJO96OvMrdKDoRj9KseGKcmC4,part_136,2026-09-22 06:00:28,1569
Bespoke Fashion,Mens Wear Showroom,Tailor,"Tailor, Boutique, Clothing store, Custom tailor, Designer Clothing Store, Fashion designer, Men's clothing store",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 90085 73000,N/A,4.8,,"The Leela Palace Road, 44, 6th Cross, near masjid, HAL 3rd Stage, Kodihalli, Bengaluru, Karnataka 560008","HAL 3rd Stage, Kodihalli",12.9659651,77.6496557,ChIJC9HYo0gVrjsRZQZyoInd9JY,https://www.google.com/maps/place/?q=place_id:ChIJC9HYo0gVrjsRZQZyoInd9JY,part_136,2026-09-22 06:00:28,1570
Shivam Mens Wear,Mens Wear Showroom,Men's clothing store,Men's clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 91723 48457,N/A,,,"97, SSSM, Devgad, Maharashtra 416613",SSSM,16.3779149,73.3844313,ChIJD7aNzq6d6jsRPdzbBnhivy8,https://www.google.com/maps/place/?q=place_id:ChIJD7aNzq6d6jsRPdzbBnhivy8,part_136,2026-09-22 06:00:28,1571
Men Will Be Men (Men's Fashion Store),Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store, Clothing Accessories Store, Formal Clothing Store, Plus Size Clothing Store, Shoe store, Watch store, Youth clothing store",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 87966 09429,N/A,4.5,116.0,"Vishal Nagar Bridge, Vitthal Rukmini Mandir, New DP Rd, near Pimple Nilakh, Kranti Nagar, Ingawale, Chowk, Pimple Nilakh, Pimpri-Chinchwad, Maharashtra 411027","Kranti Nagar, Ingawale, Chowk, Pimple Nilakh",18.5720054,73.7909079,ChIJ6WSRhD65wjsR7wVZG6vFEcM,https://www.google.com/maps/place/?q=place_id:ChIJ6WSRhD65wjsR7wVZG6vFEcM,part_136,2026-09-22 06:00:29,1572
Galaxy Mens Wear,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Designer Clothing Store, Gents Tailor, Tailor, Tuxedo shop",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 95293 99948,N/A,4.3,254.0,"Shop No.17,18,19,20, BHAWANI COMPLEX, Shastri Nagar Rd, Shastri Nagar, Kothrud, Pune, Maharashtra 411038","Shastri Nagar, Kothrud",18.5040416,73.8036044,ChIJ____PxjBwjsRHGw32uI8eSU,https://www.google.com/maps/place/?q=place_id:ChIJ____PxjBwjsRHGw32uI8eSU,part_136,2026-09-22 06:00:29,1573
The Men's Wearhouse,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store, Jeans shop, Clothing Accessories Store, Garment Exporter, Outerwear store, Sportswear store, T-shirt store, Tuxedo shop",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 86885 83574,N/A,4.9,137.0,"near, 1-2-270/b, Nirmala Hospital Rd, beside Jyothi hospital, Suryapet, Telangana 508213",Manasa Nagar,17.145521,79.6211306,ChIJVdp-lwTbNDoRu_cm41iNhgI,https://www.google.com/maps/place/?q=place_id:ChIJVdp-lwTbNDoRu_cm41iNhgI,part_136,2026-09-22 06:00:29,1574
Kezal Collection,Mens Wear Showroom,Men's clothing store,Men's clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 96604 49999,N/A,4.8,1057.0,"Girls College Rd, near steps shoes, Sindhu Nagar, Shastri Nagar, Bhilwara, Rajasthan 311001","Sindhu Nagar, Shastri Nagar",25.340270999999998,74.6387749,ChIJVVGsYcvDaDkRAlz1V_v_sMY,https://www.google.com/maps/place/?q=place_id:ChIJVVGsYcvDaDkRAlz1V_v_sMY,part_136,2026-09-22 06:00:29,1575
Gm Fashion World,Mens Wear Showroom,Men's clothing store,Men's clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 90665 55545,N/A,4.8,12.0,"Bychapura, Anneshwara post, Devanahalli Taluk, Karnataka 562110",416805,13.2239226,77.7127655,ChIJ50BoyKIdrjsRgenWRKGYUIg,https://www.google.com/maps/place/?q=place_id:ChIJ50BoyKIdrjsRgenWRKGYUIg,part_136,2026-09-22 06:00:29,1576
7 COLORS FASHION BEGINS,Mens Wear Showroom,Manufacturer,Manufacturer,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 96113 36777,N/A,4.9,589.0,"666, 19th main, 20th cross, Mahakavi Kuvempu Rd, Rajajinagar, Bengaluru, Karnataka 560010","2nd Block, Rajajinagar",12.997709299999999,77.5512274,ChIJefvfmx49rjsRxZvKZgXqXJg,https://www.google.com/maps/place/?q=place_id:ChIJefvfmx49rjsRxZvKZgXqXJg,part_136,2026-09-22 06:00:29,1577
Fashion Guru Men's Wear,Mens Wear Showroom,Men's clothing store,Men's clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 95194 26215,https://www.instagram.com/fashionguru_07/profilecard/?igsh=cHFvMmJ1dHB1eDRz,4.6,81.0,"3-4-29/14, Gandhi Nagar, Ramanthapur, Hyderabad, Telangana 500013","Gandhi Nagar, Ramanthapur",17.3913689,78.542917,ChIJ5aiWUE6ZyzsRziz9lqBq430,https://www.google.com/maps/place/?q=place_id:ChIJ5aiWUE6ZyzsRziz9lqBq430,part_136,2026-09-22 06:00:29,1578
Roadies Fashion,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 99770 69302,N/A,4.2,224.0,"137, service road, Gopur Square, Ahilya Nagar, Indore, Madhya Pradesh 452009","Gopur Square, Ahilya Nagar",22.683444899999998,75.8307062,ChIJsRBIeTj8YjkRGxC_GGL43CI,https://www.google.com/maps/place/?q=place_id:ChIJsRBIeTj8YjkRGxC_GGL43CI,part_136,2026-09-22 06:00:29,1579
Best men's wear,Mens Wear Showroom,Clothing store,Clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 72070 62212,https://www.bestmenswear.com/,4.7,19.0,"temple, BK Guda, Balkampet, Hyderabad, Telangana 500018","BK Guda, Balkampet",17.4470501,78.44716249999999,ChIJeR7RjsGQyzsRe5SpF_HGvP4,https://www.google.com/maps/place/?q=place_id:ChIJeR7RjsGQyzsRe5SpF_HGvP4,part_136,2026-09-22 06:00:29,1580
Gallery Mens Wear,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 87900 76128,https://gallerymenswear.zadinga.shop/,4.5,10.0,"Shop No 1, Miyapur X Roads, Kalapuram Basti, Hyderabad, Telangana 500049",Kalapuram Basti,17.4985517,78.3617187,ChIJv_0MbdGTyzsRNmqoblDbMJM,https://www.google.com/maps/place/?q=place_id:ChIJv_0MbdGTyzsRNmqoblDbMJM,part_136,2026-09-22 06:00:29,1581
TRENDS MAN,Mens Wear Showroom,Clothing store,"Clothing store, Baby clothing store, Children's clothing store, Clothing Accessories Store, Formal Clothing Store, Western apparel store, Youth clothing store",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 63639 54765,https://trends.shop/page/trends-man-aditya-complex-jp-nagar-bangalore,4.6,27.0,"Aditya Complex, 5 & 6 Marg, 1st Main Rd, Kothnur, Puttenahalli, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078","Kothnur, Puttenahalli, JP Nagar 7th Phase, J. P. Nagar",12.884408899999999,77.5825893,ChIJFw_4jVsVrjsRpBZin-PqgIE,https://www.google.com/maps/place/?q=place_id:ChIJFw_4jVsVrjsRpBZin-PqgIE,part_136,2026-09-22 06:00:29,1582
UNIQUE COLLECTION (PLUS SIZE FASHION),Mens Wear Showroom,Men's clothing store,"Men's clothing store, Belt shop, Childrens Store, Clothing Accessories Store, Clothing store, Plus Size Clothing Store, T-shirt store, Tuxedo shop, Underwear store, Women's clothing store",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 731 490 9234,http://citybazaronline.com/indore/shop/unique-collection,4.9,128.0,"UG-02, Bansi Trade Centre, Mahatma Gandhi Rd, Near Indraprastha Tower, Race Course Road, Indore, Madhya Pradesh 452001","Near Indraprastha Tower, Race Course Road",22.7230498,75.8820338,ChIJEZRiXG39YjkRvZ6bqvuc80Y,https://www.google.com/maps/place/?q=place_id:ChIJEZRiXG39YjkRvZ6bqvuc80Y,part_136,2026-09-22 06:00:29,1583
CORE THE BRANDED CLOTHING,Mens Wear Showroom,Men's clothing store,Men's clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",N/A,N/A,4.2,67.0,"3J69+QRJ, College Rd, Kothamangalam, Keralam 686691",416805,10.061958599999999,76.619518,ChIJA08mUyPnBzsR_9cm_p6vj6c,https://www.google.com/maps/place/?q=place_id:ChIJA08mUyPnBzsR_9cm_p6vj6c,part_136,2026-09-22 06:00:29,1584
Galaxy Men's Wear,Mens Wear Showroom,Clothing store,Clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",N/A,N/A,3.9,61.0,"1128, Baghambari Housing Scheme, Shiv Nagar, Allahpur, Prayagraj, Uttar Pradesh 211002","Baghambari Housing Scheme, Shiv Nagar, Allahpur",25.4578801,81.8681407,ChIJy1Q8pV-1mjkRuW-rpn4tzAk,https://www.google.com/maps/place/?q=place_id:ChIJy1Q8pV-1mjkRuW-rpn4tzAk,part_136,2026-09-22 06:00:29,1585
Ego mens outlet,Mens Wear Showroom,Men's clothing store,Men's clothing store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",N/A,N/A,4.7,,"FWFW+QWF, Manacaud, Thiruvananthapuram, Keralam 695009",Manacaud,8.4744428,76.9473031,ChIJ0VInZD67BTsRtL7B57ZC_Zo,https://www.google.com/maps/place/?q=place_id:ChIJ0VInZD67BTsRtL7B57ZC_Zo,part_136,2026-09-22 06:00:29,1586
