business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Taneja Communication,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 89090 17747,N/A,4.8,,"Shop Number 13, Raj Plaza, Rajpur Rd, Ravindrapuri, Hathibarkala Salwala, Dehradun, Uttarakhand 248001","Ravindrapuri, Hathibarkala Salwala",30.3359779,78.0540042,ChIJg6NHqQwpCTkRCHYFev9nMPc,https://www.google.com/maps/place/?q=place_id:ChIJg6NHqQwpCTkRCHYFev9nMPc,part_136,2026-09-22 06:00:47,7306
Dream Mobiles,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98480 67002,http://www.dreammobilessuryapet.com/,4.2,,"1-2-270/47/7, MG Rd, beside Ravi Bakery, Manasa Nagar, Suryapet, Telangana 508213",Manasa Nagar,17.1482535,79.622714,ChIJ1wdicbzbNDoRhBOm2SibqM8,https://www.google.com/maps/place/?q=place_id:ChIJ1wdicbzbNDoRhBOm2SibqM8,part_136,2026-09-22 06:00:47,7307
RS MOBILE PLAZA,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 96664 09998,N/A,4.8,,"VICTORY ESTATE, Jayaprakash Narayan Road, Girmajipet, Warangal, Telangana 506002",Girmajipet,17.977532699999998,79.59864089999999,ChIJA85nt2lFMzoRaDJjh34Zp9s,https://www.google.com/maps/place/?q=place_id:ChIJA85nt2lFMzoRaDJjh34Zp9s,part_136,2026-09-22 06:00:47,7308
SECOND HAND MOBILES WARANGAL (RS MOBILES),Mobile Phone Sales and Repair,Cell phone store,Cell phone store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 96760 80802,N/A,4.5,,"road, LB Nagar Rd, beside Sr girls college, Pochamma Maidan, LB Nagar, Warangal, Telangana 506002","Pochamma Maidan, LB Nagar",17.9873697,79.6043059,ChIJ4WSewXtFMzoRYrWVFw_C-oo,https://www.google.com/maps/place/?q=place_id:ChIJ4WSewXtFMzoRYrWVFw_C-oo,part_136,2026-09-22 06:00:47,7309
ZA mobiles sales and services,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98490 67214,N/A,4.8,,"9-6-39, Jayaprakash Narayan Road, Mandi Bazar, Sherpura, Warangal, Telangana 506002","Mandi Bazar, Sherpura",17.984928099999998,79.5994934,ChIJL-Z_NBlFMzoRWnIcTN9_OhE,https://www.google.com/maps/place/?q=place_id:ChIJL-Z_NBlFMzoRWnIcTN9_OhE,part_136,2026-09-22 06:00:47,7310
Atharv Infocom,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Computer accessories store, Computer store, Computer support and services, Electronics store, Mobile home supply store, Mobile phone repair shop, Oldsmobile dealer, Second hand store, Used appliance store",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 99077 22222,N/A,4.9,,"Infront of chai sutta baar and gangore sweets, Palasia Tower, L.G.1, Near 56 Dukan, New Palasia, Indore, Madhya Pradesh 452001","Near 56 Dukan, New Palasia",22.7252063,75.8840558,ChIJIwAAECH9YjkRDISY5AjI6go,https://www.google.com/maps/place/?q=place_id:ChIJIwAAECH9YjkRDISY5AjI6go,part_136,2026-09-22 06:00:47,7311
Dhara Mobile Repair shop,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone store",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 95867 12264,N/A,3.7,,"BLOCK-B, B12-13, 100 Feet Anand Nagar Rd, opp. Seema Hall, Satellite, Ahmedabad, Gujarat 380015",Satellite,23.012833,72.5210553,ChIJgxztb9WEXjkRJH5tcYUqQRM,https://www.google.com/maps/place/?q=place_id:ChIJgxztb9WEXjkRJH5tcYUqQRM,part_136,2026-09-22 06:00:47,7312
Happy Mobile Repair,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone store, Telecommunications service provider",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98140 80093,N/A,4.7,,"Shop No 61 Mini Market, Sector 7, Panchkula, Haryana 134109",Budanpur,30.7069799,76.844686,ChIJK3aAFT-TDzkRlzTQd-OctL8,https://www.google.com/maps/place/?q=place_id:ChIJK3aAFT-TDzkRlzTQd-OctL8,part_136,2026-09-22 06:00:47,7313
Brother Mobiles & Accessories,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Appliance repair service, Cell phone accessory store, Electronics repair shop, Mobile phone repair shop",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 82228 20004,N/A,5.0,,"Booth No 1, near Manav Mangal school, Sector 11, Panchkula, Haryana 134109",Sector 11,30.6863764,76.8533838,ChIJYbbXLMaVDzkRcNyk1o03vbA,https://www.google.com/maps/place/?q=place_id:ChIJYbbXLMaVDzkRcNyk1o03vbA,part_136,2026-09-22 06:00:47,7314
Accessories Plus,Mobile Phone Sales and Repair,Cell phone accessory store,"Cell phone accessory store, Boat accessories supplier, Cell phone store, Computer accessories store, Mobile home supply store, Mobile phone repair shop, Phone repair service, Smart shop",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 88474 92532,N/A,4.9,,"SHOP NO 215, Canam Plaza, SCO 45, Sector 11, Panchkula, Haryana 134112",Sector 11,30.686122599999997,76.8493281,ChIJA4hcojOTDzkRsb81uHUZHQg,https://www.google.com/maps/place/?q=place_id:ChIJA4hcojOTDzkRsb81uHUZHQg,part_136,2026-09-22 06:00:47,7315
S.H MOBILE WORLD,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 70881 85894,N/A,4.7,,"Malsi puliya, Gularghati Rd, Balawala, Dehradun, Uttarakhand 248001",Balawala,30.2512384,78.1163646,ChIJ4Z-Yi0clCTkRP4QCNuI8pv4,https://www.google.com/maps/place/?q=place_id:ChIJ4Z-Yi0clCTkRP4QCNuI8pv4,part_136,2026-09-22 06:00:47,7316
