business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shiva Paying Guest,PG,Student dormitory,"Student dormitory, Boys' hostel, Girls' hostel, Guest house, Serviced accommodation, Backpacker Hostel, Student housing center, Working women's hostel, Youth Hostel",416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 80809 08881,https://shiva-pg.vercel.app/,4.9,,"Office No A 201 ,Second Floor, Plot No A 35, West, above Global Thikana, Nerul East, Sector 20, Nerul, Navi Mumbai, Maharashtra 400706","Nerul East, Sector 20, Nerul",19.034620099999998,73.0169951,ChIJDc2WfpXr5zsRJdpmfjNy-eU,https://www.google.com/maps/place/?q=place_id:ChIJDc2WfpXr5zsRJdpmfjNy-eU,part_136,2026-09-22 06:01:17
SHYAM PG & ROOMS,PG,Boys' hostel,Boys' hostel,416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 99093 22444,N/A,5.0,,"2nd floor, Satadhar super market, savjipara road, near Head post office, Batar Wadi, Amreli, Gujarat 365601",Batar Wadi,21.5998114,71.2163632,ChIJHeJzvzmBWDkRNJ5ybF1JW4M,https://www.google.com/maps/place/?q=place_id:ChIJHeJzvzmBWDkRNJ5ybF1JW4M,part_136,2026-09-22 06:01:17
Zolo Altius - PG in Kharadi| Unisex PG,PG,Student dormitory,"Student dormitory, Boys' hostel, Girls' hostel, Working women's hostel",416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 88845 18010,https://zolostays.com/pg-hostel-near-kharadi-in-pune-zolo_altius-zp020?utm_source=gmb,4.2,,"S no, NIRMAN ALTIUS, 7/2, behind Radisson Blu Hotel, Pandhari Nagar, Kharadi, Pune, Maharashtra 411014","Pandhari Nagar, Kharadi",18.5526165,73.93871279999999,ChIJj6toyN3DwjsRAwozV14wwao,https://www.google.com/maps/place/?q=place_id:ChIJj6toyN3DwjsRAwozV14wwao,part_136,2026-09-22 06:01:17
Dreamz PG for Boys,PG,Student dormitory,"Student dormitory, Boys' hostel, Guest house, Student housing center",416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 88570 07068,N/A,4.5,,"Plot no 8, Jaitala Rd, Bhujbal Layout, Bhamti, Sainath Nagar, Trimurti Nagar, Nagpur, Maharashtra 440022","Bhujbal Layout, Bhamti, Sainath Nagar, Trimurti Nagar",21.1113699,79.0429612,ChIJ_0mVPgC_1DsRpwYbxBKjuDw,https://www.google.com/maps/place/?q=place_id:ChIJ_0mVPgC_1DsRpwYbxBKjuDw,part_136,2026-09-22 06:01:17
Girikunj Pg And Corporate Guest House,PG,Student dormitory,"Student dormitory, Boys' hostel, Hotel, Home Stay, Guest house",416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 76669 17068,N/A,4.7,,"Chinchbhavan, Wardha Rd, Kachore Patil Nagar, Nagpur, Maharashtra 440037",Kachore Patil Nagar,21.066028499999998,79.0587092,ChIJUcwiZ0y_1DsRYDchWt0Af7I,https://www.google.com/maps/place/?q=place_id:ChIJUcwiZ0y_1DsRYDchWt0Af7I,part_136,2026-09-22 06:01:17
Pushpa Enclave P.G. & Hostel,PG,Student dormitory,Student dormitory,416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 79993 91822,N/A,4.2,,"2628, Brahman Colony Pisanhari ki Madhiya, near Medical College, Garha, Jabalpur, Madhya Pradesh 482003",Garha,23.1541546,79.8866638,ChIJUyFJEu2xgTkRHh1C0QLyk-c,https://www.google.com/maps/place/?q=place_id:ChIJUyFJEu2xgTkRHh1C0QLyk-c,part_136,2026-09-22 06:01:17
Royal PG,PG,Student dormitory,"Student dormitory, Serviced accommodation",416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 99675 86113,N/A,4.1,,"Someshwara Enclave, Vesu, Surat, Gujarat 395007","Someshwara Enclave, Vesu",21.1490021,72.7788419,ChIJz0Je6OpN4DsRwPebs8IUdUE,https://www.google.com/maps/place/?q=place_id:ChIJz0Je6OpN4DsRwPebs8IUdUE,part_136,2026-09-22 06:01:17
GIRLS AND BOYS PG ( MUMMA MESS TIFFIN SERVICE),PG,Student dormitory,"Student dormitory, Boys' hostel, Girls' hostel, Serviced accommodation, Student housing center, Working women's hostel",416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 93400 60363,N/A,4.5,,"Ward No. 13, Ram Nagar Rd, near Shakuntala Vidyalaya, Supela, Bhilai, Chhattisgarh 490023",Supela,21.223121,81.3454723,ChIJ4em2FpkjKToRjeSzf4EZLQ8,https://www.google.com/maps/place/?q=place_id:ChIJ4em2FpkjKToRjeSzf4EZLQ8,part_136,2026-09-22 06:01:17
Green House Pg,PG,Boys' hostel,Boys' hostel,416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 94063 26777,N/A,3.5,,"Odiya Basti, Katulbod, Durg, Chhattisgarh 490022","Odiya Basti, Katulbod",21.1984852,81.30091759999999,ChIJ-bNUov48KToR7zZhq09wbiM,https://www.google.com/maps/place/?q=place_id:ChIJ-bNUov48KToR7zZhq09wbiM,part_136,2026-09-22 06:01:17
SHIVALAY BOYS HOSTEL & PG,PG,Boys' hostel,Boys' hostel,416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 70160 39729,N/A,5.0,,"Moti Baug, Gandhi Gram, Junagadh, Gujarat 362001","Moti Baug, Gandhi Gram",21.507249299999998,70.45437079999999,ChIJ7b1DRgABWDkREwC221la_rI,https://www.google.com/maps/place/?q=place_id:ChIJ7b1DRgABWDkREwC221la_rI,part_136,2026-09-22 06:01:17
Sandeep Niwas Paying Guest,PG,Guest house,Guest house,416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 93711 40388,N/A,4.3,,"150, near Murganand Swami Mandir, Tent Line, Mohan Nagar, Nagpur, Maharashtra 440001","Tent Line, Mohan Nagar",21.1567164,79.0835817,ChIJ9__-41DB1DsRWAXUpMHz7So,https://www.google.com/maps/place/?q=place_id:ChIJ9__-41DB1DsRWAXUpMHz7So,part_136,2026-09-22 06:01:17
Pande Boys Hostel,PG,Boys' hostel,Boys' hostel,416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 98228 08851,N/A,4.3,,"Safalya 112, Shastri Nagar, Garkheda, Chhatrapati Sambhajinagar, Maharashtra 431005","Shastri Nagar, Garkheda",19.8687927,75.346935,ChIJeVLgK8Gj2zsRY5Qx3cM_RSo,https://www.google.com/maps/place/?q=place_id:ChIJeVLgK8Gj2zsRY5Qx3cM_RSo,part_136,2026-09-22 06:01:17
Mauli Boys Hostel,PG,Boys' hostel,Boys' hostel,416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 98601 03040,N/A,5.0,,"opp. Gandhi Hospital, near Rajmati Girls High School, Neminathnagar, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Neminathnagar, Vishrambag",16.8484303,74.591156,ChIJOZoug3IZwTsRGlWB74Js0Eo,https://www.google.com/maps/place/?q=place_id:ChIJOZoug3IZwTsRGlWB74Js0Eo,part_136,2026-09-22 06:01:17
Deepshikha PG,PG,Student dormitory,Student dormitory,416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",N/A,N/A,4.5,,"Z64, Mansarover Colony, Line Par, Moradabad, Uttar Pradesh 244103","Mansarover Colony, Line Par",28.836706399999997,78.7510851,ChIJodjdtKP7CjkRJGjjoT6Mdqw,https://www.google.com/maps/place/?q=place_id:ChIJodjdtKP7CjkRJGjjoT6Mdqw,part_136,2026-09-22 06:01:17
Stayway Homes Boys Hostel...,PG,Student dormitory,Student dormitory,416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 96656 86323,N/A,4.5,,"Central Ave, Shree Mangal Deshpande Layout, Wardhaman Nagar Colony, Nagpur, Maharashtra 440008","Shree Mangal Deshpande Layout, Wardhaman Nagar Colony",21.146048,79.14231529999999,ChIJzSnGZ6fH1DsRyVqpOZ1Yyvg,https://www.google.com/maps/place/?q=place_id:ChIJzSnGZ6fH1DsRyVqpOZ1Yyvg,part_136,2026-09-22 06:01:17
Padmavati posh rooms,PG,Student dormitory,"Student dormitory, Working women's hostel",416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",+91 90082 85514,N/A,5.0,,"Shetty Galli, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001","Khade Bazar, Raviwar Peth",15.8635503,74.51787379999999,ChIJK-uVk5RnvzsRTYZ1fF94SqU,https://www.google.com/maps/place/?q=place_id:ChIJK-uVk5RnvzsRTYZ1fF94SqU,part_136,2026-09-22 06:01:17
PG for Boys,PG,Housing complex,Housing complex,416806,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vijaydurg S.O, Girye B.O",N/A,N/A,3.7,,"Shivaji chowk, Mulund Colony, Mulund West, Mumbai, Maharashtra 400082","Mulund Colony, Mulund West",19.1757471,72.9385075,ChIJHTZVTAC55zsRlgqi1vJ3wnM,https://www.google.com/maps/place/?q=place_id:ChIJHTZVTAC55zsRlgqi1vJ3wnM,part_136,2026-09-22 06:01:17
