business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gorakshan dairy,Dairy and Milk Parlour,Dairy store,Dairy store,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 91681 21812,N/A,4.1,,"Bahadura Rd, near vivekanand public school, Bahadura Fata, Bahadura, Maharashtra 440034",Bahadura Fata,21.0998949,79.1531428,ChIJLz-1wHy51DsRWSF--pToG4Q,https://www.google.com/maps/place/?q=place_id:ChIJLz-1wHy51DsRWSF--pToG4Q,part_136,2026-09-22 06:01:31
Tandale Patil Dairy farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 92707 70514,N/A,4.7,,"JRX2+XM, Ghumandeo, Kamalpur, Maharashtra 413725",416807,19.649934,74.8016998,ChIJI0ePys2H3DsRGfaVjMem4qo,https://www.google.com/maps/place/?q=place_id:ChIJI0ePys2H3DsRGfaVjMem4qo,part_136,2026-09-22 06:01:31
Siddheshwar Milk and Icecream Parlour,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 84119 05544,N/A,5.0,,"Shop no -5, Keshar Complex, SR No 15, Raghav Nagar, Ambegaon Budruk, Pune, Maharashtra 411046","Raghav Nagar, Ambegaon Budruk",18.4575718,73.8407788,ChIJK5iLWSiVwjsRiJifdYScbrE,https://www.google.com/maps/place/?q=place_id:ChIJK5iLWSiVwjsRiJifdYScbrE,part_136,2026-09-22 06:01:32
NANDAN Dairy,Dairy and Milk Parlour,Dairy farm,"Dairy farm, Agriculture",416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 2112 222 772,http://www.baramatidoodhsangh.com/,4.3,,"Baramati - Pune Rd, Malegaon Budruk, Maharashtra 413115",416807,18.1335457,74.5049536,ChIJnSeKIdKgwzsRTJhMpM4wS0s,https://www.google.com/maps/place/?q=place_id:ChIJnSeKIdKgwzsRTJhMpM4wS0s,part_136,2026-09-22 06:01:32
Nageshwar Dairy Farm,Dairy and Milk Parlour,Dairy farm,"Dairy farm, Dairy store",416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,N/A,N/A,4.9,,"At, near Durga Mata Temple, Pingane, Shahada, Maharashtra 425409",416807,21.5447654,74.4572896,ChIJ_01TnLJt3zsRLMi566S9kdY,https://www.google.com/maps/place/?q=place_id:ChIJ_01TnLJt3zsRLMi566S9kdY,part_136,2026-09-22 06:01:32
Shri Saraswati Dairy,Dairy and Milk Parlour,Dairy store,Dairy store,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 257 222 5678,N/A,4.3,,"Saraswati Bhavan, 173, Navi Peth, Jaikisan Wadi, Jalgaon, Maharashtra 425001","Navi Peth, Jaikisan Wadi",21.0150059,75.5657786,ChIJL0rSnqMP2TsRpphfT8Pvth4,https://www.google.com/maps/place/?q=place_id:ChIJL0rSnqMP2TsRpphfT8Pvth4,part_136,2026-09-22 06:01:32
Milk Parlour,Dairy and Milk Parlour,Dessert shop,Dessert shop,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,N/A,N/A,4.0,,"Pipariya, Madhya Pradesh 482010",416807,23.2429126,79.97084319999999,ChIJn3T9y3uvgTkRO7IXNWRhxzc,https://www.google.com/maps/place/?q=place_id:ChIJn3T9y3uvgTkRO7IXNWRhxzc,part_136,2026-09-22 06:01:32
Shree Jain Dugdhalaya,Dairy and Milk Parlour,Dairy store,"Dairy store, Sweet shop",416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 98701 97917,https://www.pashvamjaindugdhalaya.com/,4.2,,"Shop No. 7/8, Building, Shanti Park Rd, Poonam Nagar, Mira Road East, Mira Bhayandar, Maharashtra 401107","Poonam Nagar, Mira Road East",19.2782542,72.8637732,ChIJCTm2pVqw5zsRBCP5M0StA6A,https://www.google.com/maps/place/?q=place_id:ChIJCTm2pVqw5zsRBCP5M0StA6A,part_136,2026-09-22 06:01:32
Mustafa Sweets & Dairy Farms,Dairy and Milk Parlour,Dairy store,Dairy store,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,N/A,N/A,3.7,,"Masjid-e-Quba, Khader Bagh Rd, adj. Premiere Hospital, Nanal Nagar, Toli Chowki, Hyderabad, Telangana 500008","Nanal Nagar, Toli Chowki",17.3910566,78.4271526,ChIJD9u94eKWyzsRo1FjcFRQcU4,https://www.google.com/maps/place/?q=place_id:ChIJD9u94eKWyzsRo1FjcFRQcU4,part_136,2026-09-22 06:01:32
Amrutha A2 Dairy farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 91773 44441,N/A,4.5,,"1-36/1/12/1/67, near Reddy colony, Padmaja Nagar, Vemana Colony, Chanda Nagar, Hyderabad, Telangana 502032","Padmaja Colony, Vemana Colony, Chanda Nagar",17.5082141,78.3166459,ChIJg1wcY4WTyzsRisnVfUpvqlU,https://www.google.com/maps/place/?q=place_id:ChIJg1wcY4WTyzsRisnVfUpvqlU,part_136,2026-09-22 06:01:32
Mother India Dairy,Dairy and Milk Parlour,Dairy store,Dairy store,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 80062 52525,N/A,4.3,,"Near, Main Road, Prahlad Nagar, Meerut, Uttar Pradesh 250002",Prahlad Nagar,28.9710298,77.70878019999999,ChIJ7yKRWvJkDDkRyiGnmg8xFD4,https://www.google.com/maps/place/?q=place_id:ChIJ7yKRWvJkDDkRyiGnmg8xFD4,part_136,2026-09-22 06:01:32
Bansal Dairy(Rajban Branch),Dairy and Milk Parlour,Dairy store,Dairy store,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 98375 70963,N/A,4.2,,"163, Gunj Bazar, Sadar Dal Mandi, Sadar, Meerut, Uttar Pradesh 250001","Sadar Dal Mandi, Sadar",28.9908379,77.6996422,ChIJJeR4JwJlDDkRcrgLOChj9UI,https://www.google.com/maps/place/?q=place_id:ChIJJeR4JwJlDDkRcrgLOChj9UI,part_136,2026-09-22 06:01:32
Sunil Milk Dairy Farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,N/A,N/A,4.9,,"609/21, Kishanpura - Railway Colony Rd, Meerut Cantt, Meerut, Uttar Pradesh 250002",Meerut Cantt,28.9738151,77.67277729999999,ChIJP14_YYplDDkRiDQTAh3Nb4M,https://www.google.com/maps/place/?q=place_id:ChIJP14_YYplDDkRiDQTAh3Nb4M,part_136,2026-09-22 06:01:32
Agarwal Shiv Dairy,Dairy and Milk Parlour,Store,Store,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 98223 40519,N/A,,,"Bldg Shop No. 3, FRQ8+F75, 10, Canal Rd, Hingne Budrukh, Karvenagar, Pune, Maharashtra 411052","Hingne Budrukh, Karvenagar",18.4887111,73.8156922,ChIJuf19tOC_wjsR_x8BGahqho4,https://www.google.com/maps/place/?q=place_id:ChIJuf19tOC_wjsR_x8BGahqho4,part_136,2026-09-22 06:01:32
Zam Zam Milk Dairy,Dairy and Milk Parlour,Dairy Products Supplier,Dairy Products Supplier,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 98491 19004,N/A,4.4,,"16-11-16/N/163,West Prashanth Nagar, Moosarambagh Rd, Raidurgh, West Prasanth Nagar, Malakpet Extension, Old Malakpet, Hyderabad, Telangana 500036","Raidurgh, West Prasanth Nagar, Malakpet Extension, Old Malakpet",17.3781766,78.51312349999999,ChIJvXhyilOYyzsRMZ4mKnb1M90,https://www.google.com/maps/place/?q=place_id:ChIJvXhyilOYyzsRMZ4mKnb1M90,part_136,2026-09-22 06:01:33
Masqati Dairy company,Dairy and Milk Parlour,Dairy Products Supplier,"Dairy Products Supplier, Dairy store",416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 98480 52530,https://www.masqati.com/,4.3,,"22-4-470, Alijah Kotla, Yakutpura, Etebar Chowk, Bibi Bazaar, near Charminar, Hyderabad, Telangana 500002","Etebar Chowk, Bibi Bazaar, Yakhutpura",17.361068,78.4798915,ChIJeWbIdiGYyzsREMHAW2VnT8E,https://www.google.com/maps/place/?q=place_id:ChIJeWbIdiGYyzsREMHAW2VnT8E,part_136,2026-09-22 06:01:33
Pravarsha Dairy - Head office,Dairy and Milk Parlour,Dairy farm,"Dairy farm, Dairy store, Milk delivery service",416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 77026 66699,N/A,4.0,,"205, Saptagiri Towers, Sardar Patel Rd, Mayur Marg, Begumpet, Hyderabad, Telangana 500016","Mayur Marg, Begumpet",17.4443698,78.462863,ChIJwY5VUyKRyzsRupUK2-Z99X0,https://www.google.com/maps/place/?q=place_id:ChIJwY5VUyKRyzsRupUK2-Z99X0,part_136,2026-09-22 06:01:33
Amba Dairy,Dairy and Milk Parlour,Dairy Products Supplier,"Dairy Products Supplier, Dairy store",416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 99583 37474,N/A,3.8,,"B-4, Balaji Rd, Vikas Nagar Extension, Vikas Nagar, Uttam Nagar, Delhi, 110059","Vikas Nagar Extension, Vikas Nagar, Uttam Nagar",28.637742799999998,77.0469567,ChIJWx5NThoFDTkRVk8k5pVBmxg,https://www.google.com/maps/place/?q=place_id:ChIJWx5NThoFDTkRVk8k5pVBmxg,part_136,2026-09-22 06:01:33
