business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Success Overseas,Educational Consultant,Educational consultant,Educational consultant,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 99243 00358,http://successoverseas.com/,4.5,,"SUCCESS OVERSEAS EDUCATION CONSULTANT, opp. OLD WATER TANK-VTC, near SARDAR PATEL STATUE, Vallabh Vidyanagar, Anand, Gujarat 388120",Vallabh Vidyanagar,22.545624099999998,72.9275455,ChIJX4V1z9hNXjkRfFMH-Q_WEgw,https://www.google.com/maps/place/?q=place_id:ChIJX4V1z9hNXjkRfFMH-Q_WEgw,part_136,2026-09-22 06:01:53
Venkatesh Career Point,Educational Consultant,Educational consultant,Educational consultant,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 97320 25950,N/A,4.2,,"B-ZONE, 1/20, Sepco Twp, Durgapur, West Bengal 713205",Sepco Township,23.5490337,87.3145266,ChIJhSYwRBdu9zkReAIWuyioPwo,https://www.google.com/maps/place/?q=place_id:ChIJhSYwRBdu9zkReAIWuyioPwo,part_136,2026-09-22 06:01:53
Career Craft Consultants - SAC ( Vadodara ),Educational Consultant,Educational consultant,"Educational consultant, Career guidance service, Coaching Center, Consultant, Student career counseling office",416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 75671 70872,http://www.careercraftconsultants.co.in/,4.8,,"Pancham Highstreet, 208, Old Padra Rd, opp. Bankers Heart, beside McDonald, Vidyutnagar Colony, IOC Nagar, Akota, Vadodara, Gujarat 390007","Vidyutnagar Colony, IOC Nagar, Akota",22.2976161,73.16508739999999,ChIJzTypqqDIXzkRKjavwYnz_Dg,https://www.google.com/maps/place/?q=place_id:ChIJzTypqqDIXzkRKjavwYnz_Dg,part_136,2026-09-22 06:01:53
Silver Fern Education Consultants,Educational Consultant,Educational consultant,Educational consultant,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 172 400 9577,http://www.thesfedu.com/,4.9,1022.0,"First Floor, Sco 261, behind Nirman theatre, Sector 32D, Sector 32, Chandigarh, 160030","Sector 32D, Sector 32",30.7079684,76.77449399999999,ChIJq5RgryntDzkRP72e6UxE-t0,https://www.google.com/maps/place/?q=place_id:ChIJq5RgryntDzkRP72e6UxE-t0,part_136,2026-09-22 06:01:53
Fateh Education- Study Abroad Consultants in Delhi,Educational Consultant,Educational consultant,"Educational consultant, Career guidance service, Consultant, Counselor, Student career counseling office, Educational testing service",416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 84060 10203,https://www.fateheducation.com/overseas-education-consultant/delhi/,4.9,1731.0,"2/11, W Patel Nagar Rd, opposite metro pillar no. 189, Block 2, East Patel Nagar, Patel Nagar, Delhi, New Delhi, Delhi 110008","Block 2, East Patel Nagar, Patel Nagar",28.6456767,77.1686666,ChIJnQajymX2ZxQRt82xlWLta50,https://www.google.com/maps/place/?q=place_id:ChIJnQajymX2ZxQRt82xlWLta50,part_136,2026-09-22 06:01:53
INPHASE Education Consultants,Educational Consultant,Educational consultant,"Educational consultant, Education center, Educational institution, Studying center, Visa Agent",416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 97807 77111,https://inphase.global/,4.9,284.0,"SCO 74-75, Level II, above Mochi, 17C, Chandigarh, 160017","Sector 17A, 17C, Sector 17",30.7397533,76.7826968,ChIJRdNcgQ3tDzkR8gZlkm5YQ7c,https://www.google.com/maps/place/?q=place_id:ChIJRdNcgQ3tDzkR8gZlkm5YQ7c,part_136,2026-09-22 06:01:53
DSR IMMIGRATION EDUCATION CONSULTANTS PVT. LTD.,Educational Consultant,Educational consultant,Educational consultant,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 172 297 2083,https://dsrimmigration.com/appointment,4.9,63.0,"3rd and 4th Floor, SCO-54-55-56, Sector 17A, 17D, Sector 17, Chandigarh, 160017","Sector 17A, 17D, Sector 17",30.7440146,76.78410889999999,ChIJQyEv9q3tDzkRFbRQzRMb0dA,https://www.google.com/maps/place/?q=place_id:ChIJQyEv9q3tDzkRFbRQzRMb0dA,part_136,2026-09-22 06:01:53
Expert Educational Consultancy,Educational Consultant,Educational consultant,Educational consultant,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,N/A,https://www.expertedu.com/,4.2,44.0,"H.O: 104, Central Market, opposite PVR Cinema, Prashant Vihar, Sector 14, Rohini, Delhi, 110085","Prashant Vihar, Sector 14, Rohini",28.712546,77.1371463,ChIJHVKlrHwBDTkR3av-RLaItfo,https://www.google.com/maps/place/?q=place_id:ChIJHVKlrHwBDTkR3av-RLaItfo,part_136,2026-09-22 06:01:53
Overseas Education Centre,Educational Consultant,Educational consultant,Educational consultant,416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 89055 70642,http://www.oecindia.com/,4.9,68.0,"2nd Floor,Prestige Building, Race Course Circle, beside Axis Bank - Vadodara, Vadodara, Gujarat 390007",Vadiwadi,22.311369,73.16527409999999,ChIJ6____5vIXzkRqKgOD-cT22g,https://www.google.com/maps/place/?q=place_id:ChIJ6____5vIXzkRqKgOD-cT22g,part_136,2026-09-22 06:01:53
Fateh Education - Study Abroad Consultants in Chandigarh,Educational Consultant,Educational consultant,"Educational consultant, Career guidance service, Consultant, Counselor, Student career counseling office, Educational testing service",416807,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Tirlot S.O,+91 97111 47699,https://www.fateheducation.com/overseas-education-consultant/chandigarh/,5.0,64.0,"2nd floor, SCO No. 16-17, Madhya Marg, Sector 8C, Sector 8, Chandigarh, 160009","Sector 8C, Sector 8",30.7401543,76.7925214,ChIJt8CaZ4vtDzkRk2VtZpjLymY,https://www.google.com/maps/place/?q=place_id:ChIJt8CaZ4vtDzkRk2VtZpjLymY,part_136,2026-09-22 06:01:53
