business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maharashtra auto electrician & Ac Repair,Auto Electrician and AC Repair,Auto Electrician and AC Repair,Auto Electrician and AC Repair,416810,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vaibhavwadi S.O, Achirne B.O, Arule B.O",N/A,N/A,5.0,2.0,"V9X6+HQX, Jalgaon Rd, Kamdhenu Housing Society, Harsul, Chhatrapati Sambhajinagar, Maharashtra 431008","Kamdhenu Housing Society, Harsul",19.898988,75.36198,ChIJFwlcZgCj2zsRNE7qXEDB2D4,https://www.google.com/maps/place/?q=place_id:ChIJFwlcZgCj2zsRNE7qXEDB2D4,part_136,2026-09-22 06:02:15
Maksud Auto Electrical And AC Works,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Auto air conditioning service, Auto repair shop",416810,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vaibhavwadi S.O, Achirne B.O, Arule B.O",N/A,N/A,4.1,27.0,"551, Gurudwara Road, Opposite Sandeep Hotel, Shingada Talav, Mumbai Naka, Renuka Nagar, Nashik, Maharashtra 422001","Shingada Talav, Mumbai Naka, Renuka Nagar",19.990738,73.783845,ChIJEbWGaAXr3TsRqi25xKC7sa0,https://www.google.com/maps/place/?q=place_id:ChIJEbWGaAXr3TsRqi25xKC7sa0,part_136,2026-09-22 06:02:15
Car Ac Repair & Auto Electrical,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,416810,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vaibhavwadi S.O, Achirne B.O, Arule B.O",+91 98780 07153,N/A,5.0,3.0,"Shop No-162, 167, Circular Road, Kapurthala, Punjab 144601",416810,31.3709554,75.3804225,ChIJ_z46MxFJGjkRA01iwaP8JsU,https://www.google.com/maps/place/?q=place_id:ChIJ_z46MxFJGjkRA01iwaP8JsU,part_136,2026-09-22 06:02:15
Naeem auto electrician and car AC service,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,416810,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vaibhavwadi S.O, Achirne B.O, Arule B.O",0312 4460323,N/A,5.0,,"1, Block 1 Sector C-1 Block 1 Twp Sector C 1 Lahore, 54600, Pakistan",Block 1 Sector C-1 Block 1 Township Sector C 1,31.4427204,74.2956166,ChIJaSNVcQABGTkRWTWytUsK38A,https://www.google.com/maps/place/?q=place_id:ChIJaSNVcQABGTkRWTWytUsK38A,part_136,2026-09-22 06:02:16
Rane Auto electrician,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Car repair and maintenance service",416810,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vaibhavwadi S.O, Achirne B.O, Arule B.O",N/A,N/A,5.0,,"pokale petrol pump, Kasarde Rd, near w y pokale petrol pump, Kasarde, Talere, Maharashtra 416801",416810,16.440504,73.66229059999999,ChIJgXSecNA7wDsRSbDtJClo6ns,https://www.google.com/maps/place/?q=place_id:ChIJgXSecNA7wDsRSbDtJClo6ns,part_136,2026-09-22 06:02:16
Zahid Car AC Service & Auto Electrician,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,416810,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vaibhavwadi S.O, Achirne B.O, Arule B.O",0300 6633900,N/A,4.0,,"Ayub Colony Faisalabad, Pakistan",Ayub Colony,31.4074009,73.05180109999999,ChIJ9331yNpCIjkRIKty13uc_-E,https://www.google.com/maps/place/?q=place_id:ChIJ9331yNpCIjkRIKty13uc_-E,part_136,2026-09-22 06:02:16
"MAKHDOOM AUTO – Car Repair, AC, ECM, EPS, ABS, Scanning & Electrical Works Nashik",Auto Electrician and AC Repair,Auto repair shop,"Auto repair shop, Auto air conditioning service, Auto electrical service, Diesel engine repair service, Towing service",416810,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vaibhavwadi S.O, Achirne B.O, Arule B.O",+91 73500 54254,https://sites.google.com/view/makhdoomauto-nashik,4.7,,"Shop no 34, Front of eknath car decor, prosper park, Shingada Talav, Ganjmal, Nashik, Maharashtra 422001","Shingada Talav, Ganjmal",19.9938122,73.7870691,ChIJr9Fv3P7r3TsRWuKalhKImdg,https://www.google.com/maps/place/?q=place_id:ChIJr9Fv3P7r3TsRWuKalhKImdg,part_136,2026-09-22 06:02:16
Bansal Auto Electrician car AC Repair,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,416810,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vaibhavwadi S.O, Achirne B.O, Arule B.O",+91 94638 53059,N/A,5.0,,"73XC+VH2, Saila Khurd, Punjab 144529",416810,31.299633999999998,76.0714009,ChIJZfN-7FrrGjkRknWczSe9VYU,https://www.google.com/maps/place/?q=place_id:ChIJZfN-7FrrGjkRknWczSe9VYU,part_136,2026-09-22 06:02:16
A k invertar battery house -Ac repair ac shop,Auto Electrician and AC Repair,Air conditioning repair service,"Air conditioning repair service, Electronics manufacturer, Service establishment",416810,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vaibhavwadi S.O, Achirne B.O, Arule B.O",+91 98995 05994,N/A,5.0,,"A k invertar battery house -Ac repair ac shop, 416810, India",416810,28.649348,77.37441679999999,ChIJz0wafQr7DDkR85uO1miVm1Q,https://www.google.com/maps/place/?q=place_id:ChIJz0wafQr7DDkR85uO1miVm1Q,part_136,2026-09-22 06:02:16
NS Auto Care,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,416810,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vaibhavwadi S.O, Achirne B.O, Arule B.O",+91 83902 26941,N/A,5.0,,"CTS no 18360, Railway Station Rd, opposite to MTDC resort, Padampani Colony, Chhatrapati Sambhajinagar, Maharashtra 431005",Padampani Colony,19.861740599999997,75.3136134,ChIJ_awZ1MeZ2zsRHYwuUwfBn8g,https://www.google.com/maps/place/?q=place_id:ChIJ_awZ1MeZ2zsRHYwuUwfBn8g,part_136,2026-09-22 06:02:16
