business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Girls Fashion | Rental Jewellery & Cosmetic Store,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Cosmetics store",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,4.2,,"Shop no 570, Siru Chowk, Mukund Nagar, Ulhasnagar, Maharashtra 421002","Siru Chowk, Mukund Nagar",19.235427899999998,73.1650496,ChIJgWTTLxGU5zsRmXFjs1ylZnc,https://www.google.com/maps/place/?q=place_id:ChIJgWTTLxGU5zsRmXFjs1ylZnc,part_136,2026-09-22 06:04:25
Elegance Imitation & Art Jewellery,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 72080 13555,N/A,4.8,,"Shop no 23, Alaknanda CHS, D-3, Usha Kiran CHS, Lokgram, Kalyan, Maharashtra 421306","Usha Kiran CHS, Lokgram",19.222091199999998,73.1300277,ChIJu77CasmV5zsRumhKJHmzS5M,https://www.google.com/maps/place/?q=place_id:ChIJu77CasmV5zsRumhKJHmzS5M,part_136,2026-09-22 06:04:25
Royal Studio ( Jewellery To Make You Shine ),Artificial Jewellery and Accessories,Jewelry store,Jewelry store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 85300 68118,N/A,4.8,,"Shop No 2, Wings Arcade, behind Jai Shankar Icecream, Siru Chowk, Press Bazar, Ulhasnagar, Maharashtra 421002","Siru Chowk, Press Bazar",19.2349286,73.165305,ChIJHQBbx16V5zsR1MEMqMtDfx0,https://www.google.com/maps/place/?q=place_id:ChIJHQBbx16V5zsR1MEMqMtDfx0,part_136,2026-09-22 06:04:25
Javeri Art 1 g.m gold jewellery,Artificial Jewellery and Accessories,Ear piercing service,"Ear piercing service, Jewelry designer, Jewelry repair service",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 98900 16530,N/A,5.0,,"Bk350 Lassi Gali, Ulhasnagar, Maharashtra 421002","Zaveri Bazar, Mukund Nagar",19.2358358,73.1655518,ChIJJy7KUvqV5zsRX5pNij2vqow,https://www.google.com/maps/place/?q=place_id:ChIJJy7KUvqV5zsRX5pNij2vqow,part_136,2026-09-22 06:04:25
Javeri 1gm gold jwellery,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,4.6,,"5/322, Netaji Rd, Siru Chowk, Mukund Nagar, Ulhasnagar, Maharashtra 421002 India Ulhasnagar 2, Maharashtra 421002","Zaveri Bazar, Mukund Nagar",19.2356706,73.1657906,ChIJMcbARNGV5zsRb6t55AfJnM0,https://www.google.com/maps/place/?q=place_id:ChIJMcbARNGV5zsRb6t55AfJnM0,part_136,2026-09-22 06:04:25
DARSHANA ARTS,Artificial Jewellery and Accessories,Manufacturer,"Manufacturer, Jewelry designer",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,https://www.facebook.com/Rajpatwa1503/videos/386416269198202/,,,"Pali Hill Apartment Office 4 Gol maidan Gajanand market, Ulhasnagar 1, Mumbai, Maharashtra 421002",Sidhi Vinayak Nagar,19.2361899,73.1581648,ChIJvdTt1--V5zsRYtNXFbEdHjc,https://www.google.com/maps/place/?q=place_id:ChIJvdTt1--V5zsRYtNXFbEdHjc,part_136,2026-09-22 06:04:25
Saptapadi Shringar | Best Imitation Jewellery Shop in Thane,Artificial Jewellery and Accessories,Jeweler,"Jeweler, Cosmetics store",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 91369 80355,N/A,4.8,,"6, Barvewadi, Gopal Krishna Gokhale Marg, opp. Amar Shooes, Naupada, Thane West, Thane, Maharashtra 400602","Naupada, Thane West",19.187704999999998,72.9716644,ChIJmy-7QyC55zsRSFlK8PVTDvw,https://www.google.com/maps/place/?q=place_id:ChIJmy-7QyC55zsRSFlK8PVTDvw,part_136,2026-09-22 06:04:25
Gujrati Collection Jewellery,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Jeweler",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 88509 05749,N/A,5.0,,"Shop No.975, 2, Central Hospital Rd, opp. Kishore shoes, Sidhi Vinayak Nagar, Ulhasnagar, Maharashtra 421002",Sidhi Vinayak Nagar,19.2336806,73.1618989,ChIJm5wQkBaU5zsRAAAA0EeeCW0,https://www.google.com/maps/place/?q=place_id:ChIJm5wQkBaU5zsRAAAA0EeeCW0,part_136,2026-09-22 06:04:25
Grace Fancy Store,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Cosmetics store, Jeweler, Sunglasses store",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 70666 68152,N/A,5.0,,"Shop No 3 Station Road Kawaram Chowk, Ulhasnagar Sky Walk - III, Mumbai, Maharashtra 421002","Laxmi Nagar, Ramayan Nagar",19.222274,73.1616082,ChIJO2K5zGuU5zsRAAAA0CqVmmA,https://www.google.com/maps/place/?q=place_id:ChIJO2K5zGuU5zsRAAAA0CqVmmA,part_136,2026-09-22 06:04:25
Bridal's Beauty Centre,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Cosmetics store, Hair extensions supplier, Beauty product supplier, Perfume store",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 93242 52401,N/A,4.6,,"Shop Number 4, Wings Arcade, Jhullelal Bazar, Siru Chowk, Press Bazar, Ulhasnagar, Maharashtra 421002","Siru Chowk, Press Bazar",19.2348906,73.1653346,ChIJQVC4ORGU5zsRbP0dJYM8DwQ,https://www.google.com/maps/place/?q=place_id:ChIJQVC4ORGU5zsRbP0dJYM8DwQ,part_136,2026-09-22 06:04:25
