business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Satyam Services,B2B Appointment-Setting Agencies,Employment center,"Employment center, BPO Placement Agency, Human resource consulting, Recruiter, Unemployment office",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 251 271 3015,http://satyamservices.org/,4.0,165.0,"Shop No. 13 & 14, Jai Bhawani Market, Central Hospital Rd, near Devi Bhawani Mandir, opp. old bank of baroda, Ulhasnagar, Maharashtra 421002",Sidhi Vinayak Nagar,19.2339909,73.1612902,ChIJAQAAABWU5zsRCIRcAqNWc0U,https://www.google.com/maps/place/?q=place_id:ChIJAQAAABWU5zsRCIRcAqNWc0U,part_136,2026-09-22 06:04:55
The 4P Solutions - B2B Digital Marketing Agency in Mumbai,B2B Appointment-Setting Agencies,Marketing agency,"Marketing agency, Internet marketing service, Marketing consultant",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 85919 37177,http://the4psolutions.com/,4.7,64.0,"Neptune Flying Colors, 403 D, Dindayal Upadhyay Marg, above Croma, near Mulund Check Naka, Siddharth Nagar, Mulund West, Mumbai, Maharashtra 400080","Siddharth Nagar, Mulund West",19.182404299999998,72.9541574,ChIJSfuC2vK45zsREKYPFzO53Yw,https://www.google.com/maps/place/?q=place_id:ChIJSfuC2vK45zsREKYPFzO53Yw,part_136,2026-09-22 06:04:55
Paddlepoint Bpo Services Pvt Ltd,B2B Appointment-Setting Agencies,BPO Company,BPO Company,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 73039 59697,https://www.paddlepoint.in/,4.8,69.0,"Sunrise Business Park, 303, Road No. 16, Neheru Nagar, Wagle Industrial Estate, Thane West, Thane, Maharashtra 400604","Neheru Nagar, Wagle Industrial Estate, Thane West",19.1917358,72.95242019999999,ChIJXVdyRSi55zsRHMtAQJx4AZU,https://www.google.com/maps/place/?q=place_id:ChIJXVdyRSi55zsRHMtAQJx4AZU,part_136,2026-09-22 06:04:56
Job,B2B Appointment-Setting Agencies,Warehouse,Warehouse,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,,,"5XMF+66F, Daulat Nagar, Thane East, Thane, Maharashtra 400603","Daulat Nagar, Thane East",19.183056699999998,72.97303389999999,ChIJcQenq8-55zsRphplG_p4E5U,https://www.google.com/maps/place/?q=place_id:ChIJcQenq8-55zsRphplG_p4E5U,part_136,2026-09-22 06:04:56
Spotlight consultant,B2B Appointment-Setting Agencies,Business management consultant,Business management consultant,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 87791 58297,https://spotlightconsultant.ueniweb.com/?utm_campaign=gmb,3.5,,"Dombivli, Sangeeta Wadi, Dombivli East, Kalyan, Maharashtra 421201","Dombivli, Sangeeta Wadi, Dombivli East",19.2116805,73.0907,ChIJTQDHE5G_5zsRapwReMecO58,https://www.google.com/maps/place/?q=place_id:ChIJTQDHE5G_5zsRapwReMecO58,part_136,2026-09-22 06:04:56
Step Ahead Hr,B2B Appointment-Setting Agencies,Employment agency,Employment agency,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,1.0,,"Paranjpe Udyog Bhavan, Station Rd, near Thane Railway Station, Jambli Naka, Thane West, Thane, Maharashtra 400602","Jambli Naka, Thane West",19.1875669,72.976142,ChIJkR_YSCe55zsRXRxGV0Xf1C4,https://www.google.com/maps/place/?q=place_id:ChIJkR_YSCe55zsRXRxGV0Xf1C4,part_136,2026-09-22 06:04:56
Yojan Online Services Private Limited,B2B Appointment-Setting Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Business development service, Marketing agency, Software company, Web hosting company, Website designer",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 90760 57135,https://yojanonline.com/?utm_source=google_business_profile&utm_medium=organic_local&utm_campaign=local_visibility,,,"354, Bhagwat Nagar, Varap, Mharal, Kalyan, Maharashtra 421103","Varap, Mharal",19.2449828,73.1767224,ChIJ8aSHb7CV5zsR3wIS7kySH4Y,https://www.google.com/maps/place/?q=place_id:ChIJ8aSHb7CV5zsR3wIS7kySH4Y,part_136,2026-09-22 06:04:56
ICAN BPO,B2B Appointment-Setting Agencies,BPO Company,"BPO Company, Call center",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 22 5000 0555,https://www.icanbpo.com/,4.2,,"11th floor, Fenkin 9, 1106, Rd Number 3, behind Satkar Grande Hotel, Wagle Estate, Golden & Silver Park, Wagle Industrial Estate, Thane West, Thane, Maharashtra 400604","Wagle Estate, Golden & Silver Park, Wagle Industrial Estate, Thane West",19.1871156,72.9539961,ChIJ9eXFxx7B5zsRMk1Qy7R57F8,https://www.google.com/maps/place/?q=place_id:ChIJ9eXFxx7B5zsRMk1Qy7R57F8,part_136,2026-09-22 06:04:56
Expert Placements,B2B Appointment-Setting Agencies,Employment agency,"Employment agency, BPO Placement Agency",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 98191 44147,N/A,4.7,,"No.1, Station Rd, near Gav Devi Mandir, next to Generic Medical, Kopri Colony, Daulat Nagar, Thane East, Thane, Maharashtra 400603","Kopri Colony, Daulat Nagar, Thane East",19.1846311,72.97283709999999,ChIJeziaUNm45zsRBlyAFEaRnlk,https://www.google.com/maps/place/?q=place_id:ChIJeziaUNm45zsRBlyAFEaRnlk,part_136,2026-09-22 06:04:56
PlatinumOne Business Services Limited,B2B Appointment-Setting Agencies,BPO Company,BPO Company,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 98192 16509,http://www.platinumone.in/,3.7,,"7th Floor, A-WING, Ashar IT Park, Road No. 16/Z, Neheru Nagar, Wagle Industrial Estate, Thane West, Thane, Maharashtra 400604","Neheru Nagar, Wagle Industrial Estate, Thane West",19.1989759,72.9539107,ChIJld1EGQ-55zsRA7n-3LJdC_8,https://www.google.com/maps/place/?q=place_id:ChIJld1EGQ-55zsRA7n-3LJdC_8,part_136,2026-09-22 06:04:56
