business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Real Haresh Catering Service,Caterer and Event Planner,Caterer,Caterer,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,4.8,,"Landmark :, Shop No.1, Navjyoti Apartment, Behind Baba Dholuram Darbar Road Bewas Chowk Road, Arya Gaushala, Ulhasnagar, Maharashtra 421002","Arya Gaushala, Mukund Nagar",19.2375364,73.166079,ChIJGwlLlRCU5zsRJhA3pF6TVh0,https://www.google.com/maps/place/?q=place_id:ChIJGwlLlRCU5zsRJhA3pF6TVh0,part_136,2026-09-22 06:04:40
Kailash Parbat Caterers,Caterer and Event Planner,Catering food and drink supplier,Catering food and drink supplier,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,5.0,,"Jhulelal Mandir Rd, Mukund Nagar, Ulhasnagar, Maharashtra 421001",Mukund Nagar,19.2367512,73.1685076,ChIJIxp5c4yV5zsR5Y_ZIKtqZ2Q,https://www.google.com/maps/place/?q=place_id:ChIJIxp5c4yV5zsR5Y_ZIKtqZ2Q,part_136,2026-09-22 06:04:40
Perfecto Caterers & Events,Caterer and Event Planner,Wedding service,"Wedding service, Catering food and drink supplier",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 74984 59495,N/A,4.8,,"VL nagda chawl Maratha, 2/2, Kolsewadi, Kalyan East, Kalyan, Maharashtra 421306","Kolsewadi, Kalyan East",19.231878299999998,73.1364892,ChIJB_XZCHa_5zsRBWkt79Y0aq0,https://www.google.com/maps/place/?q=place_id:ChIJB_XZCHa_5zsRBWkt79Y0aq0,part_136,2026-09-22 06:04:40
AJ EVENTS & CATERERS,Caterer and Event Planner,Event management company,Event management company,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 89760 12541,N/A,4.9,,"Shop no.4, B-WING, Shiv Sadan, C.H.S, behind Dhanwantri Medical, Katemanivali, Naka, Kalyan, Maharashtra 421306","Katemanivali, Naka",19.2279754,73.14025769999999,ChIJT6ZWLTSU5zsRYz9gjSUYEGE,https://www.google.com/maps/place/?q=place_id:ChIJT6ZWLTSU5zsRYz9gjSUYEGE,part_136,2026-09-22 06:04:40
Ankit Caterers and Event Management,Caterer and Event Planner,Caterer,Caterer,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 83695 55816,N/A,5.0,,"Shop no. 7, Nutan Shree Samarth Apartments, Near Triveni Tower, Hanuman Nagar, Katemanivali, Kalyan East, Maharashtra 421306","Katemanivali, Kalyan East",19.224695,73.14238089999999,ChIJwUM2IH6V5zsRLDhb-nyOQ68,https://www.google.com/maps/place/?q=place_id:ChIJwUM2IH6V5zsRLDhb-nyOQ68,part_136,2026-09-22 06:04:40
Pawan Decorator & Catering Service,Caterer and Event Planner,Caterer,Caterer,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 251 270 9411,N/A,4.3,,"BK. No A78/465, KALA APT MENT, Road, near Saikrupa Gas Gol Maidan, Sidhi Vinayak Nagar, Ulhasnagar, Maharashtra 421002",Sidhi Vinayak Nagar,19.2358783,73.1620958,ChIJ0cDZBBeU5zsRZLqT2G2WceA,https://www.google.com/maps/place/?q=place_id:ChIJ0cDZBBeU5zsRZLqT2G2WceA,part_136,2026-09-22 06:04:40
The Royal Cravings | Catering Services,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Service establishment, Event management company, Event planner, Food and beverage consultant, Food products supplier, Restaurant supply store",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 78880 53344,N/A,5.0,,"The Royal Cravings | Catering Services, 421002, India",421002,21.0680074,82.7525294,ChIJcSuO9aCV5zsRWZA7cPtTOgM,https://www.google.com/maps/place/?q=place_id:ChIJcSuO9aCV5zsRWZA7cPtTOgM,part_136,2026-09-22 06:04:40
Radhasoami decorators & catering service,Caterer and Event Planner,Event planner,Event planner,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 98222 54712,N/A,2.6,,"shop no.4, nr. monica & hira marriage hall, Press Bazar, Ulhasnagar, Mumbai, Maharashtra 421002",Press Bazar,19.229869,73.161513,ChIJQ1VVVRSU5zsRUsZwJbVdftE,https://www.google.com/maps/place/?q=place_id:ChIJQ1VVVRSU5zsRUsZwJbVdftE,part_136,2026-09-22 06:04:40
Anamika catering services,Caterer and Event Planner,Caterer,"Caterer, Event management company",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 73031 96056,https://www.youtube.com/@AnamikacateringKalyan,4.9,,"Gokul varsha colony chawl no6 room No5, Chikan Ghar, Kalyan, Maharashtra 421301",Chikan Ghar,19.2456828,73.138092,ChIJxTJ2Ao6V5zsRzEbEPhoIgfI,https://www.google.com/maps/place/?q=place_id:ChIJxTJ2Ao6V5zsRzEbEPhoIgfI,part_136,2026-09-22 06:04:40
YMC Weddings & Events,Caterer and Event Planner,Wedding planner,Wedding planner,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 85300 08222,N/A,,,"1st floor, Sharda Emporio, 109, near Aman Talkies, opp. Pawan Deep Palace, Apt, Sidhi Vinayak Nagar, Ulhasnagar, Maharashtra 421002","Apt, Sidhi Vinayak Nagar",19.2327971,73.1587009,ChIJdfdJ8pOV5zsR1WMa6NBskOA,https://www.google.com/maps/place/?q=place_id:ChIJdfdJ8pOV5zsR1WMa6NBskOA,part_136,2026-09-22 06:04:40
RAJ EVENT'S & DECORATORS,Caterer and Event Planner,Event management company,"Event management company, Catering food and drink supplier",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 88888 96600,N/A,2.3,,"SHOP NO 2, Ulhasnagar Sky Walk - III, Vitthalwadi, Mumbai, Ulhasnagar, Maharashtra 421002",Vitthalwadi,19.2305738,73.1583278,ChIJ75IOIj6U5zsR1aqqLSIhqq8,https://www.google.com/maps/place/?q=place_id:ChIJ75IOIj6U5zsR1aqqLSIhqq8,part_136,2026-09-22 06:04:40
