business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tata Motors Kamal Motors,Commercial Vehicle and Tractor Dealer,Truck dealer,"Truck dealer, Truck parts supplier, Truck repair shop",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 70455 50055,https://commercial-vehicles.fleetverse.tatamotors.com/tata-motors-commercial-vehicle-dealer-kamal-motors-truck-dealers-ulhasnagar-ulhasnagar-189925/Home?utm_source=locator&utm_medium=googleplaces,4.0,,"Vitthalwadi Station Rd, opposite Regency Garden, Vitthalwadi, Ulhasnagar, Maharashtra 421003",Vitthalwadi,19.228945,73.1567693,ChIJ9c78-1eV5zsRXD2Fe4H4RwE,https://www.google.com/maps/place/?q=place_id:ChIJ9c78-1eV5zsRXD2Fe4H4RwE,part_136,2026-09-22 06:04:32
Mahindra Randhawa Motors - SUV Showroom,Commercial Vehicle and Tractor Dealer,Car dealer,Car dealer,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 79711 72276,https://dealers-auto.mahindra.com/mahindra-randhawa-motors-suv-and-commercial-showroom-rdm01r011011-kalyan,4.7,,"Shop no.9/10 Ground floor, Kohinoor Waves, Kalyan Ambernath Rd, Shanti Nagar, Ulhasnagar, Maharashtra 421002",Shanti Nagar,19.2341504,73.14817029999999,ChIJR5DA76WV5zsRoRqz2jl62_I,https://www.google.com/maps/place/?q=place_id:ChIJR5DA76WV5zsRoRqz2jl62_I,part_136,2026-09-22 06:04:32
Tata Motors Commercial Vehicle Dealer - Kamal Motors,Commercial Vehicle and Tractor Dealer,Truck dealer,"Truck dealer, Motor vehicle dealer, Truck parts supplier, Truck repair shop",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 70455 50055,https://commercial-vehicles.fleetverse.tatamotors.com/tata-motors-commercial-vehicle-dealer-kamal-motors-truck-dealers-bhiwandi-thane-190288/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Survey No 88/1 & 88/2 NH 3, Sonale, Mumbai Nashik, By Pass, near Bhiwandi, Bhiwandi, Maharashtra 421302",Saravali,19.279782,73.1007837,ChIJVfi1ntq95zsRnlAaj3j3ZEE,https://www.google.com/maps/place/?q=place_id:ChIJVfi1ntq95zsRnlAaj3j3ZEE,part_136,2026-09-22 06:04:32
"Hasan Enterprises- Second Hand Commercial Vehicle & Tempo Dealer | Shilphata, Thane, Navi Mumbai",Commercial Vehicle and Tractor Dealer,Motor vehicle dealer,Motor vehicle dealer,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 98922 49740,N/A,4.4,,"OPP BHOLENATH TABELA, SAHARA COLONY ROAD SHIL PHATA, VASHI RD, महानगरपािलका, MUMBRA, Thane, Maharashtra 400612","महानगरपािलका, MUMBRA",19.1399686,73.035887,ChIJyVryytjB5zsRYpGYEP5cVJM,https://www.google.com/maps/place/?q=place_id:ChIJyVryytjB5zsRYpGYEP5cVJM,part_136,2026-09-22 06:04:32
Commercial vehicle dealer,Commercial Vehicle and Tractor Dealer,Corporate office,Corporate office,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,5.0,,"Armaan Residency, Panchsheel Nagar, Thane West, Thane, Maharashtra 400601","Panchsheel Nagar, Thane West",19.2113565,72.97780399999999,ChIJcWLkc2655zsRowP2XXVojJU,https://www.google.com/maps/place/?q=place_id:ChIJcWLkc2655zsRowP2XXVojJU,part_136,2026-09-22 06:04:32
Tata Motors Commercial Vehicle Dealer - Kamal Motors,Commercial Vehicle and Tractor Dealer,Truck dealer,"Truck dealer, Truck parts supplier, Truck repair shop",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 70455 50055,https://commercial-vehicles.fleetverse.tatamotors.com/tata-motors-commercial-vehicle-dealer-kamal-motors-truck-dealers-dombivali-thane-189926/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Bharat Vaze Compound, Kalyan - Shilphata Rd, next to Royal Hotel, Manpada, Bhadra Nagar, Desale Pada, Thane, Kalyan, Maharashtra 421204","Manpada, Bhadra Nagar, Desale Pada",19.1869869,73.0919401,ChIJS_6D4WSV5zsRxKz4O0ErcJM,https://www.google.com/maps/place/?q=place_id:ChIJS_6D4WSV5zsRxKz4O0ErcJM,part_136,2026-09-22 06:04:32
Tata Motors Commercial Vehicle Dealer - Modi Auto Group Pvt Ltd,Commercial Vehicle and Tractor Dealer,Truck dealer,"Truck dealer, Truck parts supplier, Truck repair shop",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 80074 80074,https://commercial-vehicles.fleetverse.tatamotors.com/tata-motors-commercial-vehicle-dealer-modi-auto-group-pvt-ltd-truck-dealers-kasarvadavali-thane-190311/Home?utm_source=locator&utm_medium=googleplaces,4.7,,"2nd Flr, E Wing Dahlia, Sy No 48/3, 48/6A & 6B, 1st &amp, Kasarvadavali, Mauje, Thane, Maharashtra 400615","Kasarvadavali, Mauje",19.2720706,72.96382419999999,ChIJ2_PBSZG75zsRNhMc7qBOQ00,https://www.google.com/maps/place/?q=place_id:ChIJ2_PBSZG75zsRNhMc7qBOQ00,part_136,2026-09-22 06:04:32
Tata Motors Authorised service station Global commercial vehicles,Commercial Vehicle and Tractor Dealer,Truck dealer,"Truck dealer, Auto repair shop, Car repair and maintenance service, Import export company, Garage, Repair service, Engine Rebuilding Service Station, Truck repair shop, Truck stop",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 99608 73873,http://www.gcvpune.com/,5.0,,"NH 48, Naygaon, Maharashtra 410405",421002,18.7583053,73.5724078,ChIJN9UZT22swjsRHrjoYm2XtCI,https://www.google.com/maps/place/?q=place_id:ChIJN9UZT22swjsRHrjoYm2XtCI,part_136,2026-09-22 06:04:32
Mahindra Salasar Autocrafts Pvt Ltd - SUV & Commercial Vehicle Showroom,Commercial Vehicle and Tractor Dealer,Car dealer,Car dealer,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 70455 72295,https://dealers-auto.mahindra.com/mahindra-salasar-autocrafts-pvt-ltd-suv-commercial-vehicle-showroom-salasar-autocrafts-pvt-ltd-car-dealer-thane-west-mumbai-471883/Home?utm_source=locator&utm_medium=googleplaces,4.2,,"Janta Sahkari Bank, Parshwanath Galaxy, Ghodbunder Rd, opp. Jain Mandir, near Thane, Thane, Maharashtra 400615","Kasarvadavali, Thane West",19.2709553,72.965052,ChIJvXngxaO75zsRiY_BXd5ybx8,https://www.google.com/maps/place/?q=place_id:ChIJvXngxaO75zsRiY_BXd5ybx8,part_136,2026-09-22 06:04:32
S. K. Autoworld,Commercial Vehicle and Tractor Dealer,Store,"Store, Motor scooter repair shop",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 73858 11111,N/A,4.4,,"Follower Lane Chowk, Kalyan Ambernath Rd, Ulhasnagar, Maharashtra 421002",Press Bazar,19.2248007,73.16581889999999,ChIJIXN5i2yU5zsRqDu-ZquN5jc,https://www.google.com/maps/place/?q=place_id:ChIJIXN5i2yU5zsRqDu-ZquN5jc,part_136,2026-09-22 06:04:32
