business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mohan Kiryana & General Store,Provision Store,General store,General store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 93226 37274,N/A,4.5,8.0,"No. 569, Bk, Room No - 9, 10, OT Section Rd, near Fish Market, Ulhasnagar, Maharashtra 421002",Mukund Nagar,19.2349982,73.1700724,ChIJ3yoqaweV5zsRE1qeGi7fcns,https://www.google.com/maps/place/?q=place_id:ChIJ3yoqaweV5zsRE1qeGi7fcns,part_136,2026-09-22 06:04:19
Sangeeta Dry Fruits & General Store,Provision Store,Dry Fruit Store,Dry Fruit Store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 89755 33316,https://www.instagram.com/SANGEETA_DRYFRUIT_75,5.0,26.0,"Shop No.184, Main Bazar, Kailash Colony, Ulhasnagar, Maharashtra 421005",Kailash Colony,19.199084799999998,73.16647189999999,ChIJJeWRSImU5zsRfW-SkaliEio,https://www.google.com/maps/place/?q=place_id:ChIJJeWRSImU5zsRfW-SkaliEio,part_136,2026-09-22 06:04:20
CHARMING CHOICE,Provision Store,Supermarket,Supermarket,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 81698 99920,N/A,5.0,9.0,"KAMAL PLAZA BUILDING SHOP NO.5,NEXT TO RAYMOND SHOWROOM,OPP CENTURY HOPITAL KALYAN-MURBAD ROAD ULHASNAGAR 421001, Maharashtra 421103",Shahad,19.2455796,73.165725,ChIJaWXJ1KGV5zsRZjE_RIM-vbk,https://www.google.com/maps/place/?q=place_id:ChIJaWXJ1KGV5zsRZjE_RIM-vbk,part_136,2026-09-22 06:04:20
Arya Kirana Store,Provision Store,General store,General store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 90963 23169,N/A,4.6,8.0,"Shop No 1, Ulhasnagar 5, near Lal Chakki, Ulhasnagar, Maharashtra 421005",421002,19.197312,73.1617991,ChIJw2SIrxOV5zsRVrKhho_sqsQ,https://www.google.com/maps/place/?q=place_id:ChIJw2SIrxOV5zsRVrKhho_sqsQ,part_136,2026-09-22 06:04:20
PITUMAL PASSARI,Provision Store,Grocery store,Grocery store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 98602 65555,N/A,4.0,2.0,"Shop No, 119, Japani Bazar, Siru Chowk, Sidhi Vinayak Nagar, Ulhasnagar, Maharashtra 421002","Siru Chowk, Sidhi Vinayak Nagar",19.234819599999998,73.16469699999999,ChIJ6QqzJ-6V5zsRXv7icuio7Qg,https://www.google.com/maps/place/?q=place_id:ChIJ6QqzJ-6V5zsRXv7icuio7Qg,part_136,2026-09-22 06:04:20
Anand diapers wholesaler,Provision Store,Store,Store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 74209 05316,N/A,5.0,1.0,"Jungle hotel, Maratha Section 32, Krishna Nagar, Ulhasnagar, Maharashtra 421004","Maratha Section 32, Krishna Nagar",19.212528499999998,73.1591625,ChIJe5r6N5eV5zsRaOwwPeU1K10,https://www.google.com/maps/place/?q=place_id:ChIJe5r6N5eV5zsRaOwwPeU1K10,part_136,2026-09-22 06:04:20
Chandan Kirna Store,Provision Store,General store,General store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 70215 42350,N/A,3.0,2.0,"04, Yogsh Colney, Ulhasnagar, Maharashtra 421005",Kailash Colony,19.1960038,73.1627707,ChIJGd1ey3aV5zsR41KjUghPe_Q,https://www.google.com/maps/place/?q=place_id:ChIJGd1ey3aV5zsR41KjUghPe_Q,part_136,2026-09-22 06:04:20
MURLI GENERALSTORE,Provision Store,General store,General store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 94224 92222,N/A,5.0,6.0,"Shop No 01, Ulhasnagar-2, Sidhi Vinayak Nagar, Ulhasnagar, Maharashtra 421002",Sidhi Vinayak Nagar,19.232981,73.160838,ChIJc1wd7xeV5zsReNH66q8ucvk,https://www.google.com/maps/place/?q=place_id:ChIJc1wd7xeV5zsReNH66q8ucvk,part_136,2026-09-22 06:04:20
RADHE KRISHNA KRIYANA AND GENERAL STORE,Provision Store,Grocery store,"Grocery store, Grocery delivery service",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 77410 93388,N/A,4.9,17.0,"Sky Line Co-op, 16, 3rd Floor, B Wing, 2, C Block Rd, near New Telephone Ex, Sidhi Vinayak Nagar, Ulhasnagar, Maharashtra 421002",Sidhi Vinayak Nagar,19.233131699999998,73.1594628,ChIJD13lPX2V5zsRCY15U_850us,https://www.google.com/maps/place/?q=place_id:ChIJD13lPX2V5zsRCY15U_850us,part_136,2026-09-22 06:04:20
Siddhivinayak handloom,Provision Store,General store,General store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 88889 06250,N/A,5.0,10.0,"Shop no 969, Ulhasnagar 2, opp. Gajanand Market, Sidhi Vinayak Nagar, Ulhasnagar, Maharashtra 421002",Sidhi Vinayak Nagar,19.2335916,73.1621925,ChIJ2Z42ei2V5zsRx8YSvsMyUE8,https://www.google.com/maps/place/?q=place_id:ChIJ2Z42ei2V5zsRx8YSvsMyUE8,part_136,2026-09-22 06:04:20
Naresh kirana and general store,Provision Store,General store,General store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 70216 66408,N/A,5.0,1.0,"Powai Chowk, Vitthalwadi, Ulhasnagar, Maharashtra 421002",Vitthalwadi,19.2246371,73.1553256,ChIJ-_f83mmV5zsR1yXCKaftyCE,https://www.google.com/maps/place/?q=place_id:ChIJ-_f83mmV5zsR1yXCKaftyCE,part_136,2026-09-22 06:04:20
KAMLESH GENERAL STORE,Provision Store,General store,General store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 93217 78000,N/A,4.3,8.0,"Shop No 2, opp. Gajanand Market, Press Bazar, Ulhasnagar, Maharashtra 421002",Press Bazar,19.233684699999998,73.1627725,ChIJ34jBBi2V5zsRcMZ_5i8rk6Q,https://www.google.com/maps/place/?q=place_id:ChIJ34jBBi2V5zsRcMZ_5i8rk6Q,part_136,2026-09-22 06:04:20
House of Sujata Authorised Dealer - Deepak Kitchen Appliances Store,Provision Store,Appliance store,"Appliance store, Chimney services, Countertop store, Electrical supply store, Electronics store, Electronics wholesaler, Home improvement store, Kitchen supply store",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 95032 30400,https://houseofsujata.com/store-locator/sujata-in-maharashtra-ulhashnagar-sapna-garden-road-29473,5.0,,"Shiv Bhavan, 802/5, Sapna Garden Road, opp. Ratan Palace, Press Bazar, Ulhasnagar, Maharashtra 421003",Press Bazar,19.231217,73.1598303,ChIJBao3opiV5zsRRED5K9fAL6g,https://www.google.com/maps/place/?q=place_id:ChIJBao3opiV5zsRRED5K9fAL6g,part_136,2026-09-22 06:04:21
