business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Challenge Security And Manpower Services,Security Guard Agency,Security service,Security service,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 84509 13588,https://www.thechallengesecurity.com/,5.0,,"Dus Chawl Rd, opp. A-block 297, near rahul nagar, unr-4, Ulhasnagar, Maharashtra 421004",unr-4,19.2102403,73.1668773,ChIJI0ied02V5zsRozmAaFM6cdo,https://www.google.com/maps/place/?q=place_id:ChIJI0ied02V5zsRozmAaFM6cdo,part_136,2026-09-22 06:04:48
YASH SECURITY SERVICE,Security Guard Agency,Security guard service,Security guard service,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,4.3,,"Kalyan - Badlapur Rd, near AMP Gate Road, beside of tata motors HOTEL AAGRI TADKA SM, Ambernath, Maharashtra 421502",421002,19.2182505,73.1762244,ChIJ_8wI9UCV5zsRonKNk_JlaVk,https://www.google.com/maps/place/?q=place_id:ChIJ_8wI9UCV5zsRonKNk_JlaVk,part_136,2026-09-22 06:04:48
UGSS SERVICES LLP,Security Guard Agency,Security guard service,Security guard service,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 89837 25334,N/A,5.0,,"1st Floor, Peninsula Park, Office No.118, Ulhasnagar Sky Walk - III, near Sapna Garden, Ulhasnagar, Maharashtra 421002",Press Bazar,19.229428499999997,73.1608546,ChIJ0zkq5NslhG0R5ZucpTM25Eg,https://www.google.com/maps/place/?q=place_id:ChIJ0zkq5NslhG0R5ZucpTM25Eg,part_136,2026-09-22 06:04:48
Hari Om Services,Security Guard Agency,Security guard service,Security guard service,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 98922 61986,N/A,4.3,,"Swami Anchal Ashinyana, BK no. 1048, Room no 18-19, Section 24,, Ulhasnagar-3, behind ashok anil talkies, Ulhasnagar, Maharashtra 421002","Subhash Nagar, Yashwant Colony",19.2214949,73.1644888,ChIJbwAAAGyU5zsRnllCJ27RUUM,https://www.google.com/maps/place/?q=place_id:ChIJbwAAAGyU5zsRnllCJ27RUUM,part_136,2026-09-22 06:04:48
United Security Services,Security Guard Agency,Security guard service,Security guard service,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 77748 22618,N/A,3.9,,"Globe Business Park, Kalyan - Badlapur Rd, Lakshmi Nagar, Housing Board Colony, Ambernath, Maharashtra 421505","Lakshmi Nagar, Housing Board Colony",19.2097987,73.1935644,ChIJr6o69nuT5zsRvLCro82ZZaY,https://www.google.com/maps/place/?q=place_id:ChIJr6o69nuT5zsRvLCro82ZZaY,part_136,2026-09-22 06:04:48
Unicorn Security & Allied Services,Security Guard Agency,Security guard service,Security guard service,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 81084 95929,N/A,5.0,,"64HV+JCQ, near Shivsena Shakha, Vitthalwadi Station Rd, above Hi-Tech Clinical Lab, Katemanivali, Kalyan East, Kalyan, Maharashtra 421306","Katemanivali, Kalyan East",19.229085299999998,73.1435966,ChIJVVVVJUiU5zsR_OwcwRwwFro,https://www.google.com/maps/place/?q=place_id:ChIJVVVVJUiU5zsR_OwcwRwwFro,part_136,2026-09-22 06:04:48
Raja Security India OPC Pvt Ltd,Security Guard Agency,Security service,Security service,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 98221 17477,http://rajasecurityindiaopc.com/,4.5,,"Shree Satyam Co-op. Hsg. Society Ltd, Hutatma Chowk, Ambernath East, Kansai Section, Ambernath, Maharashtra 421501","Ambernath East, Kansai Section",19.2092802,73.1823805,ChIJS3H1drOT5zsRcLSC5U0HYnQ,https://www.google.com/maps/place/?q=place_id:ChIJS3H1drOT5zsRcLSC5U0HYnQ,part_136,2026-09-22 06:04:48
Infinity Protection Services,Security Guard Agency,Security guard service,Security guard service,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 77384 91513,N/A,4.8,,"Chinchpada Rd, Neelkanthnagar, Kalyan East, Kalyan, Maharashtra 421306","Neelkanthnagar, Kalyan East",19.221677,73.14004779999999,ChIJ8zZNwx-V5zsR7RpzIe2FNTY,https://www.google.com/maps/place/?q=place_id:ChIJ8zZNwx-V5zsR7RpzIe2FNTY,part_136,2026-09-22 06:04:48
Stay Protected security guard services pvt Ltd,Security Guard Agency,Security service,Security service,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,https://spsg.in/,,,"Shop no. 6 1st floor, Krishna Nisarg, 100 Feet Rd, near reliance smart point, Tisgaon, Kalyan East, Kalyan, Maharashtra 421306","Tisgaon, Kalyan East",19.2175943,73.1349814,ChIJV_4saKGV5zsRbeOf2ebsk6Y,https://www.google.com/maps/place/?q=place_id:ChIJV_4saKGV5zsRbeOf2ebsk6Y,part_136,2026-09-22 06:04:48
PRINCE ENTERPRISES SECURITY SERVICES,Security Guard Agency,Security guard service,Security guard service,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,4.1,,"Unnamed Road, Ladinaka, Deepak Nagar, Ambernath, Maharashtra 421505","Ladinaka, Deepak Nagar",19.1985378,73.2096727,ChIJtbcn-4mT5zsRTPxE9qkXzDo,https://www.google.com/maps/place/?q=place_id:ChIJtbcn-4mT5zsRTPxE9qkXzDo,part_136,2026-09-22 06:04:48
