business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
TaxRahat Solutions,Tax and GST Consultant,Tax consultant,Tax consultant,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,https://www.taxrahat.com/,5.0,13.0,"C Block, Ulhasnagar - 3, Vitthalwadi, Ulhasnagar, Maharashtra 421003",Vitthalwadi,19.2385314,73.15418609999999,ChIJVQsgbQCV5zsRffRGCK0GkEs,https://www.google.com/maps/place/?q=place_id:ChIJVQsgbQCV5zsRffRGCK0GkEs,part_136,2026-09-22 06:04:46
Manisha Lonkar & Associates,Tax and GST Consultant,Tax consultant,Tax consultant,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 94227 77412,https://manisha-lonkar.grexa.site/,4.9,16.0,"Shop no 82, First Floor, Sai Nirvana Downtown, Shahad Station Rd, west, Shahad, Kalyan, Maharashtra 421103","west, Shahad",19.243249,73.15362189999999,ChIJO03o6siV5zsR0-i6vaAQ1iI,https://www.google.com/maps/place/?q=place_id:ChIJO03o6siV5zsR0-i6vaAQ1iI,part_136,2026-09-22 06:04:46
Bipul Tax Consultant,Tax and GST Consultant,Tax preparation service,Tax preparation service,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 87792 15981,http://8779215981.call/,4.9,11.0,"Dhobighat Rd, near R K Pandey Building, Sambhaji Nagar, Kamla Nehru Nagar, Ulhasnagar, Maharashtra 421103","Sambhaji Nagar, Kamla Nehru Nagar",19.241137,73.1707607,ChIJbQftVsKV5zsRUmQ0RAIvfmg,https://www.google.com/maps/place/?q=place_id:ChIJbQftVsKV5zsRUmQ0RAIvfmg,part_136,2026-09-22 06:04:46
Sunny Singh Tax and Accounts Consultancy,Tax and GST Consultant,Consultant,Consultant,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 84839 18981,N/A,5.0,25.0,"Shivaji Chowk, near Railway Station, Kansai Section, Ambernath, Maharashtra 421501",Kansai Section,19.2089563,73.18572879999999,ChIJsz6lUWmT5zsRdzN5q2yLDrQ,https://www.google.com/maps/place/?q=place_id:ChIJsz6lUWmT5zsRdzN5q2yLDrQ,part_136,2026-09-22 06:04:46
KJ TAX CONSULTANT & SERVICES,Tax and GST Consultant,Tax consultant,Tax consultant,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 90754 44578,N/A,5.0,10.0,"GAJANAN ICON, NEAR TARE OFFICE, KHADEGOLWALI I-WARD, EAST, Vitthalwadi, Kalyan, Maharashtra 421306","Atmaram Nagar, EAST, Vitthalwadi",19.2200587,73.1512691,ChIJV1POga6V5zsRpP9bBnMbfiI,https://www.google.com/maps/place/?q=place_id:ChIJV1POga6V5zsRpP9bBnMbfiI,part_136,2026-09-22 06:04:46
Vinuraj GST Tax Consultant,Tax and GST Consultant,Tax attorney,Tax attorney,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 93243 50702,https://gstnotice.blogspot.com/?m=1,5.0,16.0,"Shop no 219, Ulhasnagar 1, near Thakur studio, Sidhi Vinayak Nagar, Ulhasnagar, Maharashtra 421002",Sidhi Vinayak Nagar,19.237018199999998,73.1647875,ChIJ41Umj5CV5zsRdjh9hOa_bKw,https://www.google.com/maps/place/?q=place_id:ChIJ41Umj5CV5zsRdjh9hOa_bKw,part_136,2026-09-22 06:04:46
Kukreja Consultant,Tax and GST Consultant,Tax consultant,Tax consultant,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,5.0,1.0,"Nr. Jhulelal mandir, Ulhasnagar, Maharashtra 421002","Zaveri Bazar, Mukund Nagar",19.2365849,73.1678247,ChIJY9UEk-6V5zsR1BMuT7enfUc,https://www.google.com/maps/place/?q=place_id:ChIJY9UEk-6V5zsR1BMuT7enfUc,part_136,2026-09-22 06:04:46
SBV Tax & GST Consultancy Services,Tax and GST Consultant,Tax preparation service,Tax preparation service,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,,,"mahadev sankalp, Vithai Bunglow, At post Varap, Murbad Road, near Bank of Baroda, Kalyan, Maharashtra 421301","Varap, Mharal",19.2480355,73.1787779,ChIJJ5pBLjOV5zsRY7cvZTnoKtc,https://www.google.com/maps/place/?q=place_id:ChIJJ5pBLjOV5zsRY7cvZTnoKtc,part_136,2026-09-22 06:04:46
Startup Registration Consultant,Tax and GST Consultant,Tax consultant,"Tax consultant, Legal services",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,5.0,30.0,"Chopra Ct Rd, Vitthalwadi, Ulhasnagar, Maharashtra 421002",Vitthalwadi,19.2355382,73.1556134,ChIJV57w_RWU5zsRMhCAlhPdnCY,https://www.google.com/maps/place/?q=place_id:ChIJV57w_RWU5zsRMhCAlhPdnCY,part_136,2026-09-22 06:04:46
R&G Tax and Financial Consultants,Tax and GST Consultant,Corporate office,"Corporate office, Tax collector's office",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,4.9,8.0,"TARUN RAJ NIWAS, 931, Kurla Camp Rd, opp. BLOCK C, Ravindra Nagar, Kailash Colony, Ulhasnagar, Maharashtra 421005","Ravindra Nagar, Kailash Colony",19.204672199999997,73.1719968,ChIJ9QQyvQqV5zsREfu6NT7hC9w,https://www.google.com/maps/place/?q=place_id:ChIJ9QQyvQqV5zsREfu6NT7hC9w,part_136,2026-09-22 06:04:46
