business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DIAMOND FABRICS,Textile Wholesaler and Fabric Merchant,Fabric wholesaler,Fabric wholesaler,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 93222 42300,N/A,4.9,,"Shop no 3, near kapleshwar mahadev mandir, O.T Section, Kailash Colony, Ulhasnagar, Maharashtra 421005","O.T Section, Kailash Colony",19.2006852,73.1695793,ChIJSeU1HYaU5zsRoVxQ4Ctfj4c,https://www.google.com/maps/place/?q=place_id:ChIJSeU1HYaU5zsRoVxQ4Ctfj4c,part_136,2026-09-22 06:04:24
S.R.Textiles,Textile Wholesaler and Fabric Merchant,Wholesale market,Wholesale market,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,4.5,,"Shop No.572,opp Nagar News Paper,behind Metro Market, Maharashtra 421002",Sidhi Vinayak Nagar,19.236145999999998,73.1621945,ChIJDVVG7haU5zsRt9ReVpCp7AQ,https://www.google.com/maps/place/?q=place_id:ChIJDVVG7haU5zsRt9ReVpCp7AQ,part_136,2026-09-22 06:04:24
Gopal Krishan Fabrics Pvt. Ltd.,Textile Wholesaler and Fabric Merchant,Clothing manufacturer,"Clothing manufacturer, Supplier, Fabric wholesaler, Uniform store",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 251 261 3344,N/A,4.4,,"Plot No. C9, behind Reliance Petrol Pump, Vadol Gaon, MIDC Industrial Area, Waldhuni, Ambernath, Maharashtra 421501","Vadol Gaon, MIDC Industrial Area, Waldhuni",19.2179497,73.172484,ChIJMbKJAHyT5zsRWZaD4yPHf4Q,https://www.google.com/maps/place/?q=place_id:ChIJMbKJAHyT5zsRWZaD4yPHf4Q,part_136,2026-09-22 06:04:24
LULLA FABRICS,Textile Wholesaler and Fabric Merchant,Clothes and fabric wholesaler,Clothes and fabric wholesaler,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 92202 20800,N/A,,,"shop no 2, near axis bank, opp. saibaba mandir, section 39, Ulhasnagar, Maharashtra 421005","section 39, Kailash Colony",19.201971399999998,73.1673845,ChIJdehZax-V5zsRdogTyV_hjEk,https://www.google.com/maps/place/?q=place_id:ChIJdehZax-V5zsRdogTyV_hjEk,part_136,2026-09-22 06:04:24
Shivkala Textiles,Textile Wholesaler and Fabric Merchant,Textile Exporter,"Textile Exporter, Clothes and fabric manufacturer, Fabric wholesaler, Textile mill",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 251 273 4344,N/A,5.0,,"Plot 1&8, R.R.V Industrial Estate, Deepak Bhai Sansare Rd, behind Sai Ram Mandir, Ulhasnagar, Maharashtra 421002",Vitthalwadi,19.235826,73.150119,ChIJLyfaGDuU5zsROiOXoVe8Lik,https://www.google.com/maps/place/?q=place_id:ChIJLyfaGDuU5zsROiOXoVe8Lik,part_136,2026-09-22 06:04:24
J J Collection,Textile Wholesaler and Fabric Merchant,Wholesaler,"Wholesaler, Clothes and fabric manufacturer",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 88885 08483,N/A,4.3,,"Shop no 3, Krishna Galli, near Sai garments, behind Mangal murti market, Sidhi Vinayak Nagar, Ulhasnagar, Maharashtra 421002",Sidhi Vinayak Nagar,19.2345699,73.1620794,ChIJlWjJcw6V5zsRmw3hRLlb6MM,https://www.google.com/maps/place/?q=place_id:ChIJlWjJcw6V5zsRmw3hRLlb6MM,part_136,2026-09-22 06:04:24
AMBADAS BROTHERS,Textile Wholesaler and Fabric Merchant,Clothing store,"Clothing store, Clothing manufacturer, Food manufacturing supply, Garment Exporter, Import export company, Medical supply store",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,4.5,,"2nd floor, Vicky Raj compound, Near Ram Malishwala, Khemani, Ulhasnagar, Maharashtra 421002",Mukund Nagar,19.235654,73.173147,ChIJg2bUWA6U5zsRhJKRiBI4CF4,https://www.google.com/maps/place/?q=place_id:ChIJg2bUWA6U5zsRhJKRiBI4CF4,part_136,2026-09-22 06:04:24
PINKY TEX,Textile Wholesaler and Fabric Merchant,Wholesaler,Wholesaler,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 80972 28880,N/A,5.0,,"ROOM NO 316, SAREE BAZAR, BLOCK NO, A/53, Central Hospital Rd, opp. KALYAN RICKSHAW STAND, Ulhasnagar, Maharashtra 421002",Sidhi Vinayak Nagar,19.2340668,73.16025259999999,ChIJp9N4ahaU5zsRb1n0TgI_u64,https://www.google.com/maps/place/?q=place_id:ChIJp9N4ahaU5zsRb1n0TgI_u64,part_136,2026-09-22 06:04:24
Mahesh Fall Works,Textile Wholesaler and Fabric Merchant,Women's clothing store,Women's clothing store,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 99606 69941,N/A,4.4,,"Shop No. 2, 23, near Tomar Nursing Home, Sidhi Vinayak Nagar, Ulhasnagar, Maharashtra 421002",Sidhi Vinayak Nagar,19.2390914,73.1630134,ChIJS6yXO0OU5zsReTfGcFwZYPk,https://www.google.com/maps/place/?q=place_id:ChIJS6yXO0OU5zsReTfGcFwZYPk,part_136,2026-09-22 06:04:24
L.T ENTERPRISES | BEST TSHIRT MANUFACTURER IN AMBERNATH (Tshirt and hosiery manufacturing and wholesaler),Textile Wholesaler and Fabric Merchant,Manufacturer,"Manufacturer, Clothes and fabric manufacturer, Clothing manufacturer, Clothing wholesaler, Custom t-shirt store, T-shirt store",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 89836 19144,N/A,5.0,,"first floor, Galaxy industrial hub, Shop no. 1A GNP, road, near sai baba mandir, Ulhasnagar, Ambernath, Maharashtra 421501",Waldhuni,19.2200936,73.17222749999999,ChIJf3zhtLSV5zsR06L21ET8bV8,https://www.google.com/maps/place/?q=place_id:ChIJf3zhtLSV5zsR06L21ET8bV8,part_136,2026-09-22 06:04:24
