business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Modern furniture,Furniture Showroom,Furniture store,Furniture store,421004,Maharashtra Circle,Navi Mumbai Region,Thane Division,Ulhasnagar 4 S.O,+91 70577 55557,N/A,4.0,21.0,"Furniture market, opposite prince market, Press Bazar, Ulhasnagar, Maharashtra 421002",Press Bazar,19.230168799999998,73.1624733,ChIJYbNlV0aV5zsRQFiTc9XqJPE,https://www.google.com/maps/place/?q=place_id:ChIJYbNlV0aV5zsRQFiTc9XqJPE,part_136,2026-09-22 06:05:14
Asha Furniture Works,Furniture Showroom,Furniture store,"Furniture store, Home goods store",421004,Maharashtra Circle,Navi Mumbai Region,Thane Division,Ulhasnagar 4 S.O,+91 96655 43101,N/A,3.6,58.0,"Shop No.1022, opp. Punjab National Bank,Furniture Bazar, Ulhasnagar, Maharashtra 421002",Press Bazar,19.2323402,73.1621148,ChIJqQHkLhSU5zsRfvp-fcLLr3k,https://www.google.com/maps/place/?q=place_id:ChIJqQHkLhSU5zsRfvp-fcLLr3k,part_136,2026-09-22 06:05:14
Rishi Furnitures,Furniture Showroom,Furniture store,Furniture store,421004,Maharashtra Circle,Navi Mumbai Region,Thane Division,Ulhasnagar 4 S.O,+91 72760 61626,https://www.facebook.com/Rishi-furniture-151516984923469/?ref=br_rs,4.4,13.0,"Shop No, 76, Rishi Furnitures, Central Hospital Rd, near Punjab National Bank, Furniture Bazar, Press Bazar, Ulhasnagar, Maharashtra 421002","Furniture Bazar, Press Bazar",19.2323459,73.16217309999999,ChIJyQW6LxSU5zsRA9l3Iy4s7Ss,https://www.google.com/maps/place/?q=place_id:ChIJyQW6LxSU5zsRA9l3Iy4s7Ss,part_136,2026-09-22 06:05:14
RAMA furniture Mart,Furniture Showroom,Furniture store,Furniture store,421004,Maharashtra Circle,Navi Mumbai Region,Thane Division,Ulhasnagar 4 S.O,+91 97654 51891,N/A,3.7,12.0,"Shop No 1115 Near Bajaj Shopping Comlpex Furniture Bazar Ulhasnagar, Mumbai, Maharashtra 421002",Press Bazar,19.2311263,73.1621651,ChIJZUabRRSU5zsReYDVrStelwA,https://www.google.com/maps/place/?q=place_id:ChIJZUabRRSU5zsReYDVrStelwA,part_136,2026-09-22 06:05:14
Wisdom Seatings Chair Repair and sales,Furniture Showroom,Office furniture store,"Office furniture store, Furniture maker, Furniture wholesaler, Office supply wholesaler, Sofa store",421004,Maharashtra Circle,Navi Mumbai Region,Thane Division,Ulhasnagar 4 S.O,+91 98342 78519,N/A,4.6,14.0,"Kalyan - Badlapur Rd, Follower lane, Ashok Nagar, Ulhasnagar, Maharashtra 421002","Follower lane, Ashok Nagar",19.223446199999998,73.16740709999999,ChIJl65fYmuU5zsRRgGXOwbldus,https://www.google.com/maps/place/?q=place_id:ChIJl65fYmuU5zsRRgGXOwbldus,part_136,2026-09-22 06:05:14
VIDYA Furnitures,Furniture Showroom,Furniture maker,Furniture maker,421004,Maharashtra Circle,Navi Mumbai Region,Thane Division,Ulhasnagar 4 S.O,N/A,N/A,5.0,11.0,"shop no 3, Pahlumal Compund, plot no 443, OT Section Rd, Industrial Area, Ashok Nagar, Ulhasnagar, Maharashtra 421002","Industrial Area, Ashok Nagar",19.216377599999998,73.1665462,ChIJlQ32TvKV5zsRiFRlSFP-VG0,https://www.google.com/maps/place/?q=place_id:ChIJlQ32TvKV5zsRiFRlSFP-VG0,part_136,2026-09-22 06:05:14
Wakefit - Mattress and Furnishing Store in Ulhasnagar,Furniture Showroom,Mattress store,"Mattress store, Bed shop, Bedding store, Bedroom furniture store, Furniture accessories, Furniture Manufacturer, Furniture store, Sofa store",421004,Maharashtra Circle,Navi Mumbai Region,Thane Division,Ulhasnagar 4 S.O,N/A,https://www.wakefit.co/furniture-store/,4.9,81.0,"Shop No: 6 &7, Ground Floor, Hiltron Heights, Sector 5, Kalyan - Badlapur Rd, Ashok Nagar, Ulhasnagar, Maharashtra 421003",Ashok Nagar,19.223834,73.1673194,ChIJnwal_XuV5zsRoxqZ49igc8s,https://www.google.com/maps/place/?q=place_id:ChIJnwal_XuV5zsRoxqZ49igc8s,part_136,2026-09-22 06:05:14
RP Sales,Furniture Showroom,Mattress store,Mattress store,421004,Maharashtra Circle,Navi Mumbai Region,Thane Division,Ulhasnagar 4 S.O,+91 73855 61625,https://g.page/r/CUICyx9QSCg2EBM/review,4.9,30.0,"2nd shop, R P Sales, 4, opp. R G S School, next to vegetable market, section 30 A, Krishna Nagar, Ulhasnagar, Maharashtra 421004","section 30 A, Krishna Nagar",19.2130842,73.15613379999999,ChIJF7viccGV5zsRQgLLH1BIKDY,https://www.google.com/maps/place/?q=place_id:ChIJF7viccGV5zsRQgLLH1BIKDY,part_136,2026-09-22 06:05:14
Siddhivinayak Furniture,Furniture Showroom,Furniture Manufacturer,Furniture Manufacturer,421004,Maharashtra Circle,Navi Mumbai Region,Thane Division,Ulhasnagar 4 S.O,+91 84467 84672,N/A,4.8,,"03 number, Palumal, compound gulraz tower, OT Section Rd, Samrat Ashok Nagar, Ulhasnagar, Maharashtra 421002",Samrat Ashok Nagar,19.2171271,73.16717349999999,ChIJl-AX0PuV5zsR0b5yTcawQSY,https://www.google.com/maps/place/?q=place_id:ChIJl-AX0PuV5zsR0b5yTcawQSY,part_136,2026-09-22 06:05:15
Muskan Furniture,Furniture Showroom,Furniture store,Furniture store,421004,Maharashtra Circle,Navi Mumbai Region,Thane Division,Ulhasnagar 4 S.O,+91 99214 00318,N/A,2.5,25.0,"Shop No 95 Ulhasnagar 3, opp. new era high school, opp. Bank of indiaFurniture Bazar Furniture Market, Ulhasnagar, Maharashtra 421002",Press Bazar,19.228859399999997,73.16240239999999,ChIJP1WV7xSU5zsRQr5cqXuDUzI,https://www.google.com/maps/place/?q=place_id:ChIJP1WV7xSU5zsRQr5cqXuDUzI,part_136,2026-09-22 06:05:16
Ahuja Enterprises,Furniture Showroom,Furniture store,Furniture store,421004,Maharashtra Circle,Navi Mumbai Region,Thane Division,Ulhasnagar 4 S.O,+91 251 256 9797,N/A,2.8,14.0,"Shop NO.521, OPP.Ahuja Furniture, Furniture Bazar, Ulhasnagar - 3, Ulhasnagar, Maharashtra 421002",Press Bazar,19.230475,73.1624647,ChIJQcwUWhSU5zsR_DQ0ovi_Dyk,https://www.google.com/maps/place/?q=place_id:ChIJQcwUWhSU5zsR_DQ0ovi_Dyk,part_136,2026-09-22 06:05:16
