business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Sadguru General Stores,General Store,General store,General store,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 77098 03733,N/A,,,"Shop No 1, Swami Sakha Apartment, near Annapurna Dairy, Balaji Nagar, Padgha, Maharashtra 421101",Balaji Nagar,19.3669323,73.1734299,ChIJ3YGJKhGZ5zsRNFRaugnb9YE,https://www.google.com/maps/place/?q=place_id:ChIJ3YGJKhGZ5zsRNFRaugnb9YE,part_136,2026-09-22 06:06:09
AVESH GENERAL STORE,General Store,General store,General store,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 75594 28909,N/A,,,"Shop No 1, Sara Building, Nai Basti, Padgha, Bhiwandi, Maharashtra 421101",Nai Basti,19.3719789,73.1779956,ChIJFWrDt8CZ5zsRtKVF7KK3PJk,https://www.google.com/maps/place/?q=place_id:ChIJFWrDt8CZ5zsRtKVF7KK3PJk,part_136,2026-09-22 06:06:09
Aditya Enterprise,General Store,General store,General store,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 84322 43031,N/A,5.0,,"Shop No 4, Bridge Point Residency, Po, Arjunali, Padgha, Maharashtra 421101",Po,19.3643859,73.17418599999999,ChIJx7GkLuqZ5zsRM4sbiIBamSo,https://www.google.com/maps/place/?q=place_id:ChIJx7GkLuqZ5zsRM4sbiIBamSo,part_136,2026-09-22 06:06:09
MAHALAXMI STORE GPPB,General Store,General store,General store,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 77388 36326,N/A,,,"Shop No 1, Eknath Sadan, Padgha, Bazar Peth, opp. Ramdev Jwellery Shop, Padgha, Maharashtra 421101",Sudarshan Nagar,19.3671391,73.1766808,ChIJz3LAL7iZ5zsR13sTDpbFMe0,https://www.google.com/maps/place/?q=place_id:ChIJz3LAL7iZ5zsR13sTDpbFMe0,part_136,2026-09-22 06:06:09
Mohini pharma and general store (Chemist &Druggist),General Store,Medical supply store,Medical supply store,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 96656 57601,N/A,5.0,105.0,"Shop No.4 ,Nandanvan apartment Sainath nagar, Murbad Rd, Vasind, Maharashtra 421601","Jindal Colony Number 3, Shivajinagar",19.408505899999998,73.2628112,ChIJ97aPCbOb5zsRTj3NrYoeHrE,https://www.google.com/maps/place/?q=place_id:ChIJ97aPCbOb5zsRTj3NrYoeHrE,part_136,2026-09-22 06:06:09
Niranjan General Store,General Store,General store,"General store, Stationery store",421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 98707 09686,N/A,4.6,12.0,"Chandrakant Nakva Chawl, Gajanan Koli Marg, Sudarshan Colony, Chandeni Koliwada, Thane East, Thane, Maharashtra 400601","Sudarshan Colony, Chandeni Koliwada, Thane East",19.1859801,72.979796,ChIJQfOabdi45zsRRmvvZKymflc,https://www.google.com/maps/place/?q=place_id:ChIJQfOabdi45zsRRmvvZKymflc,part_136,2026-09-22 06:06:09
Maharashtra General Stores,General Store,General store,General store,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 97694 77599,N/A,4.0,2.0,"5XXG+HXM, Daruwala Building, Tembhi Naka, Thane, Maharashtra 400601","Dhobi Ali, Charai, Thane West",19.198957399999998,72.9774312,ChIJoVosOju55zsRP12RSXV84uA,https://www.google.com/maps/place/?q=place_id:ChIJoVosOju55zsRP12RSXV84uA,part_136,2026-09-22 06:06:09
Pradip Medical And General store vasind,General Store,Drug store,"Drug store, Medical supply store",421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 93565 88797,N/A,5.0,62.0,"Old Agra Rd, near Kisan kirana shop, Mangalya, vasibd, Shivajinagar, Vasind, Maharashtra 421601","Mangalya, vasibd, Shivajinagar",19.4084334,73.26321159999999,ChIJezqULu6b5zsRwrNXmM_E-xo,https://www.google.com/maps/place/?q=place_id:ChIJezqULu6b5zsRwrNXmM_E-xo,part_136,2026-09-22 06:06:09
KOMAL GENERAL STORE BHANUDAS KESHAV BHOIR,General Store,General store,General store,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 83084 53840,N/A,5.0,2.0,"Shop No 01, Agra National Highway Road, Bhiwandi, Vahuli, Maharashtra 421302",421101,19.3490529,73.1435236,ChIJOd06psKZ5zsRpEeR40kUd8k,https://www.google.com/maps/place/?q=place_id:ChIJOd06psKZ5zsRpEeR40kUd8k,part_136,2026-09-22 06:06:09
Zohan General Store,General Store,Dairy store,Dairy store,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 93242 42097,N/A,4.8,4.0,"Shop No 2, Om, Thane, Khadawali, Maharashtra 421605",421101,19.353217,73.21317499999999,ChIJDyY_YFab5zsRHe1O0SceXdU,https://www.google.com/maps/place/?q=place_id:ChIJDyY_YFab5zsRHe1O0SceXdU,part_136,2026-09-22 06:06:10
