business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HDFC ERGO Insurance Agent: Heena Jetha Verat,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 80 3746 6323,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-heena-jetha-verat-insurance-broker-amane-thane-456400/Home?utm_source=locator&utm_medium=googleplaces,,,"2nd Flr, Durgesh Deep CHS, Flat No 6, 202, Amane, Maharashtra 421302",421101,19.3162262,73.1615127,ChIJRee-NzGX5zsR4ZFZbm65X2k,https://www.google.com/maps/place/?q=place_id:ChIJRee-NzGX5zsR4ZFZbm65X2k,part_136,2026-09-22 06:06:34
"SLS Insurance Services – Car, Bike & Commercial Vehicle Insurance Bhiwandi",Insurance Agent,Insurance agency,Insurance agency,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,N/A,https://slsinsuranceservices.com/cheapest-insurance/car-insurance-bhiwandi-mumbai.php,5.0,1.0,"Shop No. 1042, SLS Insurance Services C/o Ramnaresh Sharma, Sharad Nagar, Vidya Nagar, Padgha, Bhiwandi, Maharashtra 421101","Sharad Nagar, Vidya Nagar",19.3678238,73.1781134,ChIJmdVE6xuZ5zsRRAlSsw5VDBI,https://www.google.com/maps/place/?q=place_id:ChIJmdVE6xuZ5zsRRAlSsw5VDBI,part_136,2026-09-22 06:06:34
HDFC ERGO General Insurance,Insurance Agent,Insurance broker,"Insurance broker, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 22 6234 6234,https://agent.hdfcergo.com/hdfc-ergo-general-insurance-insurance-broker-amane-thane-453550/Home,,,"Room No 204, Shree Mahalaxmi Complex, Amane, Maharashtra 421302",421101,19.3162262,73.1615127,ChIJi1OMBq-X5zsRF_niUH09k0c,https://www.google.com/maps/place/?q=place_id:ChIJi1OMBq-X5zsRF_niUH09k0c,part_136,2026-09-22 06:06:34
Vekhande LIC and Life Insurance Office,Insurance Agent,Insurance agency,"Insurance agency, Life insurance agency",421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 89831 13185,N/A,5.0,1.0,"Shop No. 3, Ground Floor, Raviraj Plaza, behind M.R Jewellers, Mangalya, Shivajinagar, Vasind, Maharashtra 421601","Mangalya, Shivajinagar",19.4075934,73.26518329999999,ChIJH9GuFACb5zsRkM28fsdQLUU,https://www.google.com/maps/place/?q=place_id:ChIJH9GuFACb5zsRkM28fsdQLUU,part_136,2026-09-22 06:06:34
Om sai auto canceltant & enterprises,Insurance Agent,Insurance broker,Insurance broker,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 84591 19129,N/A,,,"At sane, post, tel, Vasind, shahapur, Maharashtra 421601",tel,19.406004499999998,73.2664944,ChIJucMjdDyb5zsR3Qjhj3XRq2g,https://www.google.com/maps/place/?q=place_id:ChIJucMjdDyb5zsR3Qjhj3XRq2g,part_136,2026-09-22 06:06:34
"kashinath Gharat - LIC & Insurance Advisor, Vasind/Shahapur/Murbad/Kalyan",Insurance Agent,Insurance agency,Insurance agency,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 92261 51938,N/A,,,"West, Shivajinagar, Vasind, Maharashtra 421601","West, Shivajinagar",19.406004499999998,73.2664944,ChIJlXsA7jGb5zsRPQNXvWxoeAk,https://www.google.com/maps/place/?q=place_id:ChIJlXsA7jGb5zsRPQNXvWxoeAk,part_136,2026-09-22 06:06:34
HDFC ERGO General Insurance,Insurance Agent,Insurance broker,"Insurance broker, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 22 6234 6234,https://agent.hdfcergo.com/hdfc-ergo-general-insurance-insurance-broker-swami-vivekananda-nagar-thane-439476/Home,,,"Flat No 12, No 3, Atharv Ved Building, Navapur Road, near Mahavir Chember, Swami Vivekananda Nagar, Vasind, Maharashtra 421601",Swami Vivekananda Nagar,19.4057003,73.2688901,ChIJI4ixYm2b5zsRe2NxwiRsYB8,https://www.google.com/maps/place/?q=place_id:ChIJI4ixYm2b5zsRe2NxwiRsYB8,part_136,2026-09-22 06:06:34
HDFC ERGO Insurance Agent: Rakesh Rokade,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 79 4276 2162,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-rakesh-rokade-insurance-broker-titwala-thane-348407/Home?utm_source=locator&utm_medium=googleplaces,,,"No E/201, Ravindra Arcade, next to Railway Gate, Titvala, Gurawli, Maharashtra 421605",Titvala,19.3128738,73.2175571,ChIJda8ze1CR5zsRjW_WPdG8N-Y,https://www.google.com/maps/place/?q=place_id:ChIJda8ze1CR5zsRjW_WPdG8N-Y,part_136,2026-09-22 06:06:34
SAI CONSULTANCY,Insurance Agent,Insurance agency,Insurance agency,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 98818 46063,http://sharadshastri.com/,,,"Shree Swami Samarth Nivas, Sape Padgha, Bhiwandi, Mumbai, Maharashtra 421101",421101,19.361922699999997,73.1880618,ChIJq6qqqh6a5zsROO7zKQ2je1c,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqh6a5zsROO7zKQ2je1c,part_136,2026-09-22 06:06:34
CHINTAN INVESTMENTS,Insurance Agent,Insurance agency,Insurance agency,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 98200 34435,http://www.chintaninvestments.com/,4.4,13.0,"Office no 1, Dwarka, Adharwadi Rd, opp. Subhash Nagar, near Phadke ground, Kalyan West, Kalyan, Maharashtra 421301",Kalyan West,19.2487556,73.1234363,ChIJazUN04CX5zsRwAEhQXqtaa0,https://www.google.com/maps/place/?q=place_id:ChIJazUN04CX5zsRwAEhQXqtaa0,part_136,2026-09-22 06:06:34
