business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
OMKAR MEDICAL STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 88888 34672,N/A,4.5,20.0,"Shop no 100 main bazar peth old Agra road fish market padgha, Bhiwandi, Maharashtra 421101",Sudarshan Nagar,19.3672537,73.17621079999999,ChIJtyAQW6CZ5zsRC2UYgVA3nkc,https://www.google.com/maps/place/?q=place_id:ChIJtyAQW6CZ5zsRC2UYgVA3nkc,part_136,2026-09-22 06:06:15
Wellness Medical And General Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 80031 81348,N/A,4.0,8.0,"Shop No 7, Cng Pump, Abuzar Complex, Nashik Exp Highway, near Dolare Pump, at post Padghe, Padgha, Maharashtra 421101",421101,19.3691283,73.1841206,ChIJSeALTuWb5zsRf4U7ttfd5e8,https://www.google.com/maps/place/?q=place_id:ChIJSeALTuWb5zsRf4U7ttfd5e8,part_136,2026-09-22 06:06:15
Dhanshree Medical And Genenal Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 83292 98985,N/A,,,"Shop No 1 Main Market Padga, Bhiwandi, Mumbai, Maharashtra 421101",Dindaya Nagar,19.3665009,73.1742946,ChIJORQgxbKZ5zsRTAm-nnly4n4,https://www.google.com/maps/place/?q=place_id:ChIJORQgxbKZ5zsRTAm-nnly4n4,part_136,2026-09-22 06:06:15
Shree Swami Samarth Medical Aani General Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 95458 96658,N/A,,,"Shop No 2, St Stand Padgha Market Padgha, Mumbai, Maharashtra 421101",421101,19.361922699999997,73.1880618,ChIJq6qqqh6a5zsRXqFy1xZXBN4,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqh6a5zsRXqFy1xZXBN4,part_136,2026-09-22 06:06:15
ARCHANA MEDICAL & GENERAL STORES,Medical Store / Pharmacy,Pharmacy,Pharmacy,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,N/A,N/A,,,"SHALINI COMPLEX OPP S.T.STAND PADGHA NEAR POST OFFICE PADGHA BHIWANDI DIST, Maharashtra 421101",421101,19.366473499999998,73.1746824,ChIJL4wGzouZ5zsRmQzo-ou_4bo,https://www.google.com/maps/place/?q=place_id:ChIJL4wGzouZ5zsRmQzo-ou_4bo,part_136,2026-09-22 06:06:15
Bhagyashri Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 88882 00948,N/A,5.0,1.0,"958F+6M6, Padgha, Maharashtra 421101",421101,19.365549899999998,73.1741468,ChIJ25XqOvOZ5zsRJsP07GpUwdg,https://www.google.com/maps/place/?q=place_id:ChIJ25XqOvOZ5zsRJsP07GpUwdg,part_136,2026-09-22 06:06:15
PADGHA MEDICAL AND GENERAL STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 73858 81348,N/A,5.0,1.0,"Shop No 3 Gr Floor, Matoshri Niwas, Road, Sharad Nagar, Vidya Nagar, Padgha, Bhiwandi, Maharashtra 421101","Sharad Nagar, Vidya Nagar",19.367460899999998,73.17851879999999,ChIJMbsonJmZ5zsR55S99amsXN4,https://www.google.com/maps/place/?q=place_id:ChIJMbsonJmZ5zsR55S99amsXN4,part_136,2026-09-22 06:06:15
Royal Medical And General Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 82864 89916,N/A,5.0,2.0,"Shop No 10 Khadavli West, Maharashtra 421605",421101,19.3553332,73.2150461,ChIJ8faZ-3Ca5zsRAAAAsAT8gj0,https://www.google.com/maps/place/?q=place_id:ChIJ8faZ-3Ca5zsRAAAAsAT8gj0,part_136,2026-09-22 06:06:15
Hari Bhau Medical And General Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,+91 92603 59689,N/A,,,"Shop No 6 Ground Floor, Parvati Apt Near Pooja Sweets Padgha, Mumbai, Maharashtra 421101",421101,19.361922699999997,73.1880618,ChIJq6qqqh6a5zsRRmYpwni2RpQ,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqh6a5zsRRmYpwni2RpQ,part_136,2026-09-22 06:06:15
Ekvira medical store pachhapur,Medical Store / Pharmacy,Pharmacy,Pharmacy,421101,Maharashtra Circle,Navi Mumbai Region,Thane Division,Padgha S.O,N/A,N/A,,,"Aghai pipeline road, Bhiwandi, Mahap, Maharashtra 421302",421101,19.451524499999998,73.1661067,ChIJaV1OV9af5zsRWl-Polz-dR0,https://www.google.com/maps/place/?q=place_id:ChIJaV1OV9af5zsRWl-Polz-dR0,part_136,2026-09-22 06:06:15
