business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mahi Real Estate,Real Estate Agents,Real estate agent,"Real estate agent, Industrial real estate agency, Real estate consultant, Real estate rental agency",421102,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Mohone S.O, Atali B.O, Manivali B.O",+91 99308 67661,N/A,4.9,,"Shop no 01, Om varsha building, near DNS Bank Dalvi pada, Titvala, Kalyan, Maharashtra 421605",Titvala,19.297114099999998,73.2051207,ChIJlzCQI_OR5zsRJcUkGlDVznE,https://www.google.com/maps/place/?q=place_id:ChIJlzCQI_OR5zsRJcUkGlDVznE,part_136,2026-09-22 06:07:13
Home Locator- Real Estate Agency,Real Estate Agents,Real estate agent,Real estate agent,421102,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Mohone S.O, Atali B.O, Manivali B.O",+91 75061 91510,N/A,4.9,,"Shop No.15, Amrut Heaven, CHS, near New Horizon World Academy, Godrej Hill, Khadakpada, Kalyan, Maharashtra 421301","Godrej Hill, Khadakpada",19.258714899999998,73.14414459999999,ChIJ4edFQeWX5zsRuR_06rJRSqU,https://www.google.com/maps/place/?q=place_id:ChIJ4edFQeWX5zsRuR_06rJRSqU,part_136,2026-09-22 06:07:13
Gargi Real Estate,Real Estate Agents,Real estate agency,Real estate agency,421102,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Mohone S.O, Atali B.O, Manivali B.O",+91 90046 82143,N/A,5.0,,"DALVI WADA, Sai Pushpa Apartment, Ganesh Mandir Rd, near STATE BANK OF INDIA, Manda, Mumbai, Maharashtra 421605",Manda,19.29685,73.2045486,ChIJ__9PyiGR5zsRNPCOfBN34Ko,https://www.google.com/maps/place/?q=place_id:ChIJ__9PyiGR5zsRNPCOfBN34Ko,part_136,2026-09-22 06:07:13
Ashoka Real Estate and consultants,Real Estate Agents,Real estate consultant,Real estate consultant,421102,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Mohone S.O, Atali B.O, Manivali B.O",N/A,N/A,5.0,,"Om sai corner, shop no 7,C wing, near DNS Bank, Titvala, East, Maharashtra 421605","Titvala, East",19.2972342,73.2053645,ChIJMxe2ls6R5zsRpqg-i1JK2Vk,https://www.google.com/maps/place/?q=place_id:ChIJMxe2ls6R5zsRpqg-i1JK2Vk,part_136,2026-09-22 06:07:13
VastuMulya Real Estate Consultancy,Real Estate Agents,Real estate consultant,Real estate consultant,421102,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Mohone S.O, Atali B.O, Manivali B.O",+91 93267 47978,N/A,5.0,,"Building no.8, Flat no.1107, Titwala east, Regency Sarvam, Ganesh Mandir Rd, near meridian school, Kalyan, Maharashtra 421605",Titvala,19.2968036,73.2099179,ChIJd6JhAO2R5zsRLCKhhqTQCwQ,https://www.google.com/maps/place/?q=place_id:ChIJd6JhAO2R5zsRLCKhhqTQCwQ,part_136,2026-09-22 06:07:13
Tare Brothers Realtors,Real Estate Agents,Real estate agency,Real estate agency,421102,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Mohone S.O, Atali B.O, Manivali B.O",+91 96534 98950,N/A,4.9,,"Shop no. 3 , Tulsi Tower, Vadvali road, near jarimari mandir, Kalyan West, Maharashtra 421102","Ambivli, Atali, Kalyan West",19.265078199999998,73.1656826,ChIJv86mzA6X5zsRvO1zl1Td9eo,https://www.google.com/maps/place/?q=place_id:ChIJv86mzA6X5zsRvO1zl1Td9eo,part_136,2026-09-22 06:07:13
BG Reality,Real Estate Agents,Real estate agency,Real estate agency,421102,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Mohone S.O, Atali B.O, Manivali B.O",N/A,http://www.guddubhai25.com/,4.2,,"Bg reality, Pandurang Wadi, Umbharni Gaon, Kalyan, Maharashtra 421102",Pandurang Wadi,19.2744519,73.2038918,ChIJCXI6LJKR5zsRyrIXgdYsqvk,https://www.google.com/maps/place/?q=place_id:ChIJCXI6LJKR5zsRyrIXgdYsqvk,part_136,2026-09-22 06:07:13
Mshomes l Best Real Estate Agent / Broker in Kalyan West l Property Broker in Kalyan West,Real Estate Agents,Real estate agency,"Real estate agency, Real estate consultant",421102,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Mohone S.O, Atali B.O, Manivali B.O",+91 95526 99000,N/A,4.8,,"Shop No. 2, Bajaj Prakurti Aangan, Project, behind Vrindavan Residency, near Guru Atman, Gauripada, Kalyan, Maharashtra 421301",Gauripada,19.250633699999998,73.1546906,ChIJqaqqjteV5zsR8-tW5igEHBU,https://www.google.com/maps/place/?q=place_id:ChIJqaqqjteV5zsR8-tW5igEHBU,part_136,2026-09-22 06:07:13
Konarak solitaire,Real Estate Agents,Real estate agency,Real estate agency,421102,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Mohone S.O, Atali B.O, Manivali B.O",N/A,N/A,4.5,,"Mohane Rd, near KDMC (A) ward office, Ambivli, Kalyan, Maharashtra 421102",Ambivli,19.2608546,73.1647729,ChIJM_07vA-X5zsR7ydj67aFPXc,https://www.google.com/maps/place/?q=place_id:ChIJM_07vA-X5zsR7ydj67aFPXc,part_136,2026-09-22 06:07:13
Mahaveer Real Estate Agent Broker in Kalyan west,Real Estate Agents,Real estate agent,Real estate agent,421102,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Mohone S.O, Atali B.O, Manivali B.O",+91 93249 24793,N/A,4.5,,"Vrindavan Paradise, Shop No 10 Vasant Valley Road, Godrej Hill, Khadakpada, Kalyan West, Maharashtra 421301","Godrej Hill, Khadakpada",19.258560499999998,73.1373382,ChIJs3vm0IeW5zsR0Jib5YbDf-w,https://www.google.com/maps/place/?q=place_id:ChIJs3vm0IeW5zsR0Jib5YbDf-w,part_136,2026-09-22 06:07:13
