business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KAVYA MOTOR TRANING SCHOOL,Driving School,Driving school,Driving school,421201,Maharashtra circle,Navi Mumbai Region,Thane Division,"Thakurli B.O, Tilaknagar S.O (Thane), Dombivali S.O",+91 73049 00204,N/A,4.9,180.0,"Shop No 6, jai maa aptartment, Gymkhana Rd, opp. south indian college, Dombivli, Sagarli Gaon, Dombivli East, Kalyan, Maharashtra 421201","Dombivli, Sagarli Gaon, Dombivli East",19.2096128,73.10001989999999,ChIJnylD_JOV5zsRv_nebLK0COo,https://www.google.com/maps/place/?q=place_id:ChIJnylD_JOV5zsRv_nebLK0COo,part_136,2026-09-22 06:08:09
Hari Om Sai Ram Motor Training School,Driving School,Driving school,"Driving school, Training center, Driving test center, Motorcycle driving school",421201,Maharashtra circle,Navi Mumbai Region,Thane Division,"Thakurli B.O, Tilaknagar S.O (Thane), Dombivali S.O",+91 99677 79777,N/A,4.3,174.0,"Shop no 6, Borole estate, Dr, R.P Rd, near Shiv Mandir, Dombivli, Dombivli East, Maharashtra 421201","Dombivli, Dombivli East",19.2134803,73.088095,ChIJdW_YnYeV5zsRhDkvN5HzV1M,https://www.google.com/maps/place/?q=place_id:ChIJdW_YnYeV5zsRhDkvN5HzV1M,part_136,2026-09-22 06:08:09
Dawadi Motor Training School,Driving School,Training center,Training center,421201,Maharashtra circle,Navi Mumbai Region,Thane Division,"Thakurli B.O, Tilaknagar S.O (Thane), Dombivali S.O",+91 87077 42079,N/A,4.8,122.0,"Shop No 5, Kasturi Vihar, Regency Estate Rd, near Venkatesh Petrol Pump, Dombivli, Sonar Pada, Dombivli East, Kalyan, Maharashtra 421201","Dombivli, Sonar Pada, Dombivli East",19.2046876,73.1074106,ChIJN33sfeGV5zsRhFeunID3730,https://www.google.com/maps/place/?q=place_id:ChIJN33sfeGV5zsRhFeunID3730,part_136,2026-09-22 06:08:09
Pooja Motor Training School,Driving School,Driving school,Driving school,421201,Maharashtra circle,Navi Mumbai Region,Thane Division,"Thakurli B.O, Tilaknagar S.O (Thane), Dombivali S.O",+91 98923 85532,N/A,3.5,107.0,"Shop no 7, New Arihant, opposite Vijaya /State Bank, Dombivli, Anand Nagar, Dombivli East, Kalyan, Maharashtra 421201","Dombivli, Anand Nagar, Dombivli East",19.2085448,73.09385879999999,ChIJcyUr_4WV5zsR2Cw3KJ239Wg,https://www.google.com/maps/place/?q=place_id:ChIJcyUr_4WV5zsR2Cw3KJ239Wg,part_136,2026-09-22 06:08:09
Dev Motor Driving School,Driving School,Drivers license training school,Drivers license training school,421201,Maharashtra circle,Navi Mumbai Region,Thane Division,"Thakurli B.O, Tilaknagar S.O (Thane), Dombivali S.O",+91 98194 99866,https://www.devmotordrivingschool.com/,5.0,136.0,"210, 2nd Floor, Indraneel CHS RX - 12, Sudarshan Nagar, Dombivli, MIDC, Dombivli East, Maharashtra 421203","Dombivli, MIDC, Dombivli East",19.209888799999998,73.1042836,ChIJu3aV9iuV5zsR_UaRa6PCYko,https://www.google.com/maps/place/?q=place_id:ChIJu3aV9iuV5zsR_UaRa6PCYko,part_136,2026-09-22 06:08:09
Komaskar Motor Driving School,Driving School,Driving school,"Driving school, Drivers license training school, Insurance agency, Training center",421201,Maharashtra circle,Navi Mumbai Region,Thane Division,"Thakurli B.O, Tilaknagar S.O (Thane), Dombivali S.O",+91 93265 86884,N/A,4.6,23.0,"Jay Gayatri society, 04 Nav Ashutosh CHS, Gopal Nagar Road, beside Titan showroom, Dombivli, Tilak Nagar, Maharashtra 421201","Dombivli, Tilak Nagar, Dombivli East",19.215522,73.0948805,ChIJkRPscXKV5zsROtf7wm3dNkU,https://www.google.com/maps/place/?q=place_id:ChIJkRPscXKV5zsROtf7wm3dNkU,part_136,2026-09-22 06:08:09
Shree Malekar driving training institute,Driving School,Drivers license training school,"Drivers license training school, Driving school, Driving test center",421201,Maharashtra circle,Navi Mumbai Region,Thane Division,"Thakurli B.O, Tilaknagar S.O (Thane), Dombivali S.O",+91 70219 83842,N/A,4.9,276.0,"Shop no 9, Shree Mangalmurti Complex, complex, 90 Feet Rd, Thakurli, Dombivli East, Kalyan, Maharashtra 421201","Thakurli, Dombivli East",19.2239824,73.1018296,ChIJd-MI0SyV5zsRD3So_9nM9wU,https://www.google.com/maps/place/?q=place_id:ChIJd-MI0SyV5zsRD3So_9nM9wU,part_136,2026-09-22 06:08:09
SAI SHRADDHA MOTOR DRIVING SCHOOL,Driving School,Driving school,Driving school,421201,Maharashtra circle,Navi Mumbai Region,Thane Division,"Thakurli B.O, Tilaknagar S.O (Thane), Dombivali S.O",+91 80822 44415,N/A,5.0,35.0,"SHOP NO.09, JIYANSHI JEWEL BUILDING, Khambalpada Rd, near MODEL COLLAGE, Kanchangoan, Dombivli East, Kalyan, Maharashtra 421201","Kanchangoan, Dombivli East",19.222345999999998,73.10808,ChIJAWNc4x6V5zsRWj6B70GYa4k,https://www.google.com/maps/place/?q=place_id:ChIJAWNc4x6V5zsRWj6B70GYa4k,part_136,2026-09-22 06:08:09
Shree Motor Training School,Driving School,Driving school,Driving school,421201,Maharashtra circle,Navi Mumbai Region,Thane Division,"Thakurli B.O, Tilaknagar S.O (Thane), Dombivali S.O",+91 98339 74774,N/A,2.3,121.0,"Shop No 19, Ambika Palace, Near Boss Hotel, Near East-west Flyover Bridge,, Tandon Rd, Dombivli East, Thane, Maharashtra 421201","Dombivli, Ramnagar, Dombivli East",19.2152127,73.0862089,ChIJVa5lYCC-5zsRV8NdCwH6fbw,https://www.google.com/maps/place/?q=place_id:ChIJVa5lYCC-5zsRV8NdCwH6fbw,part_136,2026-09-22 06:08:09
Siddhivinayak Driving School,Driving School,Drivers license training school,Drivers license training school,421201,Maharashtra circle,Navi Mumbai Region,Thane Division,"Thakurli B.O, Tilaknagar S.O (Thane), Dombivali S.O",+91 98208 62260,N/A,3.8,34.0,"Nehru Rd, Dombivli, Dombivli East, Kalyan, Maharashtra 421201","Dombivli, Dombivli East",19.2208966,73.0912925,ChIJV3fOLNaV5zsRohB4AtmeqQ0,https://www.google.com/maps/place/?q=place_id:ChIJV3fOLNaV5zsRohB4AtmeqQ0,part_136,2026-09-22 06:08:09
