business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fine interior,Exhibitions,Exhibition and trade center,"Exhibition and trade center, Exhibit, Exhibition planner, Stall installation service",421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 98921 39991,https://fineinterior.co.in/,5.0,,"Mauli krupa chwal no 3 room no 7 Badlapur pipeline, Kolegaon-Dombivali Rd, Dombivli, Maharashtra 421204",Dombivli,19.1649039,73.0911934,ChIJOWa4jG6V5zsRL37-64zvU-M,https://www.google.com/maps/place/?q=place_id:ChIJOWa4jG6V5zsRL37-64zvU-M,part_136,2026-09-22 06:10:18
Casa Rio Amphitheatre,Exhibitions,Amphitheater,Amphitheater,421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",N/A,N/A,4.5,544.0,"Lodha Casa Rio, Lodha Casa Rio Gold Road, Beverlee Cooperative Housing Society, Maharashtra 421204",Beverlee Cooperative Housing Society,19.1444327,73.07863379999999,ChIJZz24AgTA5zsRO7ZmYcFQ4wY,https://www.google.com/maps/place/?q=place_id:ChIJZz24AgTA5zsRO7ZmYcFQ4wY,part_136,2026-09-22 06:10:19
Siddharth Bhanushali Advisory Pvt. Ltd.,Exhibitions,Education center,Education center,421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 91360 08389,https://www.siddharthbhanushali.com/,4.9,4848.0,"i-Think Lodha, B-501, opp. Xperia Mall, Palava City, Casa Bella Gold, Kalyan, Maharashtra 421204","Palava City, Casa Bella Gold",19.1651395,73.07353479999999,ChIJ6W6Xj9W_5zsRNeXDfLw8Vao,https://www.google.com/maps/place/?q=place_id:ChIJ6W6Xj9W_5zsRNeXDfLw8Vao,part_136,2026-09-22 06:10:19
AJRB India Exhibition,Exhibitions,Warehouse,Warehouse,421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",N/A,N/A,5.0,,"43M7+R8C, Thane, Bhandarli, Maharashtra 421204",421204,19.1345648,73.06326159999999,ChIJeX5jEgDB5zsRH-8gm_RqmB4,https://www.google.com/maps/place/?q=place_id:ChIJeX5jEgDB5zsRH-8gm_RqmB4,part_136,2026-09-22 06:10:19
RS Art Studio Art Gallery (Academy),Exhibitions,Art gallery,"Art gallery, Aboriginal art gallery, Art studio, Drawing lessons, Painting Class, Painting studio, Scrapbooking store",421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 90290 28889,N/A,5.0,,"Palava Downtown Urbano, D-WING, phase 2, landmark, 0001, Taloja Bypass Phata, Dombivli, Maharashtra 421204",Dombivli,19.1604404,73.1156743,ChIJb_qEx9iV5zsR5jUbN1AD-JE,https://www.google.com/maps/place/?q=place_id:ChIJb_qEx9iV5zsR5jUbN1AD-JE,part_136,2026-09-22 06:10:19
Doyell Events & Exhibitions,Exhibitions,Corporate office,Corporate office,421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",N/A,http://www.doyell.events/,5.0,,"42WR+Q5M, Shil Phata - Mahape Rd, Shilphata, Navi Mumbai, Thane, Maharashtra 421204",Shilphata,19.1469603,73.0404209,ChIJPbjB-H-_5zsR2a5bABxfkSM,https://www.google.com/maps/place/?q=place_id:ChIJPbjB-H-_5zsR2a5bABxfkSM,part_136,2026-09-22 06:10:19
SR Creation,Exhibitions,Warehouse,Warehouse,421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",N/A,N/A,4.3,,"5326+WGW, Thane, Maharashtra 421204",421204,19.1522394,73.0619698,ChIJ00hlOQC_5zsRKpvTq9y8CG8,https://www.google.com/maps/place/?q=place_id:ChIJ00hlOQC_5zsRKpvTq9y8CG8,part_136,2026-09-22 06:10:19
Shree Swami Events,Exhibitions,Entertainment agency,Entertainment agency,421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 90821 94858,N/A,5.0,,"Vinayak Kundal Apartment, A Wing, 301 Above KK Fitness Gym, Opposite Siddhivinayak Hall Desalepada Dombivali East, Maharashtra 421204","Dombivli, Nandivali Panchanand, Dombivli East",19.1943295,73.0882257,ChIJFY108D6V5zsRdDwNkgnCraY,https://www.google.com/maps/place/?q=place_id:ChIJFY108D6V5zsRdDwNkgnCraY,part_136,2026-09-22 06:10:19
Aum Arts,Exhibitions,Art gallery,"Art gallery, Painting, Painting studio, Picture frame shop",421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 98339 36603,http://aumarch.page.tl/,4.6,13.0,"Shop no. 1, Mesacon Jewel, Lallubhai Shamaldas Rd, opp. Rajpuria Hostel, Navpada, T E Colony, Andheri West, Mumbai, Maharashtra 400058","Navpada, T E Colony, Andheri West",19.1130057,72.843289,ChIJpfSI-c7J5zsRsBDA_K69-1I,https://www.google.com/maps/place/?q=place_id:ChIJpfSI-c7J5zsRsBDA_K69-1I,part_136,2026-09-22 06:10:20
"Maruti Suzuki ARENA (Velox Motors, Thane, Shilphata)",Exhibitions,Car dealer,"Car dealer, Showroom",421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 80 3739 4896,http://arenaofshilphata.com/?utm_source=gmb&utm_medium=google,4.7,1509.0,"Kalyan Shilphata Road, Near Datta Mandir Opp Bhoomi Lawns Post, Daighar, Shilphata, Thane, Maharashtra 421204",Shilphata,19.148533399999998,73.0540232,ChIJ3Qj60eK_5zsR5w3AcfPJokY,https://www.google.com/maps/place/?q=place_id:ChIJ3Qj60eK_5zsR5w3AcfPJokY,part_136,2026-09-22 06:10:20
