business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
c.k. ac service and repair,AC Fridge and Washing Machine Repair,Repair service,"Repair service, Refrigerator repair service",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 97210 64714,N/A,5.0,,"Sambhaji Nagar, Adharwadi, Khadakpada, Kalyan, Maharashtra 421301","Sambhaji Nagar, Adharwadi, Khadakpada",19.2527276,73.1290751,ChIJBeaT5ZOV5zsRLQSfGBrHjRA,https://www.google.com/maps/place/?q=place_id:ChIJBeaT5ZOV5zsRLQSfGBrHjRA,part_136,2026-09-22 06:10:38
I.M. Air-condtioning and refrigration services,AC Fridge and Washing Machine Repair,Air conditioning repair service,"Air conditioning repair service, Air compressor repair service, Air conditioning system supplier, Refrigerator repair service, Repair service",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 77385 18161,https://youtube.com/@muntaqimshaikh3346?si=PaovEG-OYEicsFX2,4.9,,"masjid, 002 , dargha building ,kala tlaw maqbra, near Makbara Road, Kalyan West, Kalyan, Maharashtra 421301","Kala Talav, Kalyan West",19.245897499999998,73.1328626,ChIJ_7I-Z3CV5zsR8UExiTMjAgs,https://www.google.com/maps/place/?q=place_id:ChIJ_7I-Z3CV5zsR8UExiTMjAgs,part_136,2026-09-22 06:10:38
Shree Ganesh Refrigeration,AC Fridge and Washing Machine Repair,Electronics repair shop,"Electronics repair shop, Refrigerator repair service",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 98675 92929,N/A,5.0,,"Shop Number 1, Shreekanth Apartment, Chiknipada Rd, Kalyan East, Kalyan, Maharashtra 421306",Kalyan East,19.226301,73.1340156,ChIJCTKYXhGV5zsRU43v7u7Homk,https://www.google.com/maps/place/?q=place_id:ChIJCTKYXhGV5zsRU43v7u7Homk,part_136,2026-09-22 06:10:38
Ac fridge washing machine micro wave repairs,AC Fridge and Washing Machine Repair,Repair service,Repair service,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",N/A,N/A,4.7,,"Cool care services , shop no 6, tisgaon pada, Kalyan East, Kalyan, Maharashtra 421306","Kalyan East, Chinchpada Gaon",19.216846,73.1298352,ChIJMfAkM8uV5zsRhfi2_d0Xo0o,https://www.google.com/maps/place/?q=place_id:ChIJMfAkM8uV5zsRhfi2_d0Xo0o,part_136,2026-09-22 06:10:38
India Tech Info,AC Fridge and Washing Machine Repair,Washer & dryer repair service,"Washer & dryer repair service, Air conditioning store, Appliance parts supplier, Electronic parts supplier",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 90672 02306,N/A,4.9,,"Shop no.5, Ambika Apartment, Santoshi Mata Rd, near Kala Talav, Santhoshi Mata Mandir, Kala Talav, Kalyan West, Kalyan, Maharashtra 421301","Santhoshi Mata Mandir, Kala Talav, Kalyan West",19.2432825,73.1320867,ChIJv0uelQWV5zsR_pLpaDaSYJU,https://www.google.com/maps/place/?q=place_id:ChIJv0uelQWV5zsR_pLpaDaSYJU,part_136,2026-09-22 06:10:38
"washing machine, Fridge ,Ac , Micro oven repairing And Service",AC Fridge and Washing Machine Repair,Service Apartment,Service Apartment,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 79774 26029,N/A,5.0,,"Khadakpada, Kalyan, Maharashtra 421301",Khadakpada,19.2590549,73.1311289,ChIJJT_Hp5GX5zsRRjSPTq2griI,https://www.google.com/maps/place/?q=place_id:ChIJJT_Hp5GX5zsRRjSPTq2griI,part_136,2026-09-22 06:10:38
Seasonal Repair & Services,AC Fridge and Washing Machine Repair,Air conditioning repair service,"Air conditioning repair service, Refrigerator repair service, Washer & dryer repair service",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 88285 80855,http://www.seasonalrepair.in/,4.9,,"Shop No. 1, Khadan Road, opp. Siddharth Vidya Mandir, Ram Rahim Nagar, Lokgram, Kalyan, Maharashtra 421306","Ram Rahim Nagar, Lokgram",19.2295576,73.1231355,ChIJxUYrDyvs_60Rx0q2Iv8vrXE,https://www.google.com/maps/place/?q=place_id:ChIJxUYrDyvs_60Rx0q2Iv8vrXE,part_136,2026-09-22 06:10:38
Ashran Electronics,AC Fridge and Washing Machine Repair,Electronics repair shop,Electronics repair shop,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 98194 37455,N/A,4.8,,"Shop No 676, Gandhar Nagar, Khadakpada, Kalyan, Maharashtra 421301","Gandhar Nagar, Khadakpada",19.2535372,73.13159519999999,ChIJc0R-a66X5zsRl-QVaNYzm74,https://www.google.com/maps/place/?q=place_id:ChIJc0R-a66X5zsRl-QVaNYzm74,part_136,2026-09-22 06:10:38
Smart Cool Service: AC Repair & Service in Kalyan,AC Fridge and Washing Machine Repair,Air conditioning repair service,"Air conditioning repair service, Refrigerator repair service, Washer & dryer repair service",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 74208 75715,https://wa.me/8149577702,4.9,,"Shop No. 1, Mahadev Apartment, near water tank, West, Kon, Kalyan, Kongaon, Maharashtra 421311","West, Kon",19.2491058,73.1050848,ChIJF_z-X0iV5zsRFB1duY1RGWY,https://www.google.com/maps/place/?q=place_id:ChIJF_z-X0iV5zsRFB1duY1RGWY,part_136,2026-09-22 06:10:39
Kalyan Washing Machine Repair,AC Fridge and Washing Machine Repair,Washer & dryer repair service,Washer & dryer repair service,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 93213 90986,N/A,4.7,,"Shop No. 4, SriHari Complex, Tisgaon Pada, beside Samrat Ashok High School, Kalyan East, Kalyan, Maharashtra 421306",Kalyan East,19.2298515,73.1337911,ChIJH5naXsuV5zsRbjpGDBaoOGM,https://www.google.com/maps/place/?q=place_id:ChIJH5naXsuV5zsRbjpGDBaoOGM,part_136,2026-09-22 06:10:39
