business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PedalPro (THE BICYCLE STORE),Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 70301 99611,N/A,4.9,,"Shop no. 3, saikiran near croma, Adharwadi Rd, Sambhaji Nagar, Adharwadi, Kalyan West, Kalyan, Maharashtra 421301","Sambhaji Nagar, Adharwadi, Kalyan West",19.2525936,73.1283766,ChIJd6FbVwCX5zsRGnRF489ZVbk,https://www.google.com/maps/place/?q=place_id:ChIJd6FbVwCX5zsRGnRF489ZVbk,part_136,2026-09-22 06:10:35
Status Cycles,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Motorcycle shop",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 96195 60101,N/A,4.8,,"Shop No 1,2,3 Megh Malhar, MK School Road, Adharwadi Rd, opp. Croma Nr, Kalyan West, Kalyan, Maharashtra 421301",Kalyan West,19.2516508,73.1285127,ChIJe6NnCRaX5zsROAuZOnztYTo,https://www.google.com/maps/place/?q=place_id:ChIJe6NnCRaX5zsROAuZOnztYTo,part_136,2026-09-22 06:10:35
Trupti Cycle Mart,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 95947 74772,N/A,5.0,,"Shop no.6, Subhash Nagar, Road, Opposite Phadke ground, west, Adharwadi, Khadakpada, Kalyan, Maharashtra 421301","Adharwadi, Khadakpada",19.2484374,73.12410009999999,ChIJVTqpO3iW5zsRAAT0dh3MDqY,https://www.google.com/maps/place/?q=place_id:ChIJVTqpO3iW5zsRAAT0dh3MDqY,part_136,2026-09-22 06:10:35
Lassi Cycle Co. Kalyan,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 251 222 2227,N/A,3.8,,"Zunjarroa Market, Kalyan Station Rd, Kalyan West, Maharashtra 421301","Bhanunagar Kalyan(West), Narayan Peth, Kalyan West",19.238874799999998,73.1302257,ChIJQ2-7ztOV5zsRBSFgIG_ac28,https://www.google.com/maps/place/?q=place_id:ChIJQ2-7ztOV5zsRBSFgIG_ac28,part_136,2026-09-22 06:10:35
Lucky Cycle,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 98333 47683,N/A,4.5,,"Plot No.44, 14, Namdeorao Gudade Rd, Kalyan West, Kalyan, Maharashtra 421301",Kalyan West,19.2417435,73.1222638,ChIJPYy16NmV5zsRNZltbK3sONQ,https://www.google.com/maps/place/?q=place_id:ChIJPYy16NmV5zsRNZltbK3sONQ,part_136,2026-09-22 06:10:35
Shree Nirmal online services,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",N/A,N/A,4.6,,"Umbarde Rd, Chanakya Nagar, Khadakpada, Kalyan, Maharashtra 421301","Chanakya Nagar, Khadakpada",19.263278,73.12824789999999,ChIJV3PFD2SW5zsRYkGGA9bOayQ,https://www.google.com/maps/place/?q=place_id:ChIJV3PFD2SW5zsRYkGGA9bOayQ,part_136,2026-09-22 06:10:35
General Cycle Stores,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 98696 18126,N/A,3.7,,"3, Kumar Station Rd, Bhoiwada, Kalyan, Maharashtra 421301",Bhoiwada,19.2380738,73.131665,ChIJwQ_l4tmV5zsR6zVVNpJmLF4,https://www.google.com/maps/place/?q=place_id:ChIJwQ_l4tmV5zsR6zVVNpJmLF4,part_136,2026-09-22 06:10:35
Garge cycle,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",N/A,N/A,4.3,,"Kalyan, Swanand Nagar, Beturkar Pada, Kalyan, Maharashtra 421301","Swanand Nagar, Beturkar Pada",19.2479303,73.12986149999999,ChIJGxl2RX-W5zsRloImOekXE40,https://www.google.com/maps/place/?q=place_id:ChIJGxl2RX-W5zsRloImOekXE40,part_136,2026-09-22 06:10:35
MAHALAXMI SALES Cycle Shop (LAXMI CYCLE CO.),Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 90222 95805,N/A,4.8,,"Kuwari commercial complex, 102, Shivaji Chowk Rd, opp. Radha krishna eye Hospital, Nazarana Compound, Gokul Nagar, Bhiwandi, Maharashtra 421302","Nazarana Compound, Gokul Nagar",19.3059811,73.0611299,ChIJcangCr-95zsR2QmhYpg96gU,https://www.google.com/maps/place/?q=place_id:ChIJcangCr-95zsR2QmhYpg96gU,part_136,2026-09-22 06:10:37
Kisan Cycle Mart,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Road cycling",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 70668 99930,N/A,4.2,,"Bhaskar Nagar, Deepak Nagar, Ambernath, Maharashtra 421505","Bhaskar Nagar, Deepak Nagar",19.202934,73.204651,ChIJWQxYo3ST5zsRjKDYpJ43JDc,https://www.google.com/maps/place/?q=place_id:ChIJWQxYo3ST5zsRjKDYpJ43JDc,part_136,2026-09-22 06:10:37
Parakh Cycle Shop,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",N/A,N/A,2.3,,"Shop No-9, Everest Towers, Santoshi Mata Rd, St Joseph Colony, Chikan Ghar, Kalyan, Maharashtra 421301","St Joseph Colony, Chikan Ghar",19.2423265,73.14068999999999,ChIJBdxIdSyU5zsRe-rLQIniTD8,https://www.google.com/maps/place/?q=place_id:ChIJBdxIdSyU5zsRe-rLQIniTD8,part_136,2026-09-22 06:10:37
