business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Eternal Therapy Centre,Therapy Center,Occupational therapist,Occupational therapist,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 87674 29812,N/A,4.9,15,"Shop no. 107, Tulasi park, Bhiwandi - Murbad Rd, Wayle Nagar, Swanand Colony, Gandhar Nagar, Khadakpada, Kalyan, Maharashtra 421301","Wayle Nagar, Swanand Colony, Gandhar Nagar, Khadakpada",19.2536196,73.1346744,ChIJzyZWzwaX5zsRGufRTEt3Dvg,https://www.google.com/maps/place/?q=place_id:ChIJzyZWzwaX5zsRGufRTEt3Dvg,part_136,2026-09-22 06:10:42
AUDUMBER HOLISTIC HEALING CENTRE,Therapy Center,Physiotherapy Center,Physiotherapy Center,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",N/A,N/A,4.9,15,"Shop no. 9 audumber shrushti building near St. Lawrence international school, Umbarde goan Adharwadi jail road, west, Kalyan, Maharashtra 421301","Chanakya Nagar, Khadakpada",19.2654326,73.12850639999999,ChIJNfxhwAOX5zsRB9mrDBg4iac,https://www.google.com/maps/place/?q=place_id:ChIJNfxhwAOX5zsRB9mrDBg4iac,part_136,2026-09-22 06:10:42
KAUSHALYA rehabilitation & physiotherapy centre,Therapy Center,Physiotherapist,Physiotherapist,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 99202 66256,N/A,4.8,32,"74C9+V44, Umberde Gaon, Khadakpada, Kalyan, Maharashtra 421301","Umberde Gaon, Khadakpada",19.272138299999998,73.1178235,ChIJLZ5C93mX5zsRlGkvkTsqCcA,https://www.google.com/maps/place/?q=place_id:ChIJLZ5C93mX5zsRlGkvkTsqCcA,part_136,2026-09-22 06:10:42
Kaushlya Rehabilitation Center,Therapy Center,Physiotherapy Center,"Physiotherapy Center, Rehabilitation center",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 90820 99206,N/A,4.6,11,"Shop No 18, Raunak city, Jail Rd, Near Don Basco School, Adharwadi, Kalyan West, Kalyan, Maharashtra 421301","Adharwadi, Kalyan West",19.262080299999997,73.12305289999999,ChIJNamynIqX5zsRPLCWW9ET0yI,https://www.google.com/maps/place/?q=place_id:ChIJNamynIqX5zsRPLCWW9ET0yI,part_136,2026-09-22 06:10:42
Swayam Physiotherapy and Rehabilitation Center,Therapy Center,Physiotherapy Center,Physiotherapy Center,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 98330 25463,N/A,5.0,7,"Saraswati Ganesh Prasad Apartment, Parnaka Rd, opposite Phadke Hospital, Kalyan, Maharashtra 421301","Samarth Co-Operative Housing Society, Kalyan West",19.243937799999998,73.1221649,ChIJYdZi9leV5zsR7w9f-Wnv6-U,https://www.google.com/maps/place/?q=place_id:ChIJYdZi9leV5zsR7w9f-Wnv6-U,part_136,2026-09-22 06:10:42
RA Counselling and Psychotherapy Centre,Therapy Center,Psychologist,"Psychologist, Counselor, Mental health service, Psychotherapist",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 93265 54701,https://racounselling.in/,4.8,100,"3rd Floor, RockMount Residency, Shop No, 311, Khadakpada Cir, Kalyan, Maharashtra 421301","Gandhar Nagar, Khadakpada",19.2533688,73.13693529999999,ChIJ9QUbiQqV5zsRDp7Z370RIsQ,https://www.google.com/maps/place/?q=place_id:ChIJ9QUbiQqV5zsRDp7Z370RIsQ,part_136,2026-09-22 06:10:42
"Butterfly Learnings Kalyan Center for Child Development, ABA Therapy & BLISS Schooling",Therapy Center,Occupational therapist,"Occupational therapist, Mental health service, Occupational health service, Child health care center",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 86558 66056,http://www.butterflylearnings.com/,4.6,69,"Office no 1, 1st Floor, Bal Gopal Residency, B Wing, Beturkar Pada, Kalyan, Mumbai, Maharashtra 421301",Beturkar Pada,19.2505892,73.13419139999999,ChIJ_YBVMWCX5zsRaxDUNJfJ2Pg,https://www.google.com/maps/place/?q=place_id:ChIJ_YBVMWCX5zsRaxDUNJfJ2Pg,part_136,2026-09-22 06:10:42
Ark Physiotherapy Clinic (Khadakpada) - By Dr. Priyanka Mishra,Therapy Center,Physiotherapy Center,Physiotherapy Center,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 99301 10108,N/A,5.0,30,"4th floor, 9 square building, 406, above kundandeep dry fruits, above Ganpati mandir, Kalyan, Maharashtra 421301","Radha Nagar, Khadakpada",19.2550398,73.1397301,ChIJuxrQ2mKX5zsR8ElX5qi1PAs,https://www.google.com/maps/place/?q=place_id:ChIJuxrQ2mKX5zsR8ElX5qi1PAs,part_136,2026-09-22 06:10:42
Kamat's Physiotherapy & Rehabilitation Clinic,Therapy Center,Physiotherapy Center,Physiotherapy Center,421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",N/A,N/A,5.0,31,"Shop No. 8, Padmalaya Tower, Karnik Rd, near Holy Cross School, opp. D Mart, Kalyan, Maharashtra 421301",Rambaug,19.2436285,73.139138,ChIJOV9daMOV5zsRyyULIjxYmgg,https://www.google.com/maps/place/?q=place_id:ChIJOV9daMOV5zsRyyULIjxYmgg,part_136,2026-09-22 06:10:42
Quick Well Physiotherapy Clinic in Kalyan | Matrix Rhythm Therapy Centre,Therapy Center,Physiotherapy Center,"Physiotherapy Center, Physical rehabilitation center, Physiotherapist",421301,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kalyan D.C. S.O, Pimpaloli B.O, Kalyan City H.O",+91 98703 27618,N/A,4.8,29,"Shop no.1, Sambhaji Nagar Behind Deshpande Caterers, near Royal Residnecy, Kalyan West, Maharashtra 421301","Sambhaji Nagar, Adharwadi, Kalyan West",19.2528061,73.1284364,ChIJiSlAeIOX5zsRWiw7gNHvNv0,https://www.google.com/maps/place/?q=place_id:ChIJiSlAeIOX5zsRWiw7gNHvNv0,part_136,2026-09-22 06:10:42
