business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Patel Watch Center,Watch Showroom and Repair,Watch store,"Watch store, Shopping mall",421302,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Dandekarwadi S.O, Amane B.O, Angaon B.O",+91 70402 06021,https://www.instagram.com/patelwatchcentre?igsh=MTB4Mzhrd3d5Z2pkNg==,4.1,,"134, near Koter Gate Road, masjid, Gokul Nagar, Bhiwandi, Maharashtra 421308","masjid, Gokul Nagar",19.300214099999998,73.0608008,ChIJC1xyWhK95zsRXsH_7K41PfA,https://www.google.com/maps/place/?q=place_id:ChIJC1xyWhK95zsRXsH_7K41PfA,part_136,2026-09-22 06:11:07
Metro Watch Shope,Watch Showroom and Repair,Watch store,Watch store,421302,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Dandekarwadi S.O, Amane B.O, Angaon B.O",+91 99604 31102,N/A,4.7,,"Dhamankar Naka, Padma Nagar, Bhiwandi, Maharashtra 421305","Dhamankar Naka, Kamatghar",19.287681199999998,73.0543714,ChIJgdHZRgi95zsRFRBrccpttZk,https://www.google.com/maps/place/?q=place_id:ChIJgdHZRgi95zsRFRBrccpttZk,part_136,2026-09-22 06:11:07
sonata watch and mobile centre,Watch Showroom and Repair,Mobile phone repair shop,Mobile phone repair shop,421302,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Dandekarwadi S.O, Amane B.O, Angaon B.O",+91 99231 79018,N/A,4.1,,"Kalyan - Bhiwandi Rd, Fandole Nagar, Padma Nagar, Bhiwandi, Maharashtra 421302","Fandole Nagar, Padma Nagar",19.2898556,73.0687188,ChIJtWQnynW95zsRIU6jKmSJNGE,https://www.google.com/maps/place/?q=place_id:ChIJtWQnynW95zsRIU6jKmSJNGE,part_136,2026-09-22 06:11:07
Ajanta Watch & Radio Co.,Watch Showroom and Repair,Watch store,Watch store,421302,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Dandekarwadi S.O, Amane B.O, Angaon B.O",N/A,N/A,4.3,,"73X6+RPQ, Juna St Rd, Old Zakat Naka, Kaneri, Bhiwandi, Maharashtra 421302","Old Zakat Naka, Kaneri",19.2995901,73.0618489,ChIJKxoOeWq95zsR-IDYvsuRoB0,https://www.google.com/maps/place/?q=place_id:ChIJKxoOeWq95zsR-IDYvsuRoB0,part_136,2026-09-22 06:11:08
STAR WATCH,Watch Showroom and Repair,Watch store,"Watch store, Repair service",421302,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Dandekarwadi S.O, Amane B.O, Angaon B.O",+91 98236 93852,N/A,5.0,,"Peerani pada Shanti nagar road, near sattar medical, Bhiwandi, Maharashtra 421302",Gaibi Nagar Bhiwandi,19.2938446,73.0789212,ChIJo97if3m95zsRdXTXVKlZzXQ,https://www.google.com/maps/place/?q=place_id:ChIJo97if3m95zsRdXTXVKlZzXQ,part_136,2026-09-22 06:11:08
American Globe Watch,Watch Showroom and Repair,Watch store,Watch store,421302,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Dandekarwadi S.O, Amane B.O, Angaon B.O",+91 98901 25223,N/A,5.0,,"Ground floor, 114, Koter Gate Rd, opposite to miracle mall, Zaitunpura, Kaneri, Bhiwandi, Maharashtra 421308","Zaitunpura, Kaneri",19.3004107,73.0603002,ChIJ-W9aQ9295zsRS173OTNizQI,https://www.google.com/maps/place/?q=place_id:ChIJ-W9aQ9295zsRS173OTNizQI,part_136,2026-09-22 06:11:08
NEW PATEL WATCH,Watch Showroom and Repair,Watch store,Watch store,421302,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Dandekarwadi S.O, Amane B.O, Angaon B.O",+91 98901 45420,N/A,5.0,,"133, Imam Ahmed Raza Rd, Nazarana Compound, Gokul Nagar, Bhiwandi, Maharashtra 421308","Nazarana Compound, Gokul Nagar",19.3003616,73.0606758,ChIJY8vwUBK95zsRBP1_xxRAq3w,https://www.google.com/maps/place/?q=place_id:ChIJY8vwUBK95zsRBP1_xxRAq3w,part_136,2026-09-22 06:11:08
W.A Ansari Watch Shop,Watch Showroom and Repair,Store,Store,421302,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Dandekarwadi S.O, Amane B.O, Angaon B.O",N/A,N/A,3.8,,"Bhusar Mohalla, Kahjoor Pura, Bhiwandi, Maharashtra 421305","Bhusar Mohalla, Kahjoor Pura",19.2974763,73.05470849999999,ChIJ3RgqKBC95zsR-DZs3rP804E,https://www.google.com/maps/place/?q=place_id:ChIJ3RgqKBC95zsR-DZs3rP804E,part_136,2026-09-22 06:11:08
New Prabhat watch & mobile repairing shop,Watch Showroom and Repair,Watch repair service,Watch repair service,421302,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Dandekarwadi S.O, Amane B.O, Angaon B.O",+91 72767 10357,N/A,4.6,,"Bhiwandi, Nazarana Compound, Gokul Nagar, Bhiwandi, Maharashtra 421308","Nazarana Compound, Gokul Nagar",19.3038775,73.0575605,ChIJMe1qrha95zsRz6M5Sq2yOBQ,https://www.google.com/maps/place/?q=place_id:ChIJMe1qrha95zsRz6M5Sq2yOBQ,part_136,2026-09-22 06:11:09
Shiva watch,Watch Showroom and Repair,Watch repair service,Watch repair service,421302,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Dandekarwadi S.O, Amane B.O, Angaon B.O",+91 88569 59251,N/A,4.5,,"opp. omkar medical and general store, Kamatghar, Bhiwandi, Maharashtra 421305",Kamatghar,19.272647,73.0552855,ChIJ9-2hysm95zsRC-P2XRr-4sI,https://www.google.com/maps/place/?q=place_id:ChIJ9-2hysm95zsRC-P2XRr-4sI,part_136,2026-09-22 06:11:09
