business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
VILAS FASTFOOD CORNER,Fast Food and Chaat Corner,Restaurant,Restaurant,421305,Maharashtra Circle,Navi Mumbai Region,Thane Division,Vidyashram S.O,+91 88308 33023,N/A,,,"Shop No 2 Indra Hospital Bhiwandi, Bhiwandi, Maharashtra 421302","Quresh Nagar, Gokul Nagar",19.2999331,73.06549389999999,ChIJ7ThIM_-95zsRdZQQECsf8Ig,https://www.google.com/maps/place/?q=place_id:ChIJ7ThIM_-95zsRdZQQECsf8Ig,part_136,2026-09-22 06:12:16
NIRBHAY CHINESE CORNER,Fast Food and Chaat Corner,Chinese restaurant,Chinese restaurant,421305,Maharashtra Circle,Navi Mumbai Region,Thane Division,Vidyashram S.O,+91 99671 25500,N/A,4.5,,"At Ovali village, Uday Shankar chowk, near Marathi school, Ovali, Maharashtra 421302",Ovali,19.2570697,73.0547386,ChIJW17Wpd295zsRW7xVVI6YonQ,https://www.google.com/maps/place/?q=place_id:ChIJW17Wpd295zsRW7xVVI6YonQ,part_136,2026-09-22 06:12:16
AL-JABAL FAST FOOD,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,421305,Maharashtra Circle,Navi Mumbai Region,Thane Division,Vidyashram S.O,N/A,N/A,4.6,,"H.N 1279, 8369+M75 RIVER VIEW-I, 4, RIVER SIDE, Millat Nagar, Avachit Pada, Bhiwandi, Maharashtra 421302","Millat Nagar, Avachit Pada",19.314521,73.06992389999999,ChIJDS1C4gC95zsRDW_6zcg7luQ,https://www.google.com/maps/place/?q=place_id:ChIJDS1C4gC95zsRDW_6zcg7luQ,part_136,2026-09-22 06:12:16
Gulab Panipuri,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Panipuri shop",421305,Maharashtra Circle,Navi Mumbai Region,Thane Division,Vidyashram S.O,N/A,N/A,4.0,,"8358+893, Vanjar Patti Naka, Quresh Nagar, Avachit Pada, Bhiwandi, Maharashtra 421302","Vanjar Patti Naka, Quresh Nagar, Avachit Pada",19.308265,73.0659189,ChIJ8-1Wxmq95zsR8cJ97in7PH4,https://www.google.com/maps/place/?q=place_id:ChIJ8-1Wxmq95zsR8cJ97in7PH4,part_136,2026-09-22 06:12:16
Snack King,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,421305,Maharashtra Circle,Navi Mumbai Region,Thane Division,Vidyashram S.O,+91 92702 15588,N/A,2.8,,"Shop no. 7,8, Mohammadi Apt, near Noorani masjid, Kacheri Pada, Gulzar Nagar, Bhiwandi, Maharashtra 421302","Kacheri Pada, Gulzar Nagar",19.2968342,73.0705875,ChIJsZCPAvS95zsRiU4ieXDeGak,https://www.google.com/maps/place/?q=place_id:ChIJsZCPAvS95zsRiU4ieXDeGak,part_136,2026-09-22 06:12:16
CHUNKIES BHIWANDI,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,421305,Maharashtra Circle,Navi Mumbai Region,Thane Division,Vidyashram S.O,+91 91465 64777,N/A,3.7,,"Shop No 1, Bagh -e- Yusuf Residency, Chavindra, Bhiwandi, Maharashtra 421302",Chavindra,19.3146027,73.0742171,ChIJxwKwEAC95zsR7VXAcdvWjeU,https://www.google.com/maps/place/?q=place_id:ChIJxwKwEAC95zsR7VXAcdvWjeU,part_136,2026-09-22 06:12:16
GUPTAJI CHAT BHANDAR,Fast Food and Chaat Corner,Restaurant,Restaurant,421305,Maharashtra Circle,Navi Mumbai Region,Thane Division,Vidyashram S.O,+91 87939 21187,N/A,4.7,10.0,"Kalyan Rd, nr. Swayam Siddhi College Of Management & Research, Temghar Pada, Themghar, Bhiwandi, Maharashtra 421302","Temghar Pada, Themghar",19.277623,73.0771554,ChIJW_sGd2S95zsRkyc7lJr0lks,https://www.google.com/maps/place/?q=place_id:ChIJW_sGd2S95zsRkyc7lJr0lks,part_136,2026-09-22 06:12:17
Gupta Chaat Bhandar,Fast Food and Chaat Corner,Store,Store,421305,Maharashtra Circle,Navi Mumbai Region,Thane Division,Vidyashram S.O,+91 98607 67738,N/A,4.0,5.0,"Arihant City, Kalyan - Bhiwandi Rd, Sonale, Bhadwad Gaon, Sonale Village, Bhiwandi, Maharashtra 421302","Sonale, Bhadwad Gaon, Sonale Village",19.2790693,73.0807258,ChIJYebD67-95zsRaOf1VmcloiM,https://www.google.com/maps/place/?q=place_id:ChIJYebD67-95zsRaOf1VmcloiM,part_136,2026-09-22 06:12:17
Anupam Chaat Corner,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,421305,Maharashtra Circle,Navi Mumbai Region,Thane Division,Vidyashram S.O,+91 79760 33732,N/A,4.4,127.0,"A-414, Shivanand Marg, Block-B, Sector 4, Malviya Nagar, Jaipur, Rajasthan 302017","Block-B, Sector 4, Malviya Nagar",26.851189899999998,75.8187674,ChIJ_3qNqBK2bTkRZW0Hig9I8Ko,https://www.google.com/maps/place/?q=place_id:ChIJ_3qNqBK2bTkRZW0Hig9I8Ko,part_136,2026-09-22 06:12:17
Chaat Ka Chaska,Fast Food and Chaat Corner,Restaurant,"Restaurant, Chinese restaurant, North Indian restaurant",421305,Maharashtra Circle,Navi Mumbai Region,Thane Division,Vidyashram S.O,+91 95915 13636,https://chaatkachaska.in/,4.6,390.0,"52/3 Ranka Colony Road, Bannerghatta Rd, next to Epitome Crowne Apartment, Bilekahalli, Bengaluru, Karnataka 560076","Ramanashree Enclave, Bilekahalli",12.903092599999999,77.60637559999999,ChIJGUkLqI4VrjsR6MJzsen1h7g,https://www.google.com/maps/place/?q=place_id:ChIJGUkLqI4VrjsR6MJzsen1h7g,part_136,2026-09-22 06:12:17
