business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SARASWATI ENTERPRISES,Bookstore and Stationery Shop,Book store,Book store,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",N/A,N/A,4.5,13.0,"Shop no.2 Jyotirling Apartment Mhasoba chowk, Tisgaon Rd, Kalyan East, Maharashtra 421306",Kalyan East,19.2298209,73.13355899999999,ChIJY5r48ouV5zsRlLjqP0FcPLE,https://www.google.com/maps/place/?q=place_id:ChIJY5r48ouV5zsRlLjqP0FcPLE,part_136,2026-09-22 06:13:14
Mamta book Store,Bookstore and Stationery Shop,Book store,Book store,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 99205 21581,https://mamta-book-store.grexa.site/,3.8,27.0,"Shop No-1, Malang Gad Rd, opposite Chetna School, Kalyan East, Pisavli Village, Kalyan East, Kalyan, Maharashtra 421306","Kalyan East, Pisavli Village, Kalyan East",19.2198624,73.12796519999999,ChIJRxj6mbaV5zsR1xqDNQdZnQs,https://www.google.com/maps/place/?q=place_id:ChIJRxj6mbaV5zsR1xqDNQdZnQs,part_136,2026-09-22 06:13:14
Shree Balaji Book Depo,Bookstore and Stationery Shop,Book store,Book store,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 85296 78978,https://jagdishbookdepot.in/,4.0,8.0,"Shop Number 1 sandan Saurabh Vijay Nagar, Kalyan East, Kalyan, Maharashtra 421306",Kalyan East,19.2243723,73.1366882,ChIJq6qqWkqU5zsR7YErgJTXt58,https://www.google.com/maps/place/?q=place_id:ChIJq6qqWkqU5zsR7YErgJTXt58,part_136,2026-09-22 06:13:14
Shri Tisai Book Depo & Stationery,Bookstore and Stationery Shop,Stationery store,"Stationery store, Bookbinder, Books Wholesaler, Novelty store",421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 98691 42261,N/A,3.5,6.0,"Shop No 1, Shri Tisai Book Depk, Malangad Rd, opp. Holycross School, Nandivali Gaon, Kalyan, Maharashtra 421306",Nandivali Gaon,19.212521199999998,73.1339306,ChIJOxDhW62V5zsRzYGB9aUJYvk,https://www.google.com/maps/place/?q=place_id:ChIJOxDhW62V5zsRzYGB9aUJYvk,part_136,2026-09-22 06:13:14
Chamunda Pooja Bhandar & Stationery Mart,Bookstore and Stationery Shop,Religious goods store,"Religious goods store, Money transfer service, Religious Book Store",421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 70211 30077,N/A,5.0,11.0,"Shop no. 5, Vasar gaon road, Malangad Rd, near Gaikar gym, next to Mahadev medical Vasar, Kalyan, Maharashtra 421306",421306,19.1900518,73.14094089999999,ChIJqRu0JSyV5zsRKfFbN8pEydY,https://www.google.com/maps/place/?q=place_id:ChIJqRu0JSyV5zsRKfFbN8pEydY,part_136,2026-09-22 06:13:14
Shree Ashtvinayak Enterprises,Bookstore and Stationery Shop,Stationery store,Stationery store,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",N/A,N/A,4.9,21.0,"Vishal Pushapak Co Opp HLtd Drashana Apt No 2 Flat No 16 Third Floor Vijay Nagar Puna, Link Road, Kalyan (E, Kalyan, Maharashtra 421306",Kalyan (E,19.222831799999998,73.1366766,ChIJH7YdLTOV5zsRes1vrNr94I0,https://www.google.com/maps/place/?q=place_id:ChIJH7YdLTOV5zsRes1vrNr94I0,part_136,2026-09-22 06:13:14
Ganesh book depot stationery,Bookstore and Stationery Shop,Book store,Book store,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 98698 36678,N/A,4.9,9.0,"Puna, link road, Kalyan, Maharashtra 421306",Santosh Nagar,19.2246172,73.13617789999999,ChIJLee2XjWU5zsRXKMx46OPapA,https://www.google.com/maps/place/?q=place_id:ChIJLee2XjWU5zsRXKMx46OPapA,part_136,2026-09-22 06:13:14
Ideal Book Depot,Bookstore and Stationery Shop,Book store,Book store,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",N/A,N/A,4.1,71.0,"65C2+J2J Jai Ambe Colony, 1/3, Khadegolavali Rd, Khadegolwali, Vitthalwadi, Kalyan, Maharashtra 421306","Khadegolwali, Vitthalwadi",19.2216213,73.1499895,ChIJfZxYbcuV5zsRMR8x5c1gHnM,https://www.google.com/maps/place/?q=place_id:ChIJfZxYbcuV5zsRMR8x5c1gHnM,part_136,2026-09-22 06:13:14
Khetlaji Book Depot,Bookstore and Stationery Shop,Book store,Book store,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 70214 45930,N/A,3.7,43.0,"Shop No.3, E-4, Hiren Society, Kalyan East, Lokgram, Mumbai, Maharashtra 421306","Lok Gram, Lokgram",19.2289593,73.1292369,ChIJpaqqOsmV5zsRT5el3oq-5wM,https://www.google.com/maps/place/?q=place_id:ChIJpaqqOsmV5zsRT5el3oq-5wM,part_136,2026-09-22 06:13:14
Saraswati Book Depot,Bookstore and Stationery Shop,Book store,Book store,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 81086 36065,N/A,4.1,,"Old Janata Sahakari Bank Rd, Shivaji Colony, Kalyan, Maharashtra 421306",Shivaji Colony,19.2285774,73.1372233,ChIJw33J8TSU5zsROwruMgoaJ4U,https://www.google.com/maps/place/?q=place_id:ChIJw33J8TSU5zsROwruMgoaJ4U,part_136,2026-09-22 06:13:15
