business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Shree Tutorials, Murbad",Tuition Center,Coaching Center,"Coaching Center, School",421401,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Murbad S.O, Kasegaon B.O, Khutal Baragaon B.O",N/A,N/A,3.5,,"Shelake pada, near sai temple, Murbad, Maharashtra 421401",421401,19.256713599999998,73.3916149,ChIJ7avlEOeL5zsRvliIrsU7ex0,https://www.google.com/maps/place/?q=place_id:ChIJ7avlEOeL5zsRvliIrsU7ex0,part_136,2026-09-22 06:15:37
Gharat Abhyasika,Tuition Center,Coaching Center,"Coaching Center, School",421401,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Murbad S.O, Kasegaon B.O, Khutal Baragaon B.O",+91 88065 35734,N/A,4.2,,"Shop No 1, Sai Nagar, Murbad Road, साई नगर, Mhasa, Murbad, Maharashtra 421401",साई नगर,19.2541243,73.3933952,ChIJ3f9E-CWL5zsRYUNt6gfzIIw,https://www.google.com/maps/place/?q=place_id:ChIJ3f9E-CWL5zsRYUNt6gfzIIw,part_136,2026-09-22 06:15:37
Mehta Tuitions,Tuition Center,Coaching Center,Coaching Center,421401,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Murbad S.O, Kasegaon B.O, Khutal Baragaon B.O",N/A,N/A,4.9,,"202 , Tirupati arcade , vivekanand nagar, new english achool road, Badlapur, Maharashtra 421503","Kulgaon Society, Patil Pada, Station Pada",19.164036799999998,73.2379871,ChIJt2fLN6bt5zsRcX8glS7YYIo,https://www.google.com/maps/place/?q=place_id:ChIJt2fLN6bt5zsRcX8glS7YYIo,part_136,2026-09-22 06:15:37
Coaching center,Tuition Center,Coaching Center,Coaching Center,421401,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Murbad S.O, Kasegaon B.O, Khutal Baragaon B.O",+91 85049 70611,N/A,,,"east railway station, near bank of Baroda, Shelu, Bandhiwali, Maharashtra 410101",421401,19.0635707,73.3179526,ChIJuRsHZI3x5zsR2pLCsL-ZIFk,https://www.google.com/maps/place/?q=place_id:ChIJuRsHZI3x5zsR2pLCsL-ZIFk,part_136,2026-09-22 06:15:37
BOARD EDUCATION AND PREPARATION COACHING CENTRE,Tuition Center,Coaching Center,Coaching Center,421401,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Murbad S.O, Kasegaon B.O, Khutal Baragaon B.O",+91 81080 76904,N/A,,,"Indra Nagar, Shop No. C/1, C.G.Chawl, Ghotsai Road, Titwala East, Maharashtra 421605",Titvala,19.2885493,73.20990909999999,ChIJb2d_7BGR5zsRyS5QxqShjCc,https://www.google.com/maps/place/?q=place_id:ChIJb2d_7BGR5zsRyS5QxqShjCc,part_136,2026-09-22 06:15:37
Excel Home Tuitions,Tuition Center,Education center,Education center,421401,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Murbad S.O, Kasegaon B.O, Khutal Baragaon B.O",+91 96194 25370,N/A,5.0,,"F-203, Ashtavinayakpatk, near Bhagwati Hospital, West, Rameshwadi, Badlapur, Maharashtra 421503","West, Rameshwadi",19.162791,73.2476762,ChIJub2aIvrt5zsR1STqEwLeLD8,https://www.google.com/maps/place/?q=place_id:ChIJub2aIvrt5zsR1STqEwLeLD8,part_136,2026-09-22 06:15:37
PRAGATI COMPUTER AND COACHING CLASSES,Tuition Center,Education center,Education center,421401,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Murbad S.O, Kasegaon B.O, Khutal Baragaon B.O",N/A,N/A,,,"POTDAR SHOPPING CENTRE, near BUS STAND, above SWAMI HOTEL, Additional MIDC, Murbad, Maharashtra 421401",Additional MIDC,19.2613266,73.3884886,ChIJFbJzipOL5zsRMmBeSN5a-GE,https://www.google.com/maps/place/?q=place_id:ChIJFbJzipOL5zsRMmBeSN5a-GE,part_136,2026-09-22 06:15:37
Real Academy,Tuition Center,Coaching Center,Coaching Center,421401,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Murbad S.O, Kasegaon B.O, Khutal Baragaon B.O",+91 251 286 1543,https://www.realacademy.org.in/,3.4,,"1st Floor, Paudwal Building, near Santoshi Mata Mandir, Mata Nagar, Murbad, Maharashtra 421401",Mata Nagar,19.2574188,73.38753059999999,ChIJzxx62hCL5zsRYbIBnfk5WBA,https://www.google.com/maps/place/?q=place_id:ChIJzxx62hCL5zsRYbIBnfk5WBA,part_136,2026-09-22 06:15:37
Arya Tutorials,Tuition Center,Coaching Center,"Coaching Center, Service establishment",421401,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Murbad S.O, Kasegaon B.O, Khutal Baragaon B.O",+91 93218 25085,N/A,5.0,,"Arya Tutorials, 421401, India",421401,21.0680074,82.7525294,ChIJDew_gWST5zsR1so_dEP0lOI,https://www.google.com/maps/place/?q=place_id:ChIJDew_gWST5zsR1so_dEP0lOI,part_136,2026-09-22 06:15:37
EUREKA TUITION CENTRE,Tuition Center,Coaching Center,Coaching Center,421401,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Murbad S.O, Kasegaon B.O, Khutal Baragaon B.O",+91 73034 77170,N/A,5.0,,"shop no 1, Naaz palace, near Taqwa Masjid, Mamdapur, Neral, Maharashtra 410101",421401,19.0332311,73.3082829,ChIJuUgNXcq_5zsR8X35jknbLO4,https://www.google.com/maps/place/?q=place_id:ChIJuUgNXcq_5zsR8X35jknbLO4,part_136,2026-09-22 06:15:37
