business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SRI SRI MEDICALS,24 Hour Pharmacy,Pharmacy,Pharmacy,421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",N/A,N/A,5.0,1.0,"Indra Palem, Suryaraopeta, Andhra Pradesh 533006",Indra Palem,16.9618184,82.21451789999999,ChIJdVULfPiHNzoR7aPGRjOynhw,https://www.google.com/maps/place/?q=place_id:ChIJdVULfPiHNzoR7aPGRjOynhw,part_136,2026-09-22 06:15:57
24x7 Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",+91 86881 13267,N/A,,,"5PX2+77W, Bustand Circle, Main Road Parkal, Parkal, Telangana 506164",421402,18.198228999999998,79.70068789999999,ChIJE6dRp1Q-MzoRI-uXthkFzBU,https://www.google.com/maps/place/?q=place_id:ChIJE6dRp1Q-MzoRI-uXthkFzBU,part_136,2026-09-22 06:15:57
DRUGS WINDOW MEDICAL,24 Hour Pharmacy,Pharmacy,Pharmacy,421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",+91 76098 78292,N/A,5.0,2.0,"HMRF+246, ହାଇସ୍କୁଲ ସାମନା, ବୁକୋମନା, ନୂଆପଡା, Pandarapathar, Odisha 766106",421402,20.5900471,82.6727521,ChIJCwlgABfHJToRHOgZ1yapoiQ,https://www.google.com/maps/place/?q=place_id:ChIJCwlgABfHJToRHOgZ1yapoiQ,part_136,2026-09-22 06:15:57
SR PHARMACY,24 Hour Pharmacy,Pharmacy,Pharmacy,421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",+91 72888 38659,N/A,4.6,10.0,"MIG Phase 2 Colony, Bharat Heavy Electricals Limited, Hyderabad, Serilingampalle (M), Telangana 502032","MIG Phase 2 Colony, Bharat Heavy Electricals Limited",17.477793,78.2880423,ChIJVV-961ztyzsRUgiWtWxv-I0,https://www.google.com/maps/place/?q=place_id:ChIJVV-961ztyzsRUgiWtWxv-I0,part_136,2026-09-22 06:15:57
Pride Hospitals 24X7 Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",N/A,N/A,,,"Sri Shankar Colony, RTC Colony, L. B. Nagar, Hyderabad, Telangana 500074","Sri Shankar Colony, RTC Colony, L. B. Nagar",17.352649,78.5544728,ChIJwYI3g7qYyzsRwj_MPRsW53c,https://www.google.com/maps/place/?q=place_id:ChIJwYI3g7qYyzsRwj_MPRsW53c,part_136,2026-09-22 06:15:57
Royal Pharmacy Medical,24 Hour Pharmacy,Pharmacy,Pharmacy,421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",+91 95896 58016,N/A,4.0,2.0,"23, Umrhar, Deosar, Khairabada, Madhya Pradesh 486881",Umrhar,24.3210283,82.352447,ChIJkTGyFiZdjzkR_hBRnUGRFMg,https://www.google.com/maps/place/?q=place_id:ChIJkTGyFiZdjzkR_hBRnUGRFMg,part_136,2026-09-22 06:15:57
Pink Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",N/A,N/A,5.0,1.0,"Ground Floor, SMBT Hospital, Ghoti-Shirdi Road, Ghoti - Sinnar Rd, Maharashtra 422403",421402,19.760519,73.76977649999999,ChIJ7xBS9mGZ3TsRN3ZSuu2V4jQ,https://www.google.com/maps/place/?q=place_id:ChIJ7xBS9mGZ3TsRN3ZSuu2V4jQ,part_136,2026-09-22 06:15:57
Royal Medical And General,24 Hour Pharmacy,Pharmacy,Pharmacy,421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",N/A,N/A,,,"Kakinada, Andhra Pradesh 533001",421402,16.9513686,82.2321094,ChIJc3M5keEnODoRhIzS7wi0Flo,https://www.google.com/maps/place/?q=place_id:ChIJc3M5keEnODoRhIzS7wi0Flo,part_136,2026-09-22 06:15:57
New Maharashtra Medical And Agencies,24 Hour Pharmacy,Pharmacy,"Pharmacy, General store",421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",+91 89994 51531,N/A,5.0,10.0,"Shop No.1, 264A, Datta Nagar, Girnare, Igatpuri, Maharashtra 422403","Datta Nagar, Girnare",19.69397,73.58117349999999,ChIJG9R60xSF3TsRBl5UBOLUvi0,https://www.google.com/maps/place/?q=place_id:ChIJG9R60xSF3TsRBl5UBOLUvi0,part_136,2026-09-22 06:15:57
BEST PHARMACY,24 Hour Pharmacy,Pharmacy,Pharmacy,421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",N/A,N/A,5.0,1.0,"Sarpavaram, Andhra Pradesh 533005",Sarpavaram,16.999547,82.22411129999999,ChIJu3QfNC0oODoR45WEVdyBab8,https://www.google.com/maps/place/?q=place_id:ChIJu3QfNC0oODoR45WEVdyBab8,part_136,2026-09-22 06:15:57
UMA MEDICAL & SURGICALS 24 HOURS,24 Hour Pharmacy,Pharmacy,Pharmacy,421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",+91 870 244 3247,N/A,4.6,41.0,"5-5-112, 2H68+C5V, market road, near markazi school, Lashkar Bazar, Kotthur Janda, Kumapalli, Hanamkonda, Telangana 506001","Lashkar Bazar, Kotthur Janda, Kumapalli",18.011128499999998,79.5654157,ChIJ77fu-X5PMzoRjXREv8V0dlk,https://www.google.com/maps/place/?q=place_id:ChIJ77fu-X5PMzoRjXREv8V0dlk,part_136,2026-09-22 06:15:57
Apollo Pharmacy Dhokali Kolshet Road,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store, Sports nutrition store, Surgical supply store, Vitamin & supplements store",421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",+91 79 4296 0596,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,2.8,,"Ground flr, ASHAR ENCLAVE, No.27, Kolshet Rd, opp. Vardhman Vatika, Kailash Nagar, Thane West, Thane, Maharashtra 400607","Kailash Nagar, Thane West",19.2245252,72.9792186,ChIJsVuNWt655zsRvIQdKRSBYOE,https://www.google.com/maps/place/?q=place_id:ChIJsVuNWt655zsRvIQdKRSBYOE,part_136,2026-09-22 06:15:58
Apollo Pharmacy Talav Pali,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store, Sports nutrition store, Surgical supply store, Vitamin & supplements store",421402,Maharashtra circle,Navi Mumbai Region,Thane Division,"Balegaon B.O, Mal B.O, Palu B.O",+91 79 4747 9411,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,4.2,,"Shop No.6&7, Ground Floor, Dr Moose Rd, Talav Pali, Naupada, Thane West, Thane, Maharashtra 400602","Talav Pali, Naupada, Thane West",19.1928451,72.973669,ChIJZRC1EHG55zsRM5Jms3wIyNM,https://www.google.com/maps/place/?q=place_id:ChIJZRC1EHG55zsRM5Jms3wIyNM,part_136,2026-09-22 06:15:58
