business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Manisha Events,Event Planners/Wedding Planners,Event management company,Event management company,421501,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ambernath S.O, Ambernath South S.O, Kansai S.O",N/A,N/A,4.9,66.0,"Bhoir Rd, near Hanuman Mandir West, New Vadavli, Badlapur, Maharashtra 421503",New Vadavli,19.1888591,73.2291583,ChIJm_et02eT5zsRKDW--mAgWnc,https://www.google.com/maps/place/?q=place_id:ChIJm_et02eT5zsRKDW--mAgWnc,part_136,2026-09-22 06:17:16
Maran Art's and Event's,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Artist, Balloon artist, Event planner",421501,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ambernath S.O, Ambernath South S.O, Kansai S.O",+91 91753 91118,https://www.instagram.com/maran_arts_events,4.9,80.0,"near tamil school, Swami Nagar, Ambernath, Maharashtra 421501",Swami Nagar,19.2116187,73.18348209999999,ChIJ3wPXwpST5zsRXxYh-9ojHJg,https://www.google.com/maps/place/?q=place_id:ChIJ3wPXwpST5zsRXxYh-9ojHJg,part_136,2026-09-22 06:17:16
ROYALfx EVENTS,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Party planner, Pyrotechnician, Restaurant supply store, Wedding service",421501,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ambernath S.O, Ambernath South S.O, Kansai S.O",N/A,https://www.instagram.com/royalfx_events?igsh=MTd6aDJ3d3pxdTJqbw==,5.0,20.0,"K B Road, Buwapada, Deepak Nagar, Ambernath, Maharashtra 421501","Buwapada, Deepak Nagar",19.200402099999998,73.2071752,ChIJM55ZkceT5zsRplMOmgSw_jU,https://www.google.com/maps/place/?q=place_id:ChIJM55ZkceT5zsRplMOmgSw_jU,part_136,2026-09-22 06:17:16
RM Events,Event Planners/Wedding Planners,Event management company,Event management company,421501,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ambernath S.O, Ambernath South S.O, Kansai S.O",N/A,https://www.instagram.com/_rm.event.__?igsh=MW1ydGtueGVxZGhocg==,5.0,27.0,"Room no 3165, opposite RM tailor, Bhaskar Nagar, Deepak Nagar, Ambernath west, Ambernath, Maharashtra 421505","Bhaskar Nagar, Deepak Nagar",19.2042598,73.205321,ChIJoVr5RdeT5zsRTs8vk9GyRb4,https://www.google.com/maps/place/?q=place_id:ChIJoVr5RdeT5zsRTs8vk9GyRb4,part_136,2026-09-22 06:17:16
HALL A,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Banquet hall, Catering food and drink supplier, Caterer, Children hall, Marriage celebrant, Party planner, Event planner, Wedding service, Wedding venue",421501,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ambernath S.O, Ambernath South S.O, Kansai S.O",N/A,https://gayatrigardenhallandlawns.in/,4.8,45.0,"Hall and Lawns, Gayatri Garden, Ambernath - Badlapur Rd, behind nexa maruti showroom, east, Katrap, Badlapur, Maharashtra 421503","east, Katrap",19.1768908,73.22290819999999,ChIJQf2NrLXAQmIR0I70pnXOjB8,https://www.google.com/maps/place/?q=place_id:ChIJQf2NrLXAQmIR0I70pnXOjB8,part_136,2026-09-22 06:17:16
Ekadanta Events,Event Planners/Wedding Planners,Wedding planner,Wedding planner,421501,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ambernath S.O, Ambernath South S.O, Kansai S.O",N/A,N/A,5.0,1.0,"268, MJP Nagar Rd, Mahatma Jyotiba Phulenagar, Ambernath, Maharashtra 421502",Mahatma Jyotiba Phulenagar,19.2247624,73.1959996,ChIJ9-iWWwCT5zsRBKwOqR0nvs0,https://www.google.com/maps/place/?q=place_id:ChIJ9-iWWwCT5zsRBKwOqR0nvs0,part_136,2026-09-22 06:17:16
TANISHA EVENTS & NEHA DECORATORS,Event Planners/Wedding Planners,Wedding planner,Wedding planner,421501,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ambernath S.O, Ambernath South S.O, Kansai S.O",+91 77094 36081,N/A,4.6,8.0,"3rd floor, Mohan galleria, MOHAN SUBURBIA, Mohan banquets, near ayyppa temple, Ambernath, Maharashtra 421505",Amber Colony,19.2142019,73.2053908,ChIJc48QbZWV5zsR4yIyssvcXIc,https://www.google.com/maps/place/?q=place_id:ChIJc48QbZWV5zsR4yIyssvcXIc,part_136,2026-09-22 06:17:17
myra events,Event Planners/Wedding Planners,Event management company,Event management company,421501,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ambernath S.O, Ambernath South S.O, Kansai S.O",+91 98607 91650,N/A,5.0,8.0,"naka Kohojgaon Nanji building, Ambernath, Maharashtra 421505",MIDC East,19.2093591,73.19235429999999,ChIJ1VsDAJuT5zsR2Fa6JrBj2NQ,https://www.google.com/maps/place/?q=place_id:ChIJ1VsDAJuT5zsR2Fa6JrBj2NQ,part_136,2026-09-22 06:17:17
Swaraj Events-Ambernath,Event Planners/Wedding Planners,Event planner,"Event planner, Event management company",421501,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ambernath S.O, Ambernath South S.O, Kansai S.O",+91 89765 76212,https://swarajevents.com/,5.0,22.0,"Shree apartment Pathare park, 12, B Cabin Rd, east, Navare Nagar, Ambernath, Maharashtra 421501","east, Navare Nagar",19.196366599999998,73.1973047,ChIJJ9zzzFCT5zsR38LXlBYRxtA,https://www.google.com/maps/place/?q=place_id:ChIJJ9zzzFCT5zsR38LXlBYRxtA,part_136,2026-09-22 06:17:17
Dream event's,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Photographer, Wedding photographer, Event planner",421501,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ambernath S.O, Ambernath South S.O, Kansai S.O",+91 80879 74198,N/A,4.9,35.0,"Gavdevi 2, Ambernath - Badlapur Rd, Patil Pada, east, Badlapur, Maharashtra 421503","Patil Pada, east",19.1633872,73.2433069,ChIJDSIgSyGT5zsRyILqmstBfPc,https://www.google.com/maps/place/?q=place_id:ChIJDSIgSyGT5zsRyILqmstBfPc,part_136,2026-09-22 06:17:17
MAC Events & Entertainment,Event Planners/Wedding Planners,Event management company,Event management company,421501,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ambernath S.O, Ambernath South S.O, Kansai S.O",+91 91588 99144,http://www.about.me/maceventsind,,,"Office No 001, Gurukrukrupa Niwas, New Colony, Gaondevi Road, Ambarnath (West), Ambernath, Maharashtra 421505",Housing Board Colony,19.2114407,73.1981211,ChIJV2s9QZyT5zsRLizNAcQhX7c,https://www.google.com/maps/place/?q=place_id:ChIJV2s9QZyT5zsRLizNAcQhX7c,part_136,2026-09-22 06:17:18
