business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Souffle Cake Shop Katrap Road, Badlapur",Patisserie,Cake shop,Cake shop,421502,Maharashtra Circle,Navi Mumbai Region,Thane Division,O.E.Ambernath S.O,+91 74105 95111,N/A,4.8,,"Shop No. 18, D P, Katrap Rd, Aptewadi, East, Badlapur, Maharashtra 421503","Aptewadi, East",19.1662912,73.23124349999999,ChIJMeITykiT5zsRXYT67FRJin0,https://www.google.com/maps/place/?q=place_id:ChIJMeITykiT5zsRXYT67FRJin0,part_136,2026-09-22 06:17:33
SS Bakers Kharvai,Patisserie,Cake shop,Cake shop,421502,Maharashtra Circle,Navi Mumbai Region,Thane Division,O.E.Ambernath S.O,N/A,https://www.ssbakers.com/,4.8,,"SS Bakers, Shop No 11, Deep Homes, Karjat Rd, Kharvai Naka, Badlapur E, Badlapur, Maharashtra 421503",Kharvai,19.1460899,73.24826709999999,ChIJr4m3jDDt5zsRQLlKCeZjYio,https://www.google.com/maps/place/?q=place_id:ChIJr4m3jDDt5zsRQLlKCeZjYio,part_136,2026-09-22 06:17:33
SS Bakers Badlapur West,Patisserie,Cake shop,Cake shop,421502,Maharashtra Circle,Navi Mumbai Region,Thane Division,O.E.Ambernath S.O,+91 788 733 1352,N/A,5.0,,"Shop no 19, Anand Arcade, Evershine Cooperative Housing society, Rameshwadi, Badlapur, Maharashtra 421503","Evershine Cooperative Housing society, Rameshwadi",19.1643835,73.24891099999999,ChIJEWWminST5zsRRjdEvG971Yo,https://www.google.com/maps/place/?q=place_id:ChIJEWWminST5zsRRjdEvG971Yo,part_136,2026-09-22 06:17:33
KEKIZ The Cake Shop ( AJ'S ENTERPRISES),Patisserie,Cake shop,Cake shop,421502,Maharashtra Circle,Navi Mumbai Region,Thane Division,O.E.Ambernath S.O,+91 90823 58979,http://www.kekiz.com/,4.8,,"Shop No 6 Jay Parvati Apartment Near Mumbai Badlapur Transport Karjat Road, Neral - Badlapur Rd, Kulgaon, Badlapur, Maharashtra 421503",Kulgaon,19.1583117,73.2442339,ChIJ52Qf2-Lt5zsRBInqkSfy2TY,https://www.google.com/maps/place/?q=place_id:ChIJ52Qf2-Lt5zsRBInqkSfy2TY,part_136,2026-09-22 06:17:33
90 degrees-The Cake Studio,Patisserie,Cake shop,Cake shop,421502,Maharashtra Circle,Navi Mumbai Region,Thane Division,O.E.Ambernath S.O,+91 99305 79090,http://90degrees.website/,4.5,,"shop No - 19, 567X+V37 Anand Arcade, Rameshwadi Rd, near Bhagwati Hospital, Rameshwadi, Badlapur, Maharashtra 421503",Rameshwadi,19.164652699999998,73.24790879999999,ChIJo4Cx20rt5zsR05_GSHXybG8,https://www.google.com/maps/place/?q=place_id:ChIJo4Cx20rt5zsR05_GSHXybG8,part_136,2026-09-22 06:17:33
Sweet time cake,Patisserie,Cake shop,Cake shop,421502,Maharashtra Circle,Navi Mumbai Region,Thane Division,O.E.Ambernath S.O,N/A,N/A,4.9,,"Flat no 506, Shri Hight, Vithal Mandir Rd, behind Father Agnel Multipurpose School, Ambernath, Maharashtra 421505",421502,19.2179625,73.1987316,ChIJrbpTivqT5zsR3GH_bLI3pU4,https://www.google.com/maps/place/?q=place_id:ChIJrbpTivqT5zsR3GH_bLI3pU4,part_136,2026-09-22 06:17:33
One More Bite Cakes and Chocolate (Home Baker),Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,421502,Maharashtra Circle,Navi Mumbai Region,Thane Division,O.E.Ambernath S.O,+91 83694 60843,N/A,5.0,,"MOHAN NANO ESTATES, Ambernath, Maharashtra 421505",421502,19.2166358,73.2057262,ChIJwUYBPQCT5zsRPOBUbw0xm5Y,https://www.google.com/maps/place/?q=place_id:ChIJwUYBPQCT5zsRPOBUbw0xm5Y,part_136,2026-09-22 06:17:33
Cake bake,Patisserie,Cake shop,"Cake shop, Bakery and Cake Shop, Chocolate shop",421502,Maharashtra Circle,Navi Mumbai Region,Thane Division,O.E.Ambernath S.O,+91 88795 29250,N/A,5.0,,"JUPITER, PATEL PLANET, C305, Kohojgaon, Gautam Nagar, Ambernath, Maharashtra 421505","Kohojgaon, Gautam Nagar",19.218505999999998,73.199282,ChIJk2mpCJqT5zsR9tz7b9UGVvA,https://www.google.com/maps/place/?q=place_id:ChIJk2mpCJqT5zsR9tz7b9UGVvA,part_136,2026-09-22 06:17:33
New Oven Pick ®,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Cake shop, Wedding bakery",421502,Maharashtra Circle,Navi Mumbai Region,Thane Division,O.E.Ambernath S.O,+91 77688 00123,https://link.zomato.com/xqzv/rshare?id=1107439983056347f,4.4,65.0,"Shop 17, New Oven Pick. Kamla Foods, Safalya Ext. Chs, Near Rpatel Mart, Dominos, Station Road, near tjsb bank, Sanewadi, Badlapur, Maharashtra 421503","Asha Vihar, Sarvodaynagar, Sanewadi",19.166179,73.24289449999999,ChIJ0Y0MCCiT5zsR6OetOfCFlfQ,https://www.google.com/maps/place/?q=place_id:ChIJ0Y0MCCiT5zsR6OetOfCFlfQ,part_136,2026-09-22 06:17:33
Cook & crave chocolate bowl,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,421502,Maharashtra Circle,Navi Mumbai Region,Thane Division,O.E.Ambernath S.O,+91 87668 48193,N/A,4.4,12.0,"Opp Gaiban Shah Wali Dargah, Chinchpada, Ambernath west, Maharashtra 421505",421502,19.214901599999997,73.1980899,ChIJab8WHwCT5zsRkTHvwOr6Q6s,https://www.google.com/maps/place/?q=place_id:ChIJab8WHwCT5zsRkTHvwOr6Q6s,part_136,2026-09-22 06:17:33
