business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Purplle - Sarvodya Nagar, Badlapur",Cosmetics Wholesaler,Cosmetics store,"Cosmetics store, Beautician, Beauty product supplier, Beauty Products Wholesaler, Beauty Parlour, Beauty supply store, Hair extensions supplier, Hair removal service, Health and beauty shop",421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",N/A,https://www.purplle.com/,4.7,156.0,"Shop no 5, The Landmark, Mohananand nagar, Sarvodaya Nagar, Sarvodaynagar, Manjarli, Badlapur, Maharashtra 421503","Mohananand nagar, Sarvodaya Nagar, Sarvodaynagar, Manjarli",19.1740454,73.23617949999999,ChIJn1ts31KT5zsR_f0FGF1_Beg,https://www.google.com/maps/place/?q=place_id:ChIJn1ts31KT5zsR_f0FGF1_Beg,part_136,2026-09-22 06:18:23
BEAUTY HUB,Cosmetics Wholesaler,Cosmetics store,Cosmetics store,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 93222 22205,N/A,5.0,4.0,"01, chatrapati shivaji maharaj chowk, Kulgaon, Badlapur, Maharashtra 421503",Kulgaon,19.159997999999998,73.2393403,ChIJAWuKm-Pt5zsRgX_aNzfH22E,https://www.google.com/maps/place/?q=place_id:ChIJAWuKm-Pt5zsRgX_aNzfH22E,part_136,2026-09-22 06:18:23
New fashion,Cosmetics Wholesaler,Beauty Products Wholesaler,Beauty Products Wholesaler,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",N/A,N/A,,,"Badlapur Railway Station, Railway Station, Sarvodaynagar, Manjarli, Badlapur, Maharashtra 421503","Sarvodaynagar, Manjarli",19.1668399,73.23900689999999,ChIJOyjSagCT5zsRSrzgTYsx5Kk,https://www.google.com/maps/place/?q=place_id:ChIJOyjSagCT5zsRSrzgTYsx5Kk,part_136,2026-09-22 06:18:23
Ekvira Beauty Shop,Cosmetics Wholesaler,Beauty supply store,Beauty supply store,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 81800 46494,https://ekvira-beauty-shop.grexa.site/,5.0,3.0,"Shop no 19, Thanekar Paradise, East, Shirgaon, Badlapur, Maharashtra 421503","East, Shirgaon",19.1543334,73.2308288,ChIJVeM0moLt5zsRKN--eYrvV2E,https://www.google.com/maps/place/?q=place_id:ChIJVeM0moLt5zsRKN--eYrvV2E,part_136,2026-09-22 06:18:23
Evaa's Nail Art Studio and Wholesale Beauty Centre,Cosmetics Wholesaler,Nail salon,Nail salon,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 95189 07816,http://www.evaasnailart.in/,5.0,41.0,"SHOP NO 1, PARMESHWAR CHS, next to Mohan Valley Road, near Bharat College Road, Badlapur West, Hendre Pada, Badlapur, Maharashtra 421503","Badlapur West, Hendre Pada",19.1694457,73.24657979999999,ChIJW6MmEwqT5zsR9jo0Lu3FjMA,https://www.google.com/maps/place/?q=place_id:ChIJW6MmEwqT5zsR9jo0Lu3FjMA,part_136,2026-09-22 06:18:23
Vaibhav Laxmi Beauty Centre,Cosmetics Wholesaler,Beauty Products Wholesaler,Beauty Products Wholesaler,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",N/A,N/A,3.6,5.0,"Shop Number 5, Ganesh Krupa Building, New D P Road, Katrap, Badlapur East, Badlapur, Maharashtra 421503","Aptewadi, Katrap",19.1665879,73.233288,ChIJd9d679SS5zsR1abnQkSTcpg,https://www.google.com/maps/place/?q=place_id:ChIJd9d679SS5zsR1abnQkSTcpg,part_136,2026-09-22 06:18:23
Laxmi beauty center,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",N/A,N/A,,,"shop no 9, shiv Aditya apartment, road, near Nakshatra poli bhaji kendra, Badlapur West, Valivali Gaon, Manjarli, Badlapur, Maharashtra 421503","Badlapur West, Valivali Gaon, Manjarli",19.176163,73.2401369,ChIJTVAxPqyT5zsRaJNndA-Xwt8,https://www.google.com/maps/place/?q=place_id:ChIJTVAxPqyT5zsRaJNndA-Xwt8,part_136,2026-09-22 06:18:23
KABIR ENTERPRISES,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 82373 14369,N/A,,,"H no.73, Ganesh Nagar, opposite Shivneri, Aptewadi, East, Badlapur, Thane, Maharashtra 421503","Aptewadi, East",19.1597878,73.2347458,ChIJNyNPq_zt5zsRslmVgyCBX4c,https://www.google.com/maps/place/?q=place_id:ChIJNyNPq_zt5zsRslmVgyCBX4c,part_136,2026-09-22 06:18:23
Odyssey,Cosmetics Wholesaler,Cosmetics wholesaler,Cosmetics wholesaler,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 251 269 1342,http://odysseycosmetics.in/,,,"Indo Amines Ltd, Plot No F, MIDC Rd, near Mankiwali, Nahvi Pada, Mankivali, Badlapur, Maharashtra 421503","Nahvi Pada, Mankivali",19.159662,73.2392883,ChIJJXbR3i3t5zsRtunpLhnxCMs,https://www.google.com/maps/place/?q=place_id:ChIJJXbR3i3t5zsRtunpLhnxCMs,part_136,2026-09-22 06:18:23
Daksh enterperises,Cosmetics Wholesaler,Cosmetic Products Manufacturer,"Cosmetic Products Manufacturer, Cleaning products supplier, Packaging supply store, Stationery wholesaler",421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 80 4603 8754,N/A,4.7,,"Shop no 4 -5, mayuresh complex,near CEAT SPECIALY, bohonoli village road Additional Ambernath MIDC, East, Ambernath, Maharashtra 421506",East,19.1601105,73.1885063,ChIJ04JYK6nt5zsRZXugv_Mpxik,https://www.google.com/maps/place/?q=place_id:ChIJ04JYK6nt5zsRZXugv_Mpxik,part_136,2026-09-22 06:18:25
