business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hotel Metro Inn Rooms,Hotel,Hotel,Hotel,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",N/A,N/A,5.0,,"Hotel Metro Inn, Shree Ram Villa, near Dnyaneshwar mangal Karyalay, Vangani, Maharashtra 421503",421503,19.0949514,73.2980668,ChIJ3Sqx0yvz5zsRe1ObKEA38mI,https://www.google.com/maps/place/?q=place_id:ChIJ3Sqx0yvz5zsRe1ObKEA38mI,part_136,2026-09-22 06:18:26
Hotel classic and banquet hall,Hotel,Hotel,Hotel,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 84509 29050,https://hotelclassicbanquetandrooms.in/,4.5,,"Belavali, Badlapur, Maharashtra 421503",Belavali,19.1788159,73.2253674,ChIJidL5fgCT5zsRE1HHqJX1Hfs,https://www.google.com/maps/place/?q=place_id:ChIJidL5fgCT5zsRE1HHqJX1Hfs,part_136,2026-09-22 06:18:26
Ashraya Lodging & Boarding,Hotel,Hotel,Hotel,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",N/A,N/A,4.1,,"Plot No: 39, Mahada Colony Badlapur M.I.D.C Road,Above Anil Eye Hospital Badlapur(E, Maharashtra 421503",Kulgaon,19.1614768,73.2341653,ChIJmaiLQVDt5zsRaLIh91KciGI,https://www.google.com/maps/place/?q=place_id:ChIJmaiLQVDt5zsRaLIh91KciGI,part_136,2026-09-22 06:18:26
Kanti Farms,Hotel,Home Stay,Home Stay,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 84466 41312,N/A,4.7,,"Chongaon, Maharashtra 421503",421503,19.198562499999998,73.2753125,ChIJQ2JV-6yT5zsRIWZ6MeSxssY,https://www.google.com/maps/place/?q=place_id:ChIJQ2JV-6yT5zsRIWZ6MeSxssY,part_136,2026-09-22 06:18:26
Hotel O by OYO Samadhan Lodging & Boarding,Hotel,Hotel,"Hotel, Bed & breakfast, Guest house, Holiday home, Inn, Lodge, Motel, Service Apartment, Villa",421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 124 433 0561,https://www.oyorooms.com/221297/?utm_source=Google&utm_medium=GMB,3.3,,"Shree Niwas Shopping Complex, Near Canara Bank, Vangani near Tal. Ambarnath, Dist, Mumbai, Karjat, Maharashtra 421503",421503,19.0961604,73.3001297,ChIJU6UKFe7z5zsRkiG5O6ZaYLQ,https://www.google.com/maps/place/?q=place_id:ChIJU6UKFe7z5zsRkiG5O6ZaYLQ,part_136,2026-09-22 06:18:26
Hotel O Aditi Lodging And Boarding,Hotel,Hotel,Hotel,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 124 620 1463,https://www.oyorooms.com/h/105683?utm_source=Google_gmb&utm_medium=Organic&utm_campaign=MUM1965&latitude=19.16663&longitude=73.24985&locale=en,3.6,,"Swami Samarth Chowk, near Don Bosco School, Rameshwadi, Mumbai, Badlapur, Maharashtra 421503",Rameshwadi,19.1651875,73.2453125,ChIJi6IeNzPt5zsRMS13BZVTz9I,https://www.google.com/maps/place/?q=place_id:ChIJi6IeNzPt5zsRMS13BZVTz9I,part_136,2026-09-22 06:18:26
Hotel Radhakrishna Dine in and Stay in,Hotel,Hotel,"Hotel, Bed & breakfast",421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 81496 75363,N/A,4.1,,"Kashele Road, near Sai Mandir, Hajare Nagar, Bopele, Maharashtra 410101",Hajare Nagar,19.027735099999997,73.323633,ChIJV9IYYvjx5zsR9qxbTDwnxF4,https://www.google.com/maps/place/?q=place_id:ChIJV9IYYvjx5zsR9qxbTDwnxF4,part_136,2026-09-22 06:18:26
B N FARM,Hotel,Farmstay,"Farmstay, Hotel",421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",N/A,N/A,3.6,,"57X9+5XR, Unnamed Road, Ambeshiv Kh, Maharashtra 421503",421503,19.1979976,73.2699043,ChIJwaKiFl2T5zsRqKmJ0P2JQSk,https://www.google.com/maps/place/?q=place_id:ChIJwaKiFl2T5zsRqKmJ0P2JQSk,part_136,2026-09-22 06:18:26
Mountain Breeze Home Stay,Hotel,Home Stay,Home Stay,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 70213 47499,https://mountainbreeze.co.in/,4.8,,"SR. No. 57, Peshwai Road, Neral, Mamdapur, Maharashtra 410101",421503,19.0364652,73.3197952,ChIJxxAhEavx5zsRrAoOziQp6pY,https://www.google.com/maps/place/?q=place_id:ChIJxxAhEavx5zsRrAoOziQp6pY,part_136,2026-09-22 06:18:26
Mangal Tara Farmhouse & Resort,Hotel,Campground,Campground,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",N/A,N/A,4.5,,"38CF+2RF, Shelu, Nikop mohili Road , Near NewBriz, Tal, Dist, Karjat, Maharashtra 410101",421503,19.0700625,73.3245469,ChIJ5aT4dljx5zsRRjnEKXhGQDM,https://www.google.com/maps/place/?q=place_id:ChIJ5aT4dljx5zsRRjnEKXhGQDM,part_136,2026-09-22 06:18:26
"Moonstone Hammock, Shelu",Hotel,Campground,Campground,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 93219 92712,N/A,4.4,,"Shelu, Karjat, Maharashtra 410101",421503,19.0546312,73.3292479,ChIJBwRllwvx5zsRNAe0lHGF5rg,https://www.google.com/maps/place/?q=place_id:ChIJBwRllwvx5zsRNAe0lHGF5rg,part_136,2026-09-22 06:18:26
