business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vishal Automotive,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",N/A,N/A,3.7,,"Shop 1-2-3, Bhagirathi Pride, behind shamshan bhumi, Mohananand nagar, Shaninagar, Manjarli, Badlapur, Maharashtra 421503","Mohananand nagar, Shaninagar, Manjarli",19.171280199999998,73.2367972,ChIJmRkuzG-T5zsRMRWqX-ms118,https://www.google.com/maps/place/?q=place_id:ChIJmRkuzG-T5zsRMRWqX-ms118,part_136,2026-09-22 06:18:16
Om Automobiles,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 77449 19114,N/A,4.9,,"Shop No 12, New Pooja CHS, Badlapur Gaon Rd, Rameshwadi, Badlapur, Maharashtra 421503",Rameshwadi,19.1644754,73.2493794,ChIJ-3uJYDjt5zsRKWWglzYJ9ZU,https://www.google.com/maps/place/?q=place_id:ChIJ-3uJYDjt5zsRKWWglzYJ9ZU,part_136,2026-09-22 06:18:16
Bharat Auto Garage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 93223 04544,N/A,3.0,,"Rameshwadi Rd, nr. Ulhas River, Hendre Pada, Badlapur, Maharashtra 421503",Hendre Pada,19.1643553,73.2499919,ChIJzb-dS7Dt5zsRscrgKSSZzdk,https://www.google.com/maps/place/?q=place_id:ChIJzb-dS7Dt5zsRscrgKSSZzdk,part_136,2026-09-22 06:18:16
Dev Auto Garage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 93238 10149,N/A,3.6,,"56CM+QCR, B2, Kalyan - Badlapur Rd, Datta Chowk, Sarvodaynagar, Belavali, Badlapur, Maharashtra 421503","Datta Chowk, Sarvodaynagar, Belavali",19.1719346,73.2334798,ChIJB2Ni7NaS5zsRBRBxXIa8BYA,https://www.google.com/maps/place/?q=place_id:ChIJB2Ni7NaS5zsRBRBxXIa8BYA,part_136,2026-09-22 06:18:16
Rashid Two Wheeler Garage,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 96072 26403,N/A,1.6,,"Shop No. 2, Aaptewadi Naka, Shirgaon, Badlapur, Mumbai, Maharashtra 421503","Mhada Colony, Kulgaon",19.158998399999998,73.2351231,ChIJxa9vVSnt5zsRc6llIZ4qedk,https://www.google.com/maps/place/?q=place_id:ChIJxa9vVSnt5zsRc6llIZ4qedk,part_136,2026-09-22 06:18:16
Vishal Garage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 95273 87843,N/A,,,"Opposite Sitabai Panvelkar park, neqr overhead water tank, ambernath badlapur, MIDC Rd, naka, Shirgaon, Badlapur, Maharashtra 421306","naka, Shirgaon",19.1562172,73.2371781,ChIJWbPC5zzt5zsRzf4_SUnH-Vw,https://www.google.com/maps/place/?q=place_id:ChIJWbPC5zzt5zsRzf4_SUnH-Vw,part_136,2026-09-22 06:18:16
Khan Auto Garage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 75584 98641,N/A,5.0,,"Shop No -7, Sanika apartment, Aptewadi, sarswati nagar, est, Katrap, Badlapur, Mumbai, Maharashtra 425103","Aptewadi, sarswati nagar, est, Katrap",19.1635083,73.2332023,ChIJi2hLk3Lt5zsRSTDDGuII5gQ,https://www.google.com/maps/place/?q=place_id:ChIJi2hLk3Lt5zsRSTDDGuII5gQ,part_136,2026-09-22 06:18:16
RAEES TWO-WHEELER AUTO GARAGE & PARTS,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",N/A,N/A,4.4,,"473J+X8V, Neral - Badlapur Rd, Goregaon, Maharashtra 421503",421503,19.1049999,73.2808014,ChIJ92AiCj7z5zsR5LlLbQeio7c,https://www.google.com/maps/place/?q=place_id:ChIJ92AiCj7z5zsR5LlLbQeio7c,part_136,2026-09-22 06:18:16
Anshika auto parts,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",+91 76669 19078,N/A,5.0,,"Shop no-1, Belavali Rd, Shanti Nagar, Belavali, Badlapur, Maharashtra 421503","Shanti Nagar, Belavali",19.1794093,73.2344585,ChIJiaZoyvyT5zsR9MZXF_Rr-_o,https://www.google.com/maps/place/?q=place_id:ChIJiaZoyvyT5zsR9MZXF_Rr-_o,part_136,2026-09-22 06:18:16
Chaitanya Auto Garage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,421503,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Kulgaon S.O, Badlapur E.D. B.O, Chargaon B.O",N/A,N/A,5.0,,"Neral - Badlapur Rd, Hetkar Ali, Payarmal, Neral, Maharashtra 410101","Hetkar Ali, Payarmal",19.0214291,73.312021,ChIJ7XKcUQDx5zsRLKQF8MNhUVk,https://www.google.com/maps/place/?q=place_id:ChIJ7XKcUQDx5zsRLKQF8MNhUVk,part_136,2026-09-22 06:18:18
