business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rameshwar Icecream Shahapur,Ice Cream Parlour,Ice cream shop,Ice cream shop,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 90017 37839,https://www.instagram.com/puran_dhangar07?igsh=NGVqMmx6aWcwdmto,5.0,,"Shop No.2, Road, Cherapoli, Shahapur, Maharashtra 421601",421601,19.4587641,73.3321192,ChIJ44ftOQ-D5zsReVr8nWTOIso,https://www.google.com/maps/place/?q=place_id:ChIJ44ftOQ-D5zsReVr8nWTOIso,part_136,2026-09-22 06:19:51
Sanwariya Ice cream Shahapur,Ice Cream Parlour,Restaurant,Restaurant,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 95098 82755,N/A,4.6,,"Old Agra Rd, Gujarathi Baug, Kalambhe, Maharashtra 421601",Gujarathi Baug,19.4490826,73.32456669999999,ChIJb190kNyF5zsRzyJFO4lQ3y8,https://www.google.com/maps/place/?q=place_id:ChIJb190kNyF5zsRzyJFO4lQ3y8,part_136,2026-09-22 06:19:51
Maharashtra Icecream,Ice Cream Parlour,Ice cream shop,Ice cream shop,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 95611 11245,N/A,,,"Shop No 1, Mumbai - Nashik Expy, Gotheghar, Shahapur, Maharashtra 421601",421601,19.4561007,73.3337957,ChIJT_N2e0SD5zsRkbN0Dw8hSm4,https://www.google.com/maps/place/?q=place_id:ChIJT_N2e0SD5zsRkbN0Dw8hSm4,part_136,2026-09-22 06:19:51
ANAND COLD DRINKS SHAHAPUR,Ice Cream Parlour,Ice cream shop,Ice cream shop,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",N/A,N/A,3.6,,"F82H+W6P, Shahapur, Maharashtra 421601",421601,19.452349599999998,73.328075,ChIJdwEK54CD5zsRHWKeJMUYmjQ,https://www.google.com/maps/place/?q=place_id:ChIJdwEK54CD5zsRHWKeJMUYmjQ,part_136,2026-09-22 06:19:51
Sumit Ice Cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 87679 18371,N/A,,,"Shop No 1, Shivaji Chowk, Old Agra Rd, Shahapur, Maharashtra 421601",421601,19.4520709,73.3278912,ChIJaxeDOI6D5zsRMzEGxjEPzWQ,https://www.google.com/maps/place/?q=place_id:ChIJaxeDOI6D5zsRMzEGxjEPzWQ,part_136,2026-09-22 06:19:51
Amul ice cream distributor,Ice Cream Parlour,Ice cream shop,Ice cream shop,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 70579 65353,N/A,,,"Rushikesh kharik, Wafe Rd, near Sumati Sadan, Govind Nagar, colony, Gotheghar, Shahapur, Maharashtra 421601","Govind Nagar, colony",19.4509938,73.3346382,ChIJ_0VaKgOD5zsRyDUYkGLqvsI,https://www.google.com/maps/place/?q=place_id:ChIJ_0VaKgOD5zsRyDUYkGLqvsI,part_136,2026-09-22 06:19:51
Amul Ice Cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 93563 73882,N/A,5.0,,"Shop No.3, Godavari Building, near Ambika Mata Mandir, Gotheghar, Maharashtra 421601",421601,19.4564378,73.3289243,ChIJzclEGyuD5zsR9s-YY5pQUD8,https://www.google.com/maps/place/?q=place_id:ChIJzclEGyuD5zsR9s-YY5pQUD8,part_136,2026-09-22 06:19:51
TDCC Khushi Icecream,Ice Cream Parlour,Ice cream shop,Ice cream shop,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 88882 54911,N/A,5.0,,"Shop No 2, near Kumar Garden Hall, Vafe, Maharashtra 421601",421601,19.4497496,73.3307722,ChIJe0cJW0iF5zsRnZuK9VqCx2o,https://www.google.com/maps/place/?q=place_id:ChIJe0cJW0iF5zsRnZuK9VqCx2o,part_136,2026-09-22 06:19:51
मां जोगणिया आइसक्रीम &फालूदा,Ice Cream Parlour,Ice cream shop,Ice cream shop,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",N/A,N/A,5.0,,"C77C+9WX, Vasind, Khatiwali, Maharashtra 421601",421601,19.4134909,73.2723639,ChIJsTMWVwCb5zsRZRjl0DNcWck,https://www.google.com/maps/place/?q=place_id:ChIJsTMWVwCb5zsRZRjl0DNcWck,part_136,2026-09-22 06:19:51
shri dev icecrim!,Ice Cream Parlour,Ice cream shop,Ice cream shop,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",N/A,N/A,,,"H9HV+HPM, Dalkhan, Khardi, Maharashtra 421601",421601,19.5851793,73.3874525,ChIJw3xvYwB_5zsReheLz2aLIYQ,https://www.google.com/maps/place/?q=place_id:ChIJw3xvYwB_5zsReheLz2aLIYQ,part_136,2026-09-22 06:19:51
