business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shreeji Collection,Saree Showroom,Clothing store,Clothing store,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 2527 273 164,N/A,4.6,55.0,"Shreeji Collection, Old Agra Rd, opp. Panchayat Samithi, Shahapur, Maharashtra 421601",421601,19.4544349,73.3287656,ChIJUW-JR4GD5zsRPyOPK77Api4,https://www.google.com/maps/place/?q=place_id:ChIJUW-JR4GD5zsRPyOPK77Api4,part_136,2026-09-22 06:19:52
Ambica wholesale sarees,Saree Showroom,Store,Store,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 96608 21279,N/A,,,"Shop, No. 4,5, Deep Moti Building, Old Agra Rd, opp. Shantosh Hotel, Shahapur, Maharashtra 421601",421601,19.452856999999998,73.3281259,ChIJFSt6AQCD5zsR90Y4iym64-w,https://www.google.com/maps/place/?q=place_id:ChIJFSt6AQCD5zsR90Y4iym64-w,part_136,2026-09-22 06:19:52
Aadhyashakti Sarees,Saree Showroom,Wholesale market,Wholesale market,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 77578 00468,N/A,5.0,1.0,"Shop No. 650, Old Agra Rd, Kheadekar Chowk, Shahapur, Maharashtra 421601",Kheadekar Chowk,19.4534174,73.32812489999999,ChIJrYj7zcaD5zsRpF0mnEuMglk,https://www.google.com/maps/place/?q=place_id:ChIJrYj7zcaD5zsRpF0mnEuMglk,part_136,2026-09-22 06:19:52
Manjiri Fashion Mall,Saree Showroom,Clothing store,Clothing store,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 92251 53888,N/A,4.0,21.0,"2nd Floor, Kalpataru Complex, Old Agra Rd, Shahapur, Maharashtra 421601",421601,19.453957799999998,73.3283232,ChIJtZOjxoCD5zsRVXDXmtMoudg,https://www.google.com/maps/place/?q=place_id:ChIJtZOjxoCD5zsRVXDXmtMoudg,part_136,2026-09-22 06:19:52
HIMALAYA SAREES,Saree Showroom,Saree Shop,Saree Shop,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 97008 82501,N/A,5.0,2.0,"Shop No 1 Old Agra Road Nr Bus Depot Shahapur, Shahapur, Mumbai, Maharashtra 421601",Shahapur,19.4555273,73.3297777,ChIJA5bq2cSD5zsRQtOD_aZ2XCk,https://www.google.com/maps/place/?q=place_id:ChIJA5bq2cSD5zsRQtOD_aZ2XCk,part_136,2026-09-22 06:19:52
Manjiri Fashion Mall - Vasind,Saree Showroom,Saree Shop,Saree Shop,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",N/A,https://manjiri.smartbiz.in/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPOTM2NjE5NzQzMzkyNDU5AAGnaGNpDesA_2QoRZgTRuCzRRA88m8xD-Og5dz1BZ1W09od086SPOTOjdJ1mVY_aem_IPCYf5laxjI74BdxGWazTA,5.0,1.0,"Ground Floor, Mahajan Complex, Police Station, Shop No, 2 & 3, Station Rd, opp. Vasind, Vasind, Maharashtra 421601","Mangalya, Shivajinagar",19.4073602,73.26560529999999,ChIJUSB0QWOb5zsRfD5mO6VV5I8,https://www.google.com/maps/place/?q=place_id:ChIJUSB0QWOb5zsRfD5mO6VV5I8,part_136,2026-09-22 06:19:52
Pooja Saree Center,Saree Showroom,Clothing store,Clothing store,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",N/A,N/A,5.0,4.0,"SADANAND ADHIKARI COMPLEX, near BUS STAND, Gotheghar, Maharashtra 421601",421601,19.4550593,73.3297401,ChIJU5Mf2CmD5zsRF1NIhiBe59k,https://www.google.com/maps/place/?q=place_id:ChIJU5Mf2CmD5zsRF1NIhiBe59k,part_136,2026-09-22 06:19:52
vinod cloth store,Saree Showroom,Clothing store,Clothing store,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 2527 273 391,N/A,4.0,10.0,"Shivaji Chowk, Old Agra Rd, Shahapur, Maharashtra 421601",421601,19.4520434,73.3282172,ChIJIYTqw4CD5zsRS1gkznd7iRs,https://www.google.com/maps/place/?q=place_id:ChIJIYTqw4CD5zsRS1gkznd7iRs,part_136,2026-09-22 06:19:52
Durva Sarees,Saree Showroom,Saree Shop,Saree Shop,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 83809 42020,N/A,,,"At, Gotheghar Rd, Shahapur, Mumbai, Maharashtra 421601",421601,19.454959199999998,73.3340223,ChIJaQufFxiD5zsR_nZCMJF1jqI,https://www.google.com/maps/place/?q=place_id:ChIJaQufFxiD5zsR_nZCMJF1jqI,part_136,2026-09-22 06:19:52
Shree samarth krupa ladies wear and saree centre,Saree Showroom,Clothing store,Clothing store,421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",N/A,N/A,,,"F84H+GJ2, Gotheghar, Maharashtra 421601",421601,19.456253399999998,73.3290073,ChIJo_UWCACD5zsR-5eekA1DtO8,https://www.google.com/maps/place/?q=place_id:ChIJo_UWCACD5zsR-5eekA1DtO8,part_136,2026-09-22 06:19:52
Kabra Emporium | Designer Paithani | Handloom Sarees | Nashik,Saree Showroom,Clothing store,"Clothing store, Bridal shop, Clothes and fabric wholesaler, Clothing supplier, Designer Clothing Store, Dress store, Fabric wholesaler, Women's clothing store",421601,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Shahapur S.O (Thane), Aghai B.O, Alyani B.O",+91 73875 33709,https://www.kabraemporium.com/,4.4,,"Padma-vishwa Centre Old Pandit Colony Sharanpur Road, opp. Rajiv Gandhi Bhavan, Nashik, Maharashtra 422002","Old Pandit Colony, Pandit Colony",20.0017617,73.7767892,ChIJuYbJy6Dr3TsR7XJoVl8dn0U,https://www.google.com/maps/place/?q=place_id:ChIJuYbJy6Dr3TsR7XJoVl8dn0U,part_136,2026-09-22 06:19:52
