business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vardhman Tent Traders,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 94256 16923,N/A,4.3,,"HPGJ+Q57, Subhash Gunj, Ashoknagar, Madhya Pradesh 473331",Subhash Gunj,24.5769125,77.73043299999999,ChIJ-dUgzhEwejkRLB8epfDsrhU,https://www.google.com/maps/place/?q=place_id:ChIJ-dUgzhEwejkRLB8epfDsrhU,part_137,2026-09-22 06:00:32,3666
Taj mandap decoration,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),N/A,N/A,,,"Chichondi Patil, Maharashtra 414201",422012,19.0017569,74.9167081,ChIJR_wbCEqr3DsRBami4PPK0T0,https://www.google.com/maps/place/?q=place_id:ChIJR_wbCEqr3DsRBami4PPK0T0,part_137,2026-09-22 06:00:32,3667
Selection shamiyana house,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 99025 92598,N/A,4.8,,"CW2W+C7V, Shidlaghatta, Yaramalliahna Hunasehalli, Karnataka 562105",422012,13.4011175,77.94567789999999,ChIJi9QD2o0CsjsR4uolgQTEnv4,https://www.google.com/maps/place/?q=place_id:ChIJi9QD2o0CsjsR4uolgQTEnv4,part_137,2026-09-22 06:00:32,3668
Sanket mandap decorators and rental services,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 93710 26039,N/A,4.9,,"15, Plot no. A97, Kasturba Housing Society, Vishrantwadi, Pune, Maharashtra 411015","Kasturba Housing Society, Vishrantwadi",18.572325499999998,73.8806224,ChIJ5YuyEADBwjsRWvajyOqxpvI,https://www.google.com/maps/place/?q=place_id:ChIJ5YuyEADBwjsRWvajyOqxpvI,part_137,2026-09-22 06:00:32,3669
Dhamne and Patil Textile,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 99224 13287,N/A,4.9,,"Varadlaxmi lawns, near Aurangabad Road, Wadiwarhe, Panchavati, Nashik, Maharashtra 422003","Wadiwarhe, Panchavati",20.0014625,73.8331943,ChIJ4_fCZRDr3TsRgM_Bk94XmsI,https://www.google.com/maps/place/?q=place_id:ChIJ4_fCZRDr3TsRgM_Bk94XmsI,part_137,2026-09-22 06:00:32,3670
Koral Mandap suppliera,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),N/A,N/A,5.0,,"Survey No. 369, Pawar Mala, Shiv Nagar, 2/1/A, Sambhaji Nagar Road, Nandur, Nashik, Maharashtra 422003",Nandur,19.994612099999998,73.8305973,ChIJ2bCEMT_r3TsR8riun4QMzQU,https://www.google.com/maps/place/?q=place_id:ChIJ2bCEMT_r3TsR8riun4QMzQU,part_137,2026-09-22 06:00:32,3671
SHAMIYANA TENT HOUSE,Tent House and Shamiana,Tent House and Shamiana,Tent House and Shamiana,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),N/A,N/A,,,"Budaun, Uttar Pradesh 243601",422012,28.0352781,79.12022089999999,ChIJTau9COZFdTkRYR9yNuDNu7M,https://www.google.com/maps/place/?q=place_id:ChIJTau9COZFdTkRYR9yNuDNu7M,part_137,2026-09-22 06:00:32,3672
Shamiyana & Suppliers,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),N/A,N/A,,,"PH Colony, P H Rich Colony, Tumakur, Karnataka 572101","PH Colony, P H Rich Colony",13.341264899999999,77.0944076,ChIJWTznVoQusDsR3OEbr17O328,https://www.google.com/maps/place/?q=place_id:ChIJWTznVoQusDsR3OEbr17O328,part_137,2026-09-22 06:00:32,3673
Shamiana,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422013,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Sawarkar Nagar S.O, Bhonsala Military School B.O, Udhoji Maratha Boarding B.O",N/A,N/A,4.5,28.0,"91, Walkeshwar Rd, Krishanaraj Society, Walkeshwar, Malabar Hill, Mumbai, Maharashtra 400006","Krishanaraj Society, Walkeshwar, Malabar Hill",18.9506539,72.8031554,ChIJW9yDRv3N5zsRiXW0yrMLWjU,https://www.google.com/maps/place/?q=place_id:ChIJW9yDRv3N5zsRiXW0yrMLWjU,part_137,2026-09-22 06:01:06,8192
NANA TENT House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422013,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Sawarkar Nagar S.O, Bhonsala Military School B.O, Udhoji Maratha Boarding B.O",+91 98230 91777,N/A,4.8,,"V9QM+44H, MIDC, MIDC Industrial Area, Chilkalthana, Chhatrapati Sambhajinagar, Maharashtra 431007","MIDC Industrial Area, Chilkalthana",19.887818,75.38284949999999,ChIJL_UOkQyY2zsRP5yVyrQJuP0,https://www.google.com/maps/place/?q=place_id:ChIJL_UOkQyY2zsRP5yVyrQJuP0,part_137,2026-09-22 06:01:06,8193
Shamiyana Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422013,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Sawarkar Nagar S.O, Bhonsala Military School B.O, Udhoji Maratha Boarding B.O",+91 70045 61005,N/A,4.2,,"QQJ2+728, Chapra - Patna Hwy, Chota Telpa, Chapra, Bihar 841301",Chota Telpa,25.780658499999998,84.7500804,ChIJDdAMMsC6kjkRqHSpSK8IymU,https://www.google.com/maps/place/?q=place_id:ChIJDdAMMsC6kjkRqHSpSK8IymU,part_137,2026-09-22 06:01:07,8194
Ambika Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",N/A,N/A,3.2,,"297B/154, Samarth Nagar Rd, Samarth Nagar, Dnyaneshwar Nagar, Pathardi Phata, Nashik, Maharashtra 422009","Samarth Nagar, Dnyaneshwar Nagar, Pathardi Phata",19.9538781,73.7743575,ChIJBwA9UwDr3TsRx_tTAhClF88,https://www.google.com/maps/place/?q=place_id:ChIJBwA9UwDr3TsRx_tTAhClF88,part_137,2026-09-22 06:01:43,12396
Tent rental Nashik,Tent House and Shamiana,Camping store,Camping store,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 77739 91562,N/A,4.9,,"Ground floor, Shri Ganesh Prasad apt, Ashoka Marg, behind Vijay mamta cinemas, Kalpataru Nagar, Nashik, Maharashtra 422011",Kalpataru Nagar,19.978443499999997,73.8041622,ChIJ8cLnx-Dq3TsRIWaukz5Z8Dg,https://www.google.com/maps/place/?q=place_id:ChIJ8cLnx-Dq3TsRIWaukz5Z8Dg,part_137,2026-09-22 06:01:43,12397
Lakshmi Mandap & Decorations🎀,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 97675 85284,N/A,5.0,,"237F+G7R, Karanjgaon, Maharashtra 422210",422101,20.0137888,74.0735839,ChIJr01sCwDJ3TsRfTgxV_ZZWM4,https://www.google.com/maps/place/?q=place_id:ChIJr01sCwDJ3TsRfTgxV_ZZWM4,part_137,2026-09-22 06:01:43,12398
Woodsman Adventures camping tent on rent in nashik,Tent House and Shamiana,Camping store,Camping store,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 90287 14322,https://instagram.com/woodsman_adventures?igshid=MzNlNGNkZWQ4Mg==,4.9,,"Flat no. 6 , Akaash pride, Untwadi, Jagtap Nagar, Nashik, Maharashtra 422008","Untwadi, Jagtap Nagar",19.9878218,73.7616204,ChIJX0rFx4Tr3TsRCMnLvIgfjxY,https://www.google.com/maps/place/?q=place_id:ChIJX0rFx4Tr3TsRCMnLvIgfjxY,part_137,2026-09-22 06:01:43,12399
Guru Nanak Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 98231 88741,N/A,5.0,,"Sudan niwas, Maharashtra State Highway 17, opp. to Sevakunj, Panchavati, Nashik, Maharashtra 422003",Panchavati,20.009638,73.7982402,ChIJdyzUinXr3TsR0SB0iHayHHc,https://www.google.com/maps/place/?q=place_id:ChIJdyzUinXr3TsR0SB0iHayHHc,part_137,2026-09-22 06:01:43,12400
AMBIKA TENT INDUSTRIES,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",N/A,N/A,4.2,,"PFQG+J62, Shirdi, Sakori, Maharashtra 423107",422101,19.737944499999998,74.474521,ChIJKTJm-ExZ3DsRe54JZMSCL-M,https://www.google.com/maps/place/?q=place_id:ChIJKTJm-ExZ3DsRe54JZMSCL-M,part_137,2026-09-22 06:01:43,12401
