business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NK FITNESS CLUB,Gym and Fitness Center,Gym,Gym,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 88884 35759,N/A,5.0,,"1st Floor, Om Sai Duplex, NK FITNESS CLUB, near Papaya Nursery, Signal, Satpur Colony, Nashik, Maharashtra 422007","Signal, Satpur Colony",19.9875279,73.7224495,ChIJ0Xd6fwDt3TsRDUBQ1Q60NyE,https://www.google.com/maps/place/?q=place_id:ChIJ0Xd6fwDt3TsRDUBQ1Q60NyE,part_137,2026-09-22 06:00:22
Xtreme Fitness Club,Gym and Fitness Center,Fitness center,Fitness center,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 97666 40398,N/A,5.0,,"Shop No 18, Archit Galaxy, above Amul shop, opposite Prangan appartment, Serene Meadows, Anandvalli, Nashik, Maharashtra 422013","Serene Meadows, Anandvalli",20.0126196,73.7350896,ChIJcxxeo6ft3TsRc3mlkusun1E,https://www.google.com/maps/place/?q=place_id:ChIJcxxeo6ft3TsRc3mlkusun1E,part_137,2026-09-22 06:00:22
Unique Health and Fitness Hub,Gym and Fitness Center,Fitness center,Fitness center,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 70306 46438,N/A,4.9,,"bus stop, 2nd floor maule hall Anand chhaya, Satpur Colony, Nashik, Maharashtra 422007","Maharashtra Housing Colony, Ashoknagar, Satpur Colony",19.9885984,73.7215312,ChIJMzkgcebt3TsRUfSfAxxOFY0,https://www.google.com/maps/place/?q=place_id:ChIJMzkgcebt3TsRUfSfAxxOFY0,part_137,2026-09-22 06:00:22
Aj Fitness Hub,Gym and Fitness Center,Gym,"Gym, Fitness center",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 98606 58689,N/A,5.0,,"04, Shramik Nagar, Nashik, 04Shramik NagarNashik, Maharashtra 422012",Shramik Nagar,19.998847299999998,73.7112531,ChIJAYmBLgDt3TsR6yatfynMWdU,https://www.google.com/maps/place/?q=place_id:ChIJAYmBLgDt3TsR6yatfynMWdU,part_137,2026-09-22 06:00:22
S fitness hub and wellness Evaluation,Gym and Fitness Center,Fitness center,Fitness center,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 90963 75962,N/A,4.1,,"behind sarthak hospital, Ashoknagar, Satpur Colony, Nashik, Maharashtra 422012","Ashoknagar, Satpur Colony",19.987509,73.722431,ChIJQ9GAFPPs3TsRn1FQ7C9NkLw,https://www.google.com/maps/place/?q=place_id:ChIJQ9GAFPPs3TsRn1FQ7C9NkLw,part_137,2026-09-22 06:00:22
Reflexion Gym 2X,Gym and Fitness Center,Gym,Gym,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 99218 86664,N/A,4.8,,"4th Floor Shree Ganesh Galaxy Pipeline road, Gangapur Rd, opposite Nashik Luch Home, Nashik, Maharashtra 422013","Balawant Nagar, Anandvalli",20.010380899999998,73.7445141,ChIJkWCtGgHt3TsRcM6etu43D0U,https://www.google.com/maps/place/?q=place_id:ChIJkWCtGgHt3TsRcM6etu43D0U,part_137,2026-09-22 06:00:22
Golden gym,Gym and Fitness Center,Gym,"Gym, Fitness center, Gymnasium school, Gymnastics club, Health consultant, Health resort, Health spa, Physical fitness program",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 88504 48881,N/A,4.7,,"Hall no,2 2nd floor, dhanashree plaza, Gangapur - Satpur Link Rd, Dhruv Nagar, Shivaji Nagar, Satpur Colony, Nashik, Maharashtra 422012","Dhruv Nagar, Shivaji Nagar, Satpur Colony",20.0131533,73.7151836,ChIJ-dBWFUfs3TsRrJMYoxzR6mg,https://www.google.com/maps/place/?q=place_id:ChIJ-dBWFUfs3TsRrJMYoxzR6mg,part_137,2026-09-22 06:00:22
Plus Reshape Fitness,Gym and Fitness Center,Gym,Gym,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 90119 60222,http://plusreshapefitness.com/,4.4,,"7th Floor, Sope Business Hub, Gangapur Rd, Navshya Ganapati Parisar, Turn, Anandvalli, Nashik, Maharashtra 422013","Navshya Ganapati Parisar, Turn, Anandvalli",20.013145899999998,73.7437471,ChIJiaYEhdLt3TsR2AtcXu6HZQw,https://www.google.com/maps/place/?q=place_id:ChIJiaYEhdLt3TsR2AtcXu6HZQw,part_137,2026-09-22 06:00:22
Shreesha wellness and fitness centre,Gym and Fitness Center,Fitness center,Fitness center,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 88559 89533,N/A,,,"Kamar nagar road, Ganesh Nagar, Satpur Colony, Nashik, Maharashtra 422007","Ganesh Nagar, Satpur Colony",20.0055721,73.7378811,ChIJ3W5xbTzt3TsRDfj-3xWAKe0,https://www.google.com/maps/place/?q=place_id:ChIJ3W5xbTzt3TsRDfj-3xWAKe0,part_137,2026-09-22 06:00:22
YT Health & Fitness Club,Gym and Fitness Center,Fitness center,"Fitness center, Nutritionist",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 94231 30037,N/A,4.1,,"Hall No.B, 2nd Floor, Dhanashree Plaza, Dhurav Nagar, Ganagapur, Nashik, Maharashtra 422012","Dhurav Nagar, Ganagapur",20.013234,73.7152409,ChIJw00dX0bs3TsRgO6MyiganLc,https://www.google.com/maps/place/?q=place_id:ChIJw00dX0bs3TsRgO6MyiganLc,part_137,2026-09-22 06:00:22
