business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ABB India Limited,Spa Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Industrial consultant, Manufacturer, Solar energy equipment supplier",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 1800 420 0707,http://www.abb.com/,4.3,371.0,"Plot 79,Street 17, MIDC, Satpur Colony, Nashik, Maharashtra 422007","MIDC, Satpur Colony",20.0017559,73.728082,ChIJj95NHmfs3TsRMFdmWCcyPeE,https://www.google.com/maps/place/?q=place_id:ChIJj95NHmfs3TsRMFdmWCcyPeE,part_137,2026-09-22 06:00:30
Healthoware Impex,Spa Equipment Suppliers,Massage supply store,Massage supply store,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 80 4861 7091,https://www.healthoware.in/,4.7,58.0,"Plot No. 94, Pili Nadi, Kamptee Rd, Bank Colony, Nagpur, Maharashtra 440026",Bank Colony,21.186617899999998,79.1313124,ChIJYbm4fNLG1DsR41GYKxGFfSk,https://www.google.com/maps/place/?q=place_id:ChIJYbm4fNLG1DsR41GYKxGFfSk,part_137,2026-09-22 06:00:30
Beauty Centre,Spa Equipment Suppliers,Beauty supply store,"Beauty supply store, Barber supply store, Beauty product supplier, Beauty Products Wholesaler, Beauty Parlour, Massage supply store, Nail salon, Tattoo supply store, Training center",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 80 4204 7792,http://www.beautycentre.co.in/,4.6,590.0,"No.9, OTC Road, Opp ICICI Bank, near Sharda Theatre, Bengaluru, Karnataka 560002","Halsurpete, Nagarathpete",12.965237499999999,77.5843864,ChIJHzUwc-AVrjsRYh3JSSyQRfs,https://www.google.com/maps/place/?q=place_id:ChIJHzUwc-AVrjsRYh3JSSyQRfs,part_137,2026-09-22 06:00:30
SWISS BEAUTY,Spa Equipment Suppliers,Beauty Parlour,Beauty Parlour,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),N/A,N/A,,,"Shrikrishna Nagar, Samta Nagar, Satpur Colony, Nashik, Maharashtra 422007","Shrikrishna Nagar, Samta Nagar, Satpur Colony",19.9894149,73.7221529,ChIJQeKZnPTs3TsRolhkDmQ3hSo,https://www.google.com/maps/place/?q=place_id:ChIJQeKZnPTs3TsRolhkDmQ3hSo,part_137,2026-09-22 06:00:30
Beauty Planet,Spa Equipment Suppliers,Beauty supply store,"Beauty supply store, Beauty Products Wholesaler, Cosmetics store, Furniture wholesaler",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 98199 64790,http://www.beautyplanetindia.com/,4.3,196.0,"Laxmi Industrial Estate, Besides Shiva's Salon, Off Link Rd, behind Axis Bank, Andheri West, Mumbai, Maharashtra 400053","Laxmi Industrial Estate, Suresh Nagar, Andheri West",19.135483,72.83153899999999,ChIJxfzehSK25zsRiQWfISq1w-g,https://www.google.com/maps/place/?q=place_id:ChIJxfzehSK25zsRiQWfISq1w-g,part_137,2026-09-22 06:00:30
MANAV ACUPRESSURE PRODUCTS,Spa Equipment Suppliers,Massage supply store,"Massage supply store, Beauty Products Wholesaler, Physiotherapy equipment supplier",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 98907 65954,http://www.manavacupressure.com/,5.0,169.0,"shop no. 02, Jawahar Colony Rd, opp. swati furniture, Bhanudas Nagar, Nyay Nagar, Chhatrapati Sambhajinagar, Maharashtra 431005","Bhanudas Nagar, Nyay Nagar",19.8739945,75.3452685,ChIJRajj_guj2zsRpMpLFUg0qns,https://www.google.com/maps/place/?q=place_id:ChIJRajj_guj2zsRpMpLFUg0qns,part_137,2026-09-22 06:00:30
"Apollon Massage Chair / JSD Care India - Massage Chair, Master v3 Bed, Leg and foot massager fitness equipments",Spa Equipment Suppliers,Medical supply store,"Medical supply store, Fitness Equipment Wholesaler, Furniture accessories, Furniture store, Health and beauty shop, Importer, Medical equipment supplier, Physiotherapy Center, Physiotherapy equipment supplier, Wholesaler household appliances",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 80 4807 3954,https://apollonchairs.com/,5.0,127.0,"Commercial Complex, Pillar no.71, Block No.34, KDK College Rd, Venkatesh Nagar, Nandanvan, Nagpur, Maharashtra 440024","Venkatesh Nagar, Nandanvan",21.139077699999998,79.1323288,ChIJFaxgd6DH1DsRki_q08NdWIc,https://www.google.com/maps/place/?q=place_id:ChIJFaxgd6DH1DsRki_q08NdWIc,part_137,2026-09-22 06:00:30
Steamers India,Spa Equipment Suppliers,Bathroom supply store,"Bathroom supply store, Health and beauty shop, Hospital equipment and supplies, Hot tub store, Sauna, Sauna store, Shower door shop, Spa and health club, Sports Accessories Wholesaler, Store equipment supplier",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 98222 69769,https://www.steamersindia.in/,4.7,53.0,"Survey No. 55, Plot No. 512, Lane No. 14, Hans Kutti, Ashram Abdul Kalam Chowk, Bhagyoday Nagar, Shivneri Nagar, Kondhwa, Pune, Maharashtra 411048","Bhagyoday Nagar, Shivneri Nagar, Kondhwa",18.473953299999998,73.8867854,ChIJC9jJwjfAwjsRDiuF-IJIKjE,https://www.google.com/maps/place/?q=place_id:ChIJC9jJwjfAwjsRDiuF-IJIKjE,part_137,2026-09-22 06:00:31
Eternity Spa & Salon,Spa Equipment Suppliers,Beauty Parlour,Beauty Parlour,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 253 231 4099,N/A,3.9,118.0,"Store No: 06-B, 3rd floor, City Centre Mall, Unttawadi, Lavate Nagar, next to hamley's toy store, Nashik, Maharashtra 422002","Lavate Nager, Parijat Nagar",19.9904536,73.7617099,ChIJCSIG7nDr3TsRmcsMcDgUmy0,https://www.google.com/maps/place/?q=place_id:ChIJCSIG7nDr3TsRmcsMcDgUmy0,part_137,2026-09-22 06:00:31
Spa Group,Spa Equipment Suppliers,Oil & natural gas company,"Oil & natural gas company, Chemical Manufacturer, Research and product development, Safety equipment supplier",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 22 4010 4500,https://www.spagroup.net/,4.6,10.0,"E-3/15 WICEL, MIDC Central Rd, Santacruz Electronic Export Processing Zone, Andheri East, Mumbai, Maharashtra 400093","Santacruz Electronic Export Processing Zone, Andheri East",19.1262312,72.87191659999999,ChIJobKBZC_I5zsRgZ9kM1lHYNc,https://www.google.com/maps/place/?q=place_id:ChIJobKBZC_I5zsRgZ9kM1lHYNc,part_137,2026-09-22 06:00:31
