business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Infinite Build & Coats Pvt. Ltd.,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Construction Material Wholesaler, Real estate developer",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 93739 00539,N/A,5.0,1.0,"Avinya, Plot no. F8, 5th Street, Gangapur Rd, Serene Meadows, Nashik, Maharashtra 422013","Serene Meadows, Anandvalli",20.013599799999998,73.7360614,ChIJmQubtNTr3TsRxkrX1dqhqf4,https://www.google.com/maps/place/?q=place_id:ChIJmQubtNTr3TsRxkrX1dqhqf4,part_137,2026-09-22 06:00:28
CONSTRO'CARE,Waterproofing Contractor,Waterproofing service,Waterproofing service,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 88880 97088,http://www.constrocareindia.com/,4.3,8.0,"Flat no 6, Deegesh Towers, B wing, Gangapur Rd, Rameshwar Nagar, Balwant Nagar, Anandvalli, Nashik, Maharashtra 422013","Rameshwar Nagar, Balwant Nagar, Anandvalli",20.0125611,73.7412398,ChIJUWhyopvr3TsRXYHCsXJBZHI,https://www.google.com/maps/place/?q=place_id:ChIJUWhyopvr3TsRXYHCsXJBZHI,part_137,2026-09-22 06:00:28
Avinya Build & Coats Pvt. Ltd.,Waterproofing Contractor,Waterproofing service,Waterproofing service,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 93739 00539,https://avinyabuildandcoats.com/,,,"Plot No. F8, 5th Street, Gangapur Rd, opposite Ashiyana Bunglows, Serene Meadows, Nashik, Maharashtra 422013","Serene Meadows, Anandvalli",20.013551,73.7360314,ChIJlYx_jDnt3TsRBOUkZD9ugew,https://www.google.com/maps/place/?q=place_id:ChIJlYx_jDnt3TsRBOUkZD9ugew,part_137,2026-09-22 06:00:28
Sharvari Building Solutions - Waterproofing and Painting Specialists,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Painting",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 88880 90666,N/A,4.8,20.0,"Gangapur Rd, opp. Bosco Center, Gangapur, Govardhan, Maharashtra 422222",Gangapur,20.0295366,73.7112952,ChIJqQpB6S_s3TsR5uQzIoOPCx8,https://www.google.com/maps/place/?q=place_id:ChIJqQpB6S_s3TsR5uQzIoOPCx8,part_137,2026-09-22 06:00:28
Civicstone MEP & Contracting Company,Waterproofing Contractor,Contractor,Contractor,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),N/A,http://www.civicstoneindia.in/,5.0,2.0,"Gangapur Rd, Gangapur, Govardhan, Maharashtra 422222",Gangapur,20.029845899999998,73.7124717,ChIJjeHwZA3t3TsRerskqJTxr9U,https://www.google.com/maps/place/?q=place_id:ChIJjeHwZA3t3TsRerskqJTxr9U,part_137,2026-09-22 06:00:28
N.S.F. Civil works Contractor & Gov. contractor,Waterproofing Contractor,Contractor,Contractor,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 95459 51194,N/A,,,"Jadhav Sankul, Ashoknagar, Satpur Colony, Nashik, Maharashtra 422007","Ashoknagar, Satpur Colony",19.987160499999998,73.7168927,ChIJwb9zfnft3TsR_paCKRffynk,https://www.google.com/maps/place/?q=place_id:ChIJwb9zfnft3TsR_paCKRffynk,part_137,2026-09-22 06:00:28
Shivakumar waterproofing,Waterproofing Contractor,Waterproofing service,Waterproofing service,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 73969 99989,http://www.shivakumarwaterproofing.com/,4.9,327.0,"A-33, Tv Colony Rd Number 5, Sri Ramanapuram Colony, Ramanthapur, Hyderabad, Telangana 500013","Sri Ramanapuram Colony, Ramanthapur",17.3891778,78.5432757,ChIJSf7J5baeyzsRivwfo5ASqJ0,https://www.google.com/maps/place/?q=place_id:ChIJSf7J5baeyzsRivwfo5ASqJ0,part_137,2026-09-22 06:00:28
Nashik Construction Chemical,Waterproofing Contractor,Construction Material Wholesaler,Construction Material Wholesaler,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 94229 44524,N/A,4.8,4.0,"Ground Floor, Building No./Flat No, Gangamai industries and Construction Ltd, 24, near Rahul Drip Irrigation, MIDC, Satpur Colony, Nashik, Maharashtra 422007","MIDC, Satpur Colony",20.000842499999997,73.7310754,ChIJ3fr9lyPt3TsR8eGx2CZ-KXk,https://www.google.com/maps/place/?q=place_id:ChIJ3fr9lyPt3TsR8eGx2CZ-KXk,part_137,2026-09-22 06:00:28
SK Waterproofings,Waterproofing Contractor,Waterproofing service,Waterproofing service,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 90327 57706,https://skwaterproofings.com/,4.8,101.0,"RAINBOW VISTAS PHASE-1, Green Hills Rd, opposite to IDL factory, Sevalal Nagar, Moosapet, Hyderabad, Telangana 500018","Sevalal Nagar, Moosapet",17.469134,78.4085703,ChIJQTYkiNuRyzsRMIi4xLU1mdc,https://www.google.com/maps/place/?q=place_id:ChIJQTYkiNuRyzsRMIi4xLU1mdc,part_137,2026-09-22 06:00:28
Parth Enterprise (Roofing Contractors and waterproofing Contractors),Waterproofing Contractor,Waterproofing service,"Waterproofing service, Asphalt contractor, Building restoration service, Civil engineering company, Contractor, Interior construction contractor, Painting, Repair service, Roofing contractor, Tile contractor",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 98924 32222,https://www.waterproofingmumbai.com/,4.9,52.0,"Rm no 203, 3rd floor, Krishananagar building, Dr Babasaheb Ambedkar Rd, near Laxmi Cottage, Parel East, Parel, Mumbai, Maharashtra 400012","Parel East, Parel",19.002553799999998,72.8382316,ChIJ62ieZbbP5zsRYNt0fjbzYEs,https://www.google.com/maps/place/?q=place_id:ChIJ62ieZbbP5zsRYNt0fjbzYEs,part_137,2026-09-22 06:00:28
