business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KRUSHNAI FETEWALE कृष्णाई फेटेवाले,Bridal Wear and Wedding Collection,Wedding dress rental service,Wedding dress rental service,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 93731 37732,N/A,4.9,27.0,"Nandurgaon, Nandur Naka, Nashik, Maharashtra 422003","Nandurgaon, Nandur Naka",19.997014,73.8435461,ChIJhbin_-DB3TsRGeEhHwBkUvw,https://www.google.com/maps/place/?q=place_id:ChIJhbin_-DB3TsRGeEhHwBkUvw,part_137,2026-09-22 06:01:30
Shrimant Lagna Utsav,Bridal Wear and Wedding Collection,Clothing store,Clothing store,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 95944 70000,N/A,4.9,44.0,"Shop No -2, ABH Town Square -1 Opposite Nashik Centre Mall, Untwadi Rd, Nashik, Maharashtra 422002","Forest Colony, Parijat Nagar",19.991332,73.7632016,ChIJ8Stw0ATr3TsRFPpxqnUMMBs,https://www.google.com/maps/place/?q=place_id:ChIJ8Stw0ATr3TsRFPpxqnUMMBs,part_137,2026-09-22 06:01:30
MANGANDHA DREPARY ALL EVENTS DRESS ON RENT,Bridal Wear and Wedding Collection,Clothing store,Clothing store,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 70577 44487,https://www.instagram.com/mangandha_rentalstore21?igsh=MTI5NTRhcDlzZjJ2cw==,5.0,3.0,"Shop no F 10, Jail Rd, near Indira Gandhi putla, Narayan Bapu Nagar, Nashik Road, Nashik, Maharashtra 422101","Narayan Bapu Nagar, Nashik Road",19.9748311,73.8356639,ChIJLZDLtRbr3TsRVlRRkqZkeaE,https://www.google.com/maps/place/?q=place_id:ChIJLZDLtRbr3TsRVlRRkqZkeaE,part_137,2026-09-22 06:01:30
SMART SAKHI - FANCY DRESS ON RENT IN NASHIK,Bridal Wear and Wedding Collection,Costume rental service,Costume rental service,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 94046 88607,http://www.smartsahi.in/,4.7,234.0,"14, Waje Bldg, Opp Jawaher Market Devi Chowk, Subhash Rd, nr. Railway station, Nashik Road, Nashik, Maharashtra 422101","Rajwada Nagar, Nashik Road",19.9494783,73.8416945,ChIJ4cge4VeV3TsRTVnhuHuY1W8,https://www.google.com/maps/place/?q=place_id:ChIJ4cge4VeV3TsRTVnhuHuY1W8,part_137,2026-09-22 06:01:30
Kadri and Sons - Weddings | Decorations | Events,Bridal Wear and Wedding Collection,Event management company,Event management company,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 98222 12746,http://www.kadriandsons.com/,4.8,40.0,"Shop No 1,Near Water tank,Wadner road, road, Vihitgaon, Nashik, Maharashtra 422401",Vihitgaon,19.937098799999998,73.8336065,ChIJcZjh_bKV3TsRBJc1Q1JwjwA,https://www.google.com/maps/place/?q=place_id:ChIJcZjh_bKV3TsRBJc1Q1JwjwA,part_137,2026-09-22 06:01:30
New Sanjari Collection,Bridal Wear and Wedding Collection,Clothing store,Clothing store,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 73787 24331,N/A,4.7,26.0,"opposite Sahyadri Hospital, beside City Samosa, General Arun Kumar Vaidya Nagar, Mirajkar Nagar, Dr.Homi Bhabha Nagar, Nashik, Maharashtra 422011","General Arun Kumar Vaidya Nagar, Mirajkar Nagar, Dr.Homi Bhabha Nagar",19.9899447,73.79316349999999,ChIJi64bKADr3TsRm-ordLRREEE,https://www.google.com/maps/place/?q=place_id:ChIJi64bKADr3TsRm-ordLRREEE,part_137,2026-09-22 06:01:30
Ansh mehandi art nashik,Bridal Wear and Wedding Collection,Bridal shop,Bridal shop,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 78950 59529,N/A,5.0,6.0,"bhogya hospital, baman society, Mangalmurti Nagar, Nashik, Maharashtra 422101","baman society, Mangalmurti Nagar",19.9710567,73.8309373,ChIJB8GrOrbr3TsR8ewP_-oURRM,https://www.google.com/maps/place/?q=place_id:ChIJB8GrOrbr3TsR8ewP_-oURRM,part_137,2026-09-22 06:01:30
Kabra The Fashionista Saree | Ghagra | Dress,Bridal Wear and Wedding Collection,Women's clothing store,Women's clothing store,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 98907 81509,https://kabrathefashionista.com/,4.6,,"Siddhi-Pooja Business Center, Sharanpur Rd, near Lions Club Garden, New Pandit Colony, Nashik, Maharashtra 422002",New Pandit Colony,20.002504899999998,73.77545789999999,ChIJnVvuVgDr3TsR-80fUZwBeJc,https://www.google.com/maps/place/?q=place_id:ChIJnVvuVgDr3TsR-80fUZwBeJc,part_137,2026-09-22 06:01:31
Aliishadliima - The Bridal Studio For the Best Customised Made Bridal and Evening Gowns,Bridal Wear and Wedding Collection,Bridal shop,Bridal shop,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 98198 19027,https://www.instagram.com/aliishadliima/,4.8,,"702, Movie Time Cinema, Ramchandra Ln, Malad, Evershine Nagar, Malad West, Mumbai, Maharashtra 400064","Malad, Evershine Nagar, Malad West",19.189202299999998,72.835162,ChIJQaMcu-625zsRL5sbVGDSE4M,https://www.google.com/maps/place/?q=place_id:ChIJQaMcu-625zsRL5sbVGDSE4M,part_137,2026-09-22 06:01:31
BHAWNAS CREATIVE CORNER,Bridal Wear and Wedding Collection,Women's clothing store,Women's clothing store,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 73870 54429,N/A,4.9,13.0,"Shop No G 27 Parksyde Business Avenue Vadala, Pathardi Rd, Nashik, Maharashtra 422009","Pandav Nagari, Pathardi Phata",19.9502555,73.7757116,ChIJq7g1N9yV3TsRNQ97SSLz4xM,https://www.google.com/maps/place/?q=place_id:ChIJq7g1N9yV3TsRNQ97SSLz4xM,part_137,2026-09-22 06:01:32
