business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vadhu Vatika,Trousseau Home Decor,Home goods store,"Home goods store, Gift shop, Packaging supply store",422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 98236 42601,N/A,4.9,,"Vadhu Vatika, Fawde lane corner, Main Rd, Nashik, Maharashtra 422001","Dahipul, Shalimar",20.0042009,73.7881599,ChIJReprd6nr3TsRO7dL-fD9vCA,https://www.google.com/maps/place/?q=place_id:ChIJReprd6nr3TsRO7dL-fD9vCA,part_137,2026-09-22 06:01:46
Regal Handloom House,Trousseau Home Decor,Window treatment store,"Window treatment store, Interior Decorator",422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 99258 20522,N/A,5.0,,"Shop no .44, anand Bazzar, behind Sanjay Medical, near jama masjid, Rajwada Nagar, Deolali Gaon, Nashik, Maharashtra 422101","Rajwada Nagar, Deolali Gaon",19.952571799999998,73.83830379999999,ChIJh4jzxTaV3TsRI3jVhND_nU8,https://www.google.com/maps/place/?q=place_id:ChIJh4jzxTaV3TsRI3jVhND_nU8,part_137,2026-09-22 06:01:46
DELUXE HOME DECOR & FURNITURE,Trousseau Home Decor,Interior Decorator,Interior Decorator,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",N/A,https://youtube.com/@officialhome__deluxedecor?si=3N4y1cf9_zJj-Xoe,4.5,,"Vaishnavi Park, Nashik, Maharashtra 422006",Vaishnavi Park,19.9933202,73.8302411,ChIJBT4d14Hr3TsRpF29H7jn6sc,https://www.google.com/maps/place/?q=place_id:ChIJBT4d14Hr3TsRpF29H7jn6sc,part_137,2026-09-22 06:01:46
D'Decor Store - Nasik,Trousseau Home Decor,Fabric store,Fabric store,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 90219 86345,https://www.ddecor.com/,4.5,,"Ground Floor, Shop No.1, R Square Building Thatte Nagar Road, Off, College Rd, Kulkarni Baug, Nashik, Maharashtra 422005",Kulkarni Baug,20.006695999999998,73.76359889999999,ChIJyy0gSU3r3TsRps0oEvKVAE4,https://www.google.com/maps/place/?q=place_id:ChIJyy0gSU3r3TsRps0oEvKVAE4,part_137,2026-09-22 06:01:46
Odhana Bichona,Trousseau Home Decor,Home goods store,"Home goods store, Fabric store",422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 98506 53366,N/A,4.8,,"Dr Barde Complex, B-2, opp. Rajebahadur Hospital, near Nehru Garden, Dahipul, Shalimar, Nashik, Maharashtra 422001","Dahipul, Shalimar",20.0026238,73.7874006,ChIJmyP1vqnr3TsRfzABHVH2Go8,https://www.google.com/maps/place/?q=place_id:ChIJmyP1vqnr3TsRfzABHVH2Go8,part_137,2026-09-22 06:01:46
Indian Classics,Trousseau Home Decor,Curtain store,"Curtain store, Bedroom furniture store, Carpet store, Curtain supplier and maker, Flooring store, Interior designer, Mattress store, Store, Upholstery shop, Wallpaper store",422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 253 231 9851,N/A,4.2,,"Herambh Residency, Sharanpur Link Rd, behind Business Square, Sharanpur, Nashik, Maharashtra 422002",Sharanpur,20.0006412,73.7700505,ChIJl-VbXHHr3TsRtccABty20cs,https://www.google.com/maps/place/?q=place_id:ChIJl-VbXHHr3TsRtccABty20cs,part_137,2026-09-22 06:01:46
"Ranglahari Creations | Akhand Diya, Rangoli Stencils And Granite Readymade Rangoli Store",Trousseau Home Decor,Religious goods store,"Religious goods store, Antique store",422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",N/A,https://ranglaharicreations.com/,4.1,14.0,"Mudra Collection, Shalimar Rd, behind Chitramandir Theatre, Dahipul, Shalimar, Nashik, Maharashtra 422001","Dahipul, Shalimar",20.0034322,73.7882437,ChIJSxMvK5Dr3TsRoHSkO9In_Ko,https://www.google.com/maps/place/?q=place_id:ChIJSxMvK5Dr3TsRoHSkO9In_Ko,part_137,2026-09-22 06:01:46
Swastik Decors,Trousseau Home Decor,Wholesaler,Wholesaler,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",N/A,N/A,5.0,,"2Q67+FPM, Saubhagya Nagar Rd, Saubhagya Nagar, Manik Nagar, Nashik, Maharashtra 422013","Saubhagya Nagar, Manik Nagar",20.0112,73.76428539999999,ChIJUdmtPRjr3TsRPLZbUhZWP0A,https://www.google.com/maps/place/?q=place_id:ChIJUdmtPRjr3TsRPLZbUhZWP0A,part_137,2026-09-22 06:01:46
Sanskari Decor,Trousseau Home Decor,Exporter,"Exporter, Furniture maker, Furniture Manufacturer, Furniture wholesaler, Handicraft, Handicraft Exporter, Handicrafts Wholesaler, Wedding service, Wedding store",422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 97681 28979,https://www.sanskaridecorstore.com/,4.8,,"Swastik Industries Compound South Gate, Chincholi Bunder Rd, Malad, Nadiyawala Colony 2, Malad West, Mumbai, Maharashtra 400064","Malad, Nadiyawala Colony 2, Malad West",19.1792314,72.8448776,ChIJHbReyNe35zsR1z3LbmO-XDY,https://www.google.com/maps/place/?q=place_id:ChIJHbReyNe35zsR1z3LbmO-XDY,part_137,2026-09-22 06:01:46
Bagwan Decor,Trousseau Home Decor,Wedding planner,"Wedding planner, Event management company, Wedding service",422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 95187 13762,https://www.instagram.com/bagwandecor/,4.4,,"62B, Al Buraq, Aqsa Colony, opp. Baitul Hussain apartments, Khode Nagar, Nashik, Maharashtra 422006","Khode Nagar, Tirumla Nagar, Hussani Bagh",19.975368,73.79439339999999,ChIJh-zs9wDr3TsRz07D407gdGo,https://www.google.com/maps/place/?q=place_id:ChIJh-zs9wDr3TsRz07D407gdGo,part_137,2026-09-22 06:01:46
"Yukta Rukhwat Makers pune - buy & rent handmade crochet & pearl decorative items, wedding doll rukhwat",Trousseau Home Decor,Handicrafts Wholesaler,Handicrafts Wholesaler,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 95039 44222,N/A,5.0,,"E-103, sayajiraje Avenue, Sasane Colony, Keshav Nagar, Mundhwa, Pune, Maharashtra 411036","Sasane Colony, Keshav Nagar, Mundhwa",18.5320161,73.9395507,ChIJZ-_PEc3DwjsRVDQ9WsvHzck,https://www.google.com/maps/place/?q=place_id:ChIJZ-_PEc3DwjsRVDQ9WsvHzck,part_137,2026-09-22 06:01:46
Kun glass and aluminium,Trousseau Home Decor,Glass & mirror shop,Glass & mirror shop,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",N/A,N/A,5.0,,"Lohkre malaa, tuljai hotel, Highness society, Shop no 3 Kun Glass& Aluminum Royal, 349/11, near jejurkar lawn, Nashik, Maharashtra 422002",Dwarka,19.9898106,73.815139,ChIJ6ZukqO3q3TsRMXBfjsMpoX0,https://www.google.com/maps/place/?q=place_id:ChIJ6ZukqO3q3TsRMXBfjsMpoX0,part_137,2026-09-22 06:01:46
Wedding Rukhwat Nagpur,Trousseau Home Decor,Wedding service,Wedding service,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 93092 51617,N/A,4.5,,"Medical Chowk, Hanuman Nagar, Nagpur, Maharashtra 440024","Medical Chowk, Hanuman Nagar",21.1299283,79.1001352,ChIJUbouEmm_1DsRC89_REGeGyI,https://www.google.com/maps/place/?q=place_id:ChIJUbouEmm_1DsRC89_REGeGyI,part_137,2026-09-22 06:01:46
Sanjana Home Decor,Trousseau Home Decor,Window treatment store,"Window treatment store, Women's clothing store",422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 98220 44515,N/A,5.0,,"Manorama Residency, Off, College Rd, D'souza Colony, Nashik, Maharashtra 422005",D'souza Colony,20.0104848,73.75792779999999,ChIJOQoq6UXr3TsRY_JrGkZv8b8,https://www.google.com/maps/place/?q=place_id:ChIJOQoq6UXr3TsRY_JrGkZv8b8,part_137,2026-09-22 06:01:46
K-Serenity Candles,Trousseau Home Decor,Candle store,Candle store,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",N/A,http://kserenitycandles.com/,,,"Makhmalabad Rd, Malviya Chowk, Panchavati, Nashik, Maharashtra 422003","Malviya Chowk, Panchavati",20.0088076,73.79539059999999,ChIJ-cE-RQTr3TsRBZtxFtf00fU,https://www.google.com/maps/place/?q=place_id:ChIJ-cE-RQTr3TsRBZtxFtf00fU,part_137,2026-09-22 06:01:47
Serene decor,Trousseau Home Decor,Wholesaler,Wholesaler,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 77987 75354,N/A,4.3,11.0,"Shop no.1, santusa pride, Takli Rd, Dwarka, Nashik, Maharashtra 422003",Dwarka,19.9949931,73.8031997,ChIJj6_6tvvq3TsRn0s1b5_h1-0,https://www.google.com/maps/place/?q=place_id:ChIJj6_6tvvq3TsRn0s1b5_h1-0,part_137,2026-09-22 06:01:47
UMA MAHESHWAR ENTERPRISES,Trousseau Home Decor,Window tinting service,"Window tinting service, Blinds shop, Carpet store, Carpet wholesaler, Curtain supplier and maker, Glass etching service, Wallpaper installer, Wallpaper store, Window treatment store, Wood floor installation service",422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 97305 97062,http://umamaheshwar.co.in/,4.7,16.0,"Shop No 5 & 2, Space Star Building, MICO Cir, Tidke Colony, Nashik, Maharashtra 422002",Tidke Colony,19.9933767,73.7721679,ChIJC7uPJ9Tr3TsRtXhDVEaKIt0,https://www.google.com/maps/place/?q=place_id:ChIJC7uPJ9Tr3TsRtXhDVEaKIt0,part_137,2026-09-22 06:01:47
SWARA SMART STORE,Trousseau Home Decor,Gift shop,"Gift shop, Smart shop",422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",+91 89753 53343,https://chat.whatsapp.com/DOwMrqcWPB1EdTLZPLkbOA,5.0,2.0,"Shop No 3, Saptshrungi Sahara Appt, opp. Gamane Ground, Mauli Nagari, Wasan Nagar, Pathardi Phata, Nashik, Maharashtra 422009","Mauli Nagari, Wasan Nagar, Pathardi Phata",19.956706999999998,73.7675711,ChIJ2X-heiLr3TsRzyPxYHkKbK4,https://www.google.com/maps/place/?q=place_id:ChIJ2X-heiLr3TsRzyPxYHkKbK4,part_137,2026-09-22 06:01:47
Shivay Furniture and Home Decor,Trousseau Home Decor,Furniture store,Furniture store,422101,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road H.O, Idgaon Devlali S.O, India Security Press S.O",N/A,N/A,,,"XRH4+QV2 Shivay Furniture, Aurangabad Rd, near Arihant Marble, Panchavati, Nashik, Maharashtra 422011",Panchavati,19.979378999999998,73.8071368,ChIJTx0vr8Lq3TsRhDXOFMV0T1o,https://www.google.com/maps/place/?q=place_id:ChIJTx0vr8Lq3TsRhDXOFMV0T1o,part_137,2026-09-22 06:01:47
