business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SURYA MOBILE REAPARING CENTER,Mobile Accessories Wholesaler,Cell phone accessory store,Cell phone accessory store,422102,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road Camp S.O, Brahmanwade B.O, Chincholi B.O",+91 83295 16260,N/A,4.9,69.0,"Shop.2, bus stop, Hanumanwadi Rd, near racca lons, Hanuman Wadi, Panchavati, Nashik, Maharashtra 422003","Hanuman Wadi, Panchavati",20.017481,73.7857494,ChIJhd97xHfr3TsR4p117FkjCcw,https://www.google.com/maps/place/?q=place_id:ChIJhd97xHfr3TsR4p117FkjCcw,part_137,2026-09-22 06:02:27
Shree Ganesh Mobile,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,422102,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road Camp S.O, Brahmanwade B.O, Chincholi B.O",+91 98816 74757,N/A,4.7,42.0,"Shinde - Naigaon Rd, near HDFC Bank, Shinde, Maharashtra 422102",422102,19.916128999999998,73.89932929999999,ChIJRRrEVPy-3TsRQ5-mTxRvUmk,https://www.google.com/maps/place/?q=place_id:ChIJRRrEVPy-3TsRQ5-mTxRvUmk,part_137,2026-09-22 06:02:27
Royal mobile accessories,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Cell phone store",422102,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road Camp S.O, Brahmanwade B.O, Chincholi B.O",+91 84215 71910,N/A,5.0,1.0,"Shop no 32, pradhan park, Mahatma Gandhi Rd, Ashok Stambh, Raviwar Karanja, Panchavati, Nashik, Maharashtra 422001","Ashok Stambh, Raviwar Karanja, Panchavati",20.0047455,73.78508339999999,ChIJUZiN98zr3TsRwxv1p4JPk-c,https://www.google.com/maps/place/?q=place_id:ChIJUZiN98zr3TsRwxv1p4JPk-c,part_137,2026-09-22 06:02:27
Sagar Mobile Repring And Accessories,Mobile Accessories Wholesaler,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store",422102,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road Camp S.O, Brahmanwade B.O, Chincholi B.O",+91 92604 35066,N/A,4.2,5.0,"Trimurti Chowk, Cidco, Patil Nagar, Nashik, Maharashtra 422008","Trimurti Chowk, Cidco, Patil Nagar",19.9818313,73.75646139999999,ChIJ8QyAM2Tr3TsRAAAAMN4okkA,https://www.google.com/maps/place/?q=place_id:ChIJ8QyAM2Tr3TsRAAAAMN4okkA,part_137,2026-09-22 06:02:27
Shree Icchamani Enterprises,Mobile Accessories Wholesaler,Cell phone store,"Cell phone store, Electronics store",422102,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road Camp S.O, Brahmanwade B.O, Chincholi B.O",N/A,N/A,5.0,19.0,"Nashik - Pune Hwy, near Shindegaon Bus Stop, Shinde, Maharashtra 422102",422102,19.915180799999998,73.898872,ChIJkciJ7_y-3TsR9TtFD7krHC8,https://www.google.com/maps/place/?q=place_id:ChIJkciJ7_y-3TsR9TtFD7krHC8,part_137,2026-09-22 06:02:27
JK MOBILES NASHIK (wholesaler & Distributor),Mobile Accessories Wholesaler,Cell phone store,Cell phone store,422102,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road Camp S.O, Brahmanwade B.O, Chincholi B.O",N/A,N/A,4.3,18.0,"Abhyankar Plaza, Mahatma Gandhi Rd, near Bank of Barda, Ashok Stambh, Raviwar Karanja, Panchavati, Nashik, Maharashtra 422001","Ashok Stambh, Raviwar Karanja, Panchavati",20.0049538,73.78539889999999,ChIJ_QeF6Kjr3TsRRhcIZmVpPmg,https://www.google.com/maps/place/?q=place_id:ChIJ_QeF6Kjr3TsRRhcIZmVpPmg,part_137,2026-09-22 06:02:27
SINNAR MOBILE,Mobile Accessories Wholesaler,Cell phone store,"Cell phone store, Cell phone accessory store, Phone repair service, Wholesaler",422102,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road Camp S.O, Brahmanwade B.O, Chincholi B.O",+91 84461 30696,https://prashants-07.github.io/sinnar-mobile/,5.0,3.0,"Shop No 1, Mahatma Phule Putla, opp. Hiralal Tower, Sinnar, Maharashtra 422103",422102,19.8431708,73.9948891,ChIJTVJVmiK73TsRU__Iazc0m3A,https://www.google.com/maps/place/?q=place_id:ChIJTVJVmiK73TsRU__Iazc0m3A,part_137,2026-09-22 06:02:27
Mobilewala Rane Nagar,Mobile Accessories Wholesaler,Cell phone store,"Cell phone store, Cell phone accessory store, Computer accessories store, Computer store, Computer Wholesaler, Electronics Accessories Wholesaler, Electronics repair shop, Electronics store, Electronics wholesaler, Mobile phone repair shop",422102,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road Camp S.O, Brahmanwade B.O, Chincholi B.O",+91 96379 92228,N/A,5.0,3.0,"Shop No, 1/2, Rane Nagar- Indira Nagar Link Rd, beside Vakratunda Parcel Point, Swami Vivekanand Nagar, Shri Ram Colony, Nashik, Maharashtra 422009","Swami Vivekanand Nagar, Shri Ram Colony",19.9665082,73.7675711,ChIJuU9GQHDr3TsR6xwPK0469iI,https://www.google.com/maps/place/?q=place_id:ChIJuU9GQHDr3TsR6xwPK0469iI,part_137,2026-09-22 06:02:27
Mobile accessories and Repairing,Mobile Accessories Wholesaler,Mobile phone repair shop,Mobile phone repair shop,422102,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road Camp S.O, Brahmanwade B.O, Chincholi B.O",N/A,N/A,4.5,93.0,"42, Pradhan Park, Mahatma Gandhi Rd, Nashik, Maharashtra 422001","Ashok Stambh, Raviwar Karanja, Panchavati",20.0050956,73.7849607,ChIJZwh_IWvr3TsRpNavwe33WBs,https://www.google.com/maps/place/?q=place_id:ChIJZwh_IWvr3TsRpNavwe33WBs,part_137,2026-09-22 06:02:27
Siddhivinayak Mobiles And Accessories,Mobile Accessories Wholesaler,Cell phone store,"Cell phone store, Computer repair service, Money transfer service, Phone repair service, Repair service, Screen repair service",422102,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Nashik Road Camp S.O, Brahmanwade B.O, Chincholi B.O",+91 86689 83476,N/A,,,"G-24, Purab Paschim Plaza, G-24,Purab Paschim Plaza, near Divya Adlab, Trimurti Chowk, Cidco, Savata Nagar, Nashik, Maharashtra 422008","Trimurti Chowk, Cidco, Savata Nagar",19.981603099999997,73.7558796,ChIJ26mQMGTr3TsRvWZ0gPNmc5c,https://www.google.com/maps/place/?q=place_id:ChIJ26mQMGTr3TsRvWZ0gPNmc5c,part_137,2026-09-22 06:02:27
