business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Radhika Selection (Clothing and Matching Store),Readymade Garments Shop,Clothing store,"Clothing store, Clothes and fabric wholesaler, Clothing supplier, Clothing wholesale market place, Clothing wholesaler, Clothing Accessories Store, Men's clothing store",422104,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Wavi S.O, Dahiwadi B.O, Mithsagare B.O",N/A,N/A,5.0,,"Main Road, behind Shivaji Maharaj Statue, Kopargaon, Maharashtra 423601",Mahadevnagar,19.8815805,74.47856,ChIJd0Z2eFRF3DsRxgtTpemJAAY,https://www.google.com/maps/place/?q=place_id:ChIJd0Z2eFRF3DsRxgtTpemJAAY,part_137,2026-09-22 06:03:21
Cloth centre,Readymade Garments Shop,Clothing store,Clothing store,422104,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Wavi S.O, Dahiwadi B.O, Mithsagare B.O",+91 98604 14086,N/A,4.5,,"Derde Korhale, Maharashtra 423605",422104,19.843073099999998,74.3918794,ChIJL0pMsBxP3DsRnv3gE7T2h9A,https://www.google.com/maps/place/?q=place_id:ChIJL0pMsBxP3DsRnv3gE7T2h9A,part_137,2026-09-22 06:03:21
Rahane & Son's Amol Cloth Store,Readymade Garments Shop,Clothing store,Clothing store,422104,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Wavi S.O, Dahiwadi B.O, Mithsagare B.O",N/A,N/A,3.4,,"Sangamner-Kopargaon Rd, Javalke, Maharashtra 423605",422104,19.775123999999998,74.36601929999999,ChIJS_AJpuBR3DsRYGTGYJgNeKI,https://www.google.com/maps/place/?q=place_id:ChIJS_AJpuBR3DsRYGTGYJgNeKI,part_137,2026-09-22 06:03:21
EXPERT FASHION,Readymade Garments Shop,Clothing store,Clothing store,422104,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Wavi S.O, Dahiwadi B.O, Mithsagare B.O",+91 95956 77261,N/A,4.6,,"Gurudwara Rd, Mahadevnagar, Kopargaon, Maharashtra 423601",Mahadevnagar,19.882884699999998,74.47779059999999,ChIJ0x5v62BE3DsRiDYqC6Dd0tw,https://www.google.com/maps/place/?q=place_id:ChIJ0x5v62BE3DsRiDYqC6Dd0tw,part_137,2026-09-22 06:03:21
Ambika collection,Readymade Garments Shop,Clothing store,Clothing store,422104,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Wavi S.O, Dahiwadi B.O, Mithsagare B.O",+91 90493 91234,N/A,5.0,,"Talathi karyalay, near Datali, Datli, Maharashtra 422112",422104,19.8361272,74.0914301,ChIJxXMWcLqx3TsR0iWhco9Zass,https://www.google.com/maps/place/?q=place_id:ChIJxXMWcLqx3TsR0iWhco9Zass,part_137,2026-09-22 06:03:21
Aher cloth store,Readymade Garments Shop,Clothing store,Clothing store,422104,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Wavi S.O, Dahiwadi B.O, Mithsagare B.O",N/A,N/A,3.6,,"M7VW+3PG, sangamner Rd, Arampur, Maharashtra 422611",422104,19.6926766,74.2968393,ChIJeyxvDaZV3DsRYwmTOVZtl1I,https://www.google.com/maps/place/?q=place_id:ChIJeyxvDaZV3DsRYwmTOVZtl1I,part_137,2026-09-22 06:03:21
Ajay Cloth Readymade,Readymade Garments Shop,Clothing store,Clothing store,422104,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Wavi S.O, Dahiwadi B.O, Mithsagare B.O",N/A,N/A,3.4,,"VFMH+488, Gurudwara Rd, Vivekanand Nagar, Kopargaon, Maharashtra 423601",Vivekanand Nagar,19.882793,74.47831289999999,ChIJ65dz5mBE3DsR9Onp8Sju6yc,https://www.google.com/maps/place/?q=place_id:ChIJ65dz5mBE3DsR9Onp8Sju6yc,part_137,2026-09-22 06:03:21
Rushikesh cloth center,Readymade Garments Shop,Clothing store,Clothing store,422104,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Wavi S.O, Dahiwadi B.O, Mithsagare B.O",N/A,N/A,,,"Shop no,5, opposite Indian overseas Bank, Pohegaon Bk., Maharashtra 423605",422104,19.8163549,74.39694,ChIJc2El-7ZR3DsRpvvQbDFzE5A,https://www.google.com/maps/place/?q=place_id:ChIJc2El-7ZR3DsRpvvQbDFzE5A,part_137,2026-09-22 06:03:21
New Shriman Shrimati Readymade,Readymade Garments Shop,Clothing store,Clothing store,422104,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Wavi S.O, Dahiwadi B.O, Mithsagare B.O",N/A,N/A,5.0,,"Bank Rd, near Badde Complex, Mahadevnagar, Kopargaon, Maharashtra 423601",Mahadevnagar,19.8822494,74.4769862,ChIJ-X2AVY9F3DsRLH3qm21Fhmo,https://www.google.com/maps/place/?q=place_id:ChIJ-X2AVY9F3DsRLH3qm21Fhmo,part_137,2026-09-22 06:03:21
Kothari Readymade (S P Kothari),Readymade Garments Shop,Clothing store,Clothing store,422104,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Wavi S.O, Dahiwadi B.O, Mithsagare B.O",+91 84462 30526,https://www.kothari-readymade.com/,4.1,,"Jai Malhar Complex, 01, Kopargaon, Maharashtra 423601",Mahadevnagar,19.8826526,74.4785138,ChIJ8U_WW79F3DsRuSXSBRC6GIQ,https://www.google.com/maps/place/?q=place_id:ChIJ8U_WW79F3DsRuSXSBRC6GIQ,part_137,2026-09-22 06:03:21
