business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
V.M.Fitness Unisex Gym,Fitness Chains,Gym,"Gym, Fitness center, Health consultant, Physical fitness program, Weight loss service, Weightlifting area",422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 73850 81052,N/A,4.9,918,"Above little Star Play School,Behind Soni Park Apt, near Dhanvantari collage, Kamatwade, Nashik, Maharashtra 422008","Nishant Society, Kamatwade",19.9782863,73.75019259999999,ChIJU2EQyknt3TsRn72rymWCBbg,https://www.google.com/maps/place/?q=place_id:ChIJU2EQyknt3TsRn72rymWCBbg,part_137,2026-09-22 06:04:03
AEI Fitness,Fitness Chains,Fitness center,Fitness center,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 77158 03788,N/A,4.8,268,"8th Floor, Nms Icon, Plot No 194, Sector 19, Ulwe, Wahal, Maharashtra 410206","Sector 19, Ulwe",18.9743945,73.0278677,ChIJr8gukCnD5zsRdGN0zMGexOY,https://www.google.com/maps/place/?q=place_id:ChIJr8gukCnD5zsRdGN0zMGexOY,part_137,2026-09-22 06:04:04
Swap2fit Luxury Fitness Club,Fitness Chains,Fitness center,Fitness center,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 83696 55420,https://swap2fit.in/,4.9,460,"1st floor, Shiv Parvati CHS, opp. Ganpati Mandir, Sector 11, Kamothe, Panvel, Maharashtra 410209","Sector 11, Kamothe, Panvel",19.020736199999998,73.08960859999999,ChIJYWomcwjp5zsRvdIJhwLt6nI,https://www.google.com/maps/place/?q=place_id:ChIJYWomcwjp5zsRvdIJhwLt6nI,part_137,2026-09-22 06:04:04
YC'S POWERHOUSE GYM,Fitness Chains,Gym,Gym,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 95529 69807,N/A,4.9,1329,"Vratesh Housing Society, Shahunagar, MIDC, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019","Vratesh Housing Society, Shahunagar, MIDC, Chinchwad",18.6553801,73.8082417,ChIJkeOGoCW4wjsRWbJuO23si6s,https://www.google.com/maps/place/?q=place_id:ChIJkeOGoCW4wjsRWbJuO23si6s,part_137,2026-09-22 06:04:04
Tungsten Fitness Club ( TFC ) Nerul,Fitness Chains,Gym,Gym,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 91676 77002,https://tungstenfitness.in/,4.9,583,"Unit No. 7, Akshar, Plot no. C-1, Seawoods East, Nerul East, Sector 23, Nerul, Navi Mumbai, Maharashtra 400706","Seawoods East, Nerul East, Sector 23, Nerul",19.024527799999998,73.0205964,ChIJD7B7TJTD5zsRXvgCTXcxMCU,https://www.google.com/maps/place/?q=place_id:ChIJD7B7TJTD5zsRXvgCTXcxMCU,part_137,2026-09-22 06:04:04
AJ Fitness Gym | Chikhali | Jadhavwadi,Fitness Chains,Gym,Gym,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 97671 30079,https://web.trueapps.in/home?biz=ad9cf19c-4fa6-43b3-991a-3cf51265efc9,5.0,287,"Aherwadi Colony Rd, Sahyog Nagar, Chikhali, Pimpri-Chinchwad, Maharashtra 412114","Sahyog Nagar, Chikhali",18.6695919,73.8240289,ChIJqwO8YwC3wjsRWb6HWJBhmkg,https://www.google.com/maps/place/?q=place_id:ChIJqwO8YwC3wjsRWb6HWJBhmkg,part_137,2026-09-22 06:04:04
Powerplex fitness,Fitness Chains,Gym,Gym,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 79776 54950,N/A,4.6,105,"shop no.8A, Shanti Vaibhav Chs Ltd, plot no.11A, w Residential Road, Seawoods West, sector no 42A, Nerul, Seawoods, Navi Mumbai, Maharashtra 400706","Seawoods West, sector no 42A, Nerul, Seawoods",19.018005199999998,73.0162125,ChIJRwLGbsXD5zsRL-_Qc87tBqo,https://www.google.com/maps/place/?q=place_id:ChIJRwLGbsXD5zsRL-_Qc87tBqo,part_137,2026-09-22 06:04:04
Fitness Empire,Fitness Chains,Gym,Gym,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 97733 29211,N/A,4.7,422,"Manorama Nagar Rd, opposite state bank of India, Dokali Pada, Dhokali, Thane West, Thane, Maharashtra 400607","Dokali Pada, Dhokali, Thane West",19.229051899999998,72.98024509999999,ChIJzyfGche55zsRHP8OF5rBze0,https://www.google.com/maps/place/?q=place_id:ChIJzyfGche55zsRHP8OF5rBze0,part_137,2026-09-22 06:04:04
Ragnor Fitness Prime,Fitness Chains,Gym,Gym,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 99304 11515,https://www.ragnorfitness.com/,4.7,294,"Shop no.1, Police Station, near Kamothe, Jui-Kamothe Sector - 36, Sector 7, Kamothe, Panvel, Maharashtra 410209","Jui-Kamothe Sector - 36, Sector 7, Kamothe, Panvel",19.0220035,73.0914626,ChIJnc68caPp5zsRmWfnls9rfTs,https://www.google.com/maps/place/?q=place_id:ChIJnc68caPp5zsRmWfnls9rfTs,part_137,2026-09-22 06:04:04
18 hour Gym,Fitness Chains,Fitness center,Fitness center,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 75060 50344,https://18hour.in/,4.8,100,"Ground Floor, Bus Stop, near Swastik Park, next to Rainbow School, Brahmand, Thane West, Thane, Maharashtra 400607","Brahmand, Thane West",19.2430879,72.9830857,ChIJRZzrJF-75zsR_fHjJZ7v_5U,https://www.google.com/maps/place/?q=place_id:ChIJRZzrJF-75zsR_fHjJZ7v_5U,part_137,2026-09-22 06:04:04
