business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Sharad Namdev Dusane Jewellers , Malegaon (SND)",Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Diamond Merchant, Goldsmith, Jeweler, Jewelry designer",422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 89440 14401,http://www.sndjewellers.com/,4.9,461.0,"PAYAL PLAZA, MOSAMPUL, Satana Rd, near INDIAN NX, Malegaon, Maharashtra 423203","Osiya Nagar, Maloji nagar",20.554335299999998,74.52432449999999,ChIJhT-47L-Z3jsR18L755eZ3f0,https://www.google.com/maps/place/?q=place_id:ChIJhT-47L-Z3jsR18L755eZ3f0,part_137,2026-09-22 06:03:58
Arhan Gold & Diamonds,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 90214 41717,https://arhangold.in/,4.5,46.0,"298, Mamledar Ln, Bhikku Chowk, Gulshanabad, Malegaon, Maharashtra 423203","Bhikku Chowk, Gulshanabad",20.546894899999998,74.53414699999999,ChIJ7cIXhbCZ3jsRVgN6SE1qxr8,https://www.google.com/maps/place/?q=place_id:ChIJ7cIXhbCZ3jsRVgN6SE1qxr8,part_137,2026-09-22 06:03:58
Tirupati Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 70306 49907,N/A,4.8,17.0,"shop. no 4, Sanket empire, Satana Rd, dist, Malegaon, Maharashtra 423203",dist,20.5563525,74.523076,ChIJV4-tqeqZ3jsR0ifPZf75Y0k,https://www.google.com/maps/place/?q=place_id:ChIJV4-tqeqZ3jsR0ifPZf75Y0k,part_137,2026-09-22 06:03:58
Govind Namdeo Dusane,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 98508 80499,N/A,4.5,28.0,"3 & 4, Tuljai Complex D.K. Chowk, Malegaon Camp, Malegaon, Maharashtra 423203","Malegaon Camp, AgricultureCollage Farm Area",20.559008499999997,74.5095766,ChIJ9yNjOPKZ3jsRlGXdpgum9Fs,https://www.google.com/maps/place/?q=place_id:ChIJ9yNjOPKZ3jsRlGXdpgum9Fs,part_137,2026-09-22 06:03:58
Satarkar jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 74994 59930,https://printdizit.com/-SATARKAR-JEWELLERS-,4.4,38.0,"5 kandil, Kapse Ln, Guruwar Ward, Gulshanabad, Malegaon, Maharashtra 423203","Guruwar Ward, Gulshanabad",20.5454685,74.5336821,ChIJd_cJlrqZ3jsR0vjg_yt4vPA,https://www.google.com/maps/place/?q=place_id:ChIJd_cJlrqZ3jsR0vjg_yt4vPA,part_137,2026-09-22 06:03:58
Taqwa Jewellers LLP,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 99322 49944,N/A,4.9,356.0,"Taqwa Jewellers, Mohammad Ali Rd, Bhikku Chowk, M.D, Gulshanabad, Malegaon, Maharashtra 423203","Bhikku Chowk, M.D, Gulshanabad",20.5492763,74.5354112,ChIJr2MPx8eZ3jsRjKw3VP1daZI,https://www.google.com/maps/place/?q=place_id:ChIJr2MPx8eZ3jsRjKw3VP1daZI,part_137,2026-09-22 06:03:58
P N Gadgil and Sons Ltd,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jeweler",422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 257 221 4544,https://pngadgilandsons.com/our-showrooms/,4.7,,"Ring Rd, near Bahinabai Garden, Gangaram Nagar, Tagore Nagar, Jalgaon, Maharashtra 425001","Gangaram Nagar, Tagore Nagar",21.0036201,75.557895,ChIJ0yxbO7EP2TsRIWzp4eQaV0Y,https://www.google.com/maps/place/?q=place_id:ChIJ0yxbO7EP2TsRIWzp4eQaV0Y,part_137,2026-09-22 06:04:00
RL Jewels – Since 1854 | Rajmal Lakhichand,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Diamond Merchant, Goldsmith, Jewelry designer, Jewelry repair service, Gemstone Jeweler, Silversmith",422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 257 222 6682,http://rljewels.com/,4.9,,"169, Johari Bazar, BALAJI PETH, Jalgaon, Maharashtra 425001","Johari Bazar, BALAJI PETH",21.0134859,75.5727065,ChIJGUC3OacP2TsRx8YRBeOvuBQ,https://www.google.com/maps/place/?q=place_id:ChIJGUC3OacP2TsRx8YRBeOvuBQ,part_137,2026-09-22 06:04:00
RG Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Diamond Merchant, Gold dealer, Jeweler, Jewelry designer, Jewelry repair service",422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 94222 76908,N/A,4.7,,"53, Bank St, Navi Peth, Jaikisan Wadi, Jalgaon, Maharashtra 425001","Navi Peth, Jaikisan Wadi",21.0134527,75.5660955,ChIJserH7C4P2TsRRd9E9-KHs8w,https://www.google.com/maps/place/?q=place_id:ChIJserH7C4P2TsRRd9E9-KHs8w,part_137,2026-09-22 06:04:00
Indratara Jewels,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,422105,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"TP Station Eklahre S.O, Kotamgaon B.O",+91 92703 50790,N/A,5.0,,"Plot No.3, S No.15/1, Indratara College Road, Camp, Malegaon, Maharashtra 423105",Camp,20.5618451,74.5148006,ChIJS_WdPPiZ3jsR5kWDInIQCu0,https://www.google.com/maps/place/?q=place_id:ChIJS_WdPPiZ3jsR5kWDInIQCu0,part_137,2026-09-22 06:04:00
